DAVIDID	EG	logFC_EG	P.Value_EG	adj.P.Val_EG	ENSID	logFC_ENS	P.Value_ENS	adj.P.Val_ENS	RSID	logFC_RS	P.Value_RS	adj.P.Val_RS	GeneName
161714	29487	1.010094572	9.03E-07	2.99E-05	ENSRNOG00000028188	1.148413844	3.73E-07	1.59E-05	NM_012796	0.998725227	5.32E-07	2.03E-05	GLUTATHIONE S-TRANSFERASE, THETA 2
153810	85428	1.000900209	4.56E-06	9.12E-05	ENSRNOG00000015415	1.022673561	4.99E-06	0.000102138	NM_053522	0.998480877	4.99E-06	9.62E-05	RAS HOMOLOG GENE FAMILY, MEMBER Q
164878	115771	1.000016178	3.41E-07	1.47E-05	ENSRNOG00000006663	1.02592975	2.13E-07	1.03E-05	NM_053774	1.024316179	7.16E-08	5.09E-06	UBIQUITIN SPECIFIC PROTEASE 2
200603	29619	0.985897246	3.11E-05	0.000365074	ENSRNOG00000003300	0.976869868	2.03E-05	0.00027256	NM_017259	1.034071784	6.70E-05	0.000658675	B-CELL TRANSLOCATION GENE 2, ANTI-PROLIFERATIVE
161071	25683	0.97748739	6.48E-06	0.000117156	ENSRNOG00000010510	1.005620219	4.61E-06	9.71E-05	XM_243912	0.914439356	7.89E-06	0.000132537	PROCOLLAGEN, TYPE XII, ALPHA 1
200622	288701	0.97186081	1.52E-05	0.00021677	ENSRNOG00000001163	0.963522442	1.12E-05	0.000181388	NM_001009255	0.930450321	1.46E-05	0.000204867	SPLICING FACTOR, ARGININE/SERINE RICH 9
203876	89842	0.956126001	6.14E-06	0.00011381	ENSRNOG00000015173	1.028682019	7.38E-06	0.000134827	NM_053569	0.951562105	7.57E-06	0.000129065	MEMBRANE-BOUND TRANSCRIPTION FACTOR PROTEASE, SITE 1
161461	81778	0.95144793	5.13E-05	0.000533499	ENSRNOG00000023226	0.942640145	3.80E-05	0.000433663	NM_031114	0.971870198	2.56E-05	0.000326493	S100 CALCIUM BINDING PROTEIN A10 (CALPACTIN)
161330	113965	0.939736178	6.79E-05	0.000670575	ENSRNOG00000010697	0.930239886	4.88E-05	0.0005254	NM_057186	0.939041351	8.57E-05	0.000777626	L-3-HYDROXYACYL-COENZYME A DEHYDROGENASE, SHORT CHAIN
161375	25177	0.934478779	9.96E-07	3.11E-05	ENSRNOG00000000875	0.930738244	1.17E-06	3.53E-05	NM_001033926	0.936514729	9.70E-07	3.10E-05	FOUR AND A HALF LIM DOMAINS 1
151920	29631	0.916726009	1.86E-05	0.000252497	ENSRNOG00000011008	0.896563589	1.60E-05	0.000234636	NM_019251	0.872840058	3.63E-05	0.000414323	BLOCKED EARLY IN TRANSPORT 1 HOMOLOG (S.CEREVISIAE)
166474	81675	0.913995196	5.05E-06	9.83E-05	ENSRNOG00000011146	0.907706245	2.72E-06	6.66E-05	NM_031043	0.91462682	5.76E-06	0.000106865	GLYCOGENIN 1
158731	25104	0.913985194	1.82E-05	0.000249101	ENSRNOG00000019372	1.190219635	6.64E-06	0.000126092	NM_012744	0.959216411	9.55E-06	0.000148988	PYRUVATE CARBOXYLASE
161302	81505	0.908411235	7.32E-06	0.000126509	ENSRNOG00000021104	0.923040594	4.62E-06	9.71E-05	NM_030847	0.809685274	5.83E-06	0.00010791	EPITHELIAL MEMBRANE PROTEIN 3
158754	170907	0.907757391	7.08E-06	0.000124396	ENSRNOG00000024039	0.924235151	3.03E-06	7.19E-05	NM_133395	0.882089487	1.33E-05	0.000193027	DEVELOPMENTALLY REGULATED PROTEIN TPO1
151394	25491	0.906793403	2.82E-05	0.000338024	ENSRNOG00000018681	0.89569575	6.51E-05	0.000658955	NM_012987	0.902524825	3.82E-05	0.00042792	NESTIN
151666	25230	0.906506314	1.71E-06	4.57E-05	ENSRNOG00000012820	0.91666507	1.90E-06	5.07E-05	NM_031552	0.844542076	5.77E-06	0.000106959	ADDUCIN 3 (GAMMA)
201918	24686	0.902541692	2.55E-07	1.18E-05	ENSRNOG00000021259	0.876302439	5.56E-07	2.11E-05	NM_012631	0.919172307	1.96E-07	1.04E-05	PRION PROTEIN
166047	361018	0.895623158	3.66E-06	7.77E-05	ENSRNOG00000033261	0.918234035	2.92E-06	6.99E-05	NM_001025129	0.799332568	3.20E-06	7.18E-05	SIMILAR TO DOWNREGULATED IN RENAL CELL CARCINOMA
151195	171070	0.894298814	4.18E-06	8.54E-05	ENSRNOG00000003982	0.924179383	2.45E-06	6.14E-05	NM_133545	0.86119619	7.60E-06	0.000129065	PROTEIN TYROSINE PHOSPHATASE 2E
203456	288652	0.888950592	9.77E-07	3.11E-05	ENSRNOG00000001061	0.878042312	1.59E-06	4.41E-05	NM_001004205	0.877643145	1.06E-06	3.29E-05	SIMILAR TO CDNA SEQUENCE BC003324
203846	116666	0.888616849	2.76E-05	0.000333411	ENSRNOG00000024470	1.125771252	4.98E-07	1.93E-05	NM_053886	0.750250275	4.70E-05	0.000504538	LECTIN, MANNOSE-BINDING, 1
164404	289992	0.887840014	6.17E-05	0.000619905	ENSRNOG00000009102	0.869723435	5.42E-05	0.000569482	NM_001011915	0.899862637	6.30E-05	0.000628605	PLECKSTRIN HOMOLOGY DOMAIN CONTAINING, FAMILY C (WITH FERM DOMAIN) MEMBER 1
199788	25283	0.886269439	2.28E-08	2.24E-06	ENSRNOG00000006302	0.882175635	2.13E-08	2.04E-06	NM_012815	0.874955875	2.47E-08	2.54E-06	GLUTAMATE-CYSTEINE LIGASE, CATALYTIC SUBUNIT
204360	300516	0.884342405	2.93E-07	1.29E-05	ENSRNOG00000008757	0.869274329	1.30E-07	7.42E-06	NM_001008325	0.879445088	5.21E-07	2.01E-05	SIMILAR TO RIKEN CDNA 1810021J13
166881	83584	0.878756935	3.48E-05	0.000394318	ENSRNOG00000009508	0.878174465	2.14E-05	0.000282846	NM_031775	0.94766921	1.09E-05	0.000162262	CASPASE 6
203078	315939	0.878414863	3.15E-07	1.37E-05	ENSRNOG00000012480	0.866721243	4.60E-07	1.83E-05	NM_001007710	0.882366593	2.73E-07	1.27E-05	SIMILAR TO RIKEN CDNA C130099A20
164572	124461	0.870486711	2.64E-05	0.000324469	ENSRNOG00000009756	0.890435102	1.48E-05	0.000223486	NM_130740	0.846446398	3.07E-05	0.000368678	PROTEIN KINASE C AND CASEIN KINASE SUBSTRATE IN NEURONS 2
204503	312607	0.870021057	3.10E-06	6.87E-05	ENSRNOG00000005632	0.788332451	5.61E-05	0.000584792	XM_232226	0.86839782	3.68E-06	8.02E-05	PDZ DOMAIN CONTAINING RING FINGER 3 (PREDICTED)
151635	83792	0.867688955	2.54E-07	1.18E-05	ENSRNOG00000013279	0.846984648	2.58E-07	1.20E-05	NM_031841	0.90871616	5.48E-07	2.08E-05	STEAROYL-COENZYME A DESATURASE 2
163819	83614	0.867345523	6.44E-06	0.00011708	ENSRNOG00000021218	0.881158324	3.20E-06	7.45E-05	NM_031784	0.845171677	8.50E-06	0.000137197	PROTEIN INHIBITOR OF ACTIVATED STAT 3
206816	192245	0.859041773	9.33E-06	0.000148592	ENSRNOG00000020922	0.864365513	1.23E-05	0.000194723	NM_138887	0.849141539	8.65E-06	0.000138816	HEAT SHOCK PROTEIN, ALPHA-CRYSTALLIN-RELATED, B6
165843	64040	0.852675417	7.56E-06	0.000128562	ENSRNOG00000004027	0.846687276	5.13E-06	0.000104177	NM_022273	0.851020412	8.47E-06	0.000137197	ALDEHYDE DEHYDROGENASE FAMILY 9, SUBFAMILY A1
160619	65209	0.841183987	4.65E-05	0.000493527	ENSRNOG00000032070	0.71392961	1.25E-05	0.000196965	NM_023024	0.821395335	1.24E-05	0.000180771	DYNEIN, CYTOPLASMIC, HEAVY POLYPEPTIDE 2
166677	25508	0.841108768	4.44E-08	3.38E-06	ENSRNOG00000033280	0.823557703	9.32E-08	6.11E-06	NM_013000	0.854273421	4.17E-08	3.73E-06	PEPTIDYLGLYCINE ALPHA-AMIDATING MONOOXYGENASE
153403	65161	0.823861814	5.23E-05	0.000542062	ENSRNOG00000002520	0.814031514	3.79E-05	0.000433535	XM_343856	0.821063022	6.44E-05	0.00063822	LPS-INDUCED TN FACTOR
169279	363875	0.82290515	3.85E-06	8.08E-05	ENSRNOG00000001068	0.807365389	2.60E-06	6.47E-05	NM_134366	0.854262199	2.46E-06	6.01E-05	RAS-RELATED C3 BOTULINUM TOXIN SUBSTRATE 1 (RHO FAMILY, SMALL GTP BINDING PROTEIN RAC1)
163556	114489	0.81680987	2.64E-05	0.000324469	ENSRNOG00000019400	0.829265417	1.52E-05	0.000226436	XM_343483	0.796988109	3.34E-05	0.000391795	DYSTROGLYCAN 1
170545	116639	0.814322318	1.56E-07	8.60E-06	ENSRNOG00000001424	0.834313793	1.71E-07	8.89E-06	XM_347163	0.789745397	1.67E-07	9.28E-06	CUT-LIKE 1 (DROSOPHILA)
165783	299907	0.813905705	9.49E-06	0.000150502	ENSRNOG00000024886	0.731691953	1.60E-05	0.000234636	XM_216920	0.803194477	9.39E-06	0.000146915	SIMILAR TO EXT1
151343	192270	0.808979225	6.64E-06	0.000118999	ENSRNOG00000008116	0.797646191	4.37E-06	9.30E-05	NM_138905	0.804547845	1.77E-05	0.000241197	ER TRANSMEMBRANE PROTEIN DRI 42
164397	63938	0.808864144	1.03E-06	3.18E-05	ENSRNOG00000008063	0.803065357	6.62E-07	2.34E-05	NM_022243	0.804402892	1.22E-06	3.67E-05	3-HYDROXYISOBUTYRATE DEHYDROGENASE
164835	29533	0.798037262	2.43E-05	0.000307914	ENSRNOG00000037446	0.795728985	1.54E-05	0.000229198	NM_031587	0.739754326	6.00E-05	0.000605844	PEROXISOMAL MEMBRANE PROTEIN 2
151119	50719	0.797282411	6.01E-06	0.000111896	ENSRNOG00000018824	0.785102717	4.95E-06	0.000101781	NM_017353	0.800723056	6.11E-06	0.000111772	TUMOR-ASSOCIATED PROTEIN 1
151450	266709	0.796629576	6.57E-07	2.41E-05	ENSRNOG00000010235	0.784656112	7.18E-07	2.47E-05	NM_153469	0.807816025	5.02E-07	1.96E-05	PROTEIN KINASE INHIBITOR, GAMMA
153595	79212	0.791938026	1.50E-07	8.40E-06	ENSRNOG00000006527	0.773748229	1.84E-07	9.37E-06	NM_024371	0.806592924	1.45E-07	8.81E-06	SOLUTE CARRIER FAMILY 6 (NEUROTRANSMITTER TRANSPORTER, GABA), MEMBER 1
204109	84485	0.790447457	1.32E-05	0.000194563	ENSRNOG00000019691	0.780126424	9.52E-06	0.000163166	NM_053425	0.760679823	3.21E-05	0.000381039	COPPER CHAPERONE FOR SUPEROXIDE DISMUTASE
159691	60332	0.78994763	4.66E-05	0.000493998	ENSRNOG00000006899	0.822961735	2.52E-05	0.000318824	NM_021703	0.799397992	4.33E-05	0.000470409	A KINASE (PRKA) ANCHOR PROTEIN 14
163559	24530	0.781021043	9.81E-07	3.11E-05	ENSRNOG00000019573	0.836817226	4.92E-07	1.93E-05	NM_017024	0.817321261	2.33E-06	5.76E-05	LECITHIN CHOLESTEROL ACYLTRANSFERASE
161509	498331	0.778490216	2.52E-06	5.86E-05	ENSRNOG00000002061	0.79461429	1.42E-06	4.07E-05	XM_213997	0.755473499	4.02E-06	8.53E-05	PROTEIN TYROSINE PHOSPHATASE, NON-RECEPTOR TYPE 13
165756	24157	0.778351361	2.10E-05	0.000275578	ENSRNOG00000030287	0.786209184	1.37E-05	0.000210576	NM_012489	0.763474426	2.83E-05	0.000349072	ACETYL-COENZYME A ACYLTRANSFERASE 1
164072	361946	0.775884729	1.12E-08	1.50E-06	ENSRNOG00000013100	0.774705972	1.03E-05	0.000172491	NM_001014170	0.895506466	6.30E-09	1.03E-06	SIMILAR TO TRANSCRIPTION FACTOR (P38 INTERACTING PROTEIN)
154466	25363	0.765700244	3.05E-06	6.84E-05	ENSRNOG00000018114	0.756911108	2.37E-06	5.97E-05	NM_012891	0.713663753	1.10E-05	0.000163591	ACYL-COENZYME A DEHYDROGENASE, VERY LONG CHAIN
161130	29667	0.763853667	2.29E-06	5.49E-05	ENSRNOG00000005513	0.743335755	1.74E-06	4.72E-05	NM_019257	0.776903564	2.04E-06	5.25E-05	SPLICING FACTOR, ARGININE/SERINE-RICH 5
165643	65168	0.763792458	9.88E-07	3.11E-05	ENSRNOG00000019136	0.766067481	6.20E-07	2.24E-05	NM_023955	0.768541276	2.12E-06	5.38E-05	SECRETORY CARRIER MEMBRANE PROTEIN 2
166231	171548	0.760051941	2.72E-05	0.00033018	ENSRNOG00000016343	0.750927839	2.75E-05	0.000342299	NM_138519	0.778587457	3.33E-05	0.000390534	DICKKOPF HOMOLOG 3 (XENOPUS LAEVIS)
160758	29143	0.757871723	1.77E-06	4.69E-05	ENSRNOG00000021031	0.756556039	9.86E-07	3.13E-05	NM_017113	0.749160557	2.61E-06	6.27E-05	GRANULIN
161442	24788	0.757304353	5.51E-06	0.000104586	ENSRNOG00000017291	0.75853733	6.28E-06	0.000120288	NM_017052	0.865762351	2.77E-06	6.55E-05	SORBITOL DEHYDROGENASE
164053	360891	0.753074324	2.29E-06	5.49E-05	ENSRNOG00000031934	0.756163521	2.59E-06	6.46E-05	NM_001012150	0.754721166	1.55E-06	4.29E-05	ENABLED HOMOLOG (DROSOPHILA)
199778	362760	0.752183454	8.06E-06	0.000135325	ENSRNOG00000004589	0.735425778	1.09E-05	0.00017931	XM_343087	0.756185444	6.95E-06	0.000121102	UDP-N-ACETYL-ALPHA-D-GALACTOSAMINE:POLYPEPTIDE N-ACETYLGALACTOSAMINYLTRANSFERASE-LIKE 1
166495	25621	0.743138369	2.57E-06	5.95E-05	ENSRNOG00000020451	0.717857535	2.54E-06	6.36E-05	NM_013087	0.777200433	2.16E-06	5.48E-05	CD 81 ANTIGEN
200535	114861	0.741675926	1.50E-07	8.40E-06	ENSRNOG00000002358	0.739545411	1.14E-07	6.87E-06	NM_133383	0.76221625	1.39E-07	8.46E-06	SERINE CARBOXYPEPTIDASE 1
205141	315126	0.741000317	6.86E-06	0.000121972	ENSRNOG00000011170	0.743727951	9.61E-06	0.000164147	NM_001007708	0.732165832	6.04E-06	0.000110939	SIMILAR TO RIKEN CDNA 1700088E04; DNA SEGMENT, HUMAN EST J0827E04; MUS EST J0827E04; DNA SEGMENT, EST J0827E04
201360	310801	0.740712265	1.79E-05	0.000246698	ENSRNOG00000013912	0.759235416	1.77E-05	0.000249923	XM_227612	0.717839067	2.04E-05	0.00027342	SOLUTE CARRIER FAMILY 30 (ZINC TRANSPORTER), MEMBER 7
164151	304983	0.733999376	4.21E-06	8.55E-05	ENSRNOG00000008301	0.732781341	2.30E-06	5.87E-05	NM_001013127	0.728668538	5.16E-06	9.84E-05	TRANSGELIN 2
165764	57025	0.73026024	1.21E-06	3.57E-05	ENSRNOG00000020590	0.744802189	8.34E-07	2.79E-05	NM_020308	0.716539061	1.62E-06	4.45E-05	A DISINTEGRIN AND METALLOPROTEINASE DOMAIN 15 (METARGIDIN)
205583	64526	0.729062179	0.000115158	0.000986606	ENSRNOG00000020308	0.72170665	9.70E-05	0.000893895	NM_022594	0.755348037	2.31E-05	0.000301434	ENOYL COENZYME A HYDRATASE 1, PEROXISOMAL
161102	29479	0.723997744	2.81E-05	0.000337803	ENSRNOG00000014584	0.728459295	2.88E-05	0.000355289	NM_017213	0.673131619	1.06E-05	0.000159371	OUTER DENSE FIBER OF SPERM TAILS 2
151320	25125	0.723376633	4.36E-05	0.000468346	ENSRNOG00000019742	0.699948648	3.24E-05	0.00038878	NM_012747	0.694507154	0.000110507	0.000949386	SIGNAL TRANSDUCER AND ACTIVATOR OF TRANSCRIPTION 3
165954	286898	0.720265229	1.69E-07	9.06E-06	ENSRNOG00000012062	0.697392084	1.34E-07	7.59E-06	NM_173118	0.728656411	1.15E-07	7.27E-06	NIEMANN PICK TYPE C2
160867	294673	0.719859156	5.49E-06	0.000104443	ENSRNOG00000025274	0.729287271	3.43E-06	7.86E-05	NM_001011946	0.666912925	2.02E-05	0.000272395	HEXOSAMINIDASE B
161777	81652	0.717701227	1.68E-05	0.000234231	ENSRNOG00000015573	0.779051864	5.63E-06	0.000112322	NM_031023	0.666433605	3.53E-05	0.000405923	CHITOBIASE, DI-N-ACETYL-
199796	83477	0.717181938	1.21E-05	0.000182201	ENSRNOG00000014613	0.724976576	1.10E-05	0.000179952	NM_031328	0.702165377	1.44E-05	0.000203085	B-CELL CLL/LYMPHOMA 10
202583	25358	0.709960612	5.59E-05	0.000569364	ENSRNOG00000004303	0.720227827	3.23E-05	0.000388085	NM_012886	0.698937165	0.000100119	0.000882343	TISSUE INHIBITOR OF METALLOPROTEINASE 3 (SORSBY FUNDUS DYSTROPHY, PSEUDOINFLAMMATORY)
203952	300733	0.70964156	8.25E-07	2.81E-05	ENSRNOG00000016474	0.677645941	7.87E-07	2.67E-05	NM_001005547	0.73640349	3.52E-07	1.54E-05	TETRASPANIN 3
165535	289231	0.709034523	1.34E-05	0.000196871	ENSRNOG00000005355	0.703769686	1.20E-05	0.000189791	NM_174864	0.695387794	1.34E-05	0.000194385	NICASTRIN
205593	29733	0.690470365	6.47E-05	0.000642637	ENSRNOG00000013683	0.68071302	4.02E-05	0.000453816	NM_017301	0.696823713	7.35E-05	0.000709666	ENDOTHELIAL DIFFERENTIATION SPHINGOLIPID G-PROTEIN-COUPLED RECEPTOR 1
151279	295143	0.682269634	1.86E-05	0.000252497	ENSRNOG00000009538	0.682662826	1.28E-05	0.000200533	NM_198742	0.581035666	5.79E-05	0.000590965	ELECTRON-TRANSFERRING-FLAVOPROTEIN DEHYDROGENASE
160608	113900	0.681497649	8.40E-07	2.84E-05	ENSRNOG00000019206	0.699463871	1.03E-06	3.24E-05	NM_053611	0.753847409	9.73E-06	0.000151305	NUCLEAR PROTEIN 1
152801	79214	0.666801477	1.28E-05	0.000189785	ENSRNOG00000016207	0.7172286	3.04E-07	1.37E-05	NM_024373	0.618049552	1.40E-05	0.00019975	UDP-N-ACETYL-ALPHA-D-GALACTOSAMINE:POLYPEPTIDE N-ACETYLGALACTOSAMINYLTRANSFERASE 1
169389	83788	0.665906805	3.44E-05	0.000393782	ENSRNOG00000002807	0.655270362	2.28E-05	0.000295745	NM_031837	0.61086063	4.11E-05	0.000450645	SEPTIN 9
161145	65040	0.6540954	2.52E-07	1.18E-05	ENSRNOG00000016196	0.411217042	9.31E-06	0.000160482	NM_022946	0.543255397	1.23E-06	3.68E-05	DISCS, LARGE (DROSOPHILA) HOMOLOG-ASSOCIATED PROTEIN 1
151166	29611	0.652820044	3.70E-05	0.000413891	ENSRNOG00000015029	0.695253141	1.83E-05	0.000253741	XM_342328	0.615699883	7.48E-05	0.000714122	DIHYDROLIPOAMIDE BRANCHED CHAIN TRANSACYLASE E2
161914	257647	0.642404371	1.20E-06	3.57E-05	ENSRNOG00000002908	0.641763769	1.14E-06	3.48E-05	NM_147140	0.632840464	1.47E-06	4.18E-05	PLRR-4 POLYMORPHIC LEUCINE-RICH REPEAT PROTEIN
205899	25368	0.64198331	8.55E-06	0.00014034	ENSRNOG00000012325	0.636064919	5.29E-06	0.000106304	NM_012895	0.596426571	2.93E-05	0.000357272	ADENOSINE KINASE
165035	246769	0.640164516	3.98E-06	8.22E-05	ENSRNOG00000014190	0.64468333	4.67E-06	9.78E-05	XM_341742	0.626645042	2.55E-06	6.16E-05	HISTIDINE TRIAD NUCLEOTIDE BINDING PROTEIN 3
200322	192172	0.638543509	7.01E-05	0.000686956	ENSRNOG00000000185	0.665065698	2.48E-05	0.000314381	NM_138843	0.63853363	9.59E-05	0.000852596	MERCAPTOPYRUVATE SULFURTRANSFERASE
152715	171155	0.637407095	1.01E-05	0.000156335	ENSRNOG00000010800	0.614730081	1.18E-05	0.000188306	NM_133618	0.647472663	1.00E-05	0.000154119	HYDROXYACYL-COENZYME A DEHYDROGENASE/3-KETOACYL-COENZYME A THIOLASE/ENOYL-COENZYME A HYDRATASE (TRIFUNCTIONAL PROTEIN), BETA SUBUNIT
161473	361728	0.636032452	1.01E-05	0.000156832	ENSRNOG00000020693	0.640382281	7.21E-06	0.000133196	NM_198777	0.62105333	2.20E-05	0.000288791	UNKNOWN (PROTEIN FOR MGC:73003)
166913	60460	0.630445394	3.39E-06	7.36E-05	ENSRNOG00000006472	0.656872161	3.22E-06	7.45E-05	NM_021863	0.60276038	4.18E-06	8.71E-05	HEAT SHOCK PROTEIN 2
161168	155173	0.629235636	4.76E-05	0.000504146	ENSRNOG00000019981	0.617531955	3.45E-05	0.000405751	NM_130412	0.637506041	3.72E-05	0.000421152	STROMAL CELL DERIVED FACTOR 4
164592	366227	0.627379654	2.14E-06	5.27E-05	ENSRNOG00000006795	0.626079362	1.89E-06	5.05E-05	NM_001034003	0.616728848	2.65E-06	6.34E-05	SIMILAR TO RIKEN CDNA 2310001A20
160631	63836	0.621819613	2.70E-05	0.000328166	ENSRNOG00000020433	0.598354772	2.81E-05	0.000347415	NM_031675	0.627548946	2.60E-05	0.000329872	ACTININ ALPHA 4
204073	171135	0.617290903	3.12E-05	0.000365074	ENSRNOG00000014475	0.643446053	1.77E-05	0.00025025	NM_133600	0.592112857	5.04E-05	0.000532729	SOLUTE CARRIER FAMILY 31 (COPPER TRANSPORTERS), MEMBER 1
166053	65170	0.613878259	3.92E-05	0.000430782	ENSRNOG00000018271	0.613613842	3.54E-05	0.000415369	NM_031725	0.610339118	3.44E-05	0.000399293	SECRETORY CARRIER MEMBRANE PROTEIN 4
203051	291556	0.611793441	2.68E-05	0.000327537	ENSRNOG00000017852	0.600097303	3.27E-05	0.000390296	NM_001025635	0.61822094	2.40E-05	0.000310674	ASPARAGINYL-TRNA SYNTHETASE
161041	362061	0.610768445	8.72E-06	0.000142245	ENSRNOG00000028319	0.636630524	8.66E-06	0.000152425	NM_001012183	0.572219977	2.04E-05	0.000273008	CRYSTALLIN, ZETA
163497	171566	0.610180914	6.36E-06	0.000116101	ENSRNOG00000002898	0.843848913	1.52E-05	0.000226436	NM_138532	0.655506407	5.88E-06	0.000108268	NON-METASTATIC CELLS 7, PROTEIN EXPRESSED IN
200392	50655	0.602766173	6.97E-06	0.000123142	ENSRNOG00000005849	0.597494506	8.17E-06	0.000144806	NM_017321	0.551162987	4.15E-06	8.66E-05	ACONITASE 1
164464	619345	0.601408243	5.09E-05	0.000530895	ENSRNOG00000005167	0.589355016	7.84E-05	0.0007552	NM_001033866	0.596508211	4.96E-05	0.000525511	SURFEIT 2
159532	361178	0.599967151	3.47E-05	0.000394318	ENSRNOG00000019222	0.584974952	2.48E-05	0.000314381	NM_001025718	0.602675156	4.61E-05	0.00049433	SIMILAR TO TRANSCRIPTION FACTOR
202391	170943	0.594444229	7.91E-05	0.00075511	ENSRNOG00000036693	0.591674456	5.06E-05	0.000540559	NM_133418	0.784740294	1.20E-06	3.63E-05	SOLUTE CARRIER FAMILY 25 (MITOCHONDRIAL CARRIER; DICARBOXYLATE TRANSPORTER), MEMBER 10
199432	361845	0.586808642	8.02E-06	0.000135097	ENSRNOG00000000555	0.587988931	8.13E-06	0.000144645	NM_001033069	0.59741852	7.61E-06	0.000129065	EUKARYOTIC TRANSLATION INITIATION FACTOR 4E BINDING PROTEIN 2
204491	314399	0.586715587	1.34E-05	0.000196871	ENSRNOG00000008108	0.579540372	1.13E-05	0.000182411	NM_001007705	0.586383272	1.35E-05	0.000195002	SIMILAR TO CHROMOSOME 14 OPEN READING FRAME 130
200533	65165	0.585747991	1.40E-05	0.000203911	ENSRNOG00000001053	0.561364722	9.53E-06	0.000163166	NM_031722	0.601732428	1.92E-05	0.000259653	COATED VESICLE MEMBRANE PROTEIN
164258	289277	0.578750594	4.62E-06	9.18E-05	ENSRNOG00000004524	0.576514185	1.04E-06	3.24E-05	NM_001013873	0.572623436	4.94E-06	9.54E-05	CGI-146 PROTEIN
199541	24399	0.57873674	2.14E-06	5.27E-05	ENSRNOG00000010222	0.564511807	3.90E-06	8.65E-05	NM_012570	0.581773707	2.12E-06	5.38E-05	GLUTAMATE DEHYDROGENASE 1
161790	94271	0.575789886	6.29E-05	0.000628486	ENSRNOG00000001551	0.559376099	6.63E-05	0.000668414	NM_053602	0.571442971	3.42E-05	0.000398722	ATP SYNTHASE, H+ TRANSPORTING, MITOCHONDRIAL F0 COMPLEX, SUBUNIT F6
167024	114122	0.573723361	1.42E-05	0.000204875	ENSRNOG00000029212	0.586422961	7.81E-06	0.000140992	XM_215451	0.576501822	1.14E-05	0.000169009	CHONDROITIN SULFATE PROTEOGLYCAN 2
201125	290234	0.572934129	1.99E-05	0.000264137	ENSRNOG00000020264	0.57708186	1.63E-05	0.000238018	NM_001007621	0.511795341	4.69E-06	9.23E-05	DEHYDROGENASE/REDUCTASE (SDR FAMILY) MEMBER 1
161275	83799	0.569924997	2.96E-05	0.000352354	ENSRNOG00000012640	0.562120638	2.10E-05	0.000279262	NM_031973	0.569189284	3.71E-05	0.000420278	DIPEPTIDYLPEPTIDASE 7
164561	299858	0.569815431	1.88E-05	0.000254425	ENSRNOG00000025053	0.558013937	2.06E-05	0.000275224	XM_243524	0.573924894	1.37E-05	0.000196751	LOW DENSITY LIPOPROTEIN RECEPTOR-RELATED PROTEIN 1
205887	286904	0.566504921	5.99E-05	0.000605122	ENSRNOG00000032895	0.610170147	4.63E-05	0.000502888	NM_173123	0.528141434	7.99E-05	0.000747683	CYTOCHROME P450, FAMILY 4, SUBFAMILY F, POLYPEPTIDE 4
153552	287150	0.566162702	7.57E-06	0.000128562	ENSRNOG00000019684	0.563141507	9.65E-06	0.000164406	XM_213267	0.545231254	8.49E-06	0.000137197	SIMILAR TO HYPOTHETICAL PROTEIN MGC2494
204632	64529	0.559787514	9.72E-06	0.000153257	ENSRNOG00000010331	0.537083943	1.47E-05	0.000222577	NM_022597	0.581012546	6.67E-06	0.000117051	CATHEPSIN B
201489	116565	0.558149203	2.38E-05	0.000304159	ENSRNOG00000009313	0.56558475	2.51E-05	0.00031769	XM_341239	0.566022108	1.37E-05	0.000196614	LOW DENSITY LIPOPROTEIN RECEPTOR-RELATED PROTEIN ASSOCIATED PROTEIN 1
203634	287159	0.557784903	8.22E-05	0.000774853	ENSRNOG00000020140	0.553041111	7.72E-05	0.000748476	NM_001007607	0.550512806	7.13E-05	0.000692885	PHOSPHATIDYLINOSITOL GLYCAN, CLASS Q
201747	117049	0.557666899	2.38E-06	5.63E-05	ENSRNOG00000017074	0.555052832	3.44E-06	7.86E-05	NM_053978	0.55663124	1.81E-06	4.83E-05	RAB28, MEMBER RAS ONCOGENE FAMILY
163525	289352	0.549343549	2.55E-05	0.000316347	ENSRNOG00000002393	0.48711691	2.35E-05	0.00030205	NM_001024238	0.530471415	1.21E-05	0.000176512	GLUTAMYL-PROLYL-TRNA SYNTHETASE
200118	294258	0.545344776	1.85E-05	0.000252219	ENSRNOG00000000420	0.551095085	1.50E-05	0.000224974	NM_212548	0.451000532	4.24E-05	0.000461325	RD RNA-BINDING PROTEIN
153591	29602	0.540751257	3.58E-06	7.65E-05	ENSRNOG00000015655	0.571486831	3.27E-06	7.56E-05	NM_019243	0.514600682	4.41E-06	8.94E-05	PROSTAGLANDIN F2 RECEPTOR NEGATIVE REGULATOR
205637	29476	0.537457412	2.52E-05	0.000314705	ENSRNOG00000018668	0.530225943	1.67E-05	0.000242354	NM_017211	0.539023249	3.56E-05	0.000407688	GOLGI APPARATUS PROTEIN 1
163673	310552	0.53600312	4.63E-05	0.000492696	ENSRNOG00000009465	0.53575381	3.59E-05	0.000417211	XM_227314	0.527142018	6.20E-05	0.000619697	SECRETED FRIZZLED-RELATED PROTEIN 2
200812	362711	0.534963162	3.80E-05	0.000420926	ENSRNOG00000008812	0.539289937	4.19E-05	0.000469314	NM_001014195	0.524465027	3.81E-05	0.00042753	SIMILAR TO HYPOTHETICAL PROTEIN FLJ20254
