Unigene	Gene name	Description	Map	Avg tumor/avg mucosa
Hs.120949	CD36	CD36 antigen (collagen type I receptor, thrombospondin receptor) (CD36), transcript variant 3, mRNA.	7q11.2	0.350902184
Hs.502328	CD44	CD44 antigen (homing function and Indian blood group system)	11p13	2.579617834
Hs.445570	CD63	CD63 antigen (melanoma 1 antigen) (CD63), mRNA.	12q12-q13	1.638497653
Hs.54457	CD81	CD81 antigen (target of antiproliferative antibody 1) (CD81), mRNA.	11p15.5	2.256410256
Hs.527778	CD82	CD82 antigen (CD82), mRNA.	11p11.2	2.03525641
Hs.495605	CD99	CD99 antigen (CD99), mRNA.	Yp11.3	2.118721461
Hs.388220	CDADC1	cytidine and dCMP deaminase domain containing 1 (CDADC1), mRNA.	13q14.2	1.901840491
Hs.334562	CDC2	cell division cycle 2, G1 to S and G2 to M (CDC2), transcript variant 2	10q21.1	2.730496454
Hs.524947	CDC20	CDC20 cell division cycle 20 homolog (S. cerevisiae) (CDC20), mRNA.	1p34.1	2.633561644
Hs.153752	CDC25B	Cell division cycle 25B	20p13	2.225589226
Hs.160958	CDC37	CDC37 cell division cycle 37 homolog (S. cerevisiae) (CDC37), mRNA.	19p13.2	1.795698925
Hs.510533	CDC42BPB	CDC42 binding protein kinase beta (DMPK-like)	14q32.3	1.771875
Hs.474797	CDC42EP1	CDC42 effector protein (Rho GTPase binding) 1 (CDC42EP1), transcript variant 2, mRNA.	22q13.1	2.391447368
Hs.405958	CDC6	CDC6 cell division cycle 6 homolog (S. cerevisiae) (CDC6), mRNA.	17q21.3	1.645768025
Hs.470654	CDCA7	cell division cycle associated 7 (CDCA7), transcript variant 2, mRNA.	2q31	5
Hs.184298	CDK7	cyclin-dependent kinase 7 (MO15 homolog, Xenopus laevis, cdk-activating kinase) (CDK7), mRNA.	5q12.1	1.827586207
Hs.512599	CDKN2A	cyclin-dependent kinase inhibitor 2A (melanoma, p16, inhibits CDK4) (CDKN2A), transcript variant 4, mRNA.	9p21	0.618444846
Hs.72901	CDKN2B	cyclin-dependent kinase inhibitor 2B (p15, inhibits CDK4) (CDKN2B), transcript variant 1, mRNA.	9p21	0.562292752
Hs.516855	CENPB	Centromere protein B, 80kDa	20p13	1.871794872
Hs.535257	CENTB5	Centaurin, beta 5	1	1.818681319
Hs.302435	CENTG1	centaurin, gamma 1 (CENTG1), mRNA.	12q14.1	1.931547619
Hs.443005	Cep152	KIAA0912 protein	15q21.1	0.4675203
Hs.481466	Cep72	Centrosomal protein 72 kDa	5p15.33	4.204678363
Hs.9825	CGI-128	CGI-128 protein (CGI-128), mRNA.	16q22.1-q22.3	1.663398693
Hs.501513	CGI-37	comparative gene identification transcript 37 (CGI-37), mRNA.	16q22.1	1.674157303
Hs.514216	CGI-69	CGI-69 protein (CGI-69), mRNA.	17q12	2.532934132
Hs.469723	CHC1	chromosome condensation 1 (CHC1), mRNA.	1p36.1	2.407582938
Hs.389996	CHCHD2	coiled-coil-helix-coiled-coil-helix domain containing 2 (CHCHD2), mRNA.	7p11.2	2.685950413
Hs.162233	CHD4	chromodomain helicase DNA binding protein 4 (CHD4), mRNA.	12p13	1.879310345
Hs.530936	CHD9	Chromodomain helicase DNA binding protein 9	16q12.2	0.710805746
Hs.386465	CHERP	calcium homeostasis endoplasmic reticulum protein (CHERP), mRNA.	19p13.1	1.679083095
Hs.439777	CHKB	choline kinase beta (CHKB), transcript variant 1, mRNA.	22q13.33	1.444983819
Hs.516711	CHPF	chondroitin polymerizing factor (CHPF), mRNA.	2q35	1.988980716
Hs.293077	CHPT1	choline phosphotransferase 1 (CHPT1), mRNA.	12q	0.503409547
Hs.490795	CHR2SYT	Chr2 synaptotagmin	7q36.3	2.446071904
Hs.248101	CHRNG	cholinergic receptor, nicotinic, gamma polypeptide (CHRNG), mRNA.	2q33-q34	1.735930736
Hs.165724	CHST8	carbohydrate (N-acetylgalactosamine 4-0) sulfotransferase 8	19q13.1	0.655034325
Hs.153850	CHTF18	CTF18, chromosome transmission fidelity factor 18 homolog (S. cerevisiae)	16p13.3	1.68401487
Hs.201253	ch-TOG	KIAA0097 gene product (ch-TOG), transcript variant 2, mRNA.	11p11.2	1.666666667
Hs.212395	CIZ1	CDKN1A interacting zinc finger protein 1 (CIZ1), mRNA.	9q34.1	1.624472574
Hs.83758	CKS2	CDC28 protein kinase regulatory subunit 2 (CKS2), mRNA.	9q22	3.112068966
Hs.534377	CLDN10	claudin 10 (CLDN10), transcript variant 2, mRNA.	13q31-q34	1.474426808
Hs.258576	CLDN12	claudin 12 (CLDN12), mRNA.	7q21	2.323922734
Hs.414565	CLIC1	chloride intracellular channel 1 (CLIC1), mRNA.	6p22.1-p21.2	2.977941176
Hs.440544	CLIC4	chloride intracellular channel 4 (CLIC4), mRNA.	1p36.11	0.298172324
Hs.466539	CLIPR-59	CLIP-170-related protein (CLIPR-59), mRNA.	19q13.12	0.407696933
Hs.73986	CLK2	CDC-like kinase 2 (CLK2), transcript variant 2, mRNA.	1q21	1.786069652
Hs.549172	CLN6	ceroid-lipofuscinosis, neuronal 6, late infantile, variant (CLN6), mRNA.	15q23	1.787096774
Hs.5719	CNAP1	chromosome condensation-related SMC-associated protein 1	12p13.3	1.563380282
Hs.149185	CNDP2	CNDP dipeptidase 2 (metallopeptidase M20 family) (CNDP2), mRNA.	18q22.3	0.419916435
Hs.546344	CNKSR2	Connector enhancer of kinase suppressor of Ras 2	Xp22.12	1.658135283
Hs.169718	CNN2	calponin 2 (CNN2), transcript variant 2, mRNA.	21q11.1	2.724489796
Hs.150895	CNNM3	cyclin M3 (CNNM3), transcript variant 2, mRNA.	2p12-p11.2	1.696707106
Hs.170553	CNOT7	CCR4-NOT transcription complex, subunit 7 (CNOT7), transcript variant 1	8p22-p21.3	0.368070029
Hs.129966	CNTFR	ciliary neurotrophic factor receptor (CNTFR), transcript variant 2, mRNA.	9p13	0.511299435
Hs.298705	CNTN4	contactin 4 (CNTN4), transcript variant 2, mRNA.	3p26-p25	1.927312775
Hs.408730	CNTNAP1	contactin associated protein 1 (CNTNAP1), mRNA.	17q21	0.448275862
Hs.296422	COASY	Coenzyme A synthase (COASY), mRNA.	17q12-q21	1.847750865
Hs.521809	COBRA1	cofactor of BRCA1 (COBRA1), mRNA.	9q34	1.604355717
Hs.191540	COH1	Cohen syndrome 1 (COH1), transcript variant 3, mRNA.	8q22.2	1.534814815
Hs.517356	COL18A1	collagen, type XVIII, alpha 1 (COL18A1), transcript variant 2, mRNA.	21q22.3	1.889037433
Hs.17441	COL4A1	collagen, type IV, alpha 1 (COL4A1), mRNA.	13q34	2.628504673
Hs.210283	COL5A1	collagen, type V, alpha 1 (COL5A1), mRNA.	9q34.2-q34.3	2.421359223
Hs.468702	COMMD1	Copper metabolism (Murr1) domain containing 1	2p15	0.579743355
Hs.530823	COPS7A	COP9 constitutive photomorphogenic homolog subunit 7A (Arabidopsis) (COPS7A), mRNA.	12p13.31	1.77027027
Hs.531713	COPS8	COP9 constitutive photomorphogenic homolog subunit 8 (Arabidopsis) (COPS8), transcript variant 1, mRNA.	2q37.3	1.813229572
Hs.289092	COTL1	coactosin-like 1 (Dictyostelium) (COTL1), mRNA.	16q24.1	1.828282828
Hs.462278	COX10	COX10 homolog, cytochrome c oxidase assembly protein, heme A: farnesyltransferase (yeast) (COX10), nuclear gene encoding mitochondrial protein, mRNA.	17p12-17p11.2	2.475703325
Hs.431668	COX6B1	cytochrome c oxidase subunit Vib polypeptide 1 (ubiquitous)	19q13.1	2.298076923
Hs.70312	COX7A2	cytochrome c oxidase subunit VIIa polypeptide 2 (liver) (COX7A2), mRNA.	6q12	0.505731316
Hs.127126	CPEB4	cytoplasmic polyadenylation element binding protein 4 (CPEB4), mRNA.	5q21	0.650485437
Hs.246413	CPNE1	copine I (CPNE1), transcript variant 2, mRNA.	20q11.22	3.137755102
Hs.461775	CPNE7	copine VII (CPNE7), transcript variant 1, mRNA.	16q24.3	2.809667674
Hs.493202	CPSF1	cleavage and polyadenylation specific factor 1, 160kDa (CPSF1), mRNA.	8q24.23	2.210526316
Hs.528834	CPSF5	cleavage and polyadenylation specific factor 5, 25 kDa (CPSF5), mRNA.	16q12.2	2.157894737
Hs.369606	CPSF6	cleavage and polyadenylation specific factor 6, 68kDa (CPSF6), mRNA.	12q15	2.284182306
Hs.459759	CREBBP	CREB binding protein (Rubinstein-Taybi syndrome) (CREBBP), mRNA.	16p13.3	1.935166994
Hs.42853	CREBL1	CAMP responsive element binding protein-like 1	6p21.3	1.784031414
Hs.5710	CREG1	cellular repressor of E1A-stimulated genes 1 (CREG1), mRNA.	1q24	1.721822542
Hs.255973	CRI1	CREBBP/EP300 inhibitor 1 (CRI1), mRNA.	15q21.1-q21.2	0.346272098
Hs.461896	CRK	v-crk sarcoma virus CT10 oncogene homolog (avian) (CRK), transcript variant I, mRNA.	17p13.3	1.800505051
Hs.352671	CRYZL1	Crystallin, zeta (quinone reductase)-like 1	21q21.3	1.751388889
Hs.352671	CRYZL1	crystallin, zeta (quinone reductase)-like 1 (CRYZL1), transcript variant 1, mRNA.	21q21.3	1.932432432
Hs.86392	CSGlcA-T	chondroitin sulfate glucuronyltransferase (CSGlcA-T), mRNA.	7q36.1	1.635888502
Hs.474833	CSNK1E	casein kinase 1, epsilon (CSNK1E), transcript variant 2, mRNA.	22q13.1	3.165876777
Hs.446484	CSNK2A1	casein kinase 2, alpha 1 polypeptide (CSNK2A1), transcript variant 3, mRNA.	20p13	0.463206816
Hs.82201	CSNK2A2	casein kinase 2, alpha prime polypeptide (CSNK2A2), mRNA.	16p13.3-p13.2	1.517179024
Hs.695	CSTB	cystatin B (stefin B) (CSTB), mRNA.	21q22.3	2.170634921
Hs.172865	CSTF1	cleavage stimulation factor, 3 pre-RNA, subunit 1, 50kDa (CSTF1), mRNA.	20q13.31	1.582191781
Hs.499496	CTGLF1	centaurin, gamma-like family, member 1 (CTGLF1), mRNA.	10q11.21	1.564150943
Hs.476018	CTNNB1	catenin (cadherin-associated protein), beta 1, 88kDa (CTNNB1), mRNA.	3p21	1.872420263
Hs.520898	CTSB	cathepsin B (CTSB), transcript variant 1, mRNA.	8p22	2.310679612
Hs.1355	CTSE	cathepsin E (CTSE), transcript variant 2, mRNA.	1q31	2.002512563
Hs.206500	CTTN	Cortactin	11q13	2.14507772
Hs.335033	CTTNBP2	cortactin binding protein 2 (CTTNBP2), mRNA.	7q31	1.976470588
Hs.500874	CUEDC2	CUE domain containing 2 (CUEDC2), mRNA.	10q24.32	1.527272727
Hs.530727	CUGBP1	CUG triplet repeat, RNA binding protein 1 (CUGBP1), transcript variant 1	11p11	2.027548209
Hs.309288	CUGBP2	CUG triplet repeat, RNA binding protein 2	10p13	0.570601014
Hs.146806	CUL1	cullin 1 (CUL1), mRNA.	7q36.1	1.70411985
Hs.789	CXCL1	chemokine (C-X-C motif) ligand 1 (melanoma growth stimulating activity, alpha) (CXCL1), mRNA.	4q21	2.214076246
Hs.89690	CXCL3	chemokine (C-X-C motif) ligand 3 (CXCL3), mRNA.	4q21	4.291963377
Hs.534464	CXorf15	chromosome X open reading frame 15 (CXorf15), mRNA.	Xp22.2	2.006085193
Hs.496501	CXorf34	chromosome X open reading frame 34 (CXorf34), mRNA.	Xq22.1	0.436921939
Hs.189119	CXXC5	CXXC finger 5 (CXXC5), mRNA.	5q31.2	2.234234234
Hs.355264	CYB561	cytochrome b-561 (CYB561), mRNA.	17q11-qter	3.91588785
Hs.513803	CYBA	cytochrome b-245, alpha polypeptide (CYBA), mRNA.	16q24	1.696428571
Hs.289271	CYC1	cytochrome c-1 (CYC1), mRNA.	8q24.3	1.587112172
Hs.1361	CYP1A2	cytochrome P450, family 1, subfamily A, polypeptide 2 (CYP1A2), mRNA.	15q22-qter	2.372460497
Hs.154654	CYP1B1	Cytochrome P450, family 1, subfamily B, polypeptide 1	2p21	0.589341693
Hs.98370	CYP2S1	cytochrome P450, family 2, subfamily S, polypeptide 1 (CYP2S1), mRNA.	19q13.1	2.265944645
Hs.1644	CYP7A1	cytochrome P450, family 7, subfamily A, polypeptide 1 (CYP7A1), mRNA.	8q11-q12	0.523364486
Hs.19156	DAAM1	Dishevelled associated activator of morphogenesis 1	14q23.1	1.984771574
Hs.481980	DAB2	disabled homolog 2, mitogen-responsive phosphoprotein (Drosophila) (DAB2), mRNA.	5p13	0.458857696
Hs.82890	DAD1	defender against cell death 1 (DAD1), mRNA.	14q11-q12	2.017241379
Hs.523628	DAP3	death associated protein 3 (DAP3), nuclear gene encoding mitochondrial protein, transcript variant 2, mRNA.	1q21-q22	1.772511848
Hs.551527	DATF1	Death associated transcription factor 1	20q13.33	1.363013699
Hs.222510	DAZAP1	DAZ associated protein 1 (DAZAP1), transcript variant 2, mRNA.	19p13.3	2.204697987
Hs.507755	DCAMKL1	doublecortin and CaM kinase-like 1 (DCAMKL1), mRNA.	13q13	1.918781726
Hs.709	DCK	Deoxycytidine kinase	4q13.3-q21.1	2.292016807
Hs.516111	DCTN1	dynactin 1 (p150, glued homolog, Drosophila), transcript variant 2	2p13	1.916666667
Hs.9857	DCXR	dicarbonyl/L-xylulose reductase (DCXR), mRNA.	17q25.3	1.879478827
Hs.379858	DDAH1	dimethylarginine dimethylaminohydrolase 1 (DDAH1), mRNA.	1p22	2.083003953
Hs.333165	DDI2	DNA-damage inducible protein 2	1p36.13	1.626774848
Hs.523145	DDOST	dolichyl-diphosphooligosaccharide-protein glycosyltransferase	1p36.1	2.982352941
Hs.520004	DDR1	discoidin domain receptor family, member 1, transcript variant 2	6p21.3	0.56360424
Hs.528305	DDX17	DEAD (Asp-Glu-Ala-Asp) box polypeptide 17, transcript variant 2	22q13.1	1.891687657
Hs.528305	DDX17	DEAD (Asp-Glu-Ala-Asp) box polypeptide 17, transcript variant 2	22q13.1	1.630801688
Hs.461196	DDX19L	DEAD (Asp-Glu-Ala-As) box polypeptide 19-like (DDX19L), mRNA.	16q22.1	1.754176611
Hs.130098	DDX23	DEAD (Asp-Glu-Ala-Asp) box polypeptide 23 (DDX23), mRNA.	12q13.12	1.621890547
Hs.439440	DDX26	DEAD/H (Asp-Glu-Ala-Asp/His) box polypeptide 26 (DDX26), mRNA.	13q14.12-q14.2	0.523661972
Hs.311609	DDX39	DEAD (Asp-Glu-Ala-Asp) box polypeptide 39, transcript variant 1	19p13.12	3.350649351
Hs.389649	DDX48	DEAD (Asp-Glu-Ala-Asp) box polypeptide 48 (DDX48), mRNA.	17q25.3	0.504078303
Hs.143187	DDX49	DEAD (Asp-Glu-Ala-Asp) box polypeptide 49 (DDX49), mRNA.	19p12	1.676595745
Hs.445168	DDX51	DEAD (Asp-Glu-Ala-Asp) box polypeptide 51 (DDX51), mRNA.	12q24.33	1.63562753
Hs.299878	DEGS1	degenerative spermatocyte homolog 1, lipid desaturase (Drosophila) (DEGS1), transcript variant 1, mRNA.	1q42.12	0.382565242
Hs.241576	DERL1	Der1-like domain family, member 1 (DERL1), mRNA.	8q24.13	1.526315789
Hs.155597	DF	D component of complement (adipsin) (DF), mRNA.	19p13.3	0.401934444
Hs.484782	DFFA	DNA fragmentation factor, 45kDa, alpha polypeptide (DFFA), transcript variant 1, mRNA.	1p36.3-p36.2	2.017045455
Hs.517357	DGCR2	DiGeorge syndrome critical region gene 2 (DGCR2), mRNA.	22q11.21	1.620904836
Hs.533019	DGCR8	DiGeorge syndrome critical region gene 8 (DGCR8), mRNA.	22q11.2	1.393687708
Hs.469022	DGUOK	deoxyguanosine kinase (DGUOK), nuclear gene encoding mitochondrial protein, transcript variant 4, mRNA.	2p13	1.854103343
Hs.124696	DHRS6	Dehydrogenase/reductase (SDR family) member 6	4q24	2.174664107
Hs.463105	DHX8	DEAH (Asp-Glu-Ala-His) box polypeptide 8 (DHX8), mRNA.	17q21.31	1.63304721
Hs.191518	DHX9	DEAH (Asp-Glu-Ala-His) box polypeptide 9 (DHX9), transcript variant 2, mRNA.	1q25	2.648401826
Hs.529451	DIAPH1	Diaphanous homolog 1 (Drosophila)	5q31	2.115384615
	DKFZP434B103	DKFZP434B103 protein		1.839483395
Hs.369285	DKFZP434B168	DKFZP434B168 protein (DKFZP434B168), mRNA.	1p36.13-q42.3	2.74744898
Hs.381239	DKFZp434J1015	Hypothetical protein DKFZp434J1015	7p22.1	2.484593838
Hs.462663	DKFZP434K1421	hypothetical protein DKFZp434K1421 (DKFZP434K1421), mRNA.	17q11.2	1.616387337
Hs.524660	DKFZp434M0331	hypothetical protein DKFZp434M0331 (DKFZp434M0331), mRNA.	12q23.1	1.47425897
Hs.17987	DKFZp451J0118	taxilin (DKFZp451J0118), mRNA.	1p35.1	2.392473118
Hs.371788	DKFZP547E1010	DKFZP547E1010 protein (DKFZP547E1010), mRNA.	1q21.3	2.178756477
	DKFZP564A043	DKFZP564A043 protein		0.451828724
	DKFZP564B147	DKFZP564B147 protein		0.456864216
Hs.335293	DKFZP564C186	DKFZP564C186 protein (DKFZP564C186), mRNA.	1p36.33	1.674180328
Hs.469171	DKFZP564D0478	Hypothetical protein DKFZp564D0478	1p36.11	1.822981366
Hs.31387	DKFZP564J0123	nuclear protein E3-3 (DKFZP564J0123), transcript variant 4, mRNA.	3p21.31	1.923076923
Hs.252967	DKFZp566C0424	putative MAPK activating protein PM20,PM21 (DKFZp566C0424), mRNA.	1p36.13	1.592948718
Hs.288771	DKFZP586A0522	DKFZP586A0522 protein (DKFZP586A0522), mRNA.	12q13.12	0.421583851
Hs.532188	DKFZP586J0619	PREDICTED: DKFZP586J0619 protein (DKFZP586J0619), mRNA.	7	1.949197861
Hs.512827	DKFZp761E198	hypothetical protein DKFZp761E198 (DKFZp761E198), mRNA.	11q13.1	1.737430168
Hs.474233	DKFZp761P1121	hypothetical protein DKFZp761P1121 (DKFZp761P1121), mRNA.	22q11.21	1.799242424
Hs.514368	Dlc2	dynein light chain 2 (Dlc2), mRNA.	17q23.2	1.746621622
Hs.522680	DLG3	Discs, large homolog 3 (neuroendocrine-dlg, Drosophila)	Xq13.1	0.619799139
Hs.436393	DLGAP3	PREDICTED: discs, large (Drosophila) homolog-associated protein 3	1	1.507853403
Hs.249600	DLGAP4	discs, large (Drosophila) homolog-associated protein 4 (DLGAP4), transcript variant 2, mRNA.	20q11.23	2.205761317
Hs.99348	DLX5	distal-less homeo box 5 (DLX5), mRNA.	7q22	0.507002801
Hs.147472	DNAI2	dynein, axonemal, intermediate polypeptide 2 (DNAI2), mRNA.	17q25	2.340153453
Hs.459779	DNAJA3	DnaJ (Hsp40) homolog, subfamily A, member 3 (DNAJA3), mRNA.	16p13.3	1.776632302
Hs.490745	DNAJB6	DnaJ (Hsp40) homolog, subfamily B, member 6 (DNAJB6), transcript variant 2, mRNA.	7q36.3	1.854214123
Hs.433540	DNAJC8	DnaJ (Hsp40) homolog, subfamily C, member 8 (DNAJC8), mRNA.	1p35.3	1.882022472
Hs.549030	DNASE1	deoxyribonuclease I (DNASE1), mRNA.	16p13.3	1.859872611
Hs.463036	DNB5	PREDICTED: deleted in neuroblastoma 5 (DNB5), mRNA.	1	1.577006508
Hs.7720	DNCH1	Dynein, cytoplasmic, heavy polypeptide 1	14q32.3-qter	2.011928429
Hs.7720	DNCH1	Dynein, cytoplasmic, heavy polypeptide 1	14q32.3-qter	1.67651633
Hs.5120	DNCL1	dynein, cytoplasmic, light polypeptide 1 (DNCL1), mRNA.	12q24.23	1.979041916
Hs.472852	DNTTIP1	deoxynucleotidyltransferase, terminal, interacting protein 1	20q13.12	2.154205607
Hs.314413	DOCK9	Dedicator of cytokinesis 9	13q32.3	1.83963964
Hs.324830	DPH2L2	DPH2-like 2 (S. cerevisiae) (DPH2L2), transcript variant 2, mRNA.	1p34	2.460385439
Hs.549080	DPM1	dolichyl-phosphate mannosyltransferase polypeptide 1, catalytic subunit (DPM1), mRNA.	20q13.13	2.04248366
Hs.37916	DPP7	dipeptidylpeptidase 7 (DPP7), mRNA.	9q34.3	2.233766234
Hs.515081	DPP9	dipeptidylpeptidase 9 (DPP9), mRNA.	19p13.3	1.596330275
Hs.515081	DPP9	dipeptidylpeptidase 9 (DPP9), mRNA.	19p13.3	1.514913658
Hs.299315	DPYSL5	Dihydropyrimidinase-like 5	2p23.3	0.538674033
Hs.369998	DRF1	Dbf4-related factor 1 (DRF1), transcript variant 1, mRNA.	17q21.31	1.903716216
Hs.23251	DSCR4	Down syndrome critical region gene 4 (DSCR4), mRNA.	21q22.2	2.274611399
Hs.2633	DSG1	desmoglein 1 (DSG1), mRNA.	18q12.1	0.633524206
Hs.517544	DUSP18	dual specificity phosphatase 18 (DUSP18), mRNA.	22q12.2	4.382899628
Hs.492555	e(y)2	e(y)2 protein (e(y)2), mRNA.	8q23.1	1.824657534
Hs.492445	EDD	E3 identified by differential display	8q22	0.564444444
Hs.333388	EEF1D	Eukaryotic translation elongation factor 1 delta (guanine nucleotide exchange protein)	8q24.3	1.93315508
Hs.88977	EEF1E1	eukaryotic translation elongation factor 1 epsilon 1 (EEF1E1), mRNA.	6p24.3-p25.1	1.902439024
Hs.144835	EEF1G	eukaryotic translation elongation factor 1 gamma (EEF1G), mRNA.	11q12.3	2.434343434
Hs.515070	EEF2	Eukaryotic translation elongation factor 2	19pter-q12	2.677248677
Hs.460208	EEIG1	early estrogen-induced gene 1 protein (EEIG1), mRNA.	9	1.909090909
Hs.465374	EFHD2	EF hand domain family, member D2 (EFHD2), mRNA.	1p36.21	1.684840426
Hs.132483	EGFL4	EGF-like-domain, multiple 4 (EGFL4), mRNA.	19q12	2.837209302
Hs.337251	EGFL9	EGF-like-domain, multiple 9 (EGFL9), transcript variant 2, mRNA.	6p21.1	1.736720554
Hs.515417	EGLN2	egl nine homolog 2 (C. elegans) (EGLN2), transcript variant 3, mRNA.	19q13.2	1.676806084
Hs.378808	eIF2A	eukaryotic translation initiation factor (eIF) 2A (eIF2A), mRNA.	3q25.1	2.136612022
Hs.283551	EIF2B5	Eukaryotic translation initiation factor 2B, subunit 5 epsilon, 82kDa	3q27.1	1.748308525
Hs.314359	EIF3S12	eukaryotic translation initiation factor 3, subunit 12 (EIF3S12), mRNA.	19q13.2	2.088291747
Hs.530096	EIF3S2	eukaryotic translation initiation factor 3, subunit 2 beta, 36kDa	1p34.1	2.592814371
Hs.492599	EIF3S3	eukaryotic translation initiation factor 3, subunit 3 gamma, 40kDa	8q24.11	2.984313725
Hs.529059	EIF3S4	eukaryotic translation initiation factor 3, subunit 4 delta, 44kDa	19p13.2	2.542087542
Hs.405590	EIF3S6	eukaryotic translation initiation factor 3, subunit 6 48kDa (EIF3S6), mRNA.	8q22-q23	2.755458515
Hs.55682	EIF3S7	eukaryotic translation initiation factor 3, subunit 7 zeta, 66/67kDa	22q13.1	2.48
Hs.371001	EIF3S9	eukaryotic translation initiation factor 3, subunit 9 eta, 116kDa (EIF3S9), transcript variant 2, mRNA.	7p22.3	2.942708333
Hs.129673	EIF4A1	eukaryotic translation initiation factor 4A, isoform 1 (EIF4A1), mRNA.	17p13	2.902564103
Hs.478553	EIF4A2	eukaryotic translation initiation factor 4A, isoform 2 (EIF4A2), mRNA.	3q28	2.866359447
Hs.478553	EIF4A2	eukaryotic translation initiation factor 4A, isoform 2 (EIF4A2), mRNA.	3q28	1.908333333
Hs.478553	EIF4A2	eukaryotic translation initiation factor 4A, isoform 2 (EIF4A2), mRNA.	3q28	2.563492063
Hs.478553	EIF4A2	eukaryotic translation initiation factor 4A, isoform 2 (EIF4A2), mRNA.	3q28	1.76635514
Hs.478553	EIF4A2	eukaryotic translation initiation factor 4A, isoform 2 (EIF4A2), mRNA.	3q28	1.638888889
Hs.512629	EIF4B	eukaryotic translation initiation factor 4B (EIF4B), mRNA.	12q13.13	1.716483516
Hs.292026	EIF4E2	eukaryotic translation initiation factor 4E member 2 (EIF4E2), mRNA.	2q37.1	1.677298311
Hs.183684	EIF4G2	eukaryotic translation initiation factor 4 gamma, 2 (EIF4G2), mRNA.	11p15	0.434509804
Hs.534314	EIF5A	eukaryotic translation initiation factor 5A (EIF5A), mRNA.	17p13-p12	3.121495327
Hs.213050	ELAVL4	ELAV (embryonic lethal, abnormal vision, Drosophila)-like 4 (Hu antigen D)	1p34	0.44650655
Hs.67928	ELF3	E74-like factor 3 (ets domain transcription factor, epithelial-specific )	1q32.2	2.178588574
Hs.181128	ELK1	ELK1, member of ETS oncogene family (ELK1), mRNA.	Xp11.2	0.518232819
Hs.12451	EML1	echinoderm microtubule associated protein like 1, transcript variant 2	14q32	0.490057729
Hs.432438	EML4	echinoderm microtubule associated protein like 4 (EML4), mRNA.	2p22-p21	3.41588785
Hs.76753	ENG	endoglin (Osler-Rendu-Weber syndrome 1) (ENG), mRNA.	9q33-q34.1	1.706855792
Hs.517145	ENO1	enolase 1, (alpha) (ENO1), mRNA.	1p36.3-p36.2	3.413793103
Hs.507307	EP400	E1A binding protein p400 (EP400), mRNA.	12q24.33	1.673629243
Hs.213394	EPB41L3	Erythrocyte membrane protein band 4.1-like 3	18p11.32	1.763458401
Hs.171596	EPHA2	EPH receptor A2 (EPHA2), mRNA.	1p36	1.970996217
Hs.283613	EPHA8	EPH receptor A8 (EPHA8), transcript variant 1, mRNA.	1p36.12	0.694499018
Hs.28020	EPM2AIP1	EPM2A (laforin) interacting protein 1 (EPM2AIP1), mRNA.	3p22.1	0.49705725
Hs.497788	EPRS	glutamyl-prolyl-tRNA synthetase (EPRS), mRNA.	1q41-q42	1.753246753
Hs.509791	ERH	enhancer of rudimentary homolog (Drosophila) (ERH), mRNA.	14q24.1	2.145945946
Hs.153479	ESPL1	extra spindle poles like 1 (S. cerevisiae) (ESPL1), mRNA.	12q	1.723744292
Hs.74047	ETFB	electron-transfer-flavoprotein, beta polypeptide (ETFB), mRNA.	19q13.3	2.269387755
Hs.155729	ETFDH	electron-transferring-flavoprotein dehydrogenase (ETFDH), nuclear gene encoding mitochondrial protein, mRNA.	4q32-q35	0.457815846
Hs.240056	ETNK1	Ethanolamine kinase 1	12p12.1	0.528686783
Hs.517296	ETS2	v-ets erythroblastosis virus E26 oncogene homolog 2 (avian)	21q22.2	3.36424581
Hs.434059	ETV4	ets variant gene 4 (E1A enhancer binding protein, E1AF) (ETV4), mRNA.	17q21	2.024390244
Hs.552571	EVC	Ellis van Creveld syndrome (EVC), transcript variant 1, mRNA.	4p16	0.514246004
Hs.16165	EVER1	epidermodysplasia verruciformis 1 (EVER1), mRNA.	17q25.3	1.655274889
Hs.26870	EVI5L	ecotropic viral integration site 5-like (EVI5L), mRNA.	19p13.2	0.509947644
Hs.500635	EVPL	envoplakin (EVPL), mRNA.	17q25	2.189526185
Hs.343589	EXOSC4	exosome component 4 (EXOSC4), mRNA.	8q24.3	2.299145299
Hs.283741	EXOSC5	exosome component 5 (EXOSC5), mRNA.	19q13.1	1.81185567
Hs.461187	EXOSC6	Exosome component 6	16q22.1	1.845333333
Hs.461187	EXOSC6	Exosome component 6	16q22.1	1.966273187
Hs.444082	EZH2	enhancer of zeste homolog 2 (Drosophila), transcript variant 2	7q35-q36	1.748091603
Hs.380135	FABP1	fatty acid binding protein 1, liver (FABP1), mRNA.	2p11	0.197350579
Hs.282265	FABP2	fatty acid binding protein 2, intestinal (FABP2), mRNA.	4q28-q31	0.639077341
Hs.26770	FABP7	fatty acid binding protein 7, brain (FABP7), mRNA.	6q22-q23	0.56819407
Hs.95260	FAM8A1	family with sequence similarity 8, member A1 (FAM8A1), mRNA.	6p22-p23	0.592888889
Hs.284153	FANCA	Fanconi anemia, complementation group A (FANCA), mRNA.	16q24.3	1.972826087
Hs.83190	FASN	fatty acid synthase (FASN), mRNA.	17q25	3.21875
Hs.481371	FAT	FAT tumor suppressor homolog 1 (Drosophila) (FAT), mRNA.	4q34-q35	2.304
