Pathway name	Pathway Code	Genbank ID	Gene Title	Gene Symbol	5 h CS vs Air                         FC + SEM	8 d CS vs Air            FC + SEM	8 d Air vs 5 h Air            FC + SEM	1.5 mo CS vs Air                         FC + SEM	1.5 mos Air vs 5 h Air            FC + SEM	6 mos CS vs Air                                  FC + SEM	6 mos Air vs 5 h Air  FC + SEM
Inflammation	10	BI688355	cortactin	Cttn	N.C.	1.6 + 0.4	N.C.	N.C.	N.C.	N.C.	N.C.
Inflammation	10	BB554288	chemokine (C-X-C motif) ligand 1	Cxcl1	1.7 ± 0.4	N.C.	N.C.	N.C.	N.C.	N.C.	N.C.
Inflammation	10	NM_009140	chemokine (C-X-C motif) ligand 2	Cxcl2	2.8 ± 0.4	N.C.	2.0 + 0.4	N.C.	N.C.	N.C.	N.C.
Inflammation	10	NM_009141	chemokine (C-X-C motif) ligand 5	Cxcl5	30.9 ± 0.6	N.C.	43.7 + 0.5	3.4 ± 0.5	N.C.	12.8 ± 0.6	N.C.
Inflammation	10	D87747	chemokine (C-X-C motif) receptor 4	Cxcr4	N.C.	1.5 + 0.4	N.C.	N.C.	N.C.	N.C.	N.C.
Inflammation	10	BM117900	double C2, beta	Doc2b	8.5 ± 0.6	N.C.	N.C.	N.C.	N.C.	N.C.	N.C.
Inflammation	10	D43775	endothelin 1	Edn1	2.8 ± 0.4	N.C.	-1.4	2.3 ± 0.4	N.C.	N.C.	N.C.
Inflammation	10	BB770914	endothelin receptor type B	Ednrb	N.C.	1.8 + 0.4	N.C.	N.C.	N.C.	N.C.	N.C.
Inflammation	10	BM224327	Fc receptor, IgG, low affinity IIb	Fcgr2b	1.5 ± 0.4	N.C.	N.C.	N.C.	1.7 + 0.4	N.C.	N.C.
Inflammation	10	U16959	FK506 binding protein 5	Fkbp5	7.2 ± 0.5	N.C.	N.C.	3.8 ± 0.4	N.C.	4.3 ± 0.5	N.C.
Inflammation	10	U05264	glycoprotein 49 A /// leukocyte immunoglobulin-like receptor, subfamily B, member 4	Gp49a /// Lilrb4	N.C.	N.C.	N.C.	N.C.	N.C.	1.5 ± 0.4	N.C.
Inflammation	10	NM_010376	histocompatibility 13	H13	N.C.	1.6 + 0.4	N.C.	N.C.	N.C.	N.C.	N.C.
Inflammation	10	M15848	histocompatibility 2, class II antigen A, beta 1	H2-Ab1	N.C.	1.8 + 0.4	N.C.	N.C.	N.C.	N.C.	N.C.
Inflammation	10	BC018402	Histocompatibility 2, D region locus 1	H2-Q1	1.8 ± 0.5	N.C.	N.C.	N.C.	N.C.	N.C.	N.C.
Inflammation	10	BC010602	histocompatibility 2, Q region locus 1 /// RIKEN cDNA 0610037M15 gene	H2-Q1 /// 0610037M15Rik	N.C.	1.7 + 0.4	N.C.	N.C.	N.C.	N.C.	N.C.
Inflammation	10	AK005204	histocompatibility 47	H47	1.5 ± 0.4	N.C.	N.C.	N.C.	N.C.	N.C.	N.C.
Inflammation	10	BC014739	IK cytokine	Ik	N.C.	1.6 + 0.4	N.C.	N.C.	N.C.	N.C.	N.C.
Inflammation	10	BB147462	inhibitor of kappaB kinase gamma	Ikbkg	1.7 ± 0.4	N.C.	1.9 + 0.4	1.6 ± 0.4	N.C.	1.9 ± 0.4	N.C.
Inflammation	10	AK010040	Interleukin 17 receptor	Il17r	1.6 ± 0.4	N.C.	N.C.	N.C.	N.C.	N.C.	N.C.
Inflammation	10	NM_008362	interleukin 1 receptor, type I	Il1r1	1.7 ± 0.4	N.C.	N.C.	N.C.	N.C.	N.C.	N.C.
Inflammation	10	NM_010555	interleukin 1 receptor, type II	Il1r2	8.2 ± 0.4	N.C.	N.C.	N.C.	N.C.	2.0 ± 0.4	N.C.
Inflammation	10	BE634648	Interleukin 2 receptor, beta chain	Il2rb	2.2 ± 0.4	N.C.	N.C.	N.C.	N.C.	N.C.	N.C.
Inflammation	10	AF000304	interleukin 4 receptor, alpha	Il4ra	3.1 ± 0.4	N.C.	N.C.	N.C.	N.C.	1.8 ± 0.4	N.C.
Inflammation	10	NM_031168	interleukin 6	Il6	26.4 ± 0.4	N.C.	N.C.	N.C.	N.C.	N.C.	N.C.
Inflammation	10	AA717838	interleukin 6 signal transducer	Il6st	N.C.	1.7 + 0.4	N.C.	N.C.	N.C.	N.C.	N.C.
Inflammation	10	NM_010583	IL2-inducible T-cell kinase	Itk	2.0 ± 0.4	N.C.	N.C.	N.C.	N.C.	N.C.	N.C.
Inflammation	10	NM_008879	lymphocyte cytosolic protein 1	Lcp1	N.C.	1.6 + 0.4	N.C.	N.C.	N.C.	N.C.	N.C.
Inflammation	10	NM_008879	lymphocyte cytosolic protein 1	Lcp1	N.C.	1.6 + 0.4	N.C.	N.C.	N.C.	N.C.	N.C.
Inflammation	10	AV360881	LPS-induced TN factor	Litaf	1.9 ± 0.4	N.C.	N.C.	N.C.	1.7 + 0.4	N.C.	N.C.
Inflammation	10	AW536901	linker of T-cell receptor pathways	Lnk	N.C.	1.5 + 0.4	N.C.	N.C.	N.C.	N.C.	N.C.
Inflammation	10	BC014865	leukotriene B4 12-hydroxydehydrogenase	Ltb4dh	2.3 ± 0.4	N.C.	N.C.	N.C.	N.C.	N.C.	N.C.
Inflammation	10	BM245572	lymphocyte antigen 6 complex, locus E	Ly6e	N.C.	1.6 + 0.4	N.C.	N.C.	N.C.	N.C.	N.C.
Inflammation	10	NM_013825	lymphocyte antigen 75	Ly75	N.C.	1.5 + 0.4	N.C.	N.C.	N.C.	N.C.	N.C.
Inflammation	10	NM_010762	myelin and lymphocyte protein, T-cell differentiation protein	Mal	2.2 ± 0.4	N.C.	N.C.	N.C.	N.C.	N.C.	N.C.
Inflammation	10	NM_010766	macrophage receptor with collagenous structure	Marco	N.C.	N.C.	N.C.	2.0 ± 0.4	N.C.	N.C.	1.9 + 0.5
Inflammation	10	AV334508	myocyte enhancer factor 2D	Mef2d	1.6 ± 0.4	N.C.	N.C.	N.C.	N.C.	N.C.	N.C.
Inflammation	10	AV069499	transmembrane protein induced by tumor necrosis factor alpha		1.8 ± 0.4	N.C.	N.C.	N.C.	N.C.	N.C.	N.C.
Inflammation	10	BM124348	Myeloid ecotropic viral integration site-related gene 1	Mrg1	N.C.	N.C.	N.C.	N.C.	N.C.	1.7 ± 0.4	N.C.
Inflammation	10	NM_008654	myeloid differentiation primary response gene 116	Myd116	2.9 ± 0.4	N.C.	N.C.	N.C.	N.C.	N.C.	N.C.
Inflammation	10	BC005591	myeloid differentiation primary response gene 88	Myd88	1.7 ± 0.4	N.C.	N.C.	N.C.	N.C.	N.C.	N.C.
Inflammation	10	AY061760	nuclear factor, interleukin 3, regulated	Nfil3	12.6 ± 0.6	N.C.	N.C.	N.C.	N.C.	N.C.	N.C.
Inflammation	10	NM_010907	nuclear factor of kappa light chain gene enhancer in B-cells inhibitor, alpha	Nfkbia	2.3 ± 0.4	N.C.	-1.3	N.C.	N.C.	N.C.	N.C.
Inflammation	10	AB026551	nuclear factor of kappa light polypeptide gene enhancer in B-cells inhibitor, zeta	Nfkbiz	1.8 ± 0.4	N.C.	1.9 + 0.4	N.C.	2.2 + 0.4	N.C.	N.C.
Inflammation	10	NM_008694	neutrophilic granule protein	Ngp	3.0 ± 0.5	N.C.	N.C.	N.C.	N.C.	N.C.	N.C.
Inflammation	10	AW987751	Natural killer tumor recognition sequence	Nktr	1.6 ± 0.4	N.C.	N.C.	N.C.	1.7 + 0.4	N.C.	N.C.
Inflammation	10	NM_008713	nitric oxide synthase 3, endothelial cell	Nos3	1.8 ± 0.4	N.C.	N.C.	N.C.	N.C.	N.C.	N.C.
Inflammation	10	AW989410	pre-B-cell colony-enhancing factor 1	Pbef1	2.8 ± 0.4	N.C.	N.C.	1.8 ± 0.4	N.C.	1.6 ± 0.4	N.C.
Inflammation	10	NM_033602	pellino 2	Peli2	1.8 ± 0.4	N.C.	N.C.	1.5 ± 0.4	N.C.	N.C.	N.C.
Inflammation	10	NM_008968	prostaglandin I2 (prostacyclin) synthase	Ptgis	N.C.	1.6 + 0.3	N.C.	N.C.	N.C.	N.C.	N.C.
Inflammation	10	M94967	prostaglandin-endoperoxide synthase 2	Ptgs2	8.5 ± 0.4	N.C.	N.C.	N.C.	N.C.	2.5 ± 0.4	N.C.
Inflammation	10	NM_008987	pentaxin related gene	Ptx3	4.9 ± 0.4	N.C.	N.C.	N.C.	N.C.	N.C.	N.C.
Inflammation	10	NM_011361	serum/glucocorticoid regulated kinase	Sgk	2.1 ± 0.4	N.C.	N.C.	N.C.	N.C.	N.C.	N.C.
Inflammation	10	NM_007706	suppressor of cytokine signaling 2	Socs2	N.C.	1.8 + 0.4	N.C.	N.C.	N.C.	N.C.	N.C.
Inflammation	10	NM_007707	suppressor of cytokine signaling 3	Socs3	5.6 ± 0.4	N.C.	-1.5	N.C.	N.C.	1.5 ± 0.4	N.C.
Inflammation	10	NM_018821	suppressor of cytokine signaling 6	Socs6	1.6 ± 0.3	N.C.	1.9 + 0.4	N.C.	N.C.	N.C.	N.C.
Inflammation	10	AF093620	stomatin	Stom	N.C.	1.6 + 0.4	N.C.	N.C.	N.C.	N.C.	N.C.
Inflammation	10	NM_009396	tumor necrosis factor, alpha-induced protein 2	Tnfaip2	1.9 ± 0.4	N.C.	N.C.	N.C.	N.C.	N.C.	N.C.
Inflammation	10	BM241351	tumor necrosis factor, alpha-induced protein 3	Tnfaip3	2.3 ± 0.4	N.C.	N.C.	N.C.	N.C.	N.C.	N.C.
Inflammation	10	NM_009398	tumor necrosis factor alpha induced protein 6	Tnfaip6	2.8 ± 0.4	N.C.	N.C.	N.C.	N.C.	N.C.	N.C.
Inflammation	10	NM_013749	tumor necrosis factor receptor superfamily, member 12a	Tnfrsf12a	2.6 ± 0.4	N.C.	N.C.	N.C.	N.C.	N.C.	N.C.
Inflammation	10	BG972377	tumor necrosis factor receptor superfamily, member 21	Tnfrsf21	N.C.	1.8 + 0.4	N.C.	N.C.	N.C.	N.C.	N.C.
Inflammation	10	AV377471	Tnf receptor-associated factor 6	Traf6	3.6 ± 0.4	N.C.	N.C.	N.C.	N.C.	N.C.	N.C.
Inflammation	10	BB834440	tripartite motif protein 16	Trim16	2.1 ± 0.4	N.C.	N.C.	N.C.	N.C.	N.C.	N.C.
Humoral Immune Response Genes	11	NM_009152	sema domain, immunoglobulin domain (Ig), short basic domain, secreted, (semaphorin) 3A	Sema3a	N.C.	1.5 + 0.4	N.C.	N.C.	N.C.	N.C.	N.C.
Humoral Immune Response Genes	11	NM_009153	sema domain, immunoglobulin domain (Ig), short basic domain, secreted, (semaphorin) 3B	Sema3b	N.C.	2.4 + 0.4	N.C.	N.C.	N.C.	N.C.	N.C.
Humoral Immune Response Genes	11	AF080090	sema domain, immunoglobulin domain (Ig), short basic domain, secreted, (semaphorin) 3 F	Sema3f	N.C.	2.3 + 0.4	N.C.	N.C.	N.C.	N.C.	N.C.
Humoral Immune Response Genes	11	AV174595	leucine-rich repeats and immunoglobulin-like domains 1	Lrig1	N.C.	2.0 + 0.5	N.C.	N.C.	N.C.	N.C.	N.C.
Humoral Immune Response Genes	11	AV174595	leucine-rich repeats and immunoglobulin-like domains 1	Lrig1	N.C.	2.0 + 0.5	N.C.	N.C.	N.C.	N.C.	N.C.
Humoral Immune Response Genes	11	NM_134051	immunoglobulin heavy chain (J558 family) /// similar to immunoglobulin heavy chain variable region /// similar to immunoglobulin mu-chain /// similar to anti-poly(dC) monoclonal antibody heavy chain	Igh-VJ558 /// LOC238447 /// LOC544903 /// LOC544907	N.C.	2.2 + 0.6	N.C.	N.C.	N.C.	N.C.	N.C.
Humoral Immune Response Genes	11	AK013775	immunoglobulin superfamily, member 4A	Igsf4a	N.C.	1.9 + 0.4	N.C.	N.C.	N.C.	N.C.	N.C.
Interferon Regulated Genes	12	NM_023065	interferon gamma inducible protein 30	Ifi30	N.C.	1.6 + 0.4	N.C.	N.C.	N.C.	N.C.	N.C.
Interferon Regulated Genes	12	BB531645	Interferon-related developmental regulator 1	Ifrd1	3.1 ± 0.5	N.C.	N.C.	1.7 ± 0.3	N.C.	1.8 ± 0.4	N.C.
Interferon Regulated Genes	12	NM_008391	interferon regulatory factor 2	Irf2	N.C.	1.6 + 0.4	N.C.	N.C.	N.C.	N.C.	N.C.
Interferon Regulated Genes	12	BB183385	interferon regulatory factor 2 binding protein 2	Irf2bp2	1.5 ± 0.4	N.C.	-1.8	N.C.	N.C.	N.C.	N.C.
Interferon Regulated Genes	12	BB183385	interferon regulatory factor 2 binding protein 2 /// similar to interferon regulatory factor 2 binding protein 2	Irf2bp2 /// LOC672960	N.C.	1.8 + 0.4	N.C.	N.C.	N.C.	N.C.	N.C.
Nrf2-relevant	13	NM_009644	aryl-hydrocarbon receptor repressor	Ahrr	N.C.	N.C.	N.C.	14.9 ± 0.5	N.C.	29.7 ± 0.5	N.C.
Nrf2-relevant	13	BC011080	aryl hydrocarbon receptor nuclear translocator-like	Arntl	4.4 ± 0.4	N.C.	6.1 + 0.4	N.C.	N.C.	N.C.	N.C.
Nrf2-relevant	13	BC019946	activating transcription factor 3	Atf3	5.1 ± 0.4	N.C.	N.C.	N.C.	N.C.	N.C.	N.C.
Nrf2-relevant	13	M94087	activating transcription factor 4	Atf4	2.1 ± 0.4	N.C.	N.C.	N.C.	N.C.	N.C.	N.C.
Nrf2-relevant	13	AB012278	CCAAT/enhancer binding protein (C/EBP), beta	Cebpb	2.8 ± 0.4	1.7 ± 0.4	N.C.	N.C.	N.C.	N.C.	1.5 + 0.4
Nrf2-relevant	13	BB831146	CCAAT/enhancer binding protein (C/EBP), delta	Cebpd	1.9 ± 0.4	N.C.	-1.2	1.9 ± 0.4	N.C.	N.C.	N.C.
Nrf2-relevant	13	BM239932	Casein kinase 1, alpha 1	Csnk1a1	1.5 ± 0.4	N.C.	N.C.	N.C.	N.C.	N.C.	N.C.
Nrf2-relevant	13	NM_139059	casein kinase 1, delta	Csnk1d	2.8 ± 0.4	1.9 ± 0.4	-1.3	N.C.	1.6 + 0.4	N.C.	N.C.
Nrf2-relevant	13	BE952001	casein kinase 1, epsilon	Csnk1e	1.7 ± 0.4	N.C.	N.C.	N.C.	N.C.	N.C.	N.C.
Nrf2-relevant	13	BM195380	casein kinase 1, gamma 3	Csnk1g3	1.6 ± 0.3	N.C.	N.C.	N.C.	N.C.	N.C.	N.C.
Nrf2-relevant	13	U34245	fos-like antigen 1	Fosl1	14.9 ± 1.0	N.C.	N.C.	N.C.	N.C.	N.C.	N.C.
Nrf2-relevant	13	BM245170	fos-like antigen 2	Fosl2	3.4 ± 0.4	N.C.	N.C.	1.5 ± 0.4	N.C.	N.C.	N.C.
Nrf2-relevant	13	NM_008416	Jun-B oncogene	Junb	3.4 ± 0.3	N.C.	N.C.	N.C.	1.7 + 0.4	N.C.	N.C.
Nrf2-relevant	13	BC022952	v-maf musculoaponeurotic fibrosarcoma oncogene family, protein F (avian)	Maff	9.6 ± 0.4	N.C.	N.C.	1.9 ± 0.4	N.C.	1.9 ± 0.4	N.C.
Nrf2-relevant	13	BB342453	v-maf musculoaponeurotic fibrosarcoma oncogene family, protein G (avian)	Mafg	2.2 ± 0.4	N.C.	N.C.	1.5 ± 0.4	N.C.	N.C.	N.C.
Nrf2-relevant	13	NM_010757	v-maf musculoaponeurotic fibrosarcoma oncogene family, protein K (avian)	Mafk	1.9 ± 0.4	N.C.	N.C.	N.C.	N.C.	N.C.	N.C.
Nrf2-relevant	13	AW046066	peroxisome proliferator activator receptor delta	Ppard	3.3 ± 0.4	N.C.	N.C.	N.C.	N.C.	N.C.	N.C.
Nrf2-relevant	13	AJ132394	RAR-related orphan receptor gamma	Rorc	N.C.	N.C.	N.C.	3.2 ± 0.4	N.C.	N.C.	N.C.
NADPH regenerating	14	NM_019468	glucose-6-phosphate dehydrogenase 2 /// glucose-6-phosphate dehydrogenase X-linked	G6pd2 /// G6pdx	2.1 ± 0.5	N.C.	N.C.	N.C.	2.2 + 0.5	1.8 ± 0.4	N.C.
NADPH regenerating	13	NM_008062	glucose-6-phosphate dehydrogenase X-linked	G6pdx	1.5 ± 0.4	N.C.	N.C.	N.C.	N.C.	1.9 ± 0.4	N.C.
NADPH regenerating	13	BB314208	Phosphogluconate dehydrogenase	Pgd	2.2 ± 0.4	N.C.	N.C.	1.5 ± 0.4	N.C.	1.9 ± 0.4	N.C.
Cell cycle, adh, prolif	15	BB283891	Septin 7	7-Sep	1.5 ± 0.4	N.C.	N.C.	N.C.	N.C.	N.C.	N.C.
Cell cycle, adh, prolif	15	BE853286	actinin, alpha 1	Actn1	N.C.	1.8 + 0.4	N.C.	N.C.	N.C.	N.C.	N.C.
Cell cycle, adh, prolif	15	BM208224	agrin	Agrn	N.C.	1.8 + 0.4	N.C.	N.C.	N.C.	N.C.	N.C.
Cell cycle, adh, prolif	15	BE628614	annexin A4	Anxa4	N.C.	1.8 + 0.4	N.C.	N.C.	N.C.	N.C.	N.C.
Cell cycle, adh, prolif	15	BC008997	annexin A7	Anxa7	N.C.	1.5 + 0.4	N.C.	N.C.	N.C.	N.C.	N.C.
Cell cycle, adh, prolif	15	BC004826	basal cell adhesion molecule	Bcam	N.C.	1.8 + 0.4	N.C.	N.C.	N.C.	N.C.	N.C.
Cell cycle, adh, prolif	15	BM250672	cyclin L1	Ccnl1	2.2 ± 0.4	N.C.	N.C.	N.C.	N.C.	N.C.	N.C.
Cell cycle, adh, prolif	15	BI872151	cyclin T2	Ccnt2	1.5 ± 0.4	N.C.	1.7 + 0.4	N.C.	1.6 + 0.4	N.C.	N.C.
Cell cycle, adh, prolif	15	C85100	cell cycle progression 1	Ccpg1	N.C.	1.6 + 0.4	N.C.	N.C.	N.C.	N.C.	N.C.
Cell cycle, adh, prolif	15	BB492440	CDC23 (cell division cycle 23, yeast, homolog)	Cdc23	N.C.	1.7 + 0.4	N.C.	N.C.	N.C.	N.C.	N.C.
Cell cycle, adh, prolif	15	BG070538	cell division cycle 2-like 5 (cholinesterase-related cell division controller)	Cdc2l5	3.4 ± 0.4	N.C.	N.C.	N.C.	N.C.	N.C.	N.C.
Cell cycle, adh, prolif	15	BF467211	cell division cycle 42 homolog (S. cerevisiae) /// similar to cell division cycle 42 homolog	Cdc42 /// LOC212710	3.2 ± 0.4	N.C.	N.C.	N.C.	N.C.	N.C.	N.C.
Cell cycle, adh, prolif	15	BG518726	Cdc42 binding protein kinase alpha	Cdc42bpa	N.C.	1.5 + 0.4	N.C.	N.C.	N.C.	N.C.	N.C.
Cell cycle, adh, prolif	15	BI154551	Cdc42 binding protein kinase beta	Cdc42bpb	N.C.	2.0 + 0.4	N.C.	N.C.	N.C.	N.C.	N.C.
Cell cycle, adh, prolif	15	BM205949	CUB domain containing protein 1	Cdcp1	1.5 ± 0.4	N.C.	N.C.	N.C.	N.C.	N.C.	N.C.
Cell cycle, adh, prolif	15	AK016527	cadherin 13	Cdh13	N.C.	2.3 + 0.5	N.C.	N.C.	N.C.	N.C.	N.C.
Cell cycle, adh, prolif	15	NM_009868	cadherin 5	Cdh5	N.C.	1.9 + 0.5	N.C.	N.C.	N.C.	N.C.	N.C.
Cell cycle, adh, prolif	15	NM_007669	cyclin-dependent kinase inhibitor 1A (P21)	Cdkn1a	45.9 ± 0.7	N.C.	N.C.	2.7 ± 0.4	N.C.	9.2 ± 0.7	N.C.
Cell cycle, adh, prolif	15	AF059567	cyclin-dependent kinase inhibitor 2B (p15, inhibits CDK4)	Cdkn2b	2.1 ± 0.4	N.C.	N.C.	N.C.	N.C.	N.C.	N.C.
Cell cycle, adh, prolif	15	M77196	CEA-related cell adhesion molecule 1	Ceacam1	1.7 ± 0.4	5.9 ± 0.6	N.C.	N.C.	1.7 + 0.4	N.C.	1.6 + 0.4
Cell cycle, adh, prolif	15	BB379166	cat eye syndrome chromosome region, candidate 2 homolog (human)	Cecr2	N.C.	N.C.	N.C.	N.C.	N.C.	1.6 ± 0.4	N.C.
Cell cycle, adh, prolif	15	AK007402	cell growth regulator with ring finger domain 1	Cgrrf1	N.C.	1.6 + 0.4	N.C.	N.C.	N.C.	N.C.	N.C.
Cell cycle, adh, prolif	15	AW554231	claudin 12	Cldn12	N.C.	1.6 + 0.4	N.C.	N.C.	N.C.	N.C.	N.C.
Cell cycle, adh, prolif	15	AF349453	claudin 18	Cldn18	N.C.	2.2 + 0.4	N.C.	N.C.	N.C.	N.C.	N.C.
Cell cycle, adh, prolif	15	AF033565	CDC-like kinase 3	Clk3	1.6 ± 0.4	N.C.	N.C.	N.C.	N.C.	N.C.	N.C.
Cell cycle, adh, prolif	15	AV152288	clusterin	Clu	N.C.	1.7 + 0.4	N.C.	N.C.	N.C.	N.C.	N.C.
Cell cycle, adh, prolif	15	NM_007615	catenin (cadherin associated protein), delta 1	Ctnnd1	N.C.	1.7 + 0.4	N.C.	N.C.	N.C.	N.C.	N.C.
Cell cycle, adh, prolif	15	BB795072	dedicator of cytokinesis 9 /// similar to Dedicator of cytokinesis protein 9 (Cdc42 guanine nucleotide exchange factor zizimin 1)	Dock9 /// LOC670309	N.C.	1.8 + 0.4	N.C.	N.C.	N.C.	N.C.	N.C.
Cell cycle, adh, prolif	15	BG092030	desmoglein 2	Dsg2	N.C.	1.8 + 0.4	N.C.	N.C.	N.C.	N.C.	N.C.
Cell cycle, adh, prolif	15	D38146	ephrin A1	Efna1	N.C.	2.0 + 0.4	N.C.	N.C.	N.C.	N.C.	N.C.
Cell cycle, adh, prolif	15	NM_010110	ephrin B1	Efnb1	1.7 ± 0.4	1.6 ± 0.4	-1.3	N.C.	N.C.	N.C.	N.C.
Cell cycle, adh, prolif	15	U30244	ephrin B2	Efnb2	N.C.	2.3 + 0.4	N.C.	N.C.	N.C.	N.C.	N.C.
Cell cycle, adh, prolif	15	BG064842	embigin	Emb	1.5 ± 0.4	N.C.	N.C.	N.C.	N.C.	N.C.	N.C.
Cell cycle, adh, prolif	15	NM_007932	endoglin (proliferation)	Eng	N.C.	1.5 + 0.4	N.C.	N.C.	N.C.	N.C.	N.C.
Cell cycle, adh, prolif	15	NM_010139	Eph receptor A2	Epha2	2.7 ± 0.4	N.C.	N.C.	N.C.	N.C.	N.C.	N.C.
Cell cycle, adh, prolif	15	AF361882	endothelial cell-specific adhesion molecule	Esam1	N.C.	1.5 + 0.4	N.C.	N.C.	N.C.	N.C.	N.C.
Cell cycle, adh, prolif	15	BC015076	epithelial V-like antigen	Eva	2.6 ± 0.4	N.C.	N.C.	N.C.	N.C.	N.C.	N.C.
Cell cycle, adh, prolif	15	BC015076	epithelial V-like antigen 1	Eva1	3.8 ± 0.4	N.C.	N.C.	1.5 ± 0.4	N.C.	2.3 ± 0.4	N.C.
Cell cycle, adh, prolif	15	BE945486	fibronectin leucine rich transmembrane protein 3	Flrt3	1.6 ± 0.4	N.C.	N.C.	N.C.	N.C.	N.C.	N.C.
Cell cycle, adh, prolif	15	AK017338	formin-like 2	Fmnl2	1.7 ± 0.4	N.C.	N.C.	1.6 ± 0.4	N.C.	N.C.	N.C.
Cell cycle, adh, prolif	15	BC004724	fibronectin 1	Fn1	N.C.	1.5 + 0.4	N.C.	N.C.	N.C.	N.C.	N.C.
Cell cycle, adh, prolif	15	M63801	gap junction membrane channel protein alpha 1	Gja1	N.C.	1.7 + 0.4	N.C.	N.C.	N.C.	N.C.	N.C.
Cell cycle, adh, prolif	15	AV148957	gap junction membrane channel protein alpha 7	Gja7	N.C.	6.8 + 0.6	N.C.	N.C.	N.C.	N.C.	N.C.
Cell cycle, adh, prolif	15	BC016507	gap junction membrane channel protein beta 6	Gjb6	2.4 ± 0.4	N.C.	N.C.	N.C.	N.C.	2.6 ± 0.5	-1.4
Cell cycle, adh, prolif	15	NM_020567	geminin	Gmnn	3.3 ± 0.4	N.C.	N.C.	1.5 ± 0.4	N.C.	1.8 ± 0.3	N.C.
Cell cycle, adh, prolif	15	AW537663	G1 to S phase transition 1	Gspt1	1.9 ± 0.3	N.C.	N.C.	N.C.	1.8 + 0.4	N.C.	N.C.
Cell cycle, adh, prolif	15	NM_013565	integrin alpha 3	Itga3	N.C.	6.8 + 0.4	N.C.	N.C.	N.C.	N.C.	N.C.
Cell cycle, adh, prolif	15	BM935811	integrin alpha 6	Itga6	1.5 ± 0.4	N.C.	-2.2	N.C.	N.C.	N.C.	N.C.
Cell cycle, adh, prolif	15	BB623587	integrin alpha 8	Itga8	N.C.	2.0 + 0.4	N.C.	N.C.	N.C.	N.C.	N.C.
Cell cycle, adh, prolif	15	NM_021334	integrin alpha X	Itgax	N.C.	1.5 + 0.4	N.C.	N.C.	N.C.	N.C.	N.C.
Cell cycle, adh, prolif	15	BB236218	integrin beta 1 (fibronectin receptor beta)	Itgb1	1.6 ± 0.4	N.C.	N.C.	N.C.	N.C.	N.C.	N.C.
Cell cycle, adh, prolif	15	AK003906	integrin beta 1 binding protein 2	Itgb1bp2	N.C.	N.C.	N.C.	N.C.	N.C.	1.7 ± 0.4	N.C.
Cell cycle, adh, prolif	15	BG976138	integrin beta 4 binding protein	Itgb4bp	2.1 ± 0.4	N.C.	N.C.	N.C.	N.C.	N.C.	N.C.
Cell cycle, adh, prolif	15	NM_010580	integrin beta 5	Itgb5	N.C.	1.7 + 0.4	N.C.	N.C.	N.C.	N.C.	N.C.
Cell cycle, adh, prolif	15	BC004806	junction adhesion molecule 4	Jam4	1.5 ± 0.3	N.C.	N.C.	N.C.	N.C.	N.C.	N.C.
Cell cycle, adh, prolif	15	BC026605	jumonji domain containing 1A	Jmjd1a	2.1 ± 0.4	N.C.	N.C.	N.C.	N.C.	N.C.	N.C.
Cell cycle, adh, prolif	15	BI525123	junction plakoglobin	Jup	N.C.	1.7 + 0.4	N.C.	N.C.	N.C.	N.C.	N.C.
Cell cycle, adh, prolif	15	NM_010760	mago-nashi homolog, proliferation-associated (Drosophila)	Magoh	1.6 ± 0.4	N.C.	N.C.	N.C.	N.C.	N.C.	N.C.
Cell cycle, adh, prolif	15	NM_013592	matrilin 4	Matn4	N.C.	1.7 + 0.4	N.C.	N.C.	N.C.	N.C.	N.C.
Cell cycle, adh, prolif	15	BG068971	Muskelin 1, intracellular mediator containing kelch motifs	Mkln1	2.0 ± 0.4	N.C.	N.C.	N.C.	N.C.	N.C.	N.C.
Cell cycle, adh, prolif	15	BC008161	M phase phosphoprotein 6	Mphosph6	1.9 ± 0.4	N.C.	N.C.	N.C.	N.C.	N.C.	N.C.
Cell cycle, adh, prolif	15	NM_013610	ninjurin 1	Ninj1	2.0 ± 0.4	N.C.	2.6 + 0.4	N.C.	N.C.	N.C.	N.C.
Cell cycle, adh, prolif	15	AW554925	Nipped-B homolog (Drosophila)	Nipbl	1.7 ± 0.4	N.C.	-1.3	N.C.	N.C.	N.C.	N.C.
Cell cycle, adh, prolif	15	BB025231	nischarin	Nisch	1.5 ± 0.4	N.C.	-1.4	N.C.	-1.2	N.C.	N.C.
Cell cycle, adh, prolif	15	AW543460	par-3 (partitioning defective 3) homolog (C. elegans)	Pard3	1.5 ± 0.4	N.C.	N.C.	N.C.	N.C.	N.C.	N.C.
Cell cycle, adh, prolif	15	BE953582	par-6 (partitioning defective 6) homolog beta (C. elegans)	Pard6b	2.4 ± 0.4	1.7 ± 0.4	-1.3	N.C.	N.C.	N.C.	N.C.
Cell cycle, adh, prolif	15	AK008111	protocadherin 1	Pcdh1	N.C.	2.3 + 0.4	N.C.	N.C.	N.C.	N.C.	N.C.
Cell cycle, adh, prolif	15	BQ176938	protocadherin 17	Pcdh17	N.C.	1.6 + 0.4	N.C.	N.C.	N.C.	N.C.	N.C.
