Gene symbol	Chromosomal location	Gene name	Cell line	Fold change
PPL	16p13.3	periplakin	MM1, U266, NCI-H929	23.3, 49.6, 27.4
PPM1E	17q23.2	protein phosphatase 1E (PP2C domain containing)	U266	18.5
PPP2R3B	Xp22.33; Yp11.3	protein phosphatase 2 (formerly 2A), regulatory subunit B, beta	U266	11.4
PRKAR2B	7q22	protein kinase, cAMP-dependent, regulatory, type II, beta	MM1, U266, NCI-H929	6.6, 9.6, 6.4
PRKCB1	16p11.2	protein kinase C, beta 1	MM1, NCI-H929	4.6, 12.3
PRPH	12q12-q13	peripherin	U266	14.3
PRSS2	7q34	protease, serine, 2 (trypsin 2)	U266	5.7
PSAP	10q21-q22	prosaposin (variant Gaucher disease and variant metachromatic leukodystrophy)	NCI-H929	5.2
PTD015	11q13.5	PTD015 protein	NCI-H929	5.7
PTGER4	5p13.1	prostaglandin E receptor 4 (subtype EP4)	MM1	12.1
PTK2	8q24-qter	PTK2 protein tyrosine kinase 2	MM1	17.4
PYY	17q21.1	peptide YY	U266	35.9
RAB13	1q21.2	RAB13, member RAS oncogene family	U266	9.4
RAB6IP1	11p15.4	RAB6 interacting protein 1	U266	15.8
RAI2	Xp22	retinoic acid induced 2	NCI-H929	11.2
RASGRP2	11q13	RAS guanyl releasing protein 2 (calcium and DAG-regulated)	U266	7.7
RBM9	22q13.1	RNA binding motif protein 9	U266	6.9
RCN3	19q13.33	reticulocalbin 3, EF-hand calcium binding domain	MM1	24.8
RHCE	1p36.11	Rhesus blood group, CcEe antigens	U266, NCI-H929	8.3, 10.8
RHOB	2p24	ras homolog gene family, member B	U266	14.9
RIS1	3p21.3	Ras-induced senescence 1	MM1, U266	19.1, 22.0
RNF128	Xq22.3	ring finger protein 128	MM1, NCI-H929	4.3, 10.6
RNU2	17q12-q21	RNA, U2 small nuclear	U266, NCI-H929	27.6, 21.1
	6p25	tubulin, beta polypeptide paralog	U266	39.8
RPIB9	7q21.12	Rap2-binding protein 9	U266, NCI-H929	29.7, 15.0
RPS20	8q12	Ribosomal protein S20	NCI-H929	12.3
RPS6KA2	6q27	ribosomal protein S6 kinase, 90kDa, polypeptide 2	NCI-H929	8.3
RRAD	16q22	Ras-related associated with diabetes	U266	8.5
RRAS	19q13.3-qter	related RAS viral (r-ras) oncogene homolog	MM1, NCI-H929	4.9, 6.8
RRBP1	20p12	Ribosome binding protein 1 homolog 180kDa (dog)	U266	8.7
RTN2	19q13.32	reticulon 2	MM1, NCI-H929	6.4, 7.2
S100A4	1q21	S100 calcium binding protein A4 (calcium protein, calvasculin, metastasin, murine placental homolog)	MM1	12.9
SART2	6q22	squamous cell carcinoma antigen recognized by T cells 2	NCI-H929	5.4
SAT	Xp22.1	spermidine/spermine N1-acetyltransferase	U266, NCI-H929	11.8, 115.6
SCP2	1p32	Sterol carrier protein 2	U266	12
SDC4	20q12	syndecan 4 (amphiglycan, ryudocan)	MM1	6.4
SEPP1	5q31	selenoprotein P, plasma, 1	MM1	5.1
4-Sep	17q22-q23	septin 4	MM1, NCI-H929	4.9, 8.5
SERPINB5	18q21.3	serine (or cysteine) proteinase inhibitor, clade B (ovalbumin), member 5	U266	20
SERPINE2	2q33-q35	serine (or cysteine) proteinase inhibitor, clade E (nexin, plasminogen activator inhibitor type 1), member 2	MM1	4.5
SERPINF1	17p13.1	serine (or cysteine) proteinase inhibitor, clade F (alpha-2 antiplasmin, pigment epithelium derived factor), member 1	U266	10.2
SERPINI1	3q26.1	serine (or cysteine) proteinase inhibitor, clade I (neuroserpin), member 1	MM1, U266, NCI-H929	7.6, 11.5, 17.9
SFXN3	10q24.32	sideroflexin 3	U266	9
SGKL	8q12.3-8q13.1	serum/glucocorticoid regulated kinase-like	NCI-H929	70.4
SH3BGR	21q22.3	SH3 domain binding glutamic acid-rich protein	NCI-H929	13.9
SH3GL3	15q24	SH3-domain GRB2-like 3	U266, NCI-H929	10.7, 7.4
SILV	12q13-q14	silver homolog (mouse)	MM1, NCI-H929	10.0, 7.5
SLC12A8	3q21.2	solute carrier family 12 (potassium/chloride transporters), member 8	MM1, NCI-H929	9.7, 15.4
SLC16A3	17q25	solute carrier family 16 (monocarboxylic acid transporters), member 3	U266	11.6
SLC16A4	1p13.3	solute carrier family 16 (monocarboxylic acid transporters), member 4	U266	54.6
SLC17A7	19q13	solute carrier family 17 (sodium-dependent inorganic phosphate cotransporter), member 7	MM1, NCI-H929	10.5, 12.7
SLC25A31	4q28.1	solute carrier family 25 (mitochondrial carrier; adenine nucleotide translocator), member 31	U266	6.2
SLC4A8	12q13	solute carrier family 4, sodium bicarbonate cotransporter, member 8	MM1	8.1
SLC6A8	Xq28	solute carrier family 6 (neurotransmitter transporter, creatine), member 8	MM1, U266	13.3, 26.3
SLC9A1	1p36.1-p35	solute carrier family 9 (sodium/hydrogen exchanger), isoform 1 (antiporter, Na+/H+, amiloride sensitive)	NCI-H929	10.1
SMARCD3	7q35-q36	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily d, member 3	NCI-H929	6.7
SMPD3	16q22.1	sphingomyelin phosphodiesterase 3, neutral membrane (neutral sphingomyelinase II)	U266	7.6
SNAI1	20q13.1-q13.2	snail homolog 1 (Drosophila)	U266	17.7
SNAP23	15q15.1	synaptosomal-associated protein, 23kDa	NCI-H929	17.7
SNAP25	20p12-p11.2	synaptosomal-associated protein, 25kDa	MM1	9.5
SORBS1	10q23.3-q24.1	sorbin and SH3 domain containing 1	NCI-H929	53.2
SORT1	1p21.3-p13.1|1p21.3-p13.1	sortilin 1	NCI-H929	12.1
SOX4	6p22.3	SRY (sex determining region Y)-box 4	U266	33.7
SPAG6	10p12.2	sperm associated antigen 6	U266	10.3
SPAG9	17q21.33	sperm associated antigen 9	MM1, U266, NCI-H929	4.6, 4.6, 4.4
SPIB	19q13.3-q13.4	Spi-B transcription factor (Spi-1/PU.1 related)	MM1	12.7
SPINK2	4q12	serine protease inhibitor, Kazal type 2 (acrosin-trypsin inhibitor)	MM1, NCI-H929	9.0, 7.5
SPP1	4q21-q25	secreted phosphoprotein 1 (osteopontin, bone sialoprotein I, early T-lymphocyte activation 1)	MM1, NCI-H929	5.0, 10.6
SPTLC2	14q24.3-q31	serine palmitoyltransferase, long chain base subunit 2	NCI-H929	9.1
SQSTM1	5q35	sequestosome 1	NCI-H929	8.7
SSX1	Xp11.23-p11.22	synovial sarcoma, X breakpoint 1	NCI-H929	17
SSX2	Xp11.23-p11.22	synovial sarcoma, X breakpoint 2	MM1, NCI-H929	20.4, 21.2
SSX3	Xp11.23	synovial sarcoma, X breakpoint 3	NCI-H929	11
STAT1	2q32.2	signal transducer and activator of transcription 1, 91kDa	NCI-H929	8.6
STAT3	17q21.31	signal transducer and activator of transcription 3 (acute-phase response factor)	MM1	4.6
SWAP70	11p15	SWAP-70 protein	NCI-H929	7.4
SYN1	Xp11.23	synapsin I	MM1, NCI-H929	24.9, 66.9
SYT1	Xp11.23	synapsin I	NCI-H929	66.9
SYT11	1q21.2	synaptotagmin XI	NCI-H929	13.9
TAC1	7q21-q22	tachykinin, precursor 1	U266	23.9
TADA3L	3p25.3	transcriptional adaptor 3 (NGG1 homolog, yeast)-like	MM1	8.3
TAOK3	12q	TAO kinase 3	U266, NCI-H929	6.1, 4.8
TFAP2C	20q13.2	transcription factor AP-2 gamma (activating enhancer binding protein 2 gamma)	NCI-H929	6.1
TFEC	7q31.2	transcription factor EC	U266	6.1
TFPI	2q31-q32.1	Tissue factor pathway inhibitor (lipoprotein-associated coagulation inhibitor)	MM1, NCI-H929	6.7, 64.9
TFPI2	7q22	tissue factor pathway inhibitor 2	U266	16
TFRC	3q29	transferrin receptor (p90, CD71)	MM1	5.4
TIMP1	Xp11.3-p11.23	tissue inhibitor of metalloproteinase 1 (erythroid potentiating activity, collagenase inhibitor)	U266	5
TIMP3	22q12.1-q13.2|22q12.3	tissue inhibitor of metalloproteinase 3 (Sorsby fundus dystrophy, pseudoinflammatory)	U266	17.1
TKTL1	Xq28	transketolase-like 1	MM1, U266, NCI-H929	147.4, 195.8, 210.0
TLE4	9q21.31	transducin-like enhancer of split 4 (E(sp1) homolog, Drosophila)	MM1	6.5
TLN2	15q15-q21	talin 2	U266	9
TM4SF13	7p21.1	Tetraspanin 13	MM1, NCI-H929	6.4, 23.1
TMEM47	Xp11.4	transmembrane protein 47	NCI-H929	12.2
TMOD1	9q22.3	tropomodulin 1	U266	20.3
TMSL8	Xq21.33-q22.3	thymosin-like 8	U266	5.9
TNRC9	16q12.1	trinucleotide repeat containing 9	MM1, NCI-H929	18.8, 29.3
TOP2A	17q21-q22	topoisomerase (DNA) II alpha 170kDa	MM1	6.1
TPM1	15q22.1	tropomyosin 1 (alpha)	U266	6.4
TRIP6	7q22	thyroid hormone receptor interactor 6	U266	13.8
TROAP	12q13.12	trophinin associated protein (tastin)	MM1	4.4
TSPAN12	7q31.31	tetraspanin 12	NCI-H929	8.2
TST	22q13.1	thiosulfate sulfurtransferase (rhodanese)	MM1, U266	7.0, 11.0
TTLL1	22q13.1	tubulin tyrosine ligase-like family, member 1	NCI-H929	7.5
TUBA3	12q12-12q14.3	tubulin, alpha 3	MM1	7.2
TUBB2	6p25	tubulin, beta 2	MM1, U266, NCI-H929	11.9, 37.4, 14.4
TUBB3	16q24.3	tubulin, beta 3	MM1, NCI-H929	5.2, 4.9
TUBB4	19p13.3	tubulin, beta 4	MM1	5.3
TUBB6	18p11.21	tubulin, beta 6	U266	5.1
TUBG1	17q21	tubulin, gamma 1	MM1	5.6
TUFT1	1q21	tuftelin 1	NCI-H929	12.6
TULP3	12p13.3	tubby like protein 3	MM1	6
TXNIP	1q21.1	thioredoxin interacting protein	MM1, NCI-H929	12.4, 17.7
TXNRD3	3p13-q13.33	thioredoxin reductase 3	U266	15.4
UBD	6p21.3	ubiquitin D	MM1	15.8
UBE2S	19q13.43	ubiquitin-conjugating enzyme E2S	MM1	5
ULBP2	6q25	UL16 binding protein 2	U266	15.4
UNC119	17q11.2	unc-119 homolog (C. elegans)	U266	11.8
VCX	Xp22	variable charge, X-linked	NCI-H929	6.1
WASF1	6q21-q22	WAS protein family, member 1	U266	5.4
WBP5	Xq22.2	WW domain binding protein 5	U266	6
WDR7	18q21.1-q22	WD repeat domain 7	MM1	5.5
WIG1	3q26.3-q27	p53 target zinc finger protein	NCI-H929	5.9
ZCCHC14	16q24.2	zinc finger, CCHC domain containing 14	NCI-H929	4.5
ZNF10	12q24.33	zinc finger protein 10	NCI-H929	9.3
ZNF238	1q44-qter	zinc finger protein 238	U266	5.3
ZNF297B	9p24.1-q22.33	zinc finger protein 297B	NCI-H929	7
ZNF556	19p13.3	zinc finger protein 556	U266	8.9
ZNF557	19p13.2	zinc finger protein 557	NCI-H929	9.2
ZYG11BL	9q34.11	zyg-11 homolog B (C. elegans)-like	U266, NCI-H929	8.5, 14.1
