Locus	Gene name	Acc number	Fold changea
20248	serine (or cysteine) proteinase inhibitor, clade B, member 4	NM_009126	3.13
18183	neuregulin 3	NM_008734	3.15
140781	myosin, heavy polypeptide 7, cardiac muscle, beta	NM_080728	3.19
72902	sparc/osteonectin, cwcv and kazal-like domains proteoglycan 3	NM_023689	3.21
16832	lactate dehydrogenase 2, B chain	AV219418	3.22
15500	heat shock factor 2	BC018414	3.24
22431	Wilms tumor homolog	M55512	3.25
211135	alpha-N-acetylneuraminyl 2,3-betagalactosyl-1,3-N-acetyl galactosaminide alpha-2,6-sialyltransferase D	BG065705	3.25
12823	procollagen, type XIX, alpha 1	NM_007733	3.28
22700	zinc finger protein 40	NM_009555	3.28
12575	cyclin-dependent kinase inhibitor 1A (P21)	NM_007669	3.3
15245	Hedgehog-interacting protein	NM_020259	3.34
80720	pre-B-cell leukemia transcription factor 4	BE951484	3.53
216616	epidermal growth factor-containing fibulin-like extracellular matrix protein 1	BC023060	3.53
108083	phosphatidylinositol-4-phosphate 5-kinase, type II, beta	BB143008	3.61
26942	sperm associated antigen 1	NM_012031	3.75
268395	N-methylpurine-DNA glycosylase	BC014754	3.79
20527	solute carrier family 2 (facilitated glucose transporter), member 3	BB414515	3.8
11922	neurogenic differentiation 6	NM_009717	3.98
18053	nerve growth factor receptor	BI151406	4.24
20528	solute carrier family 2 (facilitated glucose transporter), member 4	AB008453	4.51
17883	myosin, heavy polypeptide 3, skeletal muscle, embryonic	M74753	4.89
19300	ATP-binding cassette, sub-family D (ALD), member 4	NM_008992	5.04
26439	pregnancy specific glycoprotein 19	NM_011964	5.4
18640	6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 2	NM_008825	5.51
93966	hemogen	NM_053149	6.46
170772	glucocorticoid induced transcript 1	AF374476	6.71
12369	caspase 7	NM_007611	6.91
15401	homeo box A4	AV206827	7.15
12638	cystic fibrosis transmembrane conductance regulator homolog	X72693	7.16
80782	killer cell lectin-like receptor subfamily B member 1D	AF324826	7.44
23880	FYN binding protein	BB157866	7.48
64058	p53 apoptosis effector related to Pmp22 (Perp)	NM_022032	7.61
13491	dopamine receptor 4	NM_007878	9.85
53324	neuronal pentraxin 2	BC026054	10.21
104099	integrin alpha 9	NM_133721	13.72
15485	hydroxysteroid (17-beta) dehydrogenase 1	NM_010475	18.23
11936	FXYD domain-containing ion transport regulator 2	NM_052824	21.83
