#Clone ID	Gene Symbol	Unigene ID	Genomic Data	Expression Data (Ratio huT78/PanT)	log2(Genomic Data)	log2(Expression Data)
hAB2396	HSA250839	Hs.58241	1.484	0.277	0.569	-1.854
hAD9027	-	Hs.6983	0.934	0.736	-0.099	-0.443
hAA0380	AFAP	Hs.80306		2.228		1.156
hAB4176	HS3ST1	Hs.40968	1.916	1.779	0.938	0.831
hAD9970	BAPX1	Hs.105941	1.582	0.574	0.662	-0.8
hAA8003	BST1	Hs.169998	1.398	0.91	0.483	-0.136
hAA3062	FBXL5	Hs.5548	1.359	0.069	0.443	-3.849
hAB6847	HBP17	Hs.1690	1.276	1.899	0.352	0.925
hAA2693	LDB2	Hs.4980	1.57	1.186	0.651	0.246
hAD5142	KIAA1276	Hs.182585		0.526		-0.926
hAB6390	SLC2A9	Hs.95497	1.517	0.909	0.601	-0.138
hAA7455	PPARGC1	Hs.198468	1.357	0.621	0.44	-0.687
hAB6960	SOD3	Hs.2420	1.673	0.824	0.742	-0.28
hAA7518	SOD3	Hs.2420	1.694	1.159	0.76	0.213
hAB5007	PCDH7	Hs.34073		0.365		-1.454
hAA1044	ARHH	Hs.109918		0.687		-0.541
hAA8402	UCHL1	Hs.76118	1.177	0.804	0.235	-0.315
hAD1257	ATP8A1	Hs.144931	1.564	0.426	0.645	-1.23
hAD8515	FLJ10525	Hs.31082	1.226	1.366	0.294	0.45
hAB8940	KIAA0826	Hs.169600		0.947		-0.079
hAB7155	TEC	Hs.89656		0.299		-1.741
hAE0318	TXK	Hs.29877	1.391	0.262	0.476	-1.933
hAA1949	SGCB	Hs.77501	1.443	0.905	0.529	-0.144
hAC8956	SGCB	Hs.77501		0.526		-0.927
hAC4975	DKFZP586K0717	Hs.334812	1.604	1.889	0.682	0.918
hAA4788	LNX	Hs.66295		0.26		-1.943
hAA5074	PDGFRA	Hs.74615	1.007		0.01
hAA0019	KIT	Hs.81665	1	0.535	0	-0.902
hAA5016	KIT	Hs.81665		0.452		-1.145
hAA0289	KDR	Hs.12337		0.436		-1.198
hAA8249	ADE2H1	Hs.117950	1.205	3.541	0.269	1.824
hAC0497	SMAP31	Hs.13775	0.948	0.317	-0.077	-1.658
hAA0727	REST	Hs.227630	0.81	1.254	-0.304	0.327
hAD9137	-	Hs.121128	0.838	0.968	-0.255	-0.046
hAA1176	DCK	Hs.709		0.135		-2.886
hAA8277	IL8	Hs.624	1.456	2.142	0.542	1.099
hAD1856	SCYB6	Hs.164021	0.717	0.41	-0.48	-1.285
hAA8990	GRO1	Hs.789	0.616	0.744	-0.699	-0.427
hAA7286	GRO1	Hs.789	0.855	0.644	-0.226	-0.636
hAA2310	PPBP	Hs.2164		0.646		-0.629
hAE0262	SCYB5	Hs.89714	1.4	0.824	0.485	-0.279
hAC8078	GRO3	Hs.89690		0.355		-1.495
hAB6884	EREG	Hs.115263	1.112	0.617	0.153	-0.696
hAB6728	AREG	Hs.270833	0.982	0.523	-0.026	-0.934
hAB8541	CCNI	Hs.79933	1.391	1.003	0.476	0.004
hAA0901	CCNG2	Hs.79069		0.393		-1.347
hAA7759	MRPL1	Hs.283693		2.168		1.116
hAE0310	ANXA3	Hs.1378	1.096	0.81	0.132	-0.305
hAE0268	SCYB11	Hs.103982	1.239	1.001	0.309	0.002
hAA2205	MIG	Hs.77367	0.845	2.471	-0.243	1.305
hAD9980	CDKL2	Hs.158512	1.076	2.318	0.106	1.213
hAB4520	FGF5	Hs.37055	1.366	0.441	0.45	-1.182
hAB1213	FLJ21032	Hs.247474	1.065	1.312	0.091	0.392
hAA0766	MAPK10	Hs.151051	1.137	1.187	0.185	0.248
hAC2642	NUDT9	Hs.301789	0.823	0.917	-0.281	-0.124
hAA2157	SPARCL1	Hs.75445		0.57		-0.812
hAB7103	SPP1	Hs.313	0.794	0.252	-0.333	-1.991
hAA1547	NFKB1	Hs.83428	1.273	0.989	0.348	-0.016
hAA8159	PPP3CA	Hs.272458	0.96	0.788	-0.059	-0.344
hAC3129	PPP3CA	Hs.272458	1.615	1.046	0.692	0.065
hAA6302	PPP3CA	Hs.272458		0.555		-0.85
hAB9605	ADH1B	Hs.4	1.244	0	0.315
hAE0874	-	Hs.73843	2.184	1.554	1.127	0.636
hAE0291	BMPR1B	Hs.87223	1.027	0.691	0.038	-0.534
hAA9324	SID6-306	Hs.5123		0.533		-0.907
hAA0645	SCYE1	Hs.333513	1.321	1.357	0.402	0.44
hAE0540	PAPSS1	Hs.3833	1.138	2.642	0.187	1.401
hAB9224	DC2	Hs.103180	1.341	1.776	0.423	0.828
hAA8529	CASP6	Hs.3280	1.157	1.397	0.21	0.482
hAB5522	PLA2G12	Hs.25206		0.828		-0.273
hAB3930	MGC5487	Hs.211556	1.056	0.893	0.079	-0.163
hAB5235	APG-1	Hs.71992	1.223	0.453	0.29	-1.142
hAA7676	FGF2	Hs.284244	0.96	0.67	-0.059	-0.577
hAA2246	FGF2	Hs.284244	1.654	1.227	0.726	0.295
hAB7101	SPRY1	Hs.88044		0.605		-0.725
hAA2477	CS-1	Hs.42346	1.271	0.556	0.346	-0.847
hAA9505	-	Hs.173705	1.359	0.537	0.443	-0.897
hAA1726	MAD2L1	Hs.79078	1.221	4.033	0.288	2.012
hAA9147	ANXA5	Hs.300711	1.126	0.794	0.171	-0.334
hAA2044	CCNA2	Hs.85137	1.089	2.934	0.123	1.553
hAA2304	CCNA2	Hs.85137	1.524	6.525	0.608	2.706
hAD5325	OSAP	Hs.154140	1.355	0.443	0.438	-1.174
hAA0785	GAB1	Hs.239706	1.458	0.567	0.544	-0.819
hAB0925	SMARCA5	Hs.9456		0.646		-0.63
hAB5450	SMARCA5	Hs.9456		0.222		-2.173
hAA8280	IL15	Hs.168132	0.949	0.918	-0.076	-0.124
hAB7013	MADH1	Hs.79067		0.583		-0.78
hAA0711	LRBA	Hs.62354	1.071	0.566	0.099	-0.82
hAB5226	SFRP2	Hs.31386	1.177	1.38	0.235	0.464
hAA2463	FGG	Hs.75431	2.114	0.709	1.08	-0.495
hAA4797	CTSO	Hs.75262	2.313	0.266	1.21	-1.912
chAB0336	PPID	Hs.143482		0.659		-0.601
hAC3101	AD036	Hs.21941	1.212	0.341	0.277	-1.551
hAC8303	GK	Hs.1466	1.123	1.477	0.167	0.563
hAC8945	ANXA10	Hs.188401	1.267		0.341
hAB0668	FBXO8	Hs.76917		2.589		1.373
hAA0338	VEGFC	Hs.79141	1.245	1	0.316	0
hAA5369	IRF2	Hs.83795	1.315	0.858	0.395	-0.221
hAA0296	IRF2	Hs.83795	1.384	0.696	0.469	-0.522
hAA0654	CASP3	Hs.74552	0.806	1.302	-0.311	0.381
hAA2276	DCTD	Hs.76894	1.403	1.916	0.489	0.938
hAB4759	DCTD	Hs.76894	1.601	2.014	0.679	1.01
hAA5307	DCTD	Hs.76894		2.363		1.241
hAA6394	FLJ23468	Hs.38178		2.656		1.409
hAE0143	-	Hs.107153	1.645	0.576	0.718	-0.795
hAA2158	FAT	Hs.166994	1.357	1.056	0.44	0.078
hAC1066	ALP	Hs.135281	1.185	1.357	0.245	0.44
hAB0897	ARGBP2	Hs.350266	1.823	2.028	0.866	1.02
hAA2210	DAP	Hs.75189	1.284	0.853	0.361	-0.229
hAC4591	POLS	Hs.225951	1.014	0.429	0.02	-1.221
hAD1325	POLS	Hs.225951	1.124	0.342	0.169	-1.549
hAA8101	CCT5	Hs.1600	1.301	4.617	0.38	2.207
hAD9951	IRX4	Hs.196927	2.582	1.158	1.368	0.211
hAE0335	TERT	Hs.115256	1.341	1.876	0.423	0.907
hAE0329	TERT	Hs.115256	1.49	1.072	0.575	0.1
hAC0607	FBXL7	Hs.76798		0.481		-1.057
hAC0872	CDH18	Hs.57691	1.417	0.715	0.503	-0.484
hAE0036	CDH10	Hs.92489	1.125	1.166	0.17	0.222
hAA8719	CDH6	Hs.32963		0.482		-1.054
hAA8317	PC4	Hs.349506	1.037	1.778	0.052	0.83
hAA6549	PC4	Hs.349506		1.259		0.332
hAB2846	PC4	Hs.356473		2.17		1.117
hAB5224	AMACR	Hs.128749		0.721		-0.472
hAA6391	FLJ11100	Hs.38114	1.128	1.132	0.174	0.179
hAB3604	IL7R	Hs.237868	1.096	0.058	0.132	-4.097
hAD1114	IL7R	Hs.237868	1.114	0.052	0.156	-4.277
hAA8278	IL7R	Hs.237868	1.316	0.491	0.396	-1.026
hAC6619	-	Hs.342148	1.455	0.903	0.541	-0.147
hAA1160	SLC1A3	Hs.75379	1.092	0.494	0.127	-1.017
hAA2891	NUP155	Hs.23255		1.125		0.17
hAA4743	LIFR	Hs.2798	0.828	1.257	-0.272	0.33
hAC0902	OSMR	Hs.238648	0.883	0.398	-0.18	-1.331
hAA4087	PRO0823	Hs.34192	0.954	0.128	-0.068	-2.97
hAA0747	FYB	Hs.58435	1.099	0.413	0.136	-1.276
hAC7637	PRKAA1	Hs.9247	1.142	0.956	0.192	-0.065
hAA2313	C7	Hs.78065	1.167	1.026	0.223	0.038
hAB2153	FBXO4	Hs.49210		0.609		-0.715
hAB6906	GHR	Hs.125180	0.985		-0.022
hAA4752	GHR	Hs.125180	1.445	0.52	0.531	-0.944
hAC3205	FLJ21657	Hs.26498	1.045	2.078	0.064	1.055
hAC9756	PDCD9	Hs.28555	0.507	2.19	-0.98	1.131
hAB8662	PDCD9	Hs.28555		1.679		0.748
hAA0303	ITGA2	Hs.271986	1.105	0.506	0.144	-0.982
hAD1580	HSPB3	Hs.41707	1.041	0	0.058
hAA2124	PPAP2A	Hs.41569	1.405	0.781	0.491	-0.356
hAC8518	IL6ST	Hs.82065	0.627	1.007	-0.673	0.01
hAB5578	IL6ST	Hs.82065	0.947	0.499	-0.079	-1.003
hAD1579	MAP3K1	Hs.170610	1.197		0.259
hAA1203	-	Hs.23960	1.422	2.344	0.508	1.229
hAA9051	CDK7	Hs.184298	0.985	0.891	-0.022	-0.167
hAC8380	CDK7	Hs.184298	1.306		0.385
hAB1434	RAD17	Hs.16184	0.945	0	-0.082
hAA8562	GTF2H2	Hs.191356	1.317	1.395	0.397	0.48
hAC8004	GTF2H2	Hs.191356	1.691	1.154	0.758	0.207
hAA5013	BIRC1	Hs.79019	1.058	0.17	0.081	-2.556
hAA1718	BIRC1	Hs.79019	1.522	0.494	0.606	-1.017
hAE0078	SMN1	Hs.288986	1.474	2.032	0.56	1.023
hAB6216	SERF1A	Hs.32567	1.279	1.038	0.355	0.053
hAE0358	CDH12	Hs.333997	1.057	0.428	0.08	-1.224
hAB6910	ARFD1	Hs.792		0.299		-1.743
hAB5814	PIK3R1	Hs.6241	0.654	0.376	-0.613	-1.411
hAA1986	PIK3R1	Hs.6241		0.302		-1.729
hAA1793	MRPS27	Hs.122669		0.703		-0.508
hAE0172	CRHBP	Hs.115617	1.403	0.897	0.489	-0.157
hAA1974	IQGAP2	Hs.78993		0.39		-1.359
hAA2864	RAP1B	Hs.156764	1.024	0.967	0.034	-0.049
hAC9529	RAP1B	Hs.156764	1.19	0.709	0.251	-0.497
hAA2845	TBCA	Hs.24930	1.224	0.621	0.292	-0.686
hAB6735	LHFPL2	Hs.79299	1.092	0.773	0.127	-0.371
hAA1388	THBS4	Hs.75774	1.057	0.562	0.08	-0.832
hAA0517	KIAA0305	Hs.83790		0.741		-0.432
hAB0394	ENC1	Hs.104925		0.505		-0.985
hAA1185	XRCC4	Hs.150930		1.107		0.146
hAB7183	CSPG2	Hs.81800		0.152		-2.714
hAA0242	MSH3	Hs.42674	1.679	0.984	0.748	-0.024
hAA2302	CCNH	Hs.514	1.059	1.625	0.083	0.7
hAD2289	-	Hs.153692	1.217	0.676	0.283	-0.565
hAA7218	ARTS-1	Hs.247043	1.271	0.818	0.346	-0.29
hAD1122	ARTS-1	Hs.247043	1.371	0.897	0.455	-0.157
hAB7299	ARTS-1	Hs.247043		0.504		-0.99
hAC7980	ARTS-1	Hs.247043		0.49		-1.028
hAD7878	LOC64167	Hs.280380	1.231	0.436	0.3	-1.196
hAB3888	LOC90355	Hs.25925	1.084	1.069	0.116	0.097
hAA0196	PAM	Hs.83920		0.809		-0.306
hAC8236	FER	Hs.121558		1.259		0.332
hAA5969	KIAA0438	Hs.279849		0.239		-2.064
hAA0257	MAN2A1	Hs.63368	1.383	0.551	0.468	-0.859
hAA2221	GLRX	Hs.28988	1.109	0.737	0.149	-0.441
hAA0940	CHD1	Hs.22670	1.242	0.223	0.313	-2.164
hAA1327	APC	Hs.75081	1.115	0.238	0.157	-2.073
hAA7232	APC	Hs.75081	1.145	0.356	0.195	-1.491
hAC3805	APC	Hs.75081	1.23	0.812	0.299	-0.3
hAC8712	PGGT1B	Hs.766	1.174	0.666	0.231	-0.587
hAA1760	AP3S1	Hs.80917	1.107	0.557	0.147	-0.844
hAA2188	HSD17B4	Hs.75441		0.644		-0.634
chAA7279	PPIC	Hs.110364	1.193	1.04	0.255	0.057
hAB5581	SNCAIP	Hs.24948		0.917		-0.126
hAA3796	TGFBI	Hs.118787	1.468	0.437	0.554	-1.195
hAA3069	LOC56990	Hs.5985	1.172	0.275	0.229	-1.865
hAC8214	CSF2	Hs.1349	1.568	1.602	0.649	0.68
hAA1621	IRF1	Hs.80645	1.105	1.718	0.144	0.781
hAA0749	RAD50	Hs.41587	0.818	1.095	-0.29	0.131
hAD1976	RAD50	Hs.41587	1.054	0.726	0.076	-0.462
hAC8291	IL13	Hs.845	1.421	2.39	0.507	1.257
hAA8714	QP-C	Hs.3709		4.709		2.236
hAB7507	-	Hs.337588	1.542	0.63	0.625	-0.667
hAA7917	-	Hs.337588	1.605	0.615	0.683	-0.701
hAB2284	FLJ20094	Hs.29700	1.122	1.277	0.166	0.353
hAB7303	HTGN29	Hs.283437	0.716	0.839	-0.482	-0.254
hAC3900	HTGN29	Hs.283437	1.346	0.615	0.429	-0.701
hAA8062	VDAC1	Hs.149155	1.282	3.482	0.358	1.8
hAA0047	TCF7	Hs.169294	1.548	0.719	0.63	-0.476
hAC8717	TCEB1L	Hs.171626	1.181		0.24
hAB0262	TCEB1L	Hs.171626	1.428	1.098	0.514	0.135
hAA1486	PPP2CA	Hs.91773	1.526	2.353	0.61	1.234
hAE0087	CDKL3	Hs.118508		0.393		-1.346
hAA1368	UBE2B	Hs.811	1.013	0.68	0.019	-0.557
hAC2869	HSPA4	Hs.90093		2.936		1.554
hAA7686	SCYB14	Hs.24395	1.161	0.68	0.215	-0.557
hAE0302	PITX1	Hs.84136	1.349	5.776	0.432	2.53
hAA2142	SMAP	Hs.5464	1.046	1.01	0.065	0.014
hAE0325	RAB6KIFL	Hs.73625	1.557	1.516	0.639	0.6
hAC8328	CDC23	Hs.153546	0.938	0.478	-0.092	-1.065
hAC0044	CDC23	Hs.153546	1.073	0.925	0.102	-0.113
hAC3758	CDC23	Hs.153546	1.231	1.164	0.3	0.219
hAA9081	CDC25C	Hs.656	1.127	0.463	0.172	-1.112
hAA2260	EGR1	Hs.326035		1.646		0.719
hAA2381	EPHA1	Hs.89839	1.488	0.976	0.573	-0.035
hAA9086	CTNNA1	Hs.178452		0.273		-1.872
hAB3517	PAIP2	Hs.108548		1.578		0.658
hAD1776	PCDHA12	Hs.197873	1.016	0.935	0.023	-0.097
hAB5184	PCDHA10	Hs.247735	1.069	0.696	0.096	-0.522
hAA0506	PCDHA9	Hs.98938	1.301	1.014	0.38	0.02
hAB1605	PCDHA10	Hs.247735	1.346	1.607	0.429	0.684
hAE0130	PCDHAC1	Hs.269467	1.433	0.898	0.519	-0.155
hAB0421	PCDHB2	Hs.266470	1.23	1.248	0.299	0.32
hAD9921	PCDHB10	Hs.232500	1.099	1.788	0.136	0.839
hAC8736	PCDHGA8	Hs.149323	1.319	0.514	0.399	-0.96
hAE0003	PCDHGA12	Hs.277422	1.631	2.131	0.706	1.091
hAA2418	HDAC3	Hs.356442	1.169	1.782	0.225	0.834
hAB9122	SRA1	Hs.32587		1.476		0.562
hAB3287	ORF1-FL49	Hs.323512		1.942		0.958
hAA1048	PURA	Hs.29117	1.55	0.664	0.632	-0.591
hAA3295	HSPC195	Hs.15093		0.402		-1.315
hAC2704	PCDH1	Hs.79769	0.95	1.888	-0.074	0.917
hAE0313	PCDH12	Hs.115897	1.671	0.793	0.741	-0.334
hAA2639	RNF14	Hs.215857	1.288	1.239	0.365	0.309
hAA8632	UBE2D2	Hs.108332	1.432	1.009	0.518	0.013
hAC3590	UBE2D3	Hs.118797		0.81		-0.305
hAA7078	KIAA1311	Hs.61441		0.587		-0.77
hAB7175	TAF2S	Hs.13063	0.58	0.418	-0.786	-1.257
hAB6821	SPINK1	Hs.181286	1.221	0.439	0.288	-1.188
hAB3632	IL17B	Hs.110040	1.092	0.659	0.127	-0.601
hAA0179	PDGFRB	Hs.76144	1.538	1.053	0.621	0.074
hAA5008	CSF1R	Hs.174142	1.599	0.652	0.677	-0.618
hAA9061	CSF1R	Hs.174142		0.679		-0.56
hAA1133	FGF1	Hs.75297	0.914	0.833	-0.13	-0.264
hAB7292	TCOF1	Hs.301266	1.286	3.748	0.363	1.906
hAE0098	CD74	Hs.84298	1.398	20.723	0.483	4.373
hAA2986	RPS14	Hs.244621		1.634		0.708
hAA8707	KIAA1029	Hs.5307	1.478	1.892	0.564	0.92
hAB0113	DCTN4	Hs.180952		0.96		-0.059
hAB9121	NID67	Hs.29444	1.265		0.339
hAB6740	ANXA6	Hs.118796		0.999		-0.001
hAB0213	FAT2	Hs.158159	1.174	1.472	0.231	0.558
hAE0032	SPARC	Hs.111779	1.222	0.5	0.289	-1
hAB7287	CRSP9	Hs.279902	1.22	1.458	0.287	0.544
hAA0891	PIR121	Hs.258503	1.165	0.696	0.22	-0.522
hAA0332	HMMR	Hs.72550		1.372		0.456
hAC0095	CNOT8	Hs.26703	1.593	1.316	0.672	0.396
hAC2349	DKFZP586M1824	Hs.25882	1.17	1.456	0.227	0.542
hAC2111	MRPL22	Hs.41007	1.086	3.634	0.119	1.861
hAA9237	PTTG1	Hs.252587	1.135	5.43	0.183	2.441
hAC8529	PTTG1	Hs.252587		4.373		2.129
hAB3580	ATP10B	Hs.109358		0.912		-0.133
hAB6340	KIAA0869	Hs.21543	1.217	0	0.283
hAA0551	DOCK2	Hs.17211	1.258	1.855	0.331	0.891
hAC0912	LCP2	Hs.2488	1.317	1.309	0.397	0.388
hAC1193	STK10	Hs.16134	1.251	0.627	0.323	-0.673
hAA6809	FGF18	Hs.49585	1.203	0.573	0.267	-0.802
hAC2739	DKFZP761M1511	Hs.91521	1.415	0.637	0.501	-0.65
hAC7639	DUSP1	Hs.171695		0.775		-0.368
hAA5576	KIAA1181	Hs.180428	1.27	0.547	0.345	-0.87
hAC0980	BNIP1	Hs.77572	1.22	1.148	0.287	0.199
hAB1026	MGC5469	Hs.19574		2.173		1.12
hAE0512	ABS	Hs.274317	1.491	1.824	0.576	0.867
hAC0467	LOC51720	Hs.7889	1.386	0.57	0.471	-0.811
hAA2636	PX19	Hs.355868	1.612	2.831	0.689	1.501
hAA8998	GPRK6	Hs.76297	0.956	0.597	-0.065	-0.745
hAD5719	CLK4	Hs.288417	1.446	0.219	0.532	-2.192
hAC0045	MAPK9	Hs.246857	1.071	0.732	0.099	-0.451
hAB5623	KIAA1194	Hs.5801		0.652		-0.618
hAE0255	FLT4	Hs.74049	1.093	1.456	0.128	0.542
hAA1103	GNB2L1	Hs.5662	1.347	2.198	0.43	1.136
hAC8420	LTB	Hs.890	1.113	1.49	0.154	0.575
hAD1451	TNF	Hs.241570	1.47	1.424	0.556	0.51
hAA8259	LTA	Hs.36		9.905		3.308
hAC1098	TNF	Hs.241570		0.629		-0.669
hAB7110	CREBL1	Hs.42853	1.375	1.249	0.459	0.321
hAB4957	TNXB	Hs.169886	0.954	4.974	-0.068	2.314
hAC1096	STK19	Hs.444	1.28	2.873	0.356	1.523
hAA2311	C2	Hs.2253	1.403	4.451	0.489	2.154
hAA7151	SERPINB9	Hs.104879	1.373	0.557	0.457	-0.845
hAB6869	RREB1	Hs.171942	1.21	1.204	0.275	0.268
hAB8552	FLJ11026	Hs.16580	1.147	0.438	0.198	-1.191
hAA2294	SERPINB6	Hs.41072	1.104	0.807	0.143	-0.309
hAB5804	RIPK1	Hs.296327	0.877	0.592	-0.189	-0.757
hAB2851	RIPK1	Hs.296327	1.31	1.066	0.39	0.093
hAD1797	TUBB	Hs.336780	1.482	0.681	0.568	-0.555
hAB5090	CDYL	Hs.16081		0.731		-0.452
hAA1280	BMP6	Hs.285671		0.618		-0.695
hAA2841	-	Hs.334334	1.006		0.009
hAA8084	TFAP2A	Hs.334334	1.262	1.432	0.336	0.518
hAB2551	-	Hs.61389		0.715		-0.484
hAA1881	HIVEP1	Hs.306	1.327	0.889	0.408	-0.17
hAA9016	EDN1	Hs.2271	0.965		-0.051
hAC1601	DKFZP564K192	Hs.43481	1.577	1.235	0.657	0.304
hAA2496	MIR	Hs.20072	0.792	1.302	-0.336	0.381
hAD6291	MIR	Hs.20072	0.862	0.571	-0.214	-0.808
hAD2093	MIR	Hs.20072	1.469	0.592	0.555	-0.756
hAD1833	FAM8A1	Hs.95260	1.108	0.251	0.148	-1.992
hAB0190	DEK	Hs.110713	0.922	0.492	-0.117	-1.022
hAC8723	DEK	Hs.110713	1.28		0.356
hAB2848	DEK	Hs.110713		0.941		-0.088
hAA1628	ID4	Hs.34853	1.377	0.861	0.462	-0.216
hAC1895	ID4	Hs.34853		0.421		-1.248
hAA8467	E2F3	Hs.1189	1.259	2.103	0.332	1.073
hAA0761	ALDH5A1	Hs.5299	1.174	1.266	0.231	0.34
hAB1992	AD022	Hs.46847	1.135	1.626	0.183	0.701
hAC8297	H4FI	Hs.143080	0.978	19.568	-0.032	4.29
hAC2417	H4FH	Hs.93758	1.116	4.234	0.158	2.082
hAD1805	H4FE	Hs.278483	1.163	9.438	0.218	3.238
hAB6803	H4FG	Hs.46423		61.282		5.937
hAA0971	H1F2	Hs.7644	1.07	1.432	0.098	0.518
hAD1021	HMG17L3	Hs.236774	0.661	1.467	-0.597	0.553
hAA0427	HMG17L3	Hs.236774	1.518	0.816	0.602	-0.293
hAA6878	PRSS16	Hs.274407	1.452	0.666	0.538	-0.587
hAA1004	UBD	Hs.44532	0.855	1.171	-0.226	0.228
hAA1062	PPP1R11	Hs.82887	1.234	1.639	0.303	0.713
hAA6331	FLJ22638	Hs.183232	1.211	1.838	0.276	0.879
hAE0014	HLA-E	Hs.181392	1.476	0.529	0.562	-0.918
hAA8760	PPP1R10	Hs.106019	1.355	1.002	0.438	0.002
hAA2817	PPP1R10	Hs.106019		1.36		0.443
hAD1865	GTF2H4	Hs.102910	1.573	1.13	0.654	0.176
hAC9860	POU5F1	Hs.2860	1.468	0.953	0.554	-0.07
hAD9933	MICB	Hs.211580	1.282	1.402	0.358	0.487
hAC5741	DDAH2	Hs.247362		1.375		0.459
hAB5042	MSH5	Hs.112193	1.042	1.136	0.059	0.184
hAC5378	MSH5	Hs.112193	1.246	1.092	0.317	0.127
hAA7187	MSH5	Hs.112193		0.573		-0.802
hAB0169	HSPA1L	Hs.80288	1.208	1.173	0.273	0.23
hAA9058	C4B	Hs.278625		1.76		0.816
hAA1536	PBX2	Hs.93728	1.211	1.113	0.276	0.155
hAC6524	NOTCH4	Hs.11689	1.077	0.558	0.107	-0.841
hAA1987	NOTCH4	Hs.11689	1.335	1.429	0.417	0.515
hAE0114	HLA-DRB3	Hs.279930	1.265	3.427	0.339	1.777
hAE0290	HLA-DOB	Hs.1802	1.478	1.611	0.564	0.688
hAE0187	HLA-DMB	Hs.1162	1.281	3.058	0.357	1.613
hAA1251	HLA-DMA	Hs.77522	1.31	4.767	0.39	2.253
hAA1376	TAP1	Hs.352018	1.692	0.516	0.759	-0.953
hAB7239	PSMB9	Hs.9280		10.185		3.348
hAB3958	COL11A2	Hs.121509	1.176	3.451	0.234	1.787
hAA5478	SACM2L	Hs.169407	0.902	1.127	-0.149	0.172
hAA1019	RXRB	Hs.79372	1.237	0.963	0.307	-0.054
hAA1444	RING1	Hs.35384	1.24	3.225	0.31	1.689
hAA5295	HKE2	Hs.356468	1.086	4.057	0.119	2.02
hAA8595	RAB2L	Hs.170160	1.169	0.41	0.225	-1.286
hAB8181	-	Hs.179600	1.523	1.085	0.607	0.118
hAB7077	DAXX	Hs.336916	0.993	0.53	-0.01	-0.915
hAC8105	DAXX	Hs.336916	1.146	1.212	0.197	0.278
hAA8651	BAK1	Hs.93213	1.203	2.596	0.267	1.376
hAE0178	BAK1	Hs.352260	1.306	1.627	0.385	0.702
hAB3774	PPARD	Hs.106415	1.2	0.357	0.263	-1.485
hAA0964	RPL10A	Hs.334895	1.018	1.956	0.026	0.968
hAA2033	MAPK14	Hs.79107		0.527		-0.924
hAA8674	MAPK13	Hs.178695	1.103	0.967	0.141	-0.049
hAB6493	-	Hs.188757	0.906	1.018	-0.142	0.026
hAD1744	-	Hs.332496	1.226	1.194	0.294	0.256
hAA2176	NDR	Hs.8724	1.269	0.562	0.344	-0.83
hAA1534	SFRS3	Hs.167460		0.92		-0.12
hAE0100	CDKN1A	Hs.179665	1.465	2.522	0.551	1.335
hAB9309	PPIL1	Hs.27693	0.758	7.069	-0.4	2.822
hAA5022	-	Hs.81170		0.283		-1.823
hAA0185	PIM1	Hs.81170		0.283		-1.821
hAB7181	GLO1	Hs.75207		2.288		1.194
hAD1927	-	Hs.192984		0.44		-1.186
hAA8790	BYSL	Hs.106880		2.566		1.36
hAD0498	Crk	Hs.254211	1.129	0	0.175
hAC9764	Crk	Hs.254211	1.424	0.669	0.51	-0.58
hAB8714	Crk	Hs.254211	1.445	0.73	0.531	-0.453
hAA0505	KIAA0349	Hs.15303	1.098	0.245	0.135	-2.029
hAC0943	TBCC	Hs.75064	1.506	2.171	0.591	1.119
hAE0101	PPP2R5D	Hs.118244	1.493	1.093	0.578	0.128
hAC0986	MEA	Hs.278362	1.321	3.334	0.402	1.737
hAA0151	PTK7	Hs.90572	1.452	0.994	0.538	-0.009
hAA1429	SRF	Hs.155321	1.609	13.057	0.686	3.707
hAA5591	RCL	Hs.109752	1.685	2.961	0.753	1.566
hAD1314	FLJ00002	Hs.55879	1.3		0.379
hAC4716	MGC2487	Hs.337251	1.574	0.781	0.654	-0.357
hAB7115	RPA40	Hs.5409		2.779		1.475
hAA0014	VEGF	Hs.73793	1.492	3.251	0.577	1.701
hAB7350	SLC29A1	Hs.25450	1.482	7.728	0.568	2.95
hAB7861	HSPCB	Hs.74335	1.591	0	0.67
hAC0938	NFKBIE	Hs.91640	1.105	2.958	0.144	1.564
hAB7089	CDC5L	Hs.155174		2.132		1.092
hAD1464	SUPT3H	Hs.355835	1.103	0.888	0.141	-0.171
hAC9032	SUPT3H	Hs.355835	1.11	0.648	0.151	-0.625
hAA8358	PLA2G7	Hs.93304	0.905	2.053	-0.144	1.038
hAC8693	TNFRSF21	Hs.159651	0.798		-0.326
hAA0246	MCM3	Hs.179565	1.791	4.378	0.841	2.13
hAA9723	-	Hs.239388	1.419	2.814	0.505	1.493
hAA9371	-	Hs.239388	1.608	1.046	0.685	0.065
hAA2220	GSTA2	Hs.89552	1.338	0.539	0.42	-0.89
hAA4617	FBXO9	Hs.11050	1.398	0.74	0.483	-0.434
hAB7203	BMP5	Hs.1104	0.948	0.386	-0.077	-1.372
hAC2247	BMP5	Hs.1104	1.325	0.593	0.406	-0.753
hAA0705	BPAG1	Hs.198689	1.375	0.298	0.459	-1.747
hAB5750	BAG2	Hs.55220		1.121		0.165
hAA3002	GTPBP2	Hs.13011	1.388	1.106	0.473	0.145
hAB0378	FKBP1A	Hs.356727	1.918	4.022	0.94	2.008
hAA8716	GSTA4	Hs.169907	1.79	0.97	0.84	-0.044
hAB5094	-	Hs.101302	1.21	0.678	0.275	-0.56
