ProbeID	Ratio	REF.MACS	WT.MACS	p-value	qvalue	Accession	Symbol	geneID	UniGene	Name	Chr	Pathway
1422642_at	-2.66E+00	6.7528	9.4117	2.22E-07	3.95E-05	BB012489	Cdc42ep3	260409	Mm.140601	CDC42 effector protein (Rho GTPase binding) 3	chr17 E3	---
1417848_at	-2.72E+00	6.3241	9.0448	2.25E-07	3.98E-05	AW413620	Gig1	170753	Mm.212908	glucocorticoid induced gene 1	chr3 A1	---
1454628_at	2.00E+00	9.524	7.5269	2.28E-07	4.00E-05	BE957307	A930037G23Rik	320678	Mm.129415	RIKEN cDNA A930037G23 gene	chr6 F3	---
1450786_x_at	1.98E+00	9.4584	7.4763	2.35E-07	4.10E-05	NM_019808	LOC669660	669660	---	similar to PDZ and LIM domain protein 5 (Enigma ho	---	---
1456891_at	2.24E+00	9.7681	7.5271	2.37E-07	4.10E-05	BB786084	Dennd2c	329727	Mm.293641	DENN/MADD domain containing 2C	chr3 F2.2	---
1449273_at	-2.54E+00	6.3011	8.8426	2.49E-07	4.28E-05	NM_133769	Cyfip2	76884	Mm.154358	cytoplasmic FMR1 interacting protein 2	chr11 B1.2	---
1426530_a_at	-3.18E+00	6.6201	9.7979	2.57E-07	4.35E-05	BM120233	Klhl5	71778	Mm.10281	kelch-like 5 (Drosophila)	chr5 C3.1	---
1429028_at	2.20E+00	11.9362	9.74	2.59E-07	4.35E-05	AK017170	Dock11	75974	Mm.32873	dedicator of cytokinesis 11	chrX A3.1-A3.2	---
1442166_at	4.41E+00	11.5577	7.146	2.58E-07	4.35E-05	BB273427	Cpne5	240058	Mm.39905	copine V	chr17 A3.3	---
1426662_at	1.90E+00	13.0468	11.1469	2.86E-07	4.73E-05	AJ006215	Cmas	12764	Mm.3820	cytidine monophospho-N-acetylneuraminic acid synth	chr6 G3|6 74.0 cM	---
1446038_at	3.11E+00	9.6391	6.5324	2.85E-07	4.73E-05	BB124954	Hnrpa1	15382	Mm.390233	Heterogeneous nuclear ribonucleoprotein A1	chr15 F3|15 61.7 cM	mRNA_processing_binding_Reactome // GenMAPP /// GPCRDB_Class_A_Rhodopsin-like // GenMAPP /// Peptide_GPCRs // GenMAPP
1440285_at	-2.15E+00	6.6435	8.7895	2.92E-07	4.75E-05	BF472950	Ppp1r9a	243725	Mm.332901	protein phosphatase 1, regulatory (inhibitor) subu	chr6 A1|6 0.5 cM	---
1448130_at	2.19E+00	11.679	9.4854	2.93E-07	4.75E-05	NM_010191	Fdft1	14137	Mm.386760	farnesyl diphosphate farnesyl transferase 1	chr14 D1|14 3.0 cM	Cholesterol_Biosynthesis // GenMAPP /// Cholesterol_Biosynthesis // GenMAPP
1448595_a_at	-2.63E+00	6.1034	8.7323	2.90E-07	4.75E-05	NM_009052	Bex1	19716	Mm.422943	brain expressed gene 1	chrX F1|X 57.5 cM	---
1449083_at	-2.17E+00	6.366	8.5407	3.00E-07	4.83E-05	AA067702	Ccdc91	67015	Mm.209774	coiled-coil domain containing 91	chr6 G3	---
1453286_at	-2.45E+00	6.5116	8.9611	3.02E-07	4.83E-05	BB085537	Plxna2	18845	Mm.2251	plexin A2	---	---
1418586_at	2.16E+00	10.2367	8.0754	3.09E-07	4.85E-05	NM_009624	Adcy9	11515	Mm.310036	adenylate cyclase 9	chr16 B1|16 2.0 cM	G_Protein_Signaling // GenMAPP /// Calcium_regulation_in_cardiac_cells // GenMAPP /// Smooth_muscle_contraction // GenMAPP /// Purine metabolism // KEGG /// Calcium signaling pathway // KEGG /// Gap junction // KEGG /// Long-term potentiation // KEGG /// Olfactory transduction // KEGG /// Taste transduction // KEGG
1426657_s_at	-3.64E+00	7.2146	10.8505	3.10E-07	4.85E-05	L21027	Phgdh /// LOC666422 /// LOC666875 /// LOC669985 /// LOC671102 /// LOC673015 /// LOC675010	236539 /// 666422 /// 666875 /// 669985 /// 671102 /// 673015 /// 675010	Mm.16898	3-phosphoglycerate dehydrogenase /// similar to 3-	chr3 E1 /// chr8 A2 /// chr15 A2	---
1454709_at	1.49E+00	12.812	11.3218	3.09E-07	4.85E-05	BG075363	Tmem64	100201	Mm.38877	transmembrane protein 64	chr4 A2	---
1416389_a_at	2.01E+00	11.2632	9.2517	3.16E-07	4.90E-05	NM_134083	Rcbtb2	105670	Mm.280068	regulator of chromosome condensation (RCC1) and BT	chr14 D2	---
1436902_x_at	-3.60E+00	8.2948	11.8905	3.19E-07	4.90E-05	BB096368	Tmsb10	19240	Mm.3532	thymosin, beta 10	chr6 C1	---
1452291_at	2.16E+00	8.504	6.342	3.17E-07	4.90E-05	AV375176	Centd1	212285	Mm.244403	centaurin, delta 1	chr5 C3.1	---
1419595_a_at	-2.78E+00	5.9979	8.7731	3.49E-07	5.30E-05	NM_010281	Ggh /// LOC667301	14590 /// 667301	Mm.20461	gamma-glutamyl hydrolase /// similar to Gamma-glut	chr4 A3-A5 /// chr4 A3	---
1439185_x_at	2.12E+00	11.4636	9.3481	3.47E-07	5.30E-05	BB433489	D430028G21Rik	228607	Mm.287226	RIKEN cDNA D430028G21 gene	chr2 F1	---
1431751_a_at	3.57E+00	10.1025	6.5286	3.61E-07	5.44E-05	AK012553	Mpped2	77015	Mm.45628	metallophosphoesterase domain containing 2	chr2 E3|2 59.0 cM	---
1428285_at	1.86E+00	8.9794	7.119	3.69E-07	5.49E-05	AK018446	8430427H17Rik	329540	Mm.50600	RIKEN cDNA 8430427H17 gene	chr2 H1	---
1448027_at	1.57E+00	9.2871	7.7177	3.69E-07	5.49E-05	AI428254	2010305B15Rik	72110	Mm.392483	RIKEN cDNA 2010305B15 gene	---	---
1429778_at	2.06E+00	10.9405	8.8853	3.80E-07	5.61E-05	AK015354	Optn	71648	Mm.116942	optineurin	chr2 A1|2 0.5 cM	---
1418587_at	-2.64E+00	6.3176	8.9595	3.84E-07	5.64E-05	U21050	Traf3	22031	Mm.27431	Tnf receptor-associated factor 3	chr12 F|12 55.0 cM	Apoptosis // GenMAPP /// Apoptosis_KEGG // GenMAPP
1415737_at	2.59E+00	13.6705	11.0797	3.87E-07	5.65E-05	NM_019437	Rfk	54391	Mm.7013	riboflavin kinase	chr19 B	Riboflavin metabolism // KEGG
1451821_a_at	1.65E+00	9.5612	7.9066	4.07E-07	5.91E-05	U83636	Sp100	20684	Mm.290906	nuclear antigen Sp100	chr1 C5|1 50.0 cM	---
1434307_at	1.47E+00	10.5625	9.0882	4.13E-07	5.95E-05	AW489972	Tmem64	100201	Mm.38877	transmembrane protein 64	chr4 A2	---
1417526_at	1.44E+00	9.6147	8.1795	4.28E-07	6.13E-05	NM_021568	Pcbp3	59093	Mm.272803	poly(rC) binding protein 3	chr10 B5.1-B5.3	mRNA_processing_binding_Reactome // GenMAPP /// mRNA_processing_binding_Reactome // GenMAPP
1423066_at	-1.87E+00	5.1995	7.0735	4.43E-07	6.28E-05	BB795491	Dnmt3a	13435	Mm.5001	DNA methyltransferase 3A	chr12 A2-A3	---
1435679_at	1.77E+00	10.8244	9.0549	4.44E-07	6.28E-05	BB770843	Optn	71648	Mm.116942	optineurin	chr2 A1|2 0.5 cM	---
1421947_at	-2.76E+00	6.8374	9.6008	4.55E-07	6.38E-05	NM_025278	Gng12	14701	Mm.234342	guanine nucleotide binding protein (G protein), ga	chr6 C1|6 30.0 cM	G_Protein_Signaling // GenMAPP /// Calcium_regulation_in_cardiac_cells // GenMAPP /// Smooth_muscle_contraction // GenMAPP
1449249_at	2.14E+00	9.6978	7.5542	4.56E-07	6.38E-05	NM_018764	Pcdh7	54216	Mm.357762	protocadherin 7	chr5 C3-D	---
1435343_at	-4.29E+00	6.5335	10.8262	4.63E-07	6.44E-05	BF715043	Dock10 /// LOC630691	210293 /// 630691	Mm.133473	dedicator of cytokinesis 10 /// similar to Dedicat	chr1 C4	---
1417419_at	-3.17E+00	6.4136	9.5827	4.79E-07	6.61E-05	NM_007631	Ccnd1	12443	Mm.273049	cyclin D1	chr7 F5|7 72.3 cM	G1_to_S_cell_cycle_Reactome // GenMAPP /// Wnt_Signaling // GenMAPP
1438018_at	-3.24E+00	5.7418	8.981	4.83E-07	6.61E-05	BB463518	Hook1	77963	Mm.49994	hook homolog 1 (Drosophila)	chr4 C5|4 45.5 cM	---
1440665_at	2.70E+00	8.8728	6.1713	4.83E-07	6.61E-05	AV304014	---	---	---	---	---	---
1444878_at	-2.52E+00	5.8325	8.3531	4.98E-07	6.73E-05	BM247032	Dock10	210293	Mm.133473	Dedicator of cytokinesis 10	chr1 C4	---
1448167_at	-1.76E+00	8.6891	10.4489	4.98E-07	6.73E-05	NM_010511	Ifngr1	15979	Mm.549	interferon gamma receptor 1	chr10 A3|10 15.0 cM	---
1421898_a_at	1.79E+00	8.2366	6.4504	5.16E-07	6.94E-05	BB210729	Mr1	15064	Mm.7580	major histocompatibility complex, class I-related	chr1 H1	---
1455626_at	-3.55E+00	6.4601	10.0069	5.32E-07	7.10E-05	AA987181	Hoxa9	15405	Mm.4694	homeo box A9	chr6 B3|6 26.32 cM	---
1450522_a_at	-3.32E+00	6.476	9.7983	5.55E-07	7.37E-05	NM_008197	H1f0	14958	Mm.24350	H1 histone family, member 0	chr15 E1|15 46.75 cM	---
1433963_a_at	1.45E+00	12.9879	11.5355	5.64E-07	7.41E-05	BG066664	BC032204	108101	Mm.157591	cDNA sequence BC032204	chr19 A	---
1454629_at	1.98E+00	8.8623	6.8826	5.64E-07	7.41E-05	BE957307	A930037G23Rik	320678	Mm.129415	RIKEN cDNA A930037G23 gene	chr6 F3	---
1422638_s_at	-2.60E+00	7.1201	9.7185	5.76E-07	7.52E-05	NM_018750	Rassf5	54354	Mm.248291	Ras association (RalGDS/AF-6) domain family 5	chr1 E4|1 69.1 cM	---
1416968_a_at	2.32E+00	11.4714	9.1505	5.92E-07	7.69E-05	NM_133943	Hsd3b7	101502	Mm.157103	hydroxy-delta-5-steroid dehydrogenase, 3 beta- and	chr7 F3	---
1427475_a_at	1.64E+00	10.7765	9.1398	6.01E-07	7.76E-05	BC002020	LOC669660	669660	---	similar to PDZ and LIM domain protein 5 (Enigma ho	---	---
1417112_at	1.63E+00	11.9026	10.2726	6.35E-07	8.15E-05	NM_024191	Arl2bp	107566	Mm.139700	ADP-ribosylation factor-like 2 binding protein	chr8 C5	---
1435281_at	1.37E+00	8.8046	7.4331	6.44E-07	8.22E-05	BE956581	Cpt1c	78070	Mm.231465	carnitine palmitoyltransferase 1c	chr7 B2	---
1419193_a_at	-2.74E+00	7.0904	9.8275	6.58E-07	8.36E-05	NM_022024	Gmfg	63986	Mm.194536	glia maturation factor, gamma	chr7 A3	---
1428796_at	1.20E+00	9.4239	8.2217	6.89E-07	8.66E-05	AK017436	5530401J07Rik	74503	Mm.392614	RIKEN cDNA 5530401J07 gene	---	---
1455900_x_at	-3.27E+00	7.3299	10.6015	6.89E-07	8.66E-05	BB041811	Tgm2	21817	Mm.330731	transglutaminase 2, C polypeptide	chr2 H1|2 89.0 cM	---
1446631_at	-1.78E+00	4.9707	6.7526	6.94E-07	8.68E-05	BB102620	9430083I22	329514	Mm.207315	hypothetical protein 9430083I22	chr2 F1	---
1425702_a_at	2.84E+00	10.6415	7.797	7.18E-07	8.92E-05	BC011294	Enpp5	83965	Mm.30145	ectonucleotide pyrophosphatase/phosphodiesterase 5	chr17 C|17 23.5 cM	---
1423160_at	-2.28E+00	7.56	9.8369	7.62E-07	9.43E-05	BQ044290	Spred1	114715	Mm.392726	sprouty protein with EVH-1 domain 1, related seque	chr2 E5	---
1433575_at	-4.33E+00	7.1775	11.5043	7.89E-07	9.70E-05	BG083485	LOC672274	672274	---	similar to Transcription factor SOX-4	---	---
1438561_x_at	-2.57E+00	7.0621	9.6278	8.02E-07	9.82E-05	BB400326	4930538D17Rik	75146	Mm.159290	RIKEN cDNA 4930538D17 gene	chr19 D1	---
1419322_at	1.54E+00	9.4977	7.9549	8.19E-07	9.98E-05	NM_053072	Fgd6	13998	Mm.269596	FYVE, RhoGEF and PH domain containing 6	chr10 C3	---
1441249_at	-2.32E+00	5.1109	7.434	8.39E-07	1.02E-04	AV259068	4930403D09Rik	319208	---	RIKEN cDNA 4930403D09 gene	---	---
1417219_s_at	-3.64E+00	7.951	11.5877	8.47E-07	1.02E-04	NM_025284	Tmsb10	19240	Mm.3532	thymosin, beta 10	chr6 C1	---
1428938_at	2.25E+00	9.5463	7.2958	8.77E-07	1.05E-04	W41916	Gnaq	14682	Mm.391165	guanine nucleotide binding protein, alpha q polype	chr19 A|19 9.0 cM	G_Protein_Signaling // GenMAPP /// Smooth_muscle_contraction // GenMAPP
1427048_at	-3.08E+00	5.9476	9.026	9.25E-07	1.09E-04	AW555326	Smo	319757	Mm.29279	smoothened homolog (Drosophila)	chr6 A3.3	GPCRDB_Other // GenMAPP /// GPCRDB_Other // GenMAPP /// GPCRDB_Other // GenMAPP
1433767_at	1.31E+00	11.1974	9.8915	9.25E-07	1.09E-04	AV257687	1110018G07Rik	68497	Mm.24446	RIKEN cDNA 1110018G07 gene	chr12 D2	---
1448765_at	-3.10E+00	5.7008	8.804	9.62E-07	1.12E-04	NM_008054	Fyn	14360	Mm.4848	Fyn proto-oncogene	chr10 B1|10 25.0 cM	Integrin-mediated_cell_adhesion_KEGG // GenMAPP /// Integrin-mediated_cell_adhesion_KEGG // GenMAPP
1455862_at	-2.40E+00	5.7104	8.1089	9.59E-07	1.12E-04	BB131620	9630054F20Rik	327900	Mm.260956	RIKEN cDNA 9630054F20 gene	chr11 A4	---
1436124_at	1.56E+00	9.9799	8.4173	9.92E-07	1.15E-04	BE996519	Pcyt1b	236899	Mm.166467	phosphate cytidylyltransferase 1, choline, beta is	chrX C3	Aminophosphonate metabolism // KEGG /// Glycerophospholipid metabolism // KEGG
1460377_a_at	1.30E+00	9.0493	7.7473	9.88E-07	1.15E-04	BC005722	Tmem8	60455	Mm.304656	transmembrane protein 8 (five membrane-spanning do	chr17 B1	---
1417050_at	2.63E+00	8.4286	5.797	1.01E-06	1.16E-04	NM_026161	C1qtnf4	67445	Mm.258993	C1q and tumor necrosis factor related protein 4	chr2 E1	---
1422612_at	-1.94E+00	6.4321	8.376	1.02E-06	1.16E-04	NM_013820	Hk2	15277	Mm.255848	hexokinase 2	chr6 C3|6 34.5 cM	Glycolysis_and_Gluconeogenesis // GenMAPP /// Glycolysis / Gluconeogenesis // KEGG /// Fructose and mannose metabolism // KEGG /// Galactose metabolism // KEGG /// Starch and sucrose metabolism // KEGG /// Streptomycin biosynthesis // KEGG /// Aminosugars metabolism // KEGG
1439610_at	2.12E+00	9.6209	7.4995	1.02E-06	1.16E-04	BE980253	Rab27b	80718	Mm.100092	RAB27b, member RAS oncogene family	chr18 E2|18 45.0 cM	---
1423349_at	-1.87E+00	6.3722	8.2462	1.10E-06	1.25E-04	AA510713	Socs5	56468	Mm.126885	suppressor of cytokine signaling 5	chr17 E4	---
1457777_at	1.58E+00	6.66	5.0787	1.11E-06	1.26E-04	AV240142	Gsdm1	57911	Mm.86870	gasdermin 1	chr11 D	---
1418459_at	-2.21E+00	5.0626	7.2736	1.15E-06	1.28E-04	AA067702	Ccdc91	67015	Mm.209774	coiled-coil domain containing 91	chr6 G3	---
1447584_s_at	-1.70E+00	4.8923	6.5888	1.15E-06	1.28E-04	AI642973	Myct1	68632	Mm.338242	myc target 1	chr10 A1	---
1436977_at	2.89E+00	7.9651	5.0728	1.16E-06	1.29E-04	BM213788	Eps8	13860	Mm.235346	Epidermal growth factor receptor pathway substrate	chr6 G1|6 66.0 cM	---
1422474_at	-2.47E+00	5.601	8.0749	1.22E-06	1.34E-04	BM246564	Pde4b	18578	Mm.20181	phosphodiesterase 4B, cAMP specific	chr4 C6|4 46.8 cM	Smooth_muscle_contraction // GenMAPP /// Smooth_muscle_contraction // GenMAPP /// Smooth_muscle_contraction // GenMAPP /// Smooth_muscle_contraction // GenMAPP /// Smooth_muscle_contraction // GenMAPP /// Smooth_muscle_contraction // GenMAPP
1449155_at	-1.11E+00	8.7197	9.8269	1.21E-06	1.34E-04	NM_026190	Polr3g	67486	Mm.279781	polymerase (RNA) III (DNA directed) polypeptide G	chr13 C3	---
1455069_x_at	-3.14E+00	9.4584	12.5998	1.21E-06	1.34E-04	BF225398	Slc25a4	11739	Mm.16228	solute carrier family 25 (mitochondrial carrier, a	chr8 B1.1|8 26.0 cM	Electron_Transport_Chain // GenMAPP /// mRNA_processing_binding_Reactome // GenMAPP /// Electron_Transport_Chain // GenMAPP /// mRNA_processing_binding_Reactome // GenMAPP
1416872_at	-1.96E+00	6.6404	8.6022	1.25E-06	1.36E-04	NM_019656	Tspan6	56496	Mm.46701	tetraspanin 6	chrX E3	---
1447947_at	1.54E+00	8.3215	6.7777	1.26E-06	1.37E-04	BM220786	Zfyve16	218441	Mm.259585	zinc finger, FYVE domain containing 16	chr13 C3	---
1456380_x_at	-2.98E+00	7.7808	10.7642	1.27E-06	1.38E-04	BB490338	Cnn3	71994	Mm.275555	calponin 3, acidic	chr3 G1	---
1451024_at	1.44E+00	10.5977	9.157	1.31E-06	1.41E-04	AV081616	Edg6	13611	Mm.33065	endothelial differentiation, G-protein-coupled rec	chr10 C1	Small_ligand_GPCRs // GenMAPP
1436954_at	-2.20E+00	7.1133	9.3167	1.36E-06	1.45E-04	C76969	Waspip	215280	Mm.223504	Wiskott-Aldrich syndrome protein interacting prote	chr2 C3|2 43.0 cM	---
1455450_at	-1.48E+00	6.3936	7.8765	1.36E-06	1.45E-04	AV231357	Ptpn3	545622	Mm.246552	protein tyrosine phosphatase, non-receptor type 3	chr4 B3	---
1450696_at	-1.72E+00	7.8615	9.5834	1.39E-06	1.47E-04	NM_013585	Psmb9	16912	Mm.390983	proteosome (prosome, macropain) subunit, beta type	chr17 B1|17 18.59 cM	Proteasome_Degradation // GenMAPP /// Proteasome_Degradation // GenMAPP
1428222_at	1.50E+00	8.3485	6.8487	1.41E-06	1.48E-04	AK018179	Dcamkl2	70762	Mm.44490	doublecortin and CaM kinase-like 2	chr3 F1	---
1424572_a_at	-1.21E+00	10.4481	11.6613	1.43E-06	1.50E-04	AF171080	H2afy	26914	Mm.283802	H2A histone family, member Y	chr13 B2	---
1419194_s_at	-3.32E+00	7.7806	11.0968	1.46E-06	1.52E-04	NM_022024	Gmfg	63986	Mm.194536	glia maturation factor, gamma	chr7 A3	---
1437277_x_at	-3.24E+00	7.559	10.8018	1.52E-06	1.58E-04	BB550124	Tgm2	21817	Mm.330731	transglutaminase 2, C polypeptide	chr2 H1|2 89.0 cM	---
1417155_at	-2.58E+00	5.4705	8.0506	1.75E-06	1.81E-04	BC005453	Mycn	18109	Mm.16469	v-myc myelocytomatosis viral related oncogene, neu	chr12 A3-B|12 4.0 cM	---
1428454_at	1.39E+00	8.941	7.5471	1.75E-06	1.81E-04	AK011603	Bcas3	192197	Mm.287663	breast carcinoma amplified sequence 3	chr11 C	---
1416330_at	-3.94E+00	8.4682	12.4108	1.90E-06	1.94E-04	NM_133655	Cd81	12520	Mm.806	CD 81 antigen	chr7 F5|7 69.3 cM	---
1423702_at	-3.31E+00	6.551	9.8564	1.90E-06	1.94E-04	BC003830	H1f0	14958	Mm.24350	H1 histone family, member 0	chr15 E1|15 46.75 cM	---
1451702_at	-2.39E+00	5.9941	8.3837	2.03E-06	2.07E-04	BC026773	Cmtm7	102545	Mm.35600	CKLF-like MARVEL transmembrane domain containing 7	chr9 F3	---
1448501_at	-3.25E+00	5.7259	8.9787	2.08E-06	2.10E-04	NM_019656	Tspan6	56496	Mm.46701	tetraspanin 6	chrX E3	---
1454901_at	3.09E+00	8.9147	5.8275	2.09E-06	2.10E-04	BG069663	6430570G24	327989	Mm.191894	hypothetical protein 6430570G24	chr11 C	---
1455729_at	2.28E+00	10.1988	7.9202	2.09E-06	2.10E-04	AV154513	Gnaq	14682	Mm.391165	guanine nucleotide binding protein, alpha q polype	chr19 A|19 9.0 cM	G_Protein_Signaling // GenMAPP /// Smooth_muscle_contraction // GenMAPP
1440772_x_at	-2.36E+00	4.9445	7.3087	2.13E-06	2.13E-04	BB257157	9530077C05Rik	68283	Mm.280669	RIKEN cDNA 9530077C05 gene	chr9 A3	---
1451154_a_at	-2.43E+00	7.0345	9.4605	2.14E-06	2.13E-04	BB644164	Cugbp2	14007	Mm.147091	CUG triplet repeat, RNA binding protein 2	chr2 A2-A3	mRNA_processing_binding_Reactome // GenMAPP /// mRNA_processing_binding_Reactome // GenMAPP /// mRNA_processing_binding_Reactome // GenMAPP /// mRNA_processing_Reactome // GenMAPP
1456984_at	-2.83E+00	5.4234	8.2558	2.22E-06	2.20E-04	AV322078	Scml2	107815	Mm.159173	sex comb on midleg-like 2 (Drosophila)	chrX F4	---
1434219_at	1.19E+00	10.3252	9.137	2.30E-06	2.27E-04	BB004503	Stim2	116873	Mm.265985	stromal interaction molecule 2	chr5 C1|5 34.0 cM	---
1442320_at	2.70E+00	10.4042	7.7061	2.30E-06	2.27E-04	BB364132	LOC553096	553096	---	hypothetical LOC553096	---	---
1422823_at	3.94E+00	9.0163	5.0734	2.39E-06	2.34E-04	NM_007945	Eps8	13860	Mm.235346	epidermal growth factor receptor pathway substrate	chr6 G1|6 66.0 cM	---
1448154_at	5.14E+00	11.5471	6.409	2.45E-06	2.39E-04	NM_013864	Ndrg2	29811	Mm.26722	N-myc downstream regulated gene 2	chr14 C1	---
1458588_at	2.23E+00	8.2877	6.0558	2.61E-06	2.53E-04	BB091802	Schip1	30953	Mm.331064	Schwannomin interacting protein 1	chr3 E2	---
1426481_at	-2.60E+00	7.4516	10.0525	2.62E-06	2.53E-04	BB126112	Klhl22	224023	Mm.282807	kelch-like 22 (Drosophila)	chr16 A3|16 10.2 cM	---
1418741_at	2.79E+00	9.8497	7.0559	2.63E-06	2.54E-04	NM_013566	Itgb7	16421	Mm.58	integrin beta 7	chr15 F3|15 61.1 cM	Integrin-mediated_cell_adhesion_KEGG // GenMAPP
1428167_a_at	-1.97E+00	5.3447	7.3191	2.66E-06	2.55E-04	AK003513	Mpzl1	68481	Mm.46438	myelin protein zero-like 1	chr1 H2.3	---
1453139_at	-1.36E+00	7.9464	9.3064	2.67E-06	2.55E-04	AK018117	Nudt12	67993	Mm.36507	nudix (nucleoside diphosphate linked moiety X)-typ	chr17 E1.1	---
1429950_at	1.95E+00	10.0203	8.0672	2.78E-06	2.63E-04	AK010945	Unc5cl	76589	Mm.311629	unc-5 homolog C (C. elegans)-like	chr17 C	---
1433885_at	-1.85E+00	9.3671	11.2209	2.78E-06	2.63E-04	BM240173	Iqgap2	544963	Mm.38878	IQ motif containing GTPase activating protein 2	chr13 D1	GPCRDB_Class_A_Rhodopsin-like // GenMAPP /// GPCRDB_Class_A_Rhodopsin-like // GenMAPP
1433428_x_at	-3.84E+00	7.1984	11.0355	2.81E-06	2.65E-04	AW321975	Tgm2	21817	Mm.330731	transglutaminase 2, C polypeptide	chr2 H1|2 89.0 cM	---
1452001_at	1.42E+00	12.6867	11.2697	2.83E-06	2.66E-04	L09600	Nfe2	18022	Mm.255151	nuclear factor, erythroid derived 2	chr15 F3|15 61.7 cM	---
1416796_at	-1.89E+00	6.9602	8.8495	2.93E-06	2.72E-04	NM_010879	Nck2	17974	Mm.233951	non-catalytic region of tyrosine kinase adaptor pr	chr1 C1	---
1420295_x_at	-1.90E+00	7.636	9.5366	2.98E-06	2.72E-04	T25545	Clcn5	12728	Mm.254370	chloride channel 5	chrX A1.1|X 0.8 cM	---
1434940_x_at	-2.36E+00	6.0891	8.4478	2.95E-06	2.72E-04	BB233670	Rgs19	56470	Mm.274366	regulator of G-protein signaling 19	chr2 H4|2 45.0 cM	Calcium_regulation_in_cardiac_cells // GenMAPP /// Calcium_regulation_in_cardiac_cells // GenMAPP /// Calcium_regulation_in_cardiac_cells // GenMAPP /// Calcium_regulation_in_cardiac_cells // GenMAPP /// Smooth_muscle_contraction // GenMAPP /// Smooth_muscle_contraction // GenMAPP /// Smooth_muscle_contraction // GenMAPP /// Smooth_muscle_contraction // GenMAPP
1437811_x_at	-1.94E+00	5.795	7.7325	2.91E-06	2.72E-04	AV312368	Cotl1	72042	Mm.141741	Coactosin-like 1 (Dictyostelium)	chr8 E1	---
1439112_at	1.69E+00	8.8098	7.1243	2.99E-06	2.72E-04	BE456545	2810442I21Rik	72735	Mm.268598	RIKEN cDNA 2810442I21 gene	chr11 A2	---
1455063_at	-2.00E+00	5.0368	7.0392	2.99E-06	2.72E-04	AW061290	4921513D11Rik /// AW061290	381110 /// 70923	Mm.293063	RIKEN cDNA 4921513D11 gene /// expressed sequence	chr17 E3	---
1455970_at	-1.65E+00	4.9118	6.5648	2.99E-06	2.72E-04	BE370618	Pde5a	242202	Mm.134911	Phosphodiesterase 5A, cGMP-specific	chr3 G1	---
1420851_at	-2.01E+00	6.3623	8.3692	3.01E-06	2.73E-04	NM_053117	Pard6g	93737	Mm.24678	par-6 partitioning defective 6 homolog gamma (C. e	chr18 E3	---
1450394_at	1.32E+00	12.4688	11.1503	3.04E-06	2.75E-04	AV174110	Golph3	66629	Mm.250936	golgi phosphoprotein 3	chr15 A1	---
1424338_at	-3.55E+00	5.6031	9.1517	3.07E-06	2.76E-04	BC023117	Slc6a13	14412	Mm.258596	solute carrier family 6 (neurotransmitter transpor	chr6 F1	---
1426794_at	-3.47E+00	5.8587	9.3314	3.13E-06	2.77E-04	BE980029	Ptprs	19280	Mm.258771	protein tyrosine phosphatase, receptor type, S	chr17 D|17 33.8 cM	---
1430564_at	1.88E+00	8.6446	6.7605	3.13E-06	2.77E-04	AK003346	Mobkl1a	68473	Mm.35764	MOB1, Mps One Binder kinase activator-like 1A (yea	chr5 E2	---
1444603_at	1.75E+00	6.6282	4.8763	3.11E-06	2.77E-04	AI648973	2810030D12Rik	78335	Mm.235042	RIKEN cDNA 2810030D12 gene	---	---
1454847_at	-1.61E+00	7.3916	9.0013	3.09E-06	2.77E-04	BG917242	Lhfpl2	218454	Mm.316553	lipoma HMGIC fusion partner-like 2	chr13 D1	---
1432530_s_at	2.38E+00	7.72	5.3378	3.17E-06	2.80E-04	AK016125	Boll	75388	Mm.293080	bol, boule-like (Drosophila)	chr1 C1	mRNA_processing_binding_Reactome // GenMAPP
1423858_a_at	4.95E+00	11.1729	6.2245	3.22E-06	2.83E-04	BC014714	Hmgcs2	15360	Mm.289131	3-hydroxy-3-methylglutaryl-Coenzyme A synthase 2	chr3 F2.2|3 48.0 cM	---
1418250_at	2.65E+00	8.064	5.4095	3.30E-06	2.88E-04	NM_025404	Arfl4	66182	Mm.266840	ADP-ribosylation factor 4-like	chr11 D	---
1454787_at	1.35E+00	8.752	7.3983	3.29E-06	2.88E-04	AI875447	Zdhhc9	208884	Mm.207367	zinc finger, DHHC domain containing 9	chrX A4	---
1449056_at	-1.54E+00	6.9413	8.4827	3.34E-06	2.91E-04	NM_133929	E330009J07Rik	243780	Mm.333006	RIKEN cDNA E330009J07 gene	chr6 B1	---
1416740_at	1.54E+00	13.4646	11.9198	3.37E-06	2.91E-04	AW744319	Col5a1	12831	Mm.7281	procollagen, type V, alpha 1	chr2 A2-B|2 18.0 cM	---
1418322_at	1.77E+00	9.2148	7.441	3.36E-06	2.91E-04	AI467599	Crem	12916	Mm.5244	cAMP responsive element modulator	chr18 A	---
1435409_at	1.70E+00	6.5358	4.8387	3.38E-06	2.91E-04	AV226721	---	---	Mm.2479	Transcribed locus	---	---
1434960_at	1.09E+00	10.4532	9.362	3.43E-06	2.94E-04	AW555571	Taf9b	407786	Mm.19440	TAF9B RNA polymerase II, TATA box binding protein	chrX D	---
1436591_at	2.14E+00	8.0685	5.924	3.47E-06	2.97E-04	BE553782	BC023744	231668	Mm.298603	cDNA sequence BC023744	chr5 F	---
