Probe ID	Fold change	p-value	Gene Symbol	Gene Bank	Description
213590_at	-2.03	4.27E-03	LOC100133772 /// SLC16A5	AA705628	similar to MCT /// solute carrier family 16, member 5 (monocarboxylic acid transporter 6)
202957_at	-2.03	4.22E-02	HCLS1	NM_005335	hematopoietic cell-specific Lyn substrate 1
201331_s_at	-2.03	3.58E-03	STAT6	BC004973	signal transducer and activator of transcription 6, interleukin-4 induced
208623_s_at	-2.03	1.66E-02	EZR	J05021	ezrin
205464_at	-2.04	1.47E-02	SCNN1B	NM_000336	sodium channel, nonvoltage-gated 1, beta
210133_at	-2.04	2.67E-02	CCL11	D49372	chemokine (C-C motif) ligand 11
201952_at	-2.04	2.44E-02	ALCAM	AA156721	activated leukocyte cell adhesion molecule
202712_s_at	-2.04	2.85E-02	CKMT1A /// CKMT1B /// LOC100133623	NM_020990	creatine kinase, mitochondrial 1A /// creatine kinase, mitochondrial 1B /// similar to Creatine kinase, ubiquitous mitochondrial precursor (U-MtCK) (Mia-CK) (Acidic-type mitochondrial creatine kinase)
209667_at	-2.04	1.57E-03	CES2	BF033242	carboxylesterase 2 (intestine, liver)
220108_at	-2.04	4.09E-02	GNA14	NM_004297	guanine nucleotide binding protein (G protein), alpha 14
221864_at	-2.04	4.53E-05	ORAI3	AW517464	ORAI calcium release-activated calcium modulator 3
205405_at	-2.05	4.77E-02	SEMA5A	NM_003966	sema domain, seven thrombospondin repeats (type 1 and type 1-like), transmembrane domain (TM) and short cytoplasmic domain, (semaphorin) 5A
201360_at	-2.05	3.91E-03	CST3	NM_000099	cystatin C
203305_at	-2.05	1.43E-02	F13A1	NM_000129	coagulation factor XIII, A1 polypeptide
1007_s_at	-2.05	6.51E-04	DDR1	U48705	discoidin domain receptor tyrosine kinase 1
204417_at	-2.06	1.29E-03	GALC	NM_000153	galactosylceramidase
209605_at	-2.07	1.87E-02	TST	D87292	thiosulfate sulfurtransferase (rhodanese)
219610_at	-2.07	2.51E-04	RGNEF	NM_022448	Rho-guanine nucleotide exchange factor
217751_at	-2.07	3.61E-03	GSTK1	NM_015917	glutathione S-transferase kappa 1
218966_at	-2.08	4.87E-03	MYO5C	NM_018728	myosin VC
205922_at	-2.08	4.41E-02	VNN2	NM_004665	vanin 2
205485_at	-2.08	4.76E-02	RYR1	NM_000540	ryanodine receptor 1 (skeletal)
208335_s_at	-2.09	1.93E-02	DARC	NM_002036	Duffy blood group, chemokine receptor
205130_at	-2.09	1.95E-02	RAGE	NM_014226	renal tumor antigen
205392_s_at	-2.09	3.46E-03	CCL14 /// CCL15	NM_004166	chemokine (C-C motif) ligand 14 /// chemokine (C-C motif) ligand 15
221748_s_at	-2.1	3.72E-02	TNS1	AL046979	tensin 1
202439_s_at	-2.11	6.38E-03	IDS	NM_000202	iduronate 2-sulfatase
206770_s_at	-2.11	6.91E-03	SLC35A3	NM_012243	solute carrier family 35 (UDP-N-acetylglucosamine (UDP-GlcNAc) transporter), member A3
219553_at	-2.11	3.27E-02	NME7	NM_013330	non-metastatic cells 7, protein expressed in (nucleoside-diphosphate kinase)
209368_at	-2.12	3.22E-04	EPHX2	AF233336	epoxide hydrolase 2, cytoplasmic
204703_at	-2.13	1.14E-02	IFT88	NM_006531	intraflagellar transport 88 homolog (Chlamydomonas)
210021_s_at	-2.14	4.71E-03	CCNO	BC004877	cyclin O
208944_at	-2.14	3.02E-02	TGFBR2	D50683	transforming growth factor, beta receptor II (70/80kDa)
201348_at	-2.14	1.42E-02	GPX3	NM_002084	glutathione peroxidase 3 (plasma)
214033_at	-2.14	1.30E-02	ABCC6	AI084637	ATP-binding cassette, sub-family C (CFTR/MRP), member 6
204931_at	-2.14	1.30E-02	TCF21	NM_003206	transcription factor 21
202449_s_at	-2.15	5.53E-04	RXRA	NM_002957	retinoid X receptor, alpha
202597_at	-2.15	8.51E-04	IRF6	AU144284	interferon regulatory factor 6
217911_s_at	-2.16	4.53E-03	BAG3	NM_004281	BCL2-associated athanogene 3
203152_at	-2.16	1.25E-02	MRPL40	NM_003776	mitochondrial ribosomal protein L40
220623_s_at	-2.18	2.15E-02	TSGA10	NM_025244	testis specific, 10
201286_at	-2.19	2.24E-02	SDC1	Z48199	syndecan 1
208606_s_at	-2.2	1.64E-03	WNT4	NM_030761	wingless-type MMTV integration site family, member 4
213068_at	-2.2	3.61E-02	DPT	AI146848	dermatopontin
207367_at	-2.2	1.48E-02	ATP12A	NM_001676	ATPase, H+/K+ transporting, nongastric, alpha polypeptide
218204_s_at	-2.2	5.47E-03	FYCO1	NM_024513	FYVE and coiled-coil domain containing 1
203908_at	-2.21	4.43E-02	SLC4A4	NM_003759	solute carrier family 4, sodium bicarbonate cotransporter, member 4
220280_s_at	-2.22	5.57E-03	ANKMY1	NM_016552	ankyrin repeat and MYND domain containing 1
219936_s_at	-2.23	4.66E-02	GPR87	NM_023915	G protein-coupled receptor 87
210827_s_at	-2.25	5.74E-03	ELF3	U73844	E74-like factor 3 (ets domain transcription factor, epithelial-specific )
204419_x_at	-2.25	1.66E-02	HBG1 /// HBG2	NM_000184	hemoglobin, gamma A /// hemoglobin, gamma G
201540_at	-2.26	3.83E-02	FHL1	NM_001449	four and a half LIM domains 1
206200_s_at	-2.26	9.54E-04	ANXA11	NM_001157	annexin A11
200965_s_at	-2.26	1.26E-02	ABLIM1	NM_006720	actin binding LIM protein 1
203895_at	-2.26	2.32E-02	PLCB4	AL535113	phospholipase C, beta 4
220992_s_at	-2.26	1.54E-02	C1orf25	NM_030934	chromosome 1 open reading frame 25
209500_x_at	-2.27	5.63E-04	TNFSF12 /// TNFSF12-TNFSF13 /// TNFSF13	AF114012	tumor necrosis factor (ligand) superfamily, member 12 /// TNFSF12-TNFSF13 readthrough transcript /// tumor necrosis factor (ligand) superfamily, member 13
202546_at	-2.28	5.54E-03	VAMP8	NM_003761	vesicle-associated membrane protein 8 (endobrevin)
201939_at	-2.28	1.31E-02	PLK2	NM_006622	polo-like kinase 2 (Drosophila)
204051_s_at	-2.28	4.34E-02	SFRP4	AW089415	secreted frizzled-related protein 4
204990_s_at	-2.3	1.49E-02	ITGB4	NM_000213	integrin, beta 4
209821_at	-2.3	1.82E-03	IL33	AB024518	interleukin 33
204848_x_at	-2.31	1.14E-02	HBG1 /// HBG2	NM_000559	hemoglobin, gamma A /// hemoglobin, gamma G
204341_at	-2.31	4.75E-03	TRIM16	NM_006470	tripartite motif-containing 16
200670_at	-2.32	1.16E-03	XBP1	NM_005080	X-box binding protein 1
207096_at	-2.33	3.60E-02	SAA4	NM_006512	serum amyloid A4, constitutive
216836_s_at	-2.33	6.38E-04	ERBB2	X03363	v-erb-b2 erythroblastic leukemia viral oncogene homolog 2, neuro/glioblastoma derived oncogene homolog (avian)
200904_at	-2.33	7.43E-03	HLA-E	X56841	major histocompatibility complex, class I, E
823_at	-2.34	2.80E-03	CX3CL1	U84487	chemokine (C-X3-C motif) ligand 1
208126_s_at	-2.35	2.97E-04	CYP2C18	NM_000772	cytochrome P450, family 2, subfamily C, polypeptide 18
204041_at	-2.35	1.63E-04	MAOB	NM_000898	monoamine oxidase B
200660_at	-2.35	1.32E-02	S100A11	NM_005620	S100 calcium binding protein A11
209074_s_at	-2.36	1.28E-02	FAM107A	AL050264	family with sequence similarity 107, member A
217967_s_at	-2.37	3.30E-02	FAM129A	AF288391	family with sequence similarity 129, member A
201798_s_at	-2.37	2.73E-02	MYOF	NM_013451	myoferlin
202688_at	-2.38	8.79E-04	TNFSF10	NM_003810	tumor necrosis factor (ligand) superfamily, member 10
205891_at	-2.39	9.02E-03	ADORA2B	NM_000676	adenosine A2b receptor
204345_at	-2.4	3.84E-03	COL16A1	NM_001856	collagen, type XVI, alpha 1
203151_at	-2.4	1.43E-04	MAP1A	AW296788	microtubule-associated protein 1A
203509_at	-2.41	1.64E-03	SORL1	NM_003105	sortilin-related receptor, L(DLR class) A repeats-containing
200862_at	-2.41	1.52E-03	DHCR24	NM_014762	24-dehydrocholesterol reductase
209047_at	-2.42	3.60E-02	AQP1	AL518391	aquaporin 1 (Colton blood group)
204824_at	-2.42	6.38E-03	ENDOG	NM_004435	endonuclease G
201042_at	-2.42	6.79E-03	TGM2	AL031651	transglutaminase 2 (C polypeptide, protein-glutamine-gamma-glutamyltransferase)
202295_s_at	-2.44	1.19E-04	CTSH	NM_004390	cathepsin H
208683_at	-2.45	4.47E-03	CAPN2	M23254	calpain 2, (m/II) large subunit
209917_s_at	-2.45	8.61E-04	TP53TG1	BC002709	TP53 target 1 (non-protein coding)
200066_at	-2.46	9.59E-04	IK	AF182645	IK cytokine, down-regulator of HLA II
202193_at	-2.46	2.92E-03	LIMK2	NM_005569	LIM domain kinase 2
210168_at	-2.47	6.13E-03	C6	J05064	complement component 6
205997_at	-2.47	4.51E-02	ADAM28	NM_021778	ADAM metallopeptidase domain 28
203881_s_at	-2.48	4.84E-03	DMD	NM_004010	dystrophin
36830_at	-2.48	4.59E-03	MIPEP	U80034	mitochondrial intermediate peptidase
201012_at	-2.49	4.01E-02	ANXA1	NM_000700	annexin A1
202458_at	-2.49	1.52E-02	PRSS23	NM_007173	protease, serine, 23
202488_s_at	-2.49	1.79E-03	FXYD3	NM_005971	FXYD domain containing ion transport regulator 3
211429_s_at	-2.49	1.79E-02	SERPINA1	AF119873	serpin peptidase inhibitor, clade A (alpha-1 antiproteinase, antitrypsin), member 1
208153_s_at	-2.5	4.27E-04	FAT2	NM_001447	FAT tumor suppressor homolog 2 (Drosophila)
206243_at	-2.51	2.88E-05	TIMP4	NM_003256	TIMP metallopeptidase inhibitor 4
206191_at	-2.51	6.04E-04	ENTPD3	NM_001248	ectonucleoside triphosphate diphosphohydrolase 3
204955_at	-2.52	4.51E-02	SRPX	NM_006307	sushi-repeat-containing protein, X-linked
203074_at	-2.52	3.32E-02	ANXA8 /// ANXA8L1 /// ANXA8L2	NM_001630	annexin A8 /// annexin A8-like 1 /// annexin A8-like 2
202995_s_at	-2.54	3.18E-02	FBLN1	NM_006486	fibulin 1
40665_at	-2.55	3.27E-02	FMO3	M83772	flavin containing monooxygenase 3
202017_at	-2.55	2.64E-03	EPHX1	NM_000120	epoxide hydrolase 1, microsomal (xenobiotic)
203766_s_at	-2.55	1.17E-02	LMOD1	NM_012134	leiomodin 1 (smooth muscle)
206094_x_at	-2.56	3.36E-02	UGT1A1 /// UGT1A10 /// UGT1A3 /// UGT1A4 /// UGT1A5 /// UGT1A6 /// UGT1A7 /// UGT1A8 /// UGT1A9	NM_001072	UDP glucuronosyltransferase 1 family, polypeptide A1 /// UDP glucuronosyltransferase 1 family, polypeptide A10 /// UDP glucuronosyltransferase 1 family, polypeptide A3 /// UDP glucuronosyltransferase 1 family, polypeptide A4 /// UDP glucuronosyltransferase 1 family, polypeptide A5 /// UDP glucuronosyltransferase 1 family, polypeptide A6 /// UDP glucuronosyltransferase 1 family, polypeptide A7 /// UDP glucuronosyltransferase 1 family, polypeptide A8 /// UDP glucuronosyltransferase 1 family, polypeptide A9
206560_s_at	-2.56	5.71E-03	MIA	NM_006533	melanoma inhibitory activity
212971_at	-2.56	2.67E-03	CARS	AI769685	cysteinyl-tRNA synthetase
221215_s_at	-2.57	1.06E-03	RIPK4	NM_020639	receptor-interacting serine-threonine kinase 4
205073_at	-2.57	1.99E-03	CYP2J2	NM_000775	cytochrome P450, family 2, subfamily J, polypeptide 2
208228_s_at	-2.58	1.80E-02	FGFR2	M87771	fibroblast growth factor receptor 2
219956_at	-2.58	2.81E-02	GALNT6	NM_007210	UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 6 (GalNAc-T6)
205251_at	-2.61	2.08E-02	PER2	NM_022817	period homolog 2 (Drosophila)
202286_s_at	-2.61	3.31E-02	TACSTD2	J04152	tumor-associated calcium signal transducer 2
205906_at	-2.61	5.78E-03	FOXJ1	NM_001454	forkhead box J1
220230_s_at	-2.61	2.71E-05	CYB5R2	NM_016229	cytochrome b5 reductase 2
209230_s_at	-2.63	2.00E-03	NUPR1	AF135266	nuclear protein 1
205470_s_at	-2.64	4.33E-02	KLK11	NM_006853	kallikrein-related peptidase 11
209950_s_at	-2.64	2.09E-03	VILL	BC004300	villin-like
41660_at	-2.64	3.27E-04	CELSR1	AL031588	cadherin, EGF LAG seven-pass G-type receptor 1 (flamingo homolog, Drosophila)
204731_at	-2.66	1.63E-03	TGFBR3	NM_003243	transforming growth factor, beta receptor III
35148_at	-2.66	5.76E-03	TJP3	AC_005954	tight junction protein 3 (zona occludens 3)
202625_at	-2.66	5.70E-03	LYN	AI356412	v-yes-1 Yamaguchi sarcoma viral related oncogene homolog
209894_at	-2.67	4.40E-02	LEPR	U50748	leptin receptor
207126_x_at	-2.67	2.97E-02	UGT1A1 /// UGT1A10 /// UGT1A4 /// UGT1A6 /// UGT1A8 /// UGT1A9	NM_000463	UDP glucuronosyltransferase 1 family, polypeptide A1 /// UDP glucuronosyltransferase 1 family, polypeptide A10 /// UDP glucuronosyltransferase 1 family, polypeptide A4 /// UDP glucuronosyltransferase 1 family, polypeptide A6 /// UDP glucuronosyltransferase 1 family, polypeptide A8 /// UDP glucuronosyltransferase 1 family, polypeptide A9
202054_s_at	-2.67	6.07E-03	ALDH3A2	NM_000382	aldehyde dehydrogenase 3 family, member A2
204470_at	-2.71	3.99E-03	CXCL1	NM_001511	chemokine (C-X-C motif) ligand 1 (melanoma growth stimulating activity, alpha)
205489_at	-2.71	8.54E-03	CRYM	NM_001888	crystallin, mu
204179_at	-2.71	5.87E-03	MB	NM_005368	myoglobin
210072_at	-2.71	3.34E-02	CCL19	U88321	chemokine (C-C motif) ligand 19
205379_at	-2.72	1.83E-04	CBR3	NM_001236	carbonyl reductase 3
203407_at	-2.72	1.06E-02	PPL	NM_002705	periplakin
205141_at	-2.75	8.47E-04	ANG	NM_001145	angiogenin, ribonuclease, RNase A family, 5
204591_at	-2.76	2.93E-02	CHL1	NM_006614	cell adhesion molecule with homology to L1CAM (close homolog of L1)
207913_at	-2.77	1.49E-03	CYP2F1	NM_000774	cytochrome P450, family 2, subfamily F, polypeptide 1
220302_at	-2.77	2.65E-02	MAK	NM_005906	male germ cell-associated kinase
200878_at	-2.77	3.31E-02	EPAS1	AF052094	endothelial PAS domain protein 1
205559_s_at	-2.79	1.10E-03	PCSK5	NM_006200	proprotein convertase subtilisin/kexin type 5
218960_at	-2.81	2.94E-02	TMPRSS4	NM_016425	transmembrane protease, serine 4
202283_at	-2.81	1.58E-02	SERPINF1	NM_002615	serpin peptidase inhibitor, clade F (alpha-2 antiplasmin, pigment epithelium derived factor), member 1
220528_at	-2.82	3.36E-03	VNN3	NM_018399	vanin 3
218807_at	-2.85	1.25E-02	VAV3	NM_006113	vav 3 guanine nucleotide exchange factor
205185_at	-2.86	1.30E-02	SPINK5	NM_006846	serine peptidase inhibitor, Kazal type 5
220050_at	-2.86	3.09E-03	C9orf9	NM_018956	chromosome 9 open reading frame 9
204897_at	-2.87	1.02E-02	PTGER4	AA897516	prostaglandin E receptor 4 (subtype EP4)
221024_s_at	-2.88	4.99E-03	SLC2A10	NM_030777	solute carrier family 2 (facilitated glucose transporter), member 10
205382_s_at	-2.9	6.28E-03	CFD	NM_001928	complement factor D (adipsin)
204070_at	-2.91	2.51E-03	RARRES3	NM_004585	retinoic acid receptor responder (tazarotene induced) 3
201349_at	-2.92	3.63E-05	SLC9A3R1	NM_004252	solute carrier family 9 (sodium/hydrogen exchanger), member 3 regulator 1
220197_at	-2.96	1.23E-02	ATP6V0A4	NM_020632	ATPase, H+ transporting, lysosomal V0 subunit a4
202075_s_at	-2.98	6.85E-04	PLTP	NM_006227	phospholipid transfer protein
204753_s_at	-3	2.50E-02	HLF	AI810712	hepatic leukemia factor
207222_at	-3.04	4.58E-03	PLA2G10	NM_003561	phospholipase A2, group X
211471_s_at	-3.04	8.05E-03	RAB36	AF133588	RAB36, member RAS oncogene family
220500_s_at	-3.05	4.78E-03	RABL2A /// RABL2B	NM_007082	RAB, member of RAS oncogene family-like 2A /// RAB, member of RAS oncogene family-like 2B
204788_s_at	-3.06	2.03E-03	PPOX	NM_000309	protoporphyrinogen oxidase
209581_at	-3.07	3.54E-03	PLA2G16	BC001387	phospholipase A2, group XVI
205518_s_at	-3.1	1.40E-02	CMAH	NM_003570	cytidine monophosphate-N-acetylneuraminic acid hydroxylase (CMP-N-acetylneuraminate monooxygenase) pseudogene
205668_at	-3.11	1.39E-03	LY75	NM_002349	lymphocyte antigen 75
206165_s_at	-3.11	1.64E-02	CLCA2	NM_006536	chloride channel regulator 2
202289_s_at	-3.12	9.32E-03	TACC2	NM_006997	transforming, acidic coiled-coil containing protein 2
207328_at	-3.12	7.02E-03	ALOX15	NM_001140	arachidonate 15-lipoxygenase
204363_at	-3.14	9.59E-03	F3	NM_001993	coagulation factor III (thromboplastin, tissue factor)
57540_at	-3.14	3.02E-03	RBKS	AI823980	ribokinase
205769_at	-3.16	8.25E-03	SLC27A2	NM_003645	solute carrier family 27 (fatty acid transporter), member 2
212586_at	-3.16	2.20E-03	CAST	AA195244	calpastatin
205206_at	-3.21	1.77E-02	KAL1	NM_000216	Kallmann syndrome 1 sequence
203400_s_at	-3.21	5.26E-03	TF	NM_001063	transferrin
205158_at	-3.23	3.46E-03	RNASE4	NM_002937	ribonuclease, RNase A family, 4
217767_at	-3.26	1.58E-02	C3	NM_000064	complement component 3
206825_at	-3.26	1.63E-02	OXTR	NM_000916	oxytocin receptor
209706_at	-3.28	4.18E-03	NKX3-1	AF247704	NK3 homeobox 1
210534_s_at	-3.3	7.67E-03	B9D1	BC002944	B9 protein domain 1
203571_s_at	-3.32	2.38E-02	C10orf116	NM_006829	chromosome 10 open reading frame 116
211564_s_at	-3.36	1.46E-04	PDLIM4	BC003096	PDZ and LIM domain 4
218729_at	-3.38	1.77E-03	LXN	NM_020169	latexin
202481_at	-3.45	5.02E-04	DHRS3	NM_004753	dehydrogenase/reductase (SDR family) member 3
207330_at	-3.48	2.03E-03	PZP	NM_002864	pregnancy-zone protein
213800_at	-3.49	4.25E-03	CFH	X04697	complement factor H
205081_at	-3.5	3.16E-03	CRIP1	NM_001311	cysteine-rich protein 1 (intestinal)
205709_s_at	-3.53	7.88E-04	CDS1	NM_001263	CDP-diacylglycerol synthase (phosphatidate cytidylyltransferase) 1
209194_at	-3.53	1.91E-03	CETN2	BC005334	centrin, EF-hand protein, 2
205037_at	-3.56	1.91E-03	RABL4	NM_006860	RAB, member of RAS oncogene family-like 4
202201_at	-3.57	1.70E-02	BLVRB	NM_000713	biliverdin reductase B (flavin reductase (NADPH))
209829_at	-3.59	9.45E-03	FAM65B	AB002384	family with sequence similarity 65, member B
209270_at	-3.6	4.09E-03	LAMB3	L25541	laminin, beta 3
219151_s_at	-3.61	6.51E-03	RABL2A /// RABL2B	NM_007081	RAB, member of RAS oncogene family-like 2A /// RAB, member of RAS oncogene family-like 2B
218002_s_at	-3.63	2.96E-02	CXCL14	NM_004887	chemokine (C-X-C motif) ligand 14
207959_s_at	-3.63	3.57E-03	DNAH9	NM_004662	dynein, axonemal, heavy chain 9
204846_at	-3.64	1.04E-02	CP	NM_000096	ceruloplasmin (ferroxidase)
201820_at	-3.65	1.59E-02	KRT5	NM_000424	keratin 5
218437_s_at	-3.69	9.85E-03	LZTFL1	NM_020347	leucine zipper transcription factor-like 1
220161_s_at	-3.71	1.53E-03	EPB41L4B	NM_019114	erythrocyte membrane protein band 4.1 like 4B
205208_at	-3.72	1.70E-03	ALDH1L1	NM_012190	aldehyde dehydrogenase 1 family, member L1
201650_at	-3.77	2.86E-03	JUP /// KRT19	NM_002276	junction plakoglobin /// keratin 19
206483_at	-3.8	2.63E-03	LRRC6	NM_012472	leucine rich repeat containing 6
201953_at	-3.8	3.15E-03	CIB1	NM_006384	calcium and integrin binding 1 (calmyrin)
214440_at	-3.82	6.93E-03	NAT1	NM_000662	N-acetyltransferase 1 (arylamine N-acetyltransferase)
205220_at	-3.91	6.84E-04	GPR109B	NM_006018	G protein-coupled receptor 109B
204151_x_at	-3.96	2.89E-02	AKR1C1	NM_001353	aldo-keto reductase family 1, member C1 (dihydrodiol dehydrogenase 1; 20-alpha (3-alpha)-hydroxysteroid dehydrogenase)
219799_s_at	-3.97	1.32E-02	DHRS9	NM_005771	dehydrogenase/reductase (SDR family) member 9
205726_at	-4.01	5.20E-04	DIAPH2	NM_006729	diaphanous homolog 2 (Drosophila)
209699_x_at	-4.03	3.87E-02	AKR1C2	U05598	aldo-keto reductase family 1, member C2 (dihydrodiol dehydrogenase 2; bile acid binding protein; 3-alpha hydroxysteroid dehydrogenase, type III)
202504_at	-4.07	2.00E-03	TRIM29	NM_012101	tripartite motif-containing 29
215125_s_at	-4.11	1.33E-02	UGT1A1 /// UGT1A10 /// UGT1A3 /// UGT1A4 /// UGT1A5 /// UGT1A6 /// UGT1A7 /// UGT1A8 /// UGT1A9	AV691323	UDP glucuronosyltransferase 1 family, polypeptide A1 /// UDP glucuronosyltransferase 1 family, polypeptide A10 /// UDP glucuronosyltransferase 1 family, polypeptide A3 /// UDP glucuronosyltransferase 1 family, polypeptide A4 /// UDP glucuronosyltransferase 1 family, polypeptide A5 /// UDP glucuronosyltransferase 1 family, polypeptide A6 /// UDP glucuronosyltransferase 1 family, polypeptide A7 /// UDP glucuronosyltransferase 1 family, polypeptide A8 /// UDP glucuronosyltransferase 1 family, polypeptide A9
220105_at	-4.14	2.15E-03	RTDR1	NM_014433	rhabdoid tumor deletion region gene 1
212187_x_at	-4.17	1.53E-02	PTGDS	NM_000954	prostaglandin D2 synthase 21kDa (brain)
210323_at	-4.2	9.88E-04	TEKT2	AB033823	tektin 2 (testicular)
220125_at	-4.21	3.09E-04	DNAI1	NM_012144	dynein, axonemal, intermediate chain 1
207808_s_at	-4.3	5.71E-04	PROS1	NM_000313	protein S (alpha)
204437_s_at	-4.31	1.56E-03	FOLR1	NM_016725	folate receptor 1 (adult)
222102_at	-4.32	9.43E-04	GSTA3	NM_000847	glutathione S-transferase alpha 3
204542_at	-4.38	6.10E-05	ST6GALNAC2	NM_006456	ST6 (alpha-N-acetyl-neuraminyl-2,3-beta-galactosyl-1,3)-N-acetylgalactosaminide alpha-2,6-sialyltransferase 2
210390_s_at	-4.44	3.23E-03	CCL14 /// CCL15	AF031587	chemokine (C-C motif) ligand 14 /// chemokine (C-C motif) ligand 15
203021_at	-4.46	9.25E-05	SLPI	NM_003064	secretory leukocyte peptidase inhibitor
203675_at	-4.48	5.97E-04	NUCB2	NM_005013	nucleobindin 2
209173_at	-4.51	2.52E-03	AGR2	AF088867	anterior gradient homolog 2 (Xenopus laevis)
201525_at	-4.55	1.04E-03	APOD	NM_001647	apolipoprotein D
209309_at	-4.63	4.69E-02	AZGP1	D90427	alpha-2-glycoprotein 1, zinc-binding
204379_s_at	-4.64	8.32E-03	FGFR3	NM_000142	fibroblast growth factor receptor 3
205009_at	-4.68	5.38E-03	TFF1	NM_003225	trefoil factor 1
205513_at	-4.71	1.44E-02	TCN1	NM_001062	transcobalamin I (vitamin B12 binding protein, R binder family)
208498_s_at	-4.73	2.84E-04	AMY1A	NM_004038	amylase, alpha 1A (salivary) /// amylase, alpha 1B (salivary) /// amylase, alpha 1C (salivary) /// amylase, alpha 2A (pancreatic) /// amylase, alpha 2B (pancreatic)
209114_at	-4.73	5.34E-03	TSPAN1	AF133425	tetraspanin 1
209863_s_at	-4.74	2.27E-03	TP63	AF091627	tumor protein p63
203892_at	-4.8	1.18E-03	WFDC2	NM_006103	WAP four-disulfide core domain 2
210505_at	-4.81	1.14E-02	ADH7	U07821	alcohol dehydrogenase 7 (class IV), mu or sigma polypeptide
209613_s_at	-4.81	4.50E-03	ADH1B	M21692	alcohol dehydrogenase 1B (class I), beta polypeptide
205597_at	-4.91	2.26E-03	SLC44A4	NM_025257	solute carrier family 44, member 4
206385_s_at	-4.93	1.60E-03	ANK3	NM_020987	ankyrin 3, node of Ranvier (ankyrin G)
214433_s_at	-4.93	4.03E-04	SELENBP1	NM_003944	selenium binding protein 1
204304_s_at	-5.02	4.67E-03	PROM1	NM_006017	prominin 1
205186_at	-5.11	4.65E-03	DNALI1	NM_003462	dynein, axonemal, light intermediate chain 1
206754_s_at	-5.24	1.60E-03	CYP2B7P1	NM_000767	cytochrome P450, family 2, subfamily B, polypeptide 6 /// cytochrome P450, family 2, subfamily B, polypeptide 7 pseudogene 1
204623_at	-5.42	1.06E-02	TFF3	NM_003226	trefoil factor 3 (intestinal)
209160_at	-5.45	1.03E-02	AKR1C3	AB018580	aldo-keto reductase family 1, member C3 (3-alpha hydroxysteroid dehydrogenase, type II)
205319_at	-5.48	2.59E-03	PSCA	NM_005672	prostate stem cell antigen
204971_at	-5.5	2.42E-02	CSTA	NM_005213	cystatin A (stefin A)
208792_s_at	-5.79	1.95E-04	CLU	M25915	clusterin
212531_at	-5.88	9.56E-03	LCN2	NM_005564	lipocalin 2
205979_at	-5.89	9.50E-03	SCGB2A1	NM_002407	secretoglobin, family 2A, member 1
205896_at	-6.11	6.91E-04	SLC22A4	NM_003059	solute carrier family 22 (organic cation/ergothioneine transporter), member 4
205406_s_at	-6.22	1.40E-03	KHDC1 /// SPA17	NM_017425	KH homology domain containing 1 /// sperm autoantigenic protein 17
210445_at	-6.26	1.02E-05	FABP6	U19869	fatty acid binding protein 6, ileal
204802_at	-6.27	2.40E-04	RRAD	NM_004165	Ras-related associated with diabetes
210033_s_at	-6.43	1.50E-03	SPAG6	AF079363	sperm associated antigen 6
220308_at	-6.68	7.67E-04	CCDC19	NM_012337	coiled-coil domain containing 19
218876_at	-7.33	1.65E-03	TPPP3	NM_016140	tubulin polymerization-promoting protein family member 3
206197_at	-7.37	1.55E-03	NME5	NM_003551	non-metastatic cells 5, protein expressed in (nucleoside-diphosphate kinase)
212224_at	-7.47	2.06E-03	ALDH1A1	NM_000689	aldehyde dehydrogenase 1 family, member A1
206291_at	-8.84	1.01E-03	NTS	NM_006183	neurotensin
220636_at	-9	5.81E-04	DNAI2	NM_023036	dynein, axonemal, intermediate chain 2
209616_s_at	-9.08	1.33E-04	CES1	S73751	carboxylesterase 1 (monocyte/macrophage serine esterase 1)
205725_at	-9.6	6.11E-03	SCGB1A1	NM_003357	secretoglobin, family 1A, member 1 (uteroglobin)
203824_at	-9.6	2.72E-04	TSPAN8	NM_004616	tetraspanin 8
202018_s_at	-9.82	2.11E-02	LTF	NM_002343	lactotransferrin
204734_at	-11.55	2.81E-03	KRT15	NM_002275	keratin 15
206509_at	-11.68	4.26E-03	PIP	NM_002652	prolactin-induced protein
206262_at	-12.82	1.30E-03	ADH1C	NM_000669	alcohol dehydrogenase 1C (class I), gamma polypeptide
210096_at	-13.3	1.33E-04	CYP4B1	J02871	cytochrome P450, family 4, subfamily B, polypeptide 1
205623_at	-16.48	3.13E-03	ALDH3A1	NM_000691	aldehyde dehydrogenase 3 family, memberA1
210297_s_at	-18.46	6.17E-07	MSMB	U22178	microseminoprotein, beta-
204919_at	-23.84	1.31E-02	PRR4	NM_007244	proline rich 4 (lacrimal)
203924_at	-28.63	1.42E-05	GSTA1	NM_000846	glutathione S-transferase alpha 1
