RAE230A Affymetrix Sequence code	Accession No.	Gene Name	Gene Description	D (day -13.8)	P (day -13.8)	D (day -13)	P (day -13)	D (day 3)	P (day 3)	Ontology
1368314_at	NM_031756.1	GGCX	gamma-glutamyl carboxylase					2.6	1.60E-08	Miscellaneous / unknown
1371302_at	XM_215807	GNRHR	gonadotropin-releasing hormone receptor					2	5.10E-06	Miscellaneous / unknown
1370004_at	M99065.1	H2AFY	H2A histone family, member Y					1.9	3.40E-03	Miscellaneous / unknown
1372087_at	XM_216665	HARPB64	hypertrophic agonist responsive protein			2.1	0.00194	2.1	1.40E-06	Miscellaneous / unknown
1387548_at	NM_013153.1	HAS2	hyaluronan synthase 2					5.2	6.80E-07	Miscellaneous / unknown
1388193_at	XM_213744	HIP1	huntingtin interacting protein 1					2.4	2.70E-07	Miscellaneous / unknown
1370462_at	AI171185	HMMR	hyaluronan mediated motility receptor					2.4	3.10E-08	Miscellaneous / unknown
1388850_at	BG671521	HSP86	heat shock protein 1, alpha	1.6	1.10E-07			1.9	2.90E-11	Miscellaneous / unknown
1376109_at	BM387711	IGB3 synthase	iGb3 synthase	1.8	1.40E-15			1.5	3.10E-03	Miscellaneous / unknown
1370333_a_at	M15481.1	IGF1	insulin-like growth factor 1					2.7	4.70E-43	Miscellaneous / unknown
1387687_at	NM_133542.1	IGSF6	immunoglobulin superfamily, member 6	4	2.80E-22	2.9	7.30E-17	4.3	0.00E+00	Miscellaneous / unknown
1370526_at	XM_213386	ITGAE	integrin alpha E1, epithelial-associated					1.8	3.30E-06	Miscellaneous / unknown
1386976_at	NM_031797.1	KAI1	kangai 1					2.5	9.90E-03	Miscellaneous / unknown
1387965_at	AF035963.1	KIM-1	kidney injury molecule 1					2	1.30E-04	Miscellaneous / unknown
1374794_at		KNSL7	kinesin-like 7					3.4	1.50E-06	Miscellaneous / unknown
1368006_at	NM_053538.1	LAPTM5	lysosomal-associated protein transmembrane 5			2	7.90E-19	3	0.00E+00	Miscellaneous / unknown
1389250_at	AW915115	LFNG	lunatic fringe gene homolog (Drosophila)			1.7	8.10E-05	1.8	2.20E-04	Miscellaneous / unknown
1370928_at	BI284739	LITAF	LPS-induced TNF-alpha factor	1.6	4.30E-32	1.5	2.60E-12	1.8	1.50E-25	Miscellaneous / unknown
1388151_at	NM_220167	LOC192276	tumor specific antigen 70 kDa					1.9	6.00E-04	Miscellaneous / unknown
1387918_at	NM_173111	LOC286890	tropomyosin isoform 6			3.3	0.00726	2.4	2.50E-04	Miscellaneous / unknown
1388100_at	AF177478.1	LOC286919	CDK5 activator-binding protein			1.7	8.10E-03	2.2	8.90E-04	Miscellaneous / unknown
1370902_at	AI233740	LOC286921	aldose reductase-like protein			2	2.00E-05			Miscellaneous / unknown
1370442_at	NM_173313	LOC286978	thymosin beta-like protein					3.7	3.90E-04	Miscellaneous / unknown
1376986_at	NM_173324	LOC286990	epidermal Langerhans cell protein LCP1			11.2	0.00242			Miscellaneous / unknown
1370371_a_at	U23056.1	LOC287009	C-CAM4 protein	1.9	3.00E-08			1.5	6.10E-03	Miscellaneous / unknown
1371561_at	XM_227314	LOC303565	glucose-6-phosphatase catalytic subunit-related					1.9	1.40E-07	Miscellaneous / unknown
1388924_at	AA818262	LOC362850	angiopoietin-like protein 4	2.9	7.10E-12			5.4	4.80E-18	Miscellaneous / unknown
1369725_at	NM_020101.1	LOC56826	Centaurin-alpha2 protein			2.2	5.20E-05	2.5	8.80E-08	Miscellaneous / unknown
1382534_at	BF284898	LOC56826	Centaurin-alpha2 protein			1.5	8.50E-04	2.1	2.10E-07	Miscellaneous / unknown
1369076_at	NM_021671.1	LOC59303	DB83					1.9	3.50E-03	Miscellaneous / unknown
1367699_at	AB008161.1	LOC81922	SH3-domain GRB2-like 1					1.8	8.80E-05	Miscellaneous / unknown
1368172_a_at	BI304009	LOX	lysyl oxidase					2.2	1.50E-29	Miscellaneous / unknown
1388282_s_at	NM_198746		Ly-49.9 antigen			2	0.000275	5.6	2.20E-06	Miscellaneous / unknown
1370056_at	NM_020103.1	LY6C	Ly6-C antigen gene	3	1.30E-20	2.6	5.00E-09	2.8	7.40E-13	Miscellaneous / unknown
1368927_at	NM_017249.1	MBC2	membrane bound C2 domain containing protein					1.8	1.10E-03	Miscellaneous / unknown
1368501_s_at	NM_019323.1	MCPT9	mast cell protease 9	1.5	5.20E-03			2.6	5.00E-04	Miscellaneous / unknown
1376976_at	NM_199082	MGC72571	Unknown (protein for MGC:72571)			10	0.000174	13.8	3.40E-09	Miscellaneous / unknown
1369427_at	NM_022617.1	MPEG1	macrophage expressed gene 1	3.1	4.40E-03	5	1.50E-12	6.4	3.10E-32	Miscellaneous / unknown
1387402_at	NM_013194.1	MYH9	myosin, heavy polypeptide 9			1.8	7.80E-03	2.2	2.50E-03	Miscellaneous / unknown
1389408_at	XM_343427	NEDD4a	eural precursor cell expressed, developmentally down-regulated gene 4					3.3	4.60E-12	Miscellaneous / unknown
1374003_at	BM389589	NMT1	N-myristoyltransferase 1					2	6.40E-03	Miscellaneous / unknown
1388340_at	BF281153	NS5ATP9 protein	Ns5atp9 protein					2.2	2.50E-16	Miscellaneous / unknown
1377049_at	BE107890	NTE-RELATED	NTE-related protein			2.2	5.80E-03	1.6	6.10E-03	Miscellaneous / unknown
1376198_at	BI303342	OL16	visceral adipose tissue-specific transmembrane protein OL-16					1.9	3.60E-08	Miscellaneous / unknown
1368683_at	NM_133306.1	OLR1	oxidised low density lipoprotein (lectin-like) receptor 1	8.3	2.00E-12	2.8	6.80E-03	3.7	5.00E-11	Miscellaneous / unknown
1368091_at	NM_053904.1	OPLAH	5-oxoprolinase (ATP-hydrolysing)			1.5	6.10E-03	2	2.10E-08	Miscellaneous / unknown
1368655_at	NM_020074.1	PGSG	proteoglycan peptide core protein	2.5	2.10E-04	1.6	1.70E-03	1.7	4.90E-04	Miscellaneous / unknown
1387412_at	NM_053926.1	PIP5K2A	phosphatidylinositol-4-phosphate 5-kinase, type II, alpha	2	4.50E-04			3.2	4.60E-03	Miscellaneous / unknown
1369029_at	NM_057194.1	PLSCR1	phospholipid scramblase 1	3.1	1.30E-07	2	1.30E-04	2.8	7.10E-07	Miscellaneous / unknown
1376611_at	AI103682	POLA1	DNA polymerase alpha subunit I					1.9	3.00E-05	Miscellaneous / unknown
1387946_at	AF065438.1	PPICAP	peptidylprolyl isomerase C-associated protein			1.8	2.00E-04	3.7	8.10E-44	Miscellaneous / unknown
1367881_at	NM_013016.1	PTPNS1	protein tyrosine phosphatase, non-receptor type substrate 1			1.7	4.50E-18	2.1	2.30E-35	Miscellaneous / unknown
1390422_at	NM_182821	PXK	PX serine/threonine kinase					1.8	7.60E-09	Miscellaneous / unknown
1370942_at	AI170661	RASA3	RAS p21 protein activator 3	1.7	5.70E-04	3.6	1.30E-08	3.8	2.80E-11	Miscellaneous / unknown
1374844_at		RBM14	RNA binding motif protein 14					1.9	8.80E-03	Miscellaneous / unknown
1388135_at	BM385924	RPA2	p32-subunit of replication protein A					1.9	1.20E-05	Miscellaneous / unknown
1369552_at	NM_130821.1	SAMSN1	SAM domain, SH3 domain and nuclear localisation signals, 1	1.9	3.10E-04			1.9	4.80E-03	Miscellaneous / unknown
1369805_at	NM_021581.1	SC65	SC65 synaptonemal complex protein					2	6.80E-07	Miscellaneous / unknown
1367688_at	NM_031725.1	SCAMP4	secretory carrier membrane protein 4					2.1	1.40E-05	Miscellaneous / unknown
1367721_at	NM_012649.1	SDC4	syndecan 4	3.2	0.00E+00	1.5	8.20E-05			Miscellaneous / unknown
1369009_at	NM_017173.1	SERPINH1	serine (or cysteine) proteinase inhibitor, clade H, member 1					5.4	1.10E-03	Miscellaneous / unknown
1390119_at	XM_227314	SFRP2	secreted frizzled-related protein 2			1.8	0	4	0.00E+00	Miscellaneous / unknown
1379766_at	AI500952	SLA	src-like adaptor	2.4	4.90E-07	2.2	5.00E-05	4.9	2.00E-20	Miscellaneous / unknown
1367998_at	NM_053372.1	SLPI	secretory leukocyte protease inhibitor	2.6	8.30E-09	2.6	5.40E-22	7	0.00E+00	Miscellaneous / unknown
1386964_at	NM_080775.1	SMGB	neonatal submandibular gland protein B			5.8	4.90E-03			Miscellaneous / unknown
1368224_at	NM_031531.1	SPIN2C	Serine protease inhibitor	1.7	1.70E-06	1.8	8.70E-05	5.7	0.00E+00	Miscellaneous / unknown
1370312_at	M88469.1	SPONF	f-spondin					4.6	0.00E+00	Miscellaneous / unknown
1389557_at	_	STAR	steroidogenic acute regulatory protein			1.5	0.00912	1.8	3.20E-03	Miscellaneous / unknown
1368522_at	NM_031340.1	TIMELESS	timeless (Drosophila) homolog					3.4	2.20E-05	Miscellaneous / unknown
1390292_at	XM_220264	TMEM8	transmembrane protein 8			2.1	0.000589	2.2	4.20E-07	Miscellaneous / unknown
1368840_at	NM_134390.1	TORID	TORID			1.5	6.20E-06	2.3	1.20E-36	Miscellaneous / unknown
1372436_at	BG668434	TPD52l2	tumor protein D52-like 2					3.4	1.10E-04	Miscellaneous / unknown
1368179_at	NM_134465.1	TSLPR	thymic stromal-derived lymphopoietin, receptor	3.4	2.00E-03	2.7	3.30E-05	7.8	3.20E-09	Miscellaneous / unknown
1370613_s_at	AF461738.1	UGT1A7	UDP glycosyltransferase 1 family, polypeptide A7			2.1	9.20E-04			Miscellaneous / unknown
1370807_at	AF411216.1	VMP1	vacuole Membrane Protein 1					2	0.00E+00	Miscellaneous / unknown
1370712_at	U36899.1	VN2	vomeronasal receptor 2			2.2	8.40E-03			Miscellaneous / unknown
1367776_at	NM_019296.1	CDC2A	cell division cycle 2 homolog A (S. pombe)					3.1	2.80E-13	Protein modification
1387111_at	NM_022297.1	DDAH1	dimethylarginine dimethylaminohydrolase 1					1.8	3.80E-04	Protein modification
1387136_at	NM_033099.1	ESP	Osteotesticular phosphatase					2.9	2.00E-13	Protein modification
1373490_at	BG666787	GMFG	glia maturation factor, gamma	2	8.10E-13	1.7	2.60E-13	2.5	2.00E-34	Protein modification
1369204_at	NM_013185.1	HCK	hemopoietic cell kinase	2.3	4.00E-11	3.2	5.60E-14	3.8	0.00E+00	Protein modification
1370469_at	U28356.1	LCPTP	protein-tyrosine phosphatase, non-receptor type 7					2.9	9.10E-03	Protein modification
1387834_at	NM_021859.1	MATK	megakaryocyte-associated tyrosine kinase			2.6	2.60E-03	6.8	1.90E-16	Protein modification
1374565_at	BF282365	NEK6	NIMA (never in mitosis gene a)-related expressed kinase 6			2	3.40E-06	4.6	2.30E-25	Protein modification
1370297_at	U10188.1	PLK	polo-like kinase homolog (Drosophila)					2.3	1.10E-03	Protein modification
1372877_at	BI304070	PLOD3	procollagen-lysine, 2-oxoglutarate 5-dioxygenase 3					2.5	1.70E-08	Protein modification
1369961_at	NM_022538.1	PPAP2A	phosphatidate phosphohydrolase type 2a					1.8	6.00E-20	Protein modification
1386992_at	NM_017175.1	PRKCL1	protein kinase C-like 1			1.5	3.50E-03	2.2	8.70E-08	Protein modification
1368010_at	NM_053908.1	PTPH6	protein tyrosine phosphatase, non-receptor type 6			1.5	5.50E-06	2.1	5.30E-16	Protein modification
1368645_at	NM_012637.1	PTPN1	protein tyrosine phosphatase, non-receptor type 1	2.3	4.40E-07	1.6	1.20E-04	2.6	9.00E-07	Protein modification
1370603_a_at	M10072.1	PTPRC	protein tyrosine phosphatase, receptor type, C	3.2	3.20E-08	2.9	7.40E-07	3.5	4.10E-31	Protein modification
1371115_at	D78610.1	PTPRE	Protein tyrosine phosphatase, receptor type, epsilon polypeptide	2	1.60E-03			2.6	5.00E-05	Protein modification
1368589_at	NM_017269.1	PTPRJ	protein tyrosine phosphatase, receptor type, J	2.5	1.80E-04	4.1	5.90E-05	2.5	7.70E-04	Protein modification
1368412_a_at	D45412.1	PTPRO	protein tyrosine phosphatase, receptor type, O	1.8	1.30E-06	2.7	2.50E-30	1.8	1.70E-04	Protein modification
1370261_at	BI285433	RPS6KA1	S6 protein kinase (Rsk-1)			1.8	1.60E-07	1.6	4.60E-04	Protein modification
1376624_at	BF288208	SIAT8D	sialyltransferase 8 (alpha-2, 8-polysialytransferase) D	1.7	6.20E-11	1.9	1.30E-11	3.3	4.30E-12	Protein modification
1368260_at	NM_053749.1	STK12	serine/threonine kinase 12					2.2	1.50E-13	Protein modification
1368223_at	NM_024400.1	ADAMTS1	a disintegrin and metalloproteinase with thrombospondin motifs 1 (ADAMTS-1)	3.1	9.20E-16	2.1	7.00E-04	3.5	1.30E-16	proteolysis and peptidolysis
1387893_at	D88250.1	C1S	complement component 1, s subcomponent			1.6	4.40E-03	1.8	7.50E-22	proteolysis and peptidolysis
1370885_at	AA849399	CTSZ	cathepsin Y	1.6	6.40E-08	1.5	8.90E-12	3.4	1.60E-33	proteolysis and peptidolysis
1370148_at	NM_012582.1	HP	haptoglobin	2.1	4.80E-20			1.7	5.50E-05	proteolysis and peptidolysis
1368521_at	NM_031670.1	KDAP	kidney-derived aspartic protease-like protein	18.8	8.70E-23	6.6	5.00E-07	48.2	2.30E-37	proteolysis and peptidolysis
1368430_at	AF154349.1	LGMN	protease, cysteine, 1 (legumain)			2.1	1.80E-06	2.8	0.00E+00	proteolysis and peptidolysis
1368530_at	NM_053963.1	MMP12	matrix metalloproteinase 12			4.1	8.60E-05	7.7	8.20E-13	proteolysis and peptidolysis
1388204_at	M60616.1	MMP13	matrix metalloproteinase 13					2	4.70E-08	proteolysis and peptidolysis
1367860_a_at	X83537.1	MMP14	matrix metalloproteinase 14, membrane-inserted					1.8	2.10E-17	proteolysis and peptidolysis
1368961_at	NM_053606.1	MMP23A	Matrix metalloproteinase 23					2.1	1.60E-11	proteolysis and peptidolysis
1368657_at	NM_133523.1	MMP3	matrix metalloproteinase 3	2.9	5.70E-29	2.7	1.40E-12	9.3	0.00E+00	proteolysis and peptidolysis
1372528_at	AI102069	NSF	N-ethylmaleimide sensitive factor			1.7	8.10E-03	1.8	3.90E-04	proteolysis and peptidolysis
1393467_at	BF549923	PCSK5	proprotein convertase subtilisin/kexin type 5			1.8	1.50E-03	3.4	7.50E-21	proteolysis and peptidolysis
1367712_at	NM_053819.1	TIMP1	tissue inhibitor of metalloproteinase 1	2.2	0.00E+00	1.8	5.90E-09	6.4	0.00E+00	proteolysis and peptidolysis
1368762_at	NM_053299.1	UBD	ubiquitin D					4.7	9.10E-04	proteolysis and peptidolysis
1370869_at	AI102790	BCAT1	branched chain aminotransferase 1, cytosolic	1.5	6.30E-07			2.2	1.50E-19	regulation of cell cycle;cell proliferation
1369884_at	NM_022182.1	FGF7	fibroblast growth factor 7					3.1	1.10E-07	regulation of cell cycle;cell proliferation
1374912_at	BI274467	KRP2	kinesin-related protein 2					3.9	9.30E-05	regulation of cell cycle;cell proliferation
1368448_at	NM_021586.1	LTBP2	latent transforming growth factor beta binding protein 2					6.5	6.80E-03	regulation of cell cycle;cell proliferation
1369968_at	NM_017066.1	PTN	pleiotrophin					2.4	1.90E-25	regulation of cell cycle;cell proliferation
1377198_at	AA891732	SCAP2	src family associated phosphoprotein 2					1.9	9.40E-08	regulation of cell cycle;cell proliferation
1387134_at	NM_053687.1	SLFN4	schlafen 4	5.8	9.20E-26	4.6	2.80E-45	4.8	5.60E-45	regulation of cell cycle;cell proliferation
1369268_at	NM_012912.1	ATF3	activating transcription factor 3			2.6	1.00E-06			regulation of transcription, DNA-dependent
1369310_at	NM_022300.1	BASP1	brain acidic membrane protein					4.3	4.20E-19	regulation of transcription, DNA-dependent
1368813_at	BF419200	CEBPD	CCAAT/enhancerbinding, protein (C/EBP) delta	7	1.80E-03	4.6	3.40E-03	12.3	3.00E-10	regulation of transcription, DNA-dependent
1369737_at	NM_017334.1	CREM	cAMP responsive element modulator	2.4	4.70E-04					regulation of transcription, DNA-dependent
1371536_at	AI233208	CRHSP-24	calcium regulated heat stable protein 1	1.6	3.60E-06			1.9	1.00E-04	regulation of transcription, DNA-dependent
1368571_at	NM_021997.1	CYLN2	cytoplasmic linker 2					2	2.90E-04	regulation of transcription, DNA-dependent
1376761_at	BF419085	HDAC4	histone deacetylase 4					3	1.10E-05	regulation of transcription, DNA-dependent
1368149_at	AI029318	HIF1A	hypoxia inducible factor 1, alpha subunit					4.1	4.40E-03	regulation of transcription, DNA-dependent
1367754_s_at	NM_031330.1	HNRPAB	heterogeneous nuclear ribonucleoprotein A/B					2.1	6.40E-03	regulation of transcription, DNA-dependent
1387788_at	NM_021836.1	JUNB	Jun-B oncogene	2.3	6.00E-15			1.6	1.70E-04	regulation of transcription, DNA-dependent
1372986_at	BF394170	JUNDP2	Jun dimerization protein 2					2	2.70E-06	regulation of transcription, DNA-dependent
1387978_at	U49057.1	LOC245925	CTD-binding SR-like protein rA9			2	8.90E-03	2.3	1.50E-04	regulation of transcription, DNA-dependent
1371074_a_at	U17565.1	MCMD6	mini chromosome maintenance deficient 6 (S. cerevisiae)			1.7	9.80E-05	3	2.90E-37	regulation of transcription, DNA-dependent
1368310_at	NM_017115.2	MYOG	myogenin					2.3	5.30E-05	regulation of transcription, DNA-dependent
1368488_at	NM_053727.1	NFIL3	nuclear factor, interleukin 3, regulated	2	3.40E-06					regulation of transcription, DNA-dependent
1387200_at	NM_021770.2	OLIG1	oligodendrocyte transcription factor 1			3	4.70E-03			regulation of transcription, DNA-dependent
1370432_at	M72711.1	POU3F1	POU domain, class 3, transcription factor 1	1.9	5.20E-04					regulation of transcription, DNA-dependent
1388089_a_at	AY050655.1	RNF4	ring finger protein 4					3.8	2.00E-03	regulation of transcription, DNA-dependent
1368914_at	NM_017325.1	RUNX1	runt related transcription factor 1	1.6	1.80E-04	2	4.40E-06	6.2	0.00E+00	regulation of transcription, DNA-dependent
1368394_at	AF140346.1	SFRP4	secreted frizzled-related protein 4					1.9	2.10E-31	regulation of transcription, DNA-dependent
1368825_at	AW142030	SHOX2	short stature homeobox 2					4.3	7.00E-04	regulation of transcription, DNA-dependent
1368735_a_at	NM_017207.1	TRPV2	vanilloid receptor-like protein 1			1.7	3.60E-03	2.3	2.10E-04	regulation of transcription, DNA-dependent
1370145_at	NM_023988.1	ZNF354C	zinc finger protein 354C					1.8	2.20E-05	regulation of transcription, DNA-dependent
1370265_at	BF285345	ARRB2	arrestin, beta 2			1.8	2.50E-05	2.5	6.50E-20	signal transduction
1370074_at	NM_057196.1	BAIAP2	brain-specific angiogenesis inhibitor 1-associated protein 2			4.4	5.50E-03			signal transduction
1369935_at	NM_012766.1	CCND3	cyclin D3					2.1	6.00E-08	signal transduction
1387472_at	NM_013169.1	CD3d	CD3 antigen delta polypeptide					3.9	3.70E-07	signal transduction
1388233_at	AF065161.1	CISH	cytokine inducible SH2-containing protein	2.5	1.10E-03					signal transduction
1368274_at	NM_031352.1	DBNL	drebrin-like			1.7	6.60E-11	1.8	1.20E-04	signal transduction
1372832_at	BI278868	EPIM	epimorphin					2.1	6.70E-03	signal transduction
1367861_at	NM_024147.1	EVL	RNB6					3.6	8.00E-09	signal transduction
1398304_at	L02530.1	FZD2	frizzled homolog 2 (Drosophila)					3.3	6.30E-07	signal transduction
1368408_at	NM_030829.1	GPRK5	G protein-coupled receptor kinase 5					2	1.00E-04	signal transduction
1367840_at	U87863.1	HGS	HGF-regulated tyrosine kinase substrate			1.9	3.60E-03			signal transduction
1370728_at	AY044251.1	IL13RA1	interleukin 13 receptor, alpha 1					3.2	3.00E-08	signal transduction
1389092_at	AI178808	IL2RG	interleukin 2 receptor, gamma chain	2.4	8.10E-14	2.5	1.00E-22	5.6	0.00E+00	signal transduction
1368134_a_at	NM_133380.1	IL4R	interleukin 4 receptor			6.5	4.80E-05	7.5	3.40E-18	signal transduction
1386987_at	NM_017020.1	IL6R	interleukin 6 receptor			1.8	2.40E-10	1.8	1.60E-12	signal transduction
1387198_at	NM_019311.1	INPP5D	inositol polyphosphate-5-phosphatase D					1.9	7.90E-20	signal transduction
1387040_at	NM_012798.1	MAL	myelin and lymphocyte protein	2.1	1.90E-04					signal transduction
1377059_at	AW533194	MAPK10	mitogen activated protein kinase 10	2.4	5.70E-03					signal transduction
1371237_a_at	AF411318.1	MT1A	Metallothionein	2.6	2.40E-27	2.4	2.20E-04	3.4	6.00E-34	signal transduction
1369743_a_at	U32497.1	P2RX4	purinergic receptor P2X, ligand-gated ion channel, 4			1.6	4.20E-15	1.9	2.50E-20	signal transduction
1369044_a_at	AF202733.1	PDE4B	phosphodiesterase 4B	2.4	1.10E-07	2.5	8.10E-04	2.3	2.50E-03	signal transduction
1376031_at	BE099769	PLAA	phospholipase A2, activating protein			2.5	8.70E-03			signal transduction
1387269_s_at	AF007789.1	PLAUR	Plasminogen activator, urokinase receptor	6.2	4.60E-04			4.9	7.20E-03	signal transduction
1370780_at	AF254800.1	RAB0	GTP-binding protein Rab0					1.9	7.80E-04	signal transduction
1367825_at	NM_019250.1	RALGDS	ral guanine nucleotide dissociation stimulator	1.9	8.10E-05					signal transduction
1370133_at	NM_021661.1	RGS19	calcium/calmodulin-dependent protein kinase I					1.8	1.80E-05	signal transduction
1368144_at	AF321837.1	RGS2	regulator of G-protein signaling protein 2					2.3	2.40E-09	signal transduction
1367862_at	NM_053338.1	RRAD	Ras-related associated with diabetes	7	5.20E-05	4.8	1.60E-05	4	6.50E-03	signal transduction
1371861_at	BE117558	SFRP1	secreted frizzled-related protein 1					1.8	2.40E-08	signal transduction
1377092_at	BF389682	SOCS3	cytokine inducible SH2-containing protein 3	3.8	0.00E+00	2	1.20E-05	3.6	3.20E-33	signal transduction
1369579_at	NM_022230.1	STC2	stanniocalcin-2			3.1	2.20E-03			signal transduction
1368103_at	NM_053502.1	ABCG1	ATP-binding cassette, sub-family G (WHITE), member 1			1.6	8.90E-06	2.5	1.80E-13	transport
1369982_at	NM_031008.1	AP2A2	adaptor protein complex AP-2, alpha 2 subunit			1.9	7.00E-05	2.3	8.40E-14	transport
1398357_at	BI281575	CPLX1	complexin 1	3.4	7.10E-03					transport
1369181_at	NM_023965.1	CYBB	endothelial type gp91-phox gene			3.4	1.00E-31	3.3	0.00E+00	transport
1370399_at	M29853.1	CYP4B1	cytochrome P450, subfamily 4B, polypeptide 1			1.5	7.90E-04	2	3.50E-09	transport
1387031_at	U36482.1	ERP29	endoplasmic retuclum protein 29					2.2	1.50E-31	transport
1370007_at	NM_053849.1	ERP72	protein disulfide isomerase related protein (calcium-binding protein, intestinal-related)					1.9	9.60E-06	transport
1370024_at	NM_030832.1	FABP7	fatty acid binding protein 7			2.5	8.70E-03			transport
1372476_at	AW533321	FADS3	putative fatty acid desaturase					1.9	1.30E-06	transport
1390674_at	BE097195	KCNAB2	potassium voltage gated channel, shaker related subfamily, beta member 2					1.8	1.30E-05	transport
1387160_at	NM_022235.1	KCNE3	mink-related peptide 2					1.9	2.20E-05	transport
1374251_at	AA893192	KCNJ15	potassium inwardly-rectifying channel, subfamily J, member 15					2	2.00E-07	transport
1368930_at	NM_023021.1	KCNN4	intermediate conductance calcium-activated potassium channel	1.6	5.50E-04	1.7	4.20E-03	2.5	8.10E-13	transport
1372550_at	AI169278	KPNB1	karyopherin,beta 1					1.9	2.00E-09	transport
1386966_a_at	NM_021764.1	LOC60383	protein kinase C-binding protein Beta15			2.3	5.90E-03			transport
1372889_at	AI407489	MATR1	matrin F/G 1	1.7	8.60E-04	1.9	1.50E-03	5.7	3.60E-17	transport
1371166_at	AJ011116.1	NOS3	nitric oxide synthase 3, endothelial cell	2.4	7.10E-05			2.4	1.80E-07	transport
1368543_at	NM_053524.1	NOX4	NADPH oxidase 4					3.3	2.00E-03	transport
1368754_at	NM_057124.1	P2RY6	pyrimidinergic receptor P2Y, G-protein coupled, 6			2.2	2.60E-03	2.6	2.00E-04	transport
1371754_at	AI177358	PCSCL	peroxisomal Ca-dependent solute carrier-like protein					2.8	9.20E-03	transport
1370516_at	AB026665.1	PHT2	peptide/histidine transporter PHT2	3.2	5.50E-16	2.6	5.30E-17	2.7	3.00E-10	transport
1388103_at	AF361355.1	PR1	voltage-dependent calcium channel gamma subunit-like protein			3	1.00E-11	3.5	1.20E-15	transport
1388140_at	AW253722	RAB13	RAB13					2.8	1.40E-10	transport
1367955_at	NM_017355.1	RAB4B	ras-related GTP-binding protein 4b					2.9	2.90E-03	transport
1369497_at	NM_031537.1	SLC11A1	solute carrier family 11 member 1	1.8	3.40E-07			1.9	8.50E-04	transport
1368047_at	NM_022866.1	SLC13A3	solute carrier family 13 (sodium-dependent dicarboxylate transporter), member 3			2.3	7.70E-03			transport
1388064_a_at	AF265360.1	SLC1A3	solute carrier family 1, member 3					4.1	4.40E-13	transport
1368227_at	NM_031664.1	SLC28A2	solute carrier family 28, member 2			3.9	1.30E-11	3.6	4.30E-04	transport
1374200_at	BM392280	SLC29A3	solute carrier family 29 (nucleoside transporters), member 3			2.8	6.40E-03	2.2	1.70E-03	transport
1389330_at	AA894060	SLC5A2	low affinity Na-dependent glucose transporter (SGLT2)					3.3	5.50E-04	transport
1368043_at	NM_053411.1	SNX1	sorting nexin 1					1.8	2.50E-10	transport
1390447_at	BI295918	STX3A	syntaxin 3					1.9	2.70E-03	transport
1387857_at	AI406531	STX7	syntaxin 7					1.8	2.90E-14	transport
1389986_at	AI008409	SV2B	synaptic vesicle glycoprotein 2 b	3	7.90E-07					transport
1368027_at	NM_012687.1	TBXAS1	thromboxane A synthase 1					1.8	2.80E-05	transport
1367765_at	NM_022534.1	TCN2P	transcobalamin II precursor					2.7	9.90E-07	transport
1386958_at	U63923.2	TXNRD1	thioredoxin reductase 1	1.8	1.40E-14			1.4	1.40E-05	transport
