Unigene ID	Gene Name	Description	Map	Avg. tumor/ Avg. mucosa
Hs.118836	MB	myoglobin	22q13.1	0.1888
Hs.354740	KCNMA1	potassium large conductance calcium-activated channel, subfamily M, alpha member 1	10q22-q23	0.1848
Hs.40408	HOXC9	homeo box C9	12q13.3	0.1846
Hs.26770	FABP7	fatty acid binding protein 7, brain	6q22-q23	0.1803
Hs.387385	SMURF2	E3 ubiquitin ligase SMURF2	17q22-q23	0.1772
Hs.33455	PADI2	peptidyl arginine deiminase, type II	1p35.2-p35.1	0.1754
Hs.1787	PLP1	proteolipid protein 1 (Pelizaeus-Merzbacher disease, spastic paraplegia 2, uncomplicated)	Xq22	0.1738
Hs.58561	GPR87	G protein-coupled receptor 87	3q24	0.1550
Hs.6750	FLJ00058	hypothetical protein FLJ00058	19p13.3	0.1532
Hs.133009	NA	CDNA FLJ44485 fis, clone UTERU2033420	NA	0.1269
Hs.200016	NUDT11	nudix (nucleoside diphosphate linked moiety X)-type motif 11	Xp11.23	0.1261
Hs.25960	MYCN	v-myc myelocytomatosis viral related oncogene, neuroblastoma derived (avian)	2p24.1	0.1242
Hs.157549	KIAA1817	KIAA1817 protein	Xq22	0.1219
Hs.193857	LOC96597	hypothetical protein LOC96597	17p11.2	0.1209
Hs.386793	GPX3	glutathione peroxidase 3 (plasma)	5q23	0.0834
Hs.444552	FLJ12529	pre-mRNA cleavage factor I, 59 kDa subunit	11q12.3	0.0829
Hs.194660	CLN3	ceroid-lipofuscinosis, neuronal 3, juvenile (Batten, Spielmeyer-Vogt disease)	16p12.1	0.0737
