Unigene ID	Gene Name	Description	Map	Avg M1 /   Avg M0
Hs.20555	MRE11A	MRE11 meiotic recombination 11 homolog A (S. cerevisiae)	11q21	3.417
Hs.151076	MRTF-B	myocardin-related transcription factor B	16p13.13	7.447
Hs.386748	MS4A2	membrane-spanning 4-domains, subfamily A, member 2\	11q13	0.216
Hs.33979	MTO1	mitochondrial translation optimization 1 homolog (S. cerevisiae)	6q14.1	3.252
Hs.225836	MTRF1L	mitochondrial translational release factor 1-like	6q25-q26	2.740
Hs.153792	MTRR	5-methyltetrahydrofolate-homocysteine methyltransferase reductase	5p15.3-p15.2	3.135
Hs.121576	MYO1B	myosin IB	2q12-q34	6.000
Hs.437459	MYO1E	myosin IE	15q21-q22	2.955
Hs.408451	MYO1F	myosin IF	19p13.3-p13.2	0.376
Hs.118483	MYO6	myosin VI	6q13	2.773
Hs.370431	NAPG	N-ethylmaleimide-sensitive factor attachment protein, gamma	18p11.21	8.546
Hs.79110	NCL	nucleolin	2q12-qter	2.556
Hs.131736	NEDD5	neural precursor cell expressed, developmentally down-regulated 5	2q37	2.734
Hs.512608	NEDF	neuroendocrine differentiation factor	2p24.3-p24.1	2.272
Hs.130719	NESH	NESH protein	17q21.3	0.375
Hs.129826	NET-5	transmembrane 4 superfamily member tetraspan NET-5	12p13.33	0.422
NA	NEU2	Sialidase 2 (cytosolic sialidase)	NA	0.239
Hs.160557	NFKB1	nuclear factor of kappa light polypeptide gene enhancer in B-cells 1 (p105)	4q24	2.676
Hs.75337	NOLC1	nucleolar and coiled-body phosphoprotein 1	10q24.32	3.537
Hs.119908	NOP5/NOP58	nucleolar protein NOP5/NOP58	2q33.2	3.078
Hs.8121	NOTCH2	Notch homolog 2 (Drosophila)	1p13-p11	0.456
Hs.75514	NP	nucleoside phosphorylase	14q13.1	5.103
Hs.79564	NPAS1	neuronal PAS domain protein 1	19q13.2-q13.3	0.275
Hs.1832	NPY	neuropeptide Y	7p15.1	0.413
Hs.108301	NR2C1	nuclear receptor subfamily 2, group C, member 1	12q23.1	5.345
Hs.102541	NTN4	netrin 4	12q22-q23	3.562
Hs.423095	NUCB2	nucleobindin 2	11p15.1-p14	3.935
Hs.146449	NUP153	nucleoporin 153kDa	6p22.3	6.825
Hs.112255	NUP98	nucleoporin 98kDa	11p15.5	4.949
Hs.406243	NUPL1	nucleoporin like 1	13q12.13	3.916
Hs.75485	OAT	ornithine aminotransferase (gyrate atrophy)	10q26	4.629
Hs.208219	OCSP	oculospanin	17q25.3	0.409
Hs.153138	ORC5L	origin recognition complex, subunit 5-like (yeast)	7q22.1	3.350
Hs.154140	OSAP	ovary-specific acidic protein	4q31.1	0.144
Hs.24734	OSBP	oxysterol binding protein	11q12-q13	2.681
Hs.113216	OXT	oxytocin, prepro- (neurophysin I)	20p13	0.483
NA	P23	Unactive progesterone receptor, 23 kD	NA	2.564
Hs.352733	PAM	peptidylglycine alpha-amidating monooxygenase	5q14-q21	3.077
Hs.283794	PCDHGC3	protocadherin gamma subfamily C, 3	5q31	0.501
Hs.78996	PCNA	proliferating cell nuclear antigen	20pter-p12	2.802
Hs.132794	PCYT1B	phosphate cytidylyltransferase 1, choline, beta isoform	Xp22.13	0.498
Hs.257697	PDCD4	programmed cell death 4 (neoplastic transformation inhibitor)	10q24	2.438
Hs.22584	PDYN	prodynorphin	20pter-p12	0.523
Hs.432876	PEX11B	peroxisomal biogenesis factor 11B	1q21.2	3.267
Hs.100915	PEX16	peroxisomal biogenesis factor 16	11p11.2	0.514
Hs.131727	PFAAP5	phosphonoformate immuno-associated protein 5	13q12-q13	4.796
Hs.237323	PGM3	phosphoglucomutase 3	6q14.1-q15	5.276
Hs.282244	PGRP-L	peptidoglycan recognition protein L precursor	19p13.12	0.393
Hs.75323	PHB	prohibitin	17q21	3.115
Hs.512612	PHKG1	phosphorylase kinase, gamma 1 (muscle)	7p12-q21	0.054
Hs.3407	PKIG	protein kinase (cAMP-dependent, catalytic) inhibitor gamma	20q12-q13.1	0.421
Hs.25051	PKP2	plakophilin 2	12p11	3.772
Hs.458405	POLDIP3	polymerase (DNA-directed), delta interacting protein 3	22q13.31	0.378
Hs.242775	POLR3F	polymerase (RNA) III (DNA directed) polypeptide F, 39 kDa	20p11.23	6.394
Hs.172089	PORIMIN	pro-oncosis receptor inducing membrane injury gene	11q22.1	2.208
Hs.12953	PPFIBP2	PTPRF interacting protein, binding protein 2 (liprin beta 2)	11p15.4	0.168
Hs.451090	PPIL5	peptidylprolyl isomerase (cyclophilin) like 5	14q21.3	5.780
Hs.80350	PPP2CB	protein phosphatase 2 (formerly 2A), catalytic subunit, beta isoform	8p12-p11.2	2.455
Hs.512628	PPP2R2A	protein phosphatase 2 (formerly 2A), regulatory subunit B (PR 52), alpha isoform	8p21.1	3.602
Hs.435789	PPP4R1	protein phosphatase 4, regulatory subunit 1	18p11.22	3.694
Hs.397062	PRDX3	peroxiredoxin 3	10q25-q26	2.710
Hs.152337	PRMT3	protein arginine N-methyltransferase 3(hnRNP methyltransferase S. cerevisiae)-like 3	11p15.1	2.993
Hs.194110	PRO2730	hypothetical protein PRO2730	3p21.31	2.734
Hs.283045	PRO2949	hypothetical protein PRO2949	8q23.1	0.244
Hs.350265	PRSS15	protease, serine, 15	19p13.2	4.277
Hs.446644	PSG1	pregnancy specific beta-1-glycoprotein 1	19q13.2	0.454
Hs.61153	PSMC2	proteasome (prosome, macropain) 26S subunit, ATPase, 2	7q22.1-q22.3	2.282
Hs.156171	PSMC6	proteasome (prosome, macropain) 26S subunit, ATPase, 6	14q22.1	3.153
Hs.443379	PSMD11	proteasome (prosome, macropain) 26S subunit, non-ATPase, 11	17q12	2.665
Hs.444776	PTE1	peroxisomal acyl-CoA thioesterase	20q12-q13.1	0.437
Hs.189075	PTK9	PTK9 protein tyrosine kinase 9	12q12	4.621
Hs.82911	PTP4A2	protein tyrosine phosphatase type IVA, member 2	1p35	3.230
Hs.5957	PTPLB	protein tyrosine phosphatase-like (proline instead of catalytic arginine), member b	3q21.1	2.735
Hs.62	PTPN12	protein tyrosine phosphatase, non-receptor type 12	7q11.23	4.302
Hs.79092	PTPN5	protein tyrosine phosphatase, non-receptor type 5 (striatum-enriched)	11p15.1	2.297
Hs.159534	PTPRS	protein tyrosine phosphatase, receptor type, S	19p13.3	0.371
Hs.26813	PTX1	PTX1 protein	12p11.23	2.201
Hs.172084	PYGO2	pygopus 2	1q22	0.420
Hs.157195	PYY2	peptide YY, 2 (seminalplasmin)	17q11	0.407
Hs.146602	QP-C	low molecular mass ubiquinone-binding protein (9.5kD)	5q31.1	0.450
Hs.144476	R3HDM	R3H domain (binds single-stranded nucleic acids) containing	2q21.3	2.940
Hs.236494	RAB10	RAB10, member RAS oncogene family	2p24.1	6.392
Hs.227327	RAB1A	RAB1A, member RAS oncogene family	2p14	2.024
Hs.351413	RAB37	RAB37, member of RAS oncogene family	17q25.2	0.560
Hs.24970	RAB39B	RAB39B, member RAS oncogene family	Xq28	0.505
Hs.73957	RAB5A	RAB5A, member RAS oncogene family	3p24-p22	3.036
Hs.78948	RABGGTB	Rab geranylgeranyltransferase, beta subunit	1p31	2.596
Hs.75447	RALBP1	ralA binding protein 1	18p11.3	6.235
Hs.389101	RALY	RNA binding protein (autoantigenic, hnRNP-associated with lethal yellow)	20q11.21-q11.23	8.679
Hs.81218	RAPSN	receptor-associated protein of the synapse, 43kD	11p11.2-p11.1	0.349
Hs.180832	RARS	arginyl-tRNA synthetase	5q35.1	3.534
Hs.406078	RBBP7	retinoblastoma binding protein 7	Xp22.22	2.474
Hs.301404	RBM3	RNA binding motif protein 3	Xp11.2	3.433
Hs.85524	RNF29	ring finger protein 29	8q12.3	0.494
Hs.66394	RNF4	ring finger protein 4	4p16.3	2.943
Hs.27345	RNGTT	RNA guanylyltransferase and 5-phosphatase	6q16	1.941
Hs.197184	RNPC7	RNA-binding region (RNP1, RRM) containing 7	14q24.3	5.787
Hs.283667	RNPEP	arginyl aminopeptidase (aminopeptidase B)	1q32	5.115
Hs.2280	RPN1	ribophorin I	3q21.3-q25.2	5.151
Hs.86858	RPS6KB1	ribosomal protein S6 kinase, 70kDa, polypeptide 1	17q23.2	4.405
NA	SCYA3L1	Small inducible cytokine A3-like 1	NA	0.591
Hs.82109	SDC1	syndecan 1	2p24.1	3.109
Hs.388584	SDCCAG1	serologically defined colon cancer antigen 1	14q22	2.732
Hs.227949	SEC13L1	SEC13-like 1 (S. cerevisiae)	3p25-p24	2.952
Hs.211612	SEC24A	SEC24 related gene family, member A (S. cerevisiae)	5q31.2	7.097
Hs.409424	SEC24D	SEC24 related gene family, member D (S. cerevisiae)	4q27	12.089
Hs.436549	SEC31L1	SEC31-like 1 (S. cerevisiae)	4q21.3	4.118
Hs.448580	SEC6L1	SEC6-like 1 (S. cerevisiae)	5p15.33	8.624
Hs.54937	SEMA6C	sema domain, transmembrane domain (TM), and cytoplasmic domain, (semaphorin) 6C	1q21.2	0.412
Hs.118725	SEPHS2	selenophosphate synthetase 2	16p12.1	3.346
Hs.184510	SFN	stratifin	1p35.3	0.365
Hs.73965	SFRS2	splicing factor, arginine/serine-rich 2	17q25.3	2.689
Hs.76122	SFRS4	splicing factor, arginine/serine-rich 4	1p35.2	5.705
Hs.309090	SFRS7	splicing factor, arginine/serine-rich 7, 35kDa	2p22.1	6.756
Hs.173288	SH2BP1	SH2 domain binding protein 1 (tetratricopeptide repeat containing)	11p15.3	9.750
Hs.433795	SHC1	SHC (Src homology 2 domain containing) transforming protein 1	1q21	2.466
Hs.104315	SHOC2	soc-2 suppressor of clear homolog (C. elegans)	10q25	4.919
Hs.54416	SIX1	sine oculis homeobox homolog 1 (Drosophila)	14q23.1	0.334
Hs.438683	SLAMF8	SLAM family member 8	1q23.1	0.248
Hs.306236	SLC19A3	solute carrier family 19, member 3	2q37	0.564
Hs.305971	SLC2A10	solute carrier family 2 (facilitated glucose transporter), member 10	20q13.1	4.877
Hs.387202	SLC2A11	solute carrier family 2 (facilitated glucose transporter), member 11	22	0.300
Hs.438748	SLC30A5	solute carrier family 30 (zinc transporter), member 5	5q12.1	3.506
Hs.285847	SLC35B3	solute carrier family 35, member B3	6p24.3	4.339
Hs.306000	SLC4A1AP	solute carrier family 4 (anion exchanger), member 1, adaptor protein	2p23.3	3.206
Hs.512700	SMARCB1	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily b, member 1	22q11.23	0.351
Hs.50758	SMC4L1	SMC4 structural maintenance of chromosomes 4-like 1 (yeast)	3q26.1	2.282
Hs.212761	SMG1	PI-3-kinase-related kinase SMG-1	16p13.11	3.306
Hs.79968	SMNDC1	survival motor neuron domain containing 1	10q23	6.633
Hs.289077	SMP3	SMP3 mannosyltransferase	3q29	0.353
Hs.90297	SNCB	synuclein, beta	5q35	0.365
Hs.13794	SNX5	sorting nexin 5	20p11	3.321
Hs.446331	SOAT1	sterol O-acyltransferase (acyl-Coenzyme A: cholesterol acyltransferase) 1	1q25	1.896
Hs.20580	SOAT2	sterol O-acyltransferase 2	12q13.13	0.311
Hs.154295	SP3	Sp3 transcription factor	2q31	6.434
Hs.511754	SPHAR	S-phase response (cyclin-related)	1q42.11-q42.3	0.307
Hs.103521	SR-A1	serine arginine-rich pre-mRNA splicing factor SR-A1	19q13.3-q13.4	0.364
Hs.369358	SRPK1	SFRS protein kinase 1	6p21.3-p21.2	4.921
Hs.404263	SS18	synovial sarcoma translocation, chromosome 18	18q11.2	3.491
Hs.288178	SSA2	Sjogren syndrome antigen A2 (60kDa, ribonucleoprotein autoantigen SS-A/Ro)	1q31	0.326
Hs.409223	SSR4	signal sequence receptor, delta (translocon-associated protein delta)	Xq28	0.284
Hs.301989	STAB1	stabilin 1	3p21.31	0.323
Hs.43812	STX10	syntaxin 10	19p13.13	4.149
Hs.8813	STXBP3	syntaxin binding protein 3	1p13.3	3.736
Hs.247309	SUCLG2	succinate-CoA ligase, GDP-forming, beta subunit	3p14.3	6.714
Hs.286145	SURB7	SRB7 suppressor of RNA polymerase B homolog (yeast)	12p12.1	2.136
Hs.408333	SYNGR4	synaptogyrin 4	19q13.3	0.195
Hs.80919	SYPL	synaptophysin-like protein	7q22.2	3.345
Hs.65848	SYT3	synaptotagmin III	19q13.41	0.394
Hs.279245	TACC1	transforming, acidic coiled-coil containing protein 1	8p11	2.408
Hs.151518	TARBP1	TAR (HIV) RNA binding protein 1	1q42.3	12.431
Hs.84131	TARS	threonyl-tRNA synthetase	5p13.2	2.578
Hs.75064	TBCC	tubulin-specific chaperone c	6pter-p12.1	2.657
Hs.300052	TCERG1	transcription elongation regulator 1 (CA150)	5q31	2.326
Hs.438166	TCF12	transcription factor 12 (HTF4, helix-loop-helix transcription factors 4)	15q21	2.083
Hs.4112	TCP1	t-complex 1	6q25-q27	2.503
Hs.446392	TCTE1L	t-complex-associated-testis-expressed 1-like	Xp21	3.714
Hs.380857	TD-60	RCC1-like	1p36.13	2.375
Hs.528675	TEAD1	TEA domain family member 1 (SV40 transcriptional enhancer factor)	11p15.4	1.925
Hs.274428	TERF2IP	telomeric repeat binding factor 2, interacting protein	16q23.1	4.257
Hs.7395	TFB2M	transcription factor B2, mitochondrial	1q44	4.556
Hs.446568	TFG	TRK-fused gene	3q11-q12	2.442
Hs.28005	TGFBR1	transforming growth factor, beta receptor I (activin A receptor type II-like kinase, 53kDa)	9q22	2.734
Hs.81376	THOC2	THO complex 2	Xq25-q26.3	6.278
Hs.75608	TJP2	tight junction protein 2 (zona occludens 2)	9q13-q21	2.701
Hs.364544	TM4SF13	transmembrane 4 superfamily member 13	7p21.2	4.634
Hs.298272	TM9SF2	transmembrane 9 superfamily member 2	13q32.3	3.750
Hs.22826	TMOD3	tropomodulin 3 (ubiquitous)	15q21.1-q21.2	3.379
Hs.74137	TMP21	transmembrane trafficking protein	14q24.3	2.811
Hs.65424	TNA	tetranectin (plasminogen binding protein)	3p22-p21.3	0.385
Hs.280776	TNKS2	tankyrase, TRF1-interacting ankyrin-related ADP-ribose polymerase 2	10q23.3	5.370
Hs.54433	TNR	tenascin R (restrictin, janusin)	1q24	0.347
Hs.110826	TNRC9	trinucleotide repeat containing 9	16q12.2	6.602
Hs.252682	TOR1B	torsin family 1, member B (torsin B)	9q34	3.777
Hs.26267	TOR3A	torsin family 3, member A	1q24.3	3.273
Hs.44585	TP53BP2	tumor protein p53 binding protein, 2	1q42.1	8.735
Hs.74647	TRA@	CDNA clone MGC:71411 IMAGE:4853814, complete cds	14	0.353
Hs.445652	TRA2A	transformer-2 alpha	7p15.3	8.398
Hs.126817	TRALPUSH	TRALPUSH	3q25.1	0.356
Hs.30212	TRIP15	thyroid receptor interacting protein 15	15q21.2	2.480
Hs.506382	TRNT1	tRNA nucleotidyl transferase, CCA-adding, 1	3	8.539
Hs.155942	TRPM1	transient receptor potential cation channel, subfamily M, member 1	15q13-q14	0.273
Hs.75066	TSN	translin	2q21.1	3.025
Hs.458358	TSPYL	TSPY-like	6q22-q23	3.585
Hs.9963	TYROBP	TYRO protein tyrosine kinase binding protein	19q13.1	0.262
Hs.511739	UBA2	SUMO-1 activating enzyme subunit 2	19q12	2.143
Hs.350806	UBXD2	UBX domain containing 2	2q21.3-q22.1	22.095
Hs.155001	UNC13B	unc-13 homolog B (C. elegans)	9p12-p11	4.049
Hs.399740	UPF3A	UPF3 regulator of nonsense transcripts homolog A (yeast)	13q34	9.261
Hs.75593	UROS	uroporphyrinogen III synthase (congenital erythropoietic porphyria)	10q25.2-q26.3	0.386
Hs.35086	USP1	ubiquitin specific protease 1	1p32.1-p31.3	13.836
Hs.251636	USP3	ubiquitin specific protease 3	15q22.3	5.691
Hs.278526	USP6NL	USP6 N-terminal like	10p13	0.296
Hs.404814	VDAC1	voltage-dependent anion channel 1	5q31	2.498
Hs.325948	VDP	vesicle docking protein p115	4q21.21	2.658
Hs.375610	VIP	alpha-2 macroglobulin family protein VIP	19p13.12	0.206
Hs.166254	VMP1	likely ortholog of rat vacuole membrane protein 1	17q23.2	3.364
Hs.443330	VRK3	vaccinia related kinase 3	19q13	0.438
	WAC	WW domain-containing adapter with a coiled-coil region		3.039
Hs.182469	WASL	Wiskott-Aldrich syndrome-like	7q31.3	4.449
Hs.7709	WBP1	WW domain binding protein 1	2p12	0.452
Hs.406339	WDR26	WD repeat domain 26	1q42.12-q42.13	6.389
Hs.89791	WNT2	wingless-type MMTV integration site family member 2	7q31	0.416
Hs.29764	WNT6	wingless-type MMTV integration site family, member 6	2q35	0.583
Hs.459470	WSB2	WD repeat and SOCS box containing protein 2	12q24.23	2.531
Hs.157367	XPO1	exportin 1 (CRM1 homolog, yeast)	2p16	2.712
Hs.257082	XRCC5	X-ray repair complementing defective repair in Chinese hamster cells 5 (Ku80)	2q35	2.685
Hs.268555	XRN2	5-3 exoribonuclease 2	20p11.2-p11.1	2.636
Hs.226755	YWHAH	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, eta polypeptide	22q12.3	2.853
Hs.386834	YWHAZ	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, zeta polypeptide	8q23.1	4.332
Hs.13604	ZBED4	zinc finger, BED domain containing 4	22q13.33	11.360
Hs.509227	ZFP62	zinc finger protein 62 homolog (mouse)	5q35.3	2.738
Hs.449971	ZNF134	zinc finger protein 134 (clone pHZ-15)	19q13.4	4.661
Hs.414455	ZNF161	zinc finger protein 161	17q23.2	2.688
Hs.74823	ZNF183	zinc finger protein 183 (RING finger, C3HC4 type)	Xq25-q26	9.842
Hs.50123	ZNF189	zinc finger protein 189	9q22-q31	9.103
Hs.315241	ZNF198	zinc finger protein 198	13q11-q12	2.654
Hs.144949	ZNF313	zinc finger protein 313	20q13.13	4.576
Hs.343604	ZNF333	zinc finger protein 333	19p13	5.001
Hs.301956	ZNF-U69274	zinc finger protein	3q12.3	4.993
Hs.5364	ZZZ3	zinc finger, ZZ domain containing 3	1p31.1	5.322
Hs.141269	NA	Similar to RIKEN cDNA C230093N12 (LOC375002), mRNA	NA	4.691
NA	NA	Homo sapiens cDNA FLJ31864 fis, clone NT2RP7001602	NA	0.092
Hs.349150	NA	CDNA FLJ33107 fis, clone TRACH2000959.	7	4.436
Hs.512624	NA	CDNA FLJ27174 fis, clone SYN01865	17	0.329
Hs.9842	NA	Transcribed sequences	20	0.308
Hs.448622	NA	Human lipocortin (LIP) 2 pseudogene mRNA, complete cds-like region.	NA	6.262
Hs.406482	NA	CDNA clone IMAGE:4129277, partial cds	NA	0.378
Hs.306396	NA	CDNA FLJ20486 fis, clone KAT08039	NA	0.263
NA	NA	Homo sapiens mRNA; cDNA DKFZp586O1621 (from clone DKFZp586O1621); partial cds	NA	0.332
Hs.296356	NA	MRNA; cDNA DKFZp686B05128 (from clone DKFZp686B05128)	NA	2.712
Hs.380443	NA	CDNA: FLJ20949 fis, clone ADSE01902	NA	0.410
Hs.250020	NA	Clone HQ0663 PRO0663 mRNA, partial cds	NA	0.282
Hs.406766	NA	MRNA full length insert cDNA clone EUROIMAGE 743169	NA	0.245
Hs.285165	NA	MRNA; cDNA DKFZp686A17165 (from clone DKFZp686A17165)	NA	0.287
NA	NA	Homo sapiens cDNA: FLJ21278 fis, clone COL01832	NA	0.386
Hs.349150	NA	CDNA FLJ33107 fis, clone TRACH2000959.	7	5.798
Hs.397001	NA	CDNA clone IMAGE:4304686, partial cds	NA	0.166
Hs.183140	NA	Clone 24863 mRNA sequence	9	0.348
NA	NA	Homo sapiens cDNA: FLJ21651 fis, clone COL08540	NA	0.142
Hs.121492	NA	CDNA FLJ40594 fis, clone THYMU2010671, highly similar to Homo sapiens T-cell receptor	NA	0.103
Hs.152423	NA	CDNA: FLJ21274 fis, clone COL01781	NA	3.727
NA	NA	Homo sapiens mRNA; cDNA DKFZp586L141 (from clone DKFZp586L141)	NA	3.689
Hs.215047	NA	Clone IMAGE:113431 mRNA sequence	NA	0.345
Hs.256230	NA	CDNA FLJ31245 fis, clone KIDNE2005062.	NA	0.322
Hs.144759	NA	CDNA FLJ32438 fis, clone SKMUS2001402.	NA	1.884
Hs.5724	NA	CDNA clone IMAGE:5286019, partial cds	3	2.446
Hs.519704	NA	Similar to RIKEN cDNA 4921536K21 (LOC375478), mRNA	NA	0.367
NA	NA	Homo sapiens cDNA FLJ13112 fis, clone NT2RP3002587	NA	0.311
Hs.142570	NA	Clone 24629 mRNA sequence	NA	0.391
Hs.458438	NA	CDNA FLJ12955 fis, clone NT2RP2005496, moderately similar to ZINC FINGER PROTEIN 135.	19q13.43	0.453
Hs.390817	NA	CDNA FLJ44494 fis, clone UTERU2035745, weakly similar to MYOSIN IA HEAVY CHAIN	NA	0.405
NA	NA	Homo sapiens cDNA FLJ32092 fis, clone OCBBF2000846	NA	3.652
Hs.14355	NA	MRNA; cDNA DKFZp686N20218 (from clone DKFZp686N20218)	2	3.485
Hs.185701	NA	MRNA full length insert cDNA clone EUROIMAGE 21920	15	0.269
Hs.423523	NA	CDNA clone IMAGE:4814010, partial cds	6	4.132
Hs.306800	NA	CDNA: FLJ21671 fis, clone COL09015	NA	0.466
Hs.21958	NA	CDNA FLJ10532 fis, clone NT2RP2001044.	4	0.299
Hs.446703	NA	Clone IMAGE:3875308, mRNA, partial cds	NA	0.246
Hs.432862	NA	Clone FBD3 Cri-du-chat critical region mRNA	5	3.929
Hs.18081	NA	Clone DT1P1B6 mRNA, CAG repeat region	2	0.338
Hs.469360	NA	Clone FLB6303 PRO1633 mRNA, complete cds	NA	2.158
Hs.143503	NA	CDNA FLJ36931 fis, clone BRACE2005290.	NA	0.412
Hs.498015	NA	CDNA FLJ42813 fis, clone BRCAN2012355	1	0.376
Hs.467821	NA	CDNA: FLJ22121 fis,  highly similar to AF191298 Homo sapiens VPS35 mRNA	NA	2.699
Hs.465105	NA	CDNA FLJ10062 fis, clone HEMBA1001415.	NA	0.522
Hs.31833	NA	CDNA FLJ30598 fis, clone BRAWH2009263.	NA	0.377
Hs.43880	NA	Transcribed sequence with weak similarity tohypothetical protein FLJ20489 [Homo sapiens]	NA	0.474
