Gene Symbol	Gene Title	GenBank ID	Affy ID	Fold Change	P-value	FDR (%)
NALP1	NACHT, leucine rich repeat and PYD (pyrin domain) containing 1	NM_021730	218380_at	1.3	0.02	11
RUNX3	runt-related transcription factor 3	AA541630	204198_s_at	1.34	0.02	11
TRA	T cell receptor alpha locus	M12423	209671_x_at	1.23	0.01	11
VSIG4	V-set and immunoglobulin domain containing 4	NM_007268	204787_at	1.27	0.01	11
APOBEC3G	apolipoprotein B mRNA editing enzyme, catalytic polypeptide-like 3G	NM_021822	204205_at	1.27	0.02	13
APOE	apolipoprotein E	NM_000041	203382_s_at	1.47	0.02	13
CD69	CD69 molecule	L07555	209795_at	1.5	0.02	13
CMAH	cytidine monophosphate-N-acetylneuraminic acid hydroxylase (CMP-N-acetylneuraminate monooxygenase)	AF074480	210571_s_at	1.26	0.02	13
CTSS	cathepsin S	BC002642	202901_x_at	1.27	0.02	13
DKFZP761N09121	hypothetical protein DKFZp761N09121	BF435376	213486_at	0.8	7.05E-03	13
EIF2S1	eukaryotic translation initiation factor 2, subunit 1 alpha	BC002513	201143_s_at	0.82	6.68E-03	13
EVI2B	ecotropic viral integration site 2B	BC005926	211742_s_at	1.42	0.02	13
FLI1	Friend leukemia virus integration 1	NM_002017	204236_at	1.27	0.02	13
GPRC5B	G protein-coupled receptor, family C, group 5, member B	NM_016235	203632_s_at	1.23	0.02	13
GSTM3	glutathione S-transferase M3 (brain)	AL527430	202554_s_at	1.27	0.02	13
GZMK	granzyme K (granzyme 3; tryptase II)	NM_002104	206666_at	1.68	0.03	13
IFIT1	interferon-induced protein with tetratricopeptide repeats 1	NM_001548	203153_at	1.33	0.02	13
IFNG	interferon, gamma	M29383	210354_at	1.24	0.02	13
IL1R2	interleukin 1 receptor, type II	NM_004633	205403_at	1.23	0.02	13
IRS2	insulin receptor substrate 2	AF073310	209185_s_at	1.21	0.02	13
ISGF3G	interferon-stimulated transcription factor 3, gamma 48kDa	NM_006084	203882_at	1.22	0.02	13
ITGA4	integrin, alpha 4 (antigen CD49D, alpha 4 subunit of VLA-4 receptor)	BG532690	213416_at	1.4	0.02	13
LAPTM5	lysosomal associated multispanning membrane protein 5	AI589086	201720_s_at	1.35	0.02	13
MMP19	matrix metallopeptidase 19	U38321	204575_s_at	1.59	0.03	13
MRC1	mannose receptor, C type 1	NM_002438	204438_at	1.31	0.02	13
MX2	myxovirus (influenza virus) resistance 2 (mouse)	NM_002463	204994_at	1.25	0.02	13
NR4A3	nuclear receptor subfamily 4, group A, member 3	U12767	209959_at	1.54	0.02	13
PLCL1	phospholipase C-like 1	NM_006226	205934_at	1.29	0.02	13
RNASE6	ribonuclease, RNase A family, k6	NM_005615	213566_at	1.25	0.02	13
SERF1A	small EDRK-rich factor 1A (telomeric)	NM_022978	219982_s_at	0.79	6.20E-03	13
SERHL	serine hydrolase-like	AL450314	214243_s_at	1.46	0.03	13
STYXL1	serine/threonine/tyrosine interacting-like 1	NM_016086	218321_x_at	0.83	5.66E-03	13
SYT11	synaptotagmin XI	BC004291	209198_s_at	1.27	0.02	13
TMEM111	Transmembrane protein 111	AU147317	215250_at	0.81	4.86E-03	13
TRAT1	T cell receptor associated transmembrane adaptor 1	AJ240085	217147_s_at	1.29	0.02	13
WISP1	WNT1 inducible signaling pathway protein 1	NM_003882	206796_at	1.2	0.02	13
WNT2B	wingless-type MMTV integration site family, member 2B	NM_024494	206458_s_at	1.52	0.03	13
CBR4	carbonyl reductase 4	AL049442	213626_at	0.79	6.52E-03	14
CCL8	chemokine (C-C motif) ligand 8	AI984980	214038_at	1.45	0.03	14
CHRDL1	chordin-like 1	AL049176	209763_at	1.2	0.02	14
CNN1	calponin 1, basic, smooth muscle	NM_001299	203951_at	1.21	0.03	14
DKFZP686A01247	hypothetical protein	AK027231	212325_at	0.82	6.78E-03	14
DPYSL4	dihydropyrimidinase-like 4	NM_006426	205493_s_at	1.22	0.03	14
EFTUD1	elongation factor Tu GTP binding domain containing 1	NM_024580	218973_at	0.81	5.85E-03	14
FBN1	fibrillin 1	NM_000138	202766_s_at	1.24	0.03	14
FGL2	fibrinogen-like 2	NM_006682	204834_at	1.23	0.02	14
FLJ20152	hypothetical protein FLJ20152	NM_019000	218532_s_at	0.74	7.67E-03	14
FLJ31568	hypothetical protein FLJ31568	AW975050	222274_at	0.59	0.01	14
FYB	FYN binding protein (FYB-120/130)	AF198052	211795_s_at	1.27	0.02	14
HERC6	hect domain and RLD 6	NM_017912	219352_at	1.23	0.02	14
HSPB8	heat shock 22kDa protein 8	AF133207	221667_s_at	1.2	0.03	14
ITGB3BP	integrin beta 3 binding protein (beta3-endonexin)	NM_014288	205176_s_at	0.78	7.61E-03	14
KIAA1462	KIAA1462	AL050154	213316_at	1.21	0.02	14
LAMP3	lysosomal-associated membrane protein 3	NM_014398	205569_at	1.26	0.02	14
LOC221362	hypothetical protein LOC221362	AL577024	213248_at	1.22	0.03	14
MTMR2	myotubularin related protein 2	U58033	214649_s_at	0.81	5.56E-03	14
NAT1	N-acetyltransferase 1 (arylamine N-acetyltransferase)	NM_000662	214440_at	1.46	0.03	14
NCKAP1L	NCK-associated protein 1-like	BC001604	209734_at	1.2	0.02	14
NR4A2	nuclear receptor subfamily 4, group A, member 2	S77154	216248_s_at	1.22	0.03	14
PCLO	piccolo (presynaptic cytomatrix protein)	AB011131	213558_at	0.82	5.06E-03	14
POU2AF1	POU domain, class 2, associating factor 1	NM_006235	205267_at	1.59	0.03	14
PRIM2A	primase, polypeptide 2A, 58kDa	NM_000947	205628_at	1.32	0.03	14
PTPN7	protein tyrosine phosphatase, non-receptor type 7	NM_002832	204852_s_at	1.2	0.02	14
RGS1	regulator of G-protein signalling 1	NM_002922	202988_s_at	1.31	0.03	14
RGS16	regulator of G-protein signalling 16	U94829	209325_s_at	1.26	0.02	14
RTN1	reticulon 1	BC000314	210222_s_at	0.61	9.08E-03	14
SCCPDH	saccharopine dehydrogenase (putative)	AL572542	201825_s_at	0.82	6.70E-03	14
SECTM1	secreted and transmembrane 1	BF939675	213716_s_at	1.2	0.02	14
SELE	selectin E (endothelial adhesion molecule 1)	NM_000450	206211_at	1.58	0.03	14
SLC29A2	solute carrier family 29 (nucleoside transporters), member 2	AF034102	204717_s_at	0.8	6.20E-03	14
VANGL1	vang-like 1 (van gogh, Drosophila)	NM_024062	219330_at	0.81	6.26E-03	14
ZNF443	zinc finger protein 443	NM_005815	205928_at	0.83	7.65E-03	14
ZNF467	zinc finger protein 467	BE549732	214746_s_at	0.68	7.52E-03	14
ANPEP	alanyl (membrane) aminopeptidase	NM_001150	202888_s_at	1.57	0.04	16
C14orf78	chromosome 14 open reading frame 78	AI935123	212992_at	1.3	0.04	16
C17orf81	chromosome 17 open reading frame 81	NM_015362	219260_s_at	0.75	0.01	16
C20orf39	chromosome 20 open reading frame 39	NM_024893	219310_at	1.21	0.03	16
C3orf64	chromosome 3 open reading frame 64	AK023140	221935_s_at	1.22	0.03	16
C8orf70	chromosome 8 open reading frame 70	NM_016010	205308_at	0.81	8.31E-03	16
CCND1	cyclin D1	BC000076	208711_s_at	1.2	0.03	16
CDH2	cadherin 2, type 1, N-cadherin (neuronal)	M34064	203440_at	1.72	0.04	16
CEBPD	CCAAT/enhancer binding protein (C/EBP), delta	AV655640	213006_at	1.38	0.04	16
CEBPD	CCAAT/enhancer binding protein (C/EBP), delta	NM_005195	203973_s_at	1.22	0.03	16
CECR1	cat eye syndrome chromosome region, candidate 1	NM_017424	219505_at	1.24	0.03	16
CUGBP2	CUG triplet repeat, RNA binding protein 2	U69546	202157_s_at	1.2	0.03	16
CXCL9	chemokine (C-X-C motif) ligand 9	NM_002416	203915_at	1.87	0.04	16
ECGF1	endothelial cell growth factor 1 (platelet-derived)	NM_001953	204858_s_at	1.2	0.03	16
ELOVL2	elongation of very long chain fatty acids (FEN1/Elo2, SUR4/Elo3, yeast)-like 2	NM_017770	220029_at	1.36	0.04	16
ETS2	v-ets erythroblastosis virus E26 oncogene homolog 2	AL575509	201328_at	1.27	0.03	16
ETS2	v-ets erythroblastosis virus E26 oncogene homolog 2	NM_005239	201329_s_at	1.22	0.03	16
GIMAP6	GTPase, IMAP family member 6	NM_024711	219777_at	1.22	0.03	16
GLIPR1	GLI pathogenesis-related 1 (glioma)	NM_006851	204222_s_at	1.24	0.03	16
GPM6A	glycoprotein M6A	D49958	209470_s_at	1.5	0.04	16
GPR64	G protein-coupled receptor 64	NM_005756	206002_at	1.67	0.04	16
GPR65	G protein-coupled receptor 65	NM_003608	214467_at	1.26	0.03	16
HLA-DQA1	major histocompatibility complex, class II, DQ alpha 1	X00452	213831_at	1.57	0.04	16
IGHA1	immunoglobulin heavy constant alpha 1	U92706	216557_x_at	1.38	0.03	16
IL15	interleukin 15	NM_000585	205992_s_at	1.23	0.03	16
INHBB	inhibin, beta B (activin AB beta polypeptide)	NM_002193	205258_at	0.81	9.77E-03	16
ITGA4	integrin, alpha 4 (antigen CD49D, alpha 4 subunit of VLA-4 receptor)	NM_000885	205884_at	1.23	0.03	16
LY96	lymphocyte antigen 96	NM_015364	206584_at	1.28	0.03	16
MICAL1	microtubule associated monoxygenase, calponin and LIM domain containing 1	NM_022765	218376_s_at	1.21	0.03	16
MYB	v-myb myeloblastosis viral oncogene homolog (avian)	NM_005375	204798_at	1.38	0.03	16
NFIL3	nuclear factor, interleukin 3 regulated	NM_005384	203574_at	1.29	0.03	16
NR4A3	nuclear receptor subfamily 4, group A, member 3	NM_006981	207978_s_at	1.57	0.04	16
OPTN	optineurin	AV757675	202073_at	1.21	0.03	16
PDLIM3	PDZ and LIM domain 3	BC001017	210170_at	1.4	0.03	16
PDZRN4	PDZ domain containing RING finger 4	NM_013377	220595_at	1.25	0.03	16
PECAM1	platelet/endothelial cell adhesion molecule (CD31)	AA702701	208981_at	1.21	0.03	16
PIM2	pim-2 oncogene	NM_006875	204269_at	1.22	0.03	16
PPARGC1A	peroxisome proliferative activated receptor, gamma, coactivator 1, alpha	NM_013261	219195_at	1.33	0.03	16
RSAD2	radical S-adenosyl methionine domain containing 2	AI337069	213797_at	1.22	0.03	16
SFTPA2	surfactant, pulmonary-associated protein A2	NM_006926	218835_at	2.38	0.04	16
SLC7A5	solute carrier family 7 (cationic amino acid transporter, y+ system), member 5	AB018009	201195_s_at	1.34	0.03	16
SOX17	SRY (sex determining region Y)-box 17	NM_022454	219993_at	1.36	0.04	16
SOX5	SRY (sex determining region Y)-box 5	AL049337	215768_at	1.31	0.03	16
TLE4	transducin-like enhancer of split 4 (E(sp1) homolog, Drosophila)	NM_007005	204872_at	1.21	0.03	16
ADCY7	adenylate cyclase 7	NM_001114	203741_s_at	1.24	0.04	17
CLU	clusterin	M25915	208792_s_at	1.28	0.04	17
CLU	clusterin	M25915	208791_at	1.26	0.04	17
COL21A1	collagen, type XXI, alpha 1	NM_030820	208096_s_at	1.2	0.04	17
CTSS	cathepsin S	NM_004079	202902_s_at	1.29	0.04	17
FCER1G	Fc fragment of IgE, high affinity I, receptor for; gamma polypeptide	NM_004106	204232_at	1.24	0.04	17
FCGR2B	Fc fragment of IgG, low affinity IIb, receptor (CD32)	M31933	210889_s_at	1.27	0.04	17
FYN	FYN oncogene related to SRC, FGR, YES	S74774	216033_s_at	1.2	0.03	17
GADD45G	growth arrest and DNA-damage-inducible, gamma	NM_006705	204121_at	1.31	0.04	17
GBP1	guanylate binding protein 1	NM_002053	202270_at	1.37	0.04	17
GLRX	glutaredoxin (thioltransferase)	NM_002064	206662_at	1.27	0.03	17
HMGCS2	3-hydroxy-3-methylglutaryl-Coenzyme A synthase 2 (mitochondrial)	NM_005518	204607_at	1.44	0.04	17
HYMAI	hydatidiform mole associated and imprinted	AF241534	215513_at	1.3	0.04	17
ITIH5	inter-alpha (globulin) inhibitor H5	NM_030569	219064_at	1.25	0.04	17
MS4A4A	membrane-spanning 4-domains, subfamily A, member 4	NM_024021	219607_s_at	1.49	0.04	17
MYBL1	v-myb myeloblastosis viral oncogene homolog-like 1	AW592266	213906_at	1.35	0.04	17
PDE3B	phosphodiesterase 3B, cGMP-inhibited	NM_000922	208591_s_at	0.79	0.01	17
PLAC8	placenta-specific 8	NM_016619	219014_at	1.27	0.04	17
RABEP1	rabaptin, RAB GTPase binding effector protein 1	AF098638	214552_s_at	0.77	0.01	17
RTN1	reticulon 1	NM_021136	203485_at	0.6	0.01	17
SELL	selectin L (lymphocyte adhesion molecule 1)	NM_000655	204563_at	1.45	0.04	17
STOM	stomatin	M81635	201061_s_at	1.21	0.04	17
TCEAL2	transcription elongation factor A (SII)-like 2	AF063606	211276_at	1.37	0.04	17
TMEM35	transmembrane protein 35	NM_021637	219685_at	1.23	0.04	17
TRAC	T cell receptor alpha constant	M12959	209670_at	1.24	0.04	17
TYMS	Thymidylate synthetase	BG281679	217690_at	0.8	0.01	17
11-Sep	Septin 11	NM_018243	214293_at	1.2	0.04	20
ALOX5AP	arachidonate 5-lipoxygenase-activating protein	NM_001629	204174_at	1.25	0.04	20
BCL11B	B-cell CLL/lymphoma 11B (zinc finger protein)	NM_022898	219528_s_at	1.2	0.04	20
C1qRP / CD93	CD93 antigen	NM_012072	202878_s_at	1.21	0.04	20
DKFZP434P211	POM121-like protein	NM_014549	206819_at	1.2	0.04	20
DLC1	deleted in liver cancer 1	AF026219	210762_s_at	1.23	0.04	20
GPATC2	G patch domain containing 2	NM_018040	219078_at	0.81	0.01	20
GPR18	G protein-coupled receptor 18	AF261135	210279_at	1.21	0.04	20
NFASC	neurofascin homolog (chicken)	AA995925	213438_at	1.2	0.04	20
RAB3GAP1	RAB3 GTPase activating protein subunit 1 (catalytic)	AK022494	212932_at	0.81	0.01	20
RIS1	Ras-induced senescence 1	BF062629	213338_at	1.23	0.04	20
RPL37A	ribosomal protein L37a	AU155515	213459_at	0.82	0.01	20
SLC35E2	solute carrier family 35, member E2	BE885244	215169_at	0.83	0.01	20
CUGBP1	CUG triplet repeat, RNA binding protein 1	NM_006560	204113_at	0.78	0.01	22
FMO2	flavin containing monooxygenase 2	BC005894	211726_s_at	0.69	0.02	22
KIAA0265	KIAA0265 protein	AI808625	209254_at	0.83	0.01	22
OCLN	occludin	U53823	209925_at	0.74	0.01	22
USP6	ubiquitin specific peptidase 6 (Tre-2 oncogene)	NM_004505	206405_x_at	0.82	0.01	22
ENPP4	ectonucleotide pyrophosphatase/phosphodiesterase 4 (putative function)	AW194947	204160_s_at	0.81	0.01	24
GTF2F1	general transcription factor IIF, polypeptide 1, 74kDa	AW190445	202354_s_at	0.8	0.02	24
PKIA	protein kinase (cAMP-dependent, catalytic) inhibitor alpha	NM_006823	204612_at	0.78	0.01	24
SRD5A2L	steroid 5 alpha-reductase 2-like	NM_024592	218800_at	0.81	0.01	24
BIRC1	baculoviral IAP repeat-containing 1	NM_004536	204861_s_at	0.81	0.03	26
BIRC1	baculoviral IAP repeat-containing 1	AI817801	204860_s_at	0.71	0.03	26
ChGn	chondroitin beta1,4 N-acetylgalactosaminyltransferase	NM_018371	219049_at	0.77	0.03	26
DHFR	dihydrofolate reductase	AI144299	48808_at	0.82	0.02	26
HS3ST2	heparan sulfate (glucosamine) 3-O-sulfotransferase 2	NM_006043	219697_at	0.78	0.02	26
MEST	mesoderm specific transcript homolog (mouse)	NM_002402	202016_at	0.78	0.03	26
PTK7	PTK7 protein tyrosine kinase 7	NM_002821	207011_s_at	0.79	0.02	26
PYGL	phosphorylase, glycogen; liver (Hers disease, glycogen storage disease type VI)	NM_002863	202990_at	0.74	0.02	26
RBM3	RNA binding motif (RNP1, RRM) protein 3	BF437591	222026_at	0.8	0.02	26
TLE1	transducin-like enhancer of split 1 (E(sp1) homolog, Drosophila)	NM_005077	203222_s_at	0.81	0.02	26
TRIM2	tripartite motif-containing 2	AA149745	202341_s_at	0.79	0.03	26
TRIM2	tripartite motif-containing 2	BC005016	215945_s_at	0.79	0.03	26
ZNF322B	zinc finger protein 322B	NM_024639	219376_at	0.82	0.02	26
CDR2L	cerebellar degeneration-related protein 2-like	AI422335	213230_at	0.78	0.03	30
CHKA	choline kinase alpha	AI991328	204233_s_at	0.77	0.04	30
ELOVL6	ELOVL family member 6, elongation of long chain fatty acids (FEN1/Elo2, SUR4/Elo3-like, yeast)	BC001305	210868_s_at	0.7	0.03	30
FLJ22795	hypothetical protein FLJ22795	NM_025084	220602_s_at	0.79	0.03	30
FRK	fyn-related kinase	NM_002031	207178_s_at	0.82	0.03	30
LOC286434	hypothetical protein LOC286434	AK000470	222196_at	0.6	0.03	30
NBR2	neighbor of BRCA1 gene 2	BC000924	210435_at	0.83	0.02	30
NQO1	NAD(P)H dehydrogenase, quinone 1	AI039874	201467_s_at	0.76	0.03	30
PIK3CA	phosphoinositide-3-kinase, catalytic, alpha polypeptide	NM_006218	204369_at	0.82	0.02	30
PLOD2	procollagen-lysine, 2-oxoglutarate 5-dioxygenase 2	AI754404	202619_s_at	0.76	0.04	30
PRKCBP1	protein kinase C binding protein 1	BC001004	209049_s_at	0.82	0.03	30
PRKG2	protein kinase, cGMP-dependent, type II	NM_006259	207505_at	0.75	0.03	30
RABEP1	rabaptin, RAB GTPase binding effector protein 1	NM_004703	203223_at	0.83	0.02	30
SLC39A4	solute carrier family 39 (zinc transporter), member 4	NM_017767	219215_s_at	0.82	0.04	30
ZNF278	zinc finger protein 278	AF254088	210581_x_at	0.81	0.03	30
ZNHIT4	zinc finger, HIT type 4	AI862454	65133_i_at	0.78	0.04	30
