Probe set id	Gene symbol	Score	Fold change	Q-value
204698_at	ISG20	-3.33158	0.65352	0.111248
201497_x_at	MYH11	-3.32185	0.64909	0.111248
204198_s_at	RUNX3	-3.32128	0.59716	0.111248
211796_s_at	---	-3.30125	0.63242	0.111248
222288_at	---	-3.28342	0.58675	0.111248
205557_at	BPI	-3.27894	0.59754	0.111248
221349_at	VPREB1	-3.19986	0.5846	0.111248
213831_at	HLA-DQA1	-3.18483	0.49677	0.111248
41577_at	PPP1R16B	-3.17216	0.65299	0.111248
204086_at	PRAME	-3.1376	0.40804	0.111248
204467_s_at	SNCA	-3.12948	0.46386	0.111248
202286_s_at	TACSTD2	-3.11475	0.50635	0.111248
209199_s_at	MEF2C	-3.10963	0.64495	0.111248
222258_s_at	SH3BP4	-3.10645	0.65463	0.111248
205472_s_at	DACH1	-3.08967	0.63124	0.111248
216834_at	RGS1	-3.06736	0.52361	0.111248
200965_s_at	ABLIM1	-3.05675	0.59582	0.111248
204881_s_at	UGCG	-3.03605	0.63897	0.111248
221765_at	UGCG	-3.0172	0.6376	0.111248
210254_at	MS4A3	-3.00496	0.4964	0.111248
219360_s_at	TRPM4	-2.99935	0.62078	0.111248
205076_s_at	CRA	-2.98983	0.5252	0.111248
210794_s_at	MEG3	-2.98828	0.44327	0.111248
205900_at	KRT1	-2.89238	0.45269	0.111248
201667_at	GJA1	-2.88204	0.5896	0.111248
210744_s_at	IL5RA	-2.88046	0.60564	0.111248
205839_s_at	BZRAP1	-2.86206	0.63581	0.111248
204439_at	C1orf29	-2.85175	0.45041	0.111248
216320_x_at	MST1	-2.83572	0.64864	0.111248
209604_s_at	GATA3	-2.80396	0.62142	0.111248
213338_at	RIS1	-2.80049	0.4943	0.111248
221884_at	EVI1	-2.76827	0.64716	0.111248
213258_at	TFPI	-2.72818	0.65975	0.111248
206978_at	CCR2	-2.71662	0.59901	0.111248
220010_at	KCNE1L	-2.69157	0.4285	0.111248
202074_s_at	OPTN	-2.68838	0.55755	0.111248
204187_at	GMPR	-2.60885	0.65557	0.215466
204848_x_at	HBG1	-2.58823	0.64527	0.215466
213830_at	TRD@	-2.49652	0.45892	0.215466
206398_s_at	CD19	-2.48288	0.63987	0.215466
214183_s_at	TKTL1	-2.44171	0.23839	0.215466
216370_s_at	TKTL1	-2.41719	0.29567	0.215466
206871_at	ELA2	-2.33594	0.4744	0.423841
203948_s_at	MPO	-2.24913	0.51756	0.423841
203949_at	MPO	-2.11888	0.53443	0.525955
211734_s_at	FCER1A	-2.11118	0.53858	0.525955
214551_s_at	CD7	-2.04701	0.52914	0.624347
200986_at	SERPING1	-2.04517	0.66131	0.624347
214049_x_at	CD7	-1.98526	0.47321	0.624347
203502_at	BPGM	-1.98459	0.56141	0.624347
203661_s_at	TMOD1	-1.97532	0.66531	0.624347
205513_at	TCN1	-1.82221	0.56507	1.020427
209822_s_at	VLDLR	-1.82078	0.66505	1.020427
210140_at	CST7	-1.79818	0.56875	1.020427
220057_at	GAGED2	-1.76493	0.63516	1.020427
207341_at	PRTN3	-1.75768	0.62992	1.020427
212531_at	LCN2	-1.75533	0.62181	1.020427
211560_s_at	ALAS2	-1.74694	0.61843	1.020427
