Probeset ID	Gene name	Description	FC (log2ratio)	Function
204094_s_at	TSC22D2	TSC22 domain family protein 2 (TSC22-related inducible leucine zipper protein 4).	1,22	transcription
44146_at	GMEB2	Glucocorticoid modulatory element-binding protein 2 (Parvovirus initiation factor p79)	1,22	transcription
202775_s_at	SFRS8	Splicing factor, arginine/serine-rich 8 (Suppressor of white apricot protein homolog)	1,19	transcription
208979_at	NCOA6	Nuclear receptor coactivator 6 (Amplified in breast cancer-3 protein)	1,19	transcription
208989_s_at	FBXL11	F-box/LRR-repeat protein 11 (F-box and leucine-rich repeat protein 11)	1,19	transcription
218797_s_at	SIRT7	NAD-dependent deacetylase sirtuin-7  (SIR2-like protein 7).	1,19	transcription
218352_at	RCBTB1	RCC1 and BTB domain-containing protein 1 (Regulator of chromosome condensation and BTB domain-containing protein 1)	1,17	transcription
205994_at	ELK4	ETS domain protein Elk-4 (Serum response factor accessory protein 1)	1,16	transcription
208003_s_at	NFAT5	Nuclear factor of activated T cells 5 (T cell transcription factor NFAT5)	1,16	transcription
203985_at	ZNF212	Zinc finger protein 212 (Zinc finger protein C2H2-150).	1,15	transcription
203973_s_at	CEBPD	CCAAT/enhancer binding protein delta (NF-IL6-beta)	1,13	transcription
201353_s_at	BAZ2A	Bromodomain adjacent to zinc finger domain 2A (Transcription termination factor I-interacting protein 5) (TTF-I-interacting protein 5) (Tip5) (hWALp3).	1,12	transcription
204095_s_at	ELL	RNA polymerase II elongation factor ELL (Eleven-nineteen lysine-rich leukemia protein).	1,12	transcription
216511_s_at	TCF7L2	Transcription factor 7-like 2 (HMG box transcription factor 4) (T- cell-specific transcription factor 4)	1,12	transcription
204327_s_at	ZNF202	Zinc finger protein 202.	1,1	transcription
208066_s_at	GTF2B	Transcription initiation factor IIB (General transcription factor TFIIB) (S300-II).	1,1	transcription
208436_s_at	IRF7	Interferon regulatory factor 7 (IRF-7).	1,1	transcription
212892_at	ZNF282	Zinc finger protein 282 (HTLV-I U5RE binding protein 1) (HUB-1)	1,1	transcription
218645_at	ZNF277	Zinc finger protein 277.	1,1	transcription
221517_s_at	CRSP6	CRSP complex subunit 6 (Cofactor required for Sp1 transcriptional activation subunit 6) (Transcriptional coactivator CRSP77) (Vitamin D3 receptor-interacting protein complex 80 kDa component)	1,1	transcription
201329_s_at	ETS2	C-ets-2 protein.	1,09	transcription
209838_at	COPS2	COP9 signalosome complex subunit 2 (JAB1-containing signalosome subunit 2)	1,09	transcription
212931_at	TCF20	Transcription factor 20 (Stromelysin 1 PDGF-responsive element-binding protein)	1,09	transcription
218149_s_at	ZNF395	F-box only protein 16.	1,08	transcription
218171_at	VPS4B	Vacuolar sorting protein 4b (SKD1 protein).	1,08	transcription
205251_at	PER2	Period circadian protein 2.	1,07	transcription
221016_s_at	TCF7L1	Transcription factor 7-like 1 (HMG-box transcription factor 3) (TCF- 3).	1,07	transcription
203959_s_at	ZBTB40	Zinc finger and BTB domain-containing protein 40.	1,05	transcription
211280_s_at	NRF1	Nuclear respiratory factor 1 (NRF-1) (Alpha palindromic binding protein)	1,05	transcription
206675_s_at	SKIL	Ski-like protein (Ski-related protein) (Ski-related oncogene).	1,04	transcription
219548_at	ZNF16	Zinc finger protein 16 (Zinc finger protein KOX9).	1,04	transcription
202393_s_at	KLF10	Transforming growth factor-beta-inducible early growth response protein 1 (Krueppel-like factor 10) (EGR-alpha).	1,03	transcription
203419_at	MLL4_HUMAN	Myeloid/lymphoid or mixed-lineage leukemia protein 4 (Trithorax homolog 2).	1,03	transcription
204195_s_at	PKNOX1	Homeobox protein PKNOX1 (PBX/knotted homeobox 1) (Homeobox protein PREP-1).	1,03	transcription
202453_s_at	GTF2H1	TFIIH basal transcription factor complex p62 subunit (Basic transcription factor 62 kDa subunit) (General transcription factor IIH polypeptide 1).	1,02	transcription
203730_s_at	ZFP95	Zinc finger protein 95 homolog	1,02	transcription
203893_at	TAF9	Transcription initiation factor TFIID subunit 9 (Transcription initiation factor TFIID 31 kDa subunit)	1,02	transcription
204367_at	SP2	Transcription factor Sp2.	1,02	transcription
205427_at	ZNF354A	Zinc finger protein 354A (Transcription factor 17)	1,02	transcription
203080_s_at	BAZ2B	Bromodomain adjacent to zinc finger domain 2B (hWALp4).	1,01	transcription
204520_x_at	BRD1	Bromodomain-containing protein 1 (BR140-like protein).	1,01	transcription
206332_s_at	IFI16	Gamma-interferon-inducible protein Ifi-16	1,01	transcription
218880_at	FOSL2	Fos-related antigen 2.	1,01	transcription
206862_at	ZNF539	Zinc finger protein 539.	1	transcription
209105_at	NCOA1	Nuclear receptor coactivator 1	1	transcription
212207_at	THRAP2	Thyroid hormone receptor-associated protein 2	1	transcription
212803_at	NAB2	NGFI-A binding protein 2 (EGR-1 binding protein 2) (Melanoma- associated delayed early response protein)	1	transcription
212881_at	PIAS4	Protein inhibitor of activated STAT protein 4 (Protein inhibitor of activated STAT protein gamma)	1	transcription
220549_at	FSBP_HUMAN	Fibrinogen silencer binding protein.	1	transcription
206085_s_at	CTH	Cystathionine gamma-lyase (Gamma-cystathionase)	3,43	amino acid and derivative metabolism
207076_s_at	ASS	Argininosuccinate synthase (Citrulline--aspartate ligase)	1,58	amino acid and derivative metabolism
202262_x_at	DDAH2	Dimethylargininase 2	1,4	amino acid and derivative metabolism
203925_at	GCLM	Glutamate--cysteine ligase regulatory subunit	1,38	amino acid and derivative metabolism
205194_at	PSPH	Phosphoserine phosphatase	1,19	amino acid and derivative metabolism
208249_s_at	TGDS	dTDP-D-glucose 4,6-dehydratase	1,05	amino acid and derivative metabolism
203665_at	HMOX1	Heme oxygenase 1	6,79	cellular metabolism
202922_at	GCLC	Glutamate--cysteine ligase catalytic subunit	2,2	cellular metabolism
207387_s_at	GK	Glycerol kinase	1,83	cellular metabolism
214553_s_at	ARP19_HUMAN	cAMP-regulated phosphoprotein 19 (ARPP-19)	1,56	cellular metabolism
201761_at	MTHFD2	Bifunctional methylenetetrahydrofolate dehydrogenase/cyclohydrolase, mitochondrial precursor	1,08	cellular metabolism
209949_at	NCF2	Neutrophil cytosol factor 2 (Neutrophil NADPH oxidase factor 2)	2,55	oxygen and ROS metabolism
215223_s_at	SOD2	Superoxide dismutase	1,63	oxygen and ROS metabolism
209383_at	DDIT3	DNA-damage inducible transcript 3 CHOP/GADD153	5,18	response to stress
202014_at	PPP1R15A	protein phosphatase 1, regulatory subunit 15A, Gadd34	4,65	response to stress
220956_s_at	EGLN2	Egl nine homolog 2 (Hypoxia-inducible factor prolyl hydroxylase 1)	1,51	response to stress
218033_s_at	SNN	Stannin (AG8_1).	1,18	response to stress
200970_s_at	SERP1	stress-associated endoplasmic reticulum protein 1 (SERP1)	1,13	response to stress
213418_at	HSPA6	Heat shock 70 kDa protein 6	11,64	response to unfolded protein (response to stress)
202843_at	DNAJB9	DnaJ (Hsp40) homolog subfamily B member 9	5,91	response to unfolded protein (response to stress)
200664_s_at	DNAJB1	DnaJ homolog subfamily B member 1 (HSP40)	4,1	response to unfolded protein (response to stress)
203811_s_at	DNAJB4	DnaJ homolog subfamily B member 4 (HSP40 homolog)	3,5	response to unfolded protein (response to stress)
208744_x_at	HSPH1	Heat-shock protein 105 kDa (Heat shock 110 kDa protein)	3,35	response to unfolded protein (response to stress)
217168_s_at	HERPUD1	Homocysteine-responsive ER-resident ubiquitin-like domain member 1 protein	2,8	response to unfolded protein (response to stress)
205543_at	HSPA4L	Heat shock 70 kDa protein 4L	2,7	response to unfolded protein (response to stress)
207714_s_at	SERPINH1	Collagen-binding protein 2 precursor	2,1	response to unfolded protein (response to stress)
218696_at	EIF2AK3	Eukaryotic translation initiation factor 2-alpha kinase 3 precursor	1,57	response to unfolded protein (response to stress)
201491_at	AHSA1	Activator of 90 kDa heat shock protein ATPase homolog 1 (p38)	1,57	response to unfolded protein (response to stress)
200880_at	DNAJA1	DnaJ homolog subfamily A member 1 (Heat shock 40 kDa protein 4)	1,48	response to unfolded protein (response to stress)
211220_s_at	HSF2	Heat shock factor protein 2	1,25	response to unfolded protein (response to stress)
202500_at	DNAJB2	DnaJ homolog subfamily B member 2 (Heat shock 40 kDa protein 3)	1,3	response to unfolded protein (response to stress)
200806_s_at	HSPD1	60 kDa heat shock protein, mitochondrial precursor (Hsp60)	1,17	response to unfolded protein (response to stress)
209015_s_at	DNAJB6	DnaJ homolog subfamily B member 6 (Heat shock protein J2)	1,13	response to unfolded protein (response to stress)
214359_s_at	HSPCB	heat shock 90kDa protein 1, beta	1,11	response to unfolded protein (response to stress)
205133_s_at	HSPE1	similar to heat shock 10kDa protein 1 (chaperonin 10)	1,07	response to unfolded protein (response to stress)
211016_x_at	HSPA4	Heat shock 70 kDa protein 4 (Heat shock 70-related protein APG-2)	1,02	response to unfolded protein (response to stress)
211968_s_at	HSPCAL3	Heat shock protein 86 (Fragment)	1,02	response to unfolded protein (response to stress)
210229_s_at	CSF2	Granulocyte-macrophage colony-stimulating factor precursor	7,03	immune response
213112_s_at	SQSTM1	Sequestosome-1(Ubiquitin-binding protein p62)	5,05	immune response
205207_at	IL6	Interleukin-6 precursor	4,51	immune response
207850_at	CXCL3	Macrophage inflammatory protein 2-beta precursor	4,32	immune response
205945_at	IL6R	Interleukin-6 receptor alpha chain precursor	3,65	immune response
209774_x_at	CXCL2	Macrophage inflammatory protein 2-alpha precursor	3,26	immune response
206172_at	IL13RA2	Interleukin-13 receptor alpha-2 chain precursor (Interleukin-13 binding protein).	3,01	immune response
210118_s_at	IL1A	Interleukin-1 alpha precursor (Hematopoietin-1)	2,89	immune response
206924_at	IL11	Interleukin-11 precursor	1,76	immune response
205992_s_at	IL15	Interleukin-15 precursor	1,74	immune response
211506_s_at	IL8	Interleukin-8 precursor (IL-8) (CXCL8)	1,65	immune response
201925_s_at	DAF	Complement decay-accelerating factor precursor (CD55 antigen)	1,65	immune response
204924_at	TLR2	Toll-like receptor 2 precursor	1,63	immune response
206157_at	PTX3	Pentraxin-related protein PTX3 precursor (TNF-inducible protein TSG-14).	1,62	immune response
206569_at	IL24	Interleukin-24 precursor	1,17	immune response
206295_at	IL18	Interleukin-18 precursor	1,05	immune response
204472_at	GEM	GTP-binding protein GEM (RAS-like protein KIR)	7,37	small GTPase mediated signal transduction
204802_at	RRAD	GTP-binding protein RAD (RAD1)	3,42	small GTPase mediated signal transduction
212777_at	SOS1	Son of sevenless protein homolog 1 (SOS-1)	2,76	small GTPase mediated signal transduction
212724_at	RND3	Rho-related GTP-binding protein RhoE (Rho family GTPase 3)	2,58	small GTPase mediated signal transduction
218088_s_at	RRAGC	Ras-related GTP binding C	2,52	small GTPase mediated signal transduction
209882_at	RIT1	GTP-binding protein Rit1 (Ras-like protein expressed in many tissues)	2,52	small GTPase mediated signal transduction
209568_s_at	RGL1	Ral guanine nucleotide dissociation stimulator-like 1	2,4	small GTPase mediated signal transduction
218501_at	ARHGEF3	Rho guanine nucleotide exchange factor 3 (Exchange factor found in platelets and leukemic and neuronal tissues)	2,15	small GTPase mediated signal transduction
212099_at	RHOB	Rho-related GTP-binding protein RhoB	2,12	small GTPase mediated signal transduction
202547_s_at	ARHGEF7	Rho guanine nucleotide exchange factor 7 (PAK-interacting exchange factor beta)	1,94	small GTPase mediated signal transduction
209050_s_at	RALGDS	Ral guanine nucleotide dissociation stimulator	1,81	small GTPase mediated signal transduction
204547_at	RAB40B	Ras-related protein Rab-40B (SOCS box containing protein RAR) (Rar protein)	1,74	small GTPase mediated signal transduction
218700_s_at	RAB7L1	Ras-related protein Rab-7L1 (Rab-7-like protein 1).	1,71	small GTPase mediated signal transduction
218360_at	RAB22A	Ras-related protein Rab-22A (Rab-22).	1,68	small GTPase mediated signal transduction
209907_s_at	ITSN2	Intersectin-2 (SH3 domain-containing protein 1B)	1,6	small GTPase mediated signal transduction
221808_at	RAB9A	Ras-related protein Rab-9A (Rab-9).	1,51	small GTPase mediated signal transduction
219045_at	RHOF	Rho-related GTP-binding protein RhoF (Rho-family GTPase Rif)	1,33	small GTPase mediated signal transduction
219210_s_at	RAB8B	Ras-related protein Rab-8B.	1,29	small GTPase mediated signal transduction
206113_s_at	RAB5A	Ras-related protein Rab-5A	1,25	small GTPase mediated signal transduction
201048_x_at	RAB6A	Ras-related protein Rab-6A (Rab-6)	1,24	small GTPase mediated signal transduction
202647_s_at	NRAS	GTPase NRas precursor (Transforming protein N-Ras)	1,19	small GTPase mediated signal transduction
211960_s_at	RAB7	Ras-related protein Rab-7	1,15	small GTPase mediated signal transduction
209435_s_at	ARHGEF2	Rho/Rac guanine nucleotide exchange factor 2 (GEF-H1 protein)	1,1	small GTPase mediated signal transduction
213457_at	MFHAS1	malignant fibrous histiocytoma amplified sequence 1	1,04	small GTPase mediated signal transduction
217976_s_at	DYNC1LI1	Dynein light intermediate chain 1, cytosolic	1,04	small GTPase mediated signal transduction
212120_at	RHOQ	Rho-related GTP-binding protein RhoQ (Ras-related GTP-binding protein TC10)	1,03	small GTPase mediated signal transduction
206917_at	GNA13	Guanine nucleotide-binding protein alpha-13 subunit (G alpha-13)	3,58	G-protein coupled receptor protein signaling pathway
202388_at	RGS2	Regulator of G-protein signaling 2 (RGS2) (G0/G1 switch regulatory protein 8)	3,14	G-protein coupled receptor protein signaling pathway
220334_at	RGS17	Regulator of G-protein signaling 17	2,77	G-protein coupled receptor protein signaling pathway
206972_s_at	GPR161	Probable G-protein coupled receptor 161 (G-protein coupled receptor RE2).	1,92	G-protein coupled receptor protein signaling pathway
201181_at	GNAI3	Guanine nucleotide-binding protein G(k), alpha subunit (G(i) alpha-3).	1,88	G-protein coupled receptor protein signaling pathway
203108_at	GPRC5A	Retinoic acid-induced protein 3 (G-protein coupled receptor family C group 5 member A)	1,63	G-protein coupled receptor protein signaling pathway
221308_at	FRS2	Fibroblast growth factor receptor substrate 2 (Suc1-associated neurotrophic factor target 1)	1,61	G-protein coupled receptor protein signaling pathway
203706_s_at	FZD7	Frizzled 7 precursor	1,5	G-protein coupled receptor protein signaling pathway
209576_at	GNAI1	Guanine nucleotide-binding protein G(i), alpha-1 subunit	1,35	G-protein coupled receptor protein signaling pathway
205579_at	HRH1	Histamine H1 receptor	1,1	G-protein coupled receptor protein signaling pathway
203632_s_at	GPRC5B	G-protein coupled receptor family C group 5 member B precursor (Retinoic acid-induced gene 2 protein)	1,03	G-protein coupled receptor protein signaling pathway
206429_at	F2RL1	Proteinase-activated receptor 2 precursor (Thrombin receptor- like 1)	1,02	G-protein coupled receptor protein signaling pathway
214969_at	MAP3K9	Mitogen-activated protein kinase kinase kinase 9	1,6	MAPKKK cascade
221695_s_at	MAP3K2	Mitogen-activated protein kinase kinase kinase 2	1,54	MAPKKK cascade
203553_s_at	MAP4K5	Mitogen-activated protein kinase kinase kinase kinase 5	1,53	MAPKKK cascade
218311_at	MAP4K3	Mitogen-activated protein kinase kinase kinase kinase 3	1,51	MAPKKK cascade
211535_s_at	FGFR1	Basic fibroblast growth factor receptor 1 precursor	1,12	MAPKKK cascade
219677_at	SPSB1	SPRY domain-containing SOCS box protein SSB-1	3,18	signal transduction
214841_at	CNIH3	Cornichon homolog 3.	2,87	signal transduction
203741_s_at	ADCY7	Adenylate cyclase type VII (ATP pyrophosphate-lyase 7)	2,35	signal transduction
212717_at	PLEKHM1	pleckstrin homology domain containing, family M (with RUN domain) member 1	2,08	signal transduction
219864_s_at	DSCR1L2	Calcipressin-3 (Down syndrome candidate region 1-like protein 2) (Myocyte-enriched calcineurin-interacting protein 3)	1,96	signal transduction
210001_s_at	SOCS1	Suppressor of cytokine signaling 1 (JAK-binding protein) (STAT-induced STAT inhibitor 1)	1,93	signal transduction
46256_at	SPSB3	SPRY domain-containing SOCS box protein SSB-3	1,87	signal transduction
212873_at	HMHA1	minor histocompatibility antigen HA-1	1,83	signal transduction
212849_at	AXIN1	Axin-1 (Axis inhibition protein 1)	1,66	signal transduction
219020_at	HS1BP3	HS1-binding protein 3	1,62	signal transduction
219027_s_at	MYO9A	myosin IXA	1,55	signal transduction
200815_s_at	PAFAH1B1	Platelet-activating factor acetylhydrolase IB alpha subunit	1,49	signal transduction
213191_at	TICAM1	TIR domain containing adaptor inducing interferon-beta isoform 2	1,38	signal transduction
212589_at	RRAS2	Ras-related protein R-Ras2 (Ras-like protein TC21) (Teratocarcinoma oncogene)	1,35	signal transduction
219500_at	CLCF1	B cell-stimulating factor 3 precursor (BSF-3)	1,34	signal transduction
212183_at	NUDT4	Diphosphoinositol polyphosphate phosphohydrolase 2 (DIPP-2)	1,33	signal transduction
219026_s_at	RASAL2	Ras GTPase-activating protein nGAP (RAS protein activator-like 1).	1,3	signal transduction
210561_s_at	WSB1	WD repeat and SOCS box containing protein 1	1,17	signal transduction
34408_at	RTN2	Reticulon-2 (Neuroendocrine-specific protein-like 1) (NSP-like protein 1)	1,17	signal transduction
215253_s_at	DSCR1	Calcipressin-1 (Down syndrome critical region protein 1)	1,11	signal transduction
212948_at	CAMTA2	calmodulin binding transcription activator 2	1,08	signal transduction
212870_at	SOS2	Son of sevenless protein homolog 2	1,08	signal transduction
635_s_at	PPP2R5B	Serine/threonine protein phosphatase 2A, 56 kDa regulatory subunit, beta isoform (PP2A, B subunit, B beta isoform)	1,07	signal transduction
210962_s_at	AKAP9	A-kinase anchor protein 9 (Protein kinase A-anchoring protein 9)	1,06	signal transduction
209451_at	TANK	TRAF family member-associated NF-kappa-B activator	1,05	signal transduction
211171_s_at	PDE10A	cAMP and cAMP-inhibited cGMP 3,5-cyclic phosphodiesterase 10A	1,04	signal transduction
204369_at	PIK3CA	Phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit alpha isoform	1	signal transduction
214321_at	NOV	NOV protein homolog precursor (Nephroblastoma overexpressed gene protein homolog)	4,74	development/differentiation/growth
219475_at	OK38_HUMAN	Pregnancy-induced growth inhibitor OKL38 (huOKL38) (Ovary, kidney and liver protein 38)	3,78	development/differentiation/growth
205923_at	RELN	Reelin precursor	3,02	development/differentiation/growth
211527_x_at	VEGF	Vascular endothelial growth factor A precursor	2,86	development/differentiation/growth
200632_s_at	NDRG1	NDRG1 protein (N-myc downstream regulated gene 1 protein) (Differentiation-related gene 1 protein)	2,82	development/differentiation/growth
205302_at	IGFBP1	Insulin-like growth factor binding protein 1 precursor	2,12	development/differentiation/growth
212722_s_at	PTDSR	Phosphatidylserine receptor	1,98	development/differentiation/growth
210136_at	MBP	Myelin basic protein (MBP) (Myelin A1 protein)	1,73	development/differentiation/growth
210139_s_at	PMP22	Peripheral myelin protein 22 (PMP-22)	1,66	development/differentiation/growth
209652_s_at	PGF	Placenta growth factor precursor (PlGF)	1,63	development/differentiation/growth
203623_at	PLXNA3	Plexin A3 precursor (Plexin 4)	1,57	development/differentiation/growth
209073_s_at	NUMB	Protein numb homolog (h-Numb) (Protein S171)	1,49	development/differentiation/growth
205289_at	BMP2	Bone morphogenetic protein 2 precursor (BMP-2)	1,41	development/differentiation/growth
206237_s_at	NRG1	Neuregulin-1, sensory and motor neuron-derived factor isoform	1,27	development/differentiation/growth
208626_s_at	VAT1	Synaptic vesicle membrane protein VAT-1 homolog	1,27	development/differentiation/growth
204421_s_at	FGF2	Heparin-binding growth factor 2 precursor (Basic fibroblast growth factor) (BFGF)	1,23	development/differentiation/growth
204783_at	MLF1	Myeloid leukemia factor 1 (Myelodysplasia-myeloid leukemia factor 1)	1,07	development/differentiation/growth
207528_s_at	SLC7A11	Cystine/glutamate transporter (Amino acid transport system xc-)	4,67	transport
202499_s_at	SLC2A3	Solute carrier family 2, facilitated glucose transporter member 3	3,94	transport
216985_s_at	STX3A	Syntaxin-3	3,28	transport
202497_x_at	SLC2A14	Solute carrier family 2, facilitated glucose transporter member 14 (Glucose transporter type 14)	3,19	transport
221041_s_at	SLC17A5	Sialin (Solute carrier family 17 member 5) (Sodium/sialic acid cotransporter) (AST)	2,61	transport
218330_s_at	NAV2	neuron navigator 2 isoform 2	2,4	transport
210286_s_at	SLC4A7	solute carrier family 4, sodium bicarbonate cotransporter, member 7	2,27	transport
219793_at	SNX16	Sorting nexin-16.	2,19	transport
204204_at	SLC31A2	Probable low-affinity copper uptake protein 2 (Copper transporter 2) (Solute carrier family 31 member 2).	2,18	transport
203390_s_at	KIF3C	Kinesin-like protein KIF3C	2,13	transport
210357_s_at	SMOX	Spermine oxidase (Polyamine oxidase 1)	2,08	transport
203950_s_at	CLCN6	Chloride channel protein 6 (ClC-6)	2,07	transport
206241_at	KPNA5	Importin alpha-6 subunit (Karyopherin alpha-5 subunit)	2,01	transport
200924_s_at	SLC3A2	4F2 cell-surface antigen heavy chain (4F2hc)	1,93	transport
203889_at	SGNE1	Neuroendocrine protein 7B2 precursor (Secretory granule endocrine protein I)	1,87	transport
212907_at	SLC30A1	Solute carrier family 30 (Zinc transporter), member 1	1,81	transport
212902_at	SEC24A	Protein transport protein Sec24A (SEC24-related protein A) (Fragment).	1,78	transport
215931_s_at	ARFGEF2	Brefeldin A-inhibited guanine nucleotide-exchange protein 2 (Brefeldin A-inhibited GEP 2)	1,78	transport
203518_at	LYST	Lysosomal trafficking regulator (Beige homolog).	1,74	transport
213843_x_at	SLC6A10	Sodium- and chloride-dependent creatine transporter 2 (CT2) (Fragment)	1,72	transport
201799_s_at	OSBP	Oxysterol-binding protein 1	1,7	transport
208928_at	POR	NADPH--cytochrome P450 reductase	1,65	transport
218727_at	FLJ10815	amino acid transporter	1,65	transport
202872_at	ATP6V1C1	Vacuolar ATP synthase subunit C	1,62	transport
201918_at	SLC25A36	solute carrier family 25, member 36	1,59	transport
205920_at	SLC6A6	Sodium- and chloride-dependent taurine transporter	1,59	transport
221524_s_at	RRAGD	Ras-related GTP binding D	1,56	transport
203544_s_at	STAM	Signal transducing adapter molecule 1 (STAM-1)	1,55	transport
204925_at	CTNS	Cystinosin	1,54	transport
204435_at	NUPL1	Nucleoporin p58/p45 (Nucleoporin-like 1)	1,52	transport
205704_s_at	ATP6V0A2	Vacuolar proton translocating ATPase 116 kDa subunit a isoform 2	1,51	transport
214211_at	FTH1	Ferritin heavy chain (Ferritin H subunit) (Proliferation-inducing gene 15 protein).	1,5	transport
218295_s_at	NUP50	Nucleoporin 50 kDa (Nuclear pore-associated protein 60 kDa-like).	1,48	transport
202211_at	ARFGAP3	ADP-ribosylation factor GTPase-activating protein 3 (ARF GAP 3)	1,46	transport
213187_x_at	Q6DMM8_HUMAN	Ferritin light chain (Fragment).	1,46	transport
204729_s_at	STX1A	Syntaxin-1A (Neuron-specific antigen HPC-1)	1,45	transport
208460_at	GJA7	Gap junction alpha-7 protein (Connexin-45) (Cx45)	1,44	transport
219911_s_at	SLCO4A1	Solute carrier organic anion transporter family member 4A1	1,4	transport
202798_at	SEC24B	Protein transport protein Sec24B (SEC24-related protein B)	1,38	transport
202679_at	NPC1	Niemann-Pick C1 protein precursor	1,38	transport
203330_s_at	STX5A	Syntaxin-5	1,37	transport
209222_s_at	OSBPL2	Oxysterol binding protein-related protein 2 (OSBP-related protein 2)	1,37	transport
209380_s_at	ABCC5	Multidrug resistance-associated protein 5	1,37	transport
201266_at	TXNRD1	Thioredoxin reductase 1, cytoplasmic precursor	1,35	transport
217789_at	SNX6	Sorting nexin-6 (TRAF4-associated factor 2)	1,34	transport
202629_at	APPBP2	Amyloid protein-binding protein 2 (Amyloid beta precursor protein- binding protein 2)	1,31	transport
202375_at	SEC24D	Protein transport protein Sec24D (SEC24-related protein D).	1,29	transport
220924_s_at	SLC38A2	solute carrier family 38, member 2	1,28	transport
204326_x_at	MT1X	Metallothionein-1X	1,26	transport
204141_at	TUBB2A	tubulin, beta 2	1,23	transport
218066_at	SLC12A7	Solute carrier family 12 member 7 (Electroneutral potassium-chloride cotransporter 4)	1,23	transport
212810_s_at	SLC1A4	Neutral amino acid transporter A (SATT) (Alanine/serine/cysteine/ threonine transporter)	1,2	transport
203222_s_at	TLE1	Transducin-like enhancer protein 1 (ESG1)	1,2	transport
204678_s_at	KCNK1	Potassium channel subfamily K member 1	1,18	transport
210676_x_at	RANBP2L1	Ran binding protein 2-like 1	1,17	transport
203165_s_at	SLC33A1	Acetyl-coenzyme A transporter 1 (AT-1) (Acetyl-CoA transporter)	1,15	transport
203223_at	RABEP1	Rab GTPase binding effector protein 1 (Rabaptin-5) (Rabaptin-5alpha)	1,15	transport
202194_at	TMED5	Transmembrane emp24 domain containing protein 5 precursor	1,13	transport
203310_at	STXBP3	Syntaxin-binding protein 3 (UNC-18 homolog 3)	1,11	transport
212110_at	SLC39A14	solute carrier family 39 (zinc transporter), member 14	1,11	transport
212930_at	ATP2B1	Plasma membrane calcium-transporting ATPase 1 (Plasma membrane calcium pump isoform 1)	1,11	transport
202710_at	BET1	BET1 homolog (Golgi vesicular membrane trafficking protein p18) (hBET1)	1,1	transport
218241_at	GOLGA5	Golgin subfamily A member 5 (Golgin-84) (RET-fused gene 5 protein) (Ret-II protein).	1,09	transport
220036_s_at	LMBR1L	Protein LMBR1L (Lipocalin-1-interacting membrane receptor)	1,08	transport
202398_at	AP3S2	Adapter-related protein complex 3 sigma 2 subunit (Sigma-adaptin 3b)	1,06	transport
212439_at	IHPK1	Inositol hexaphosphate kinase 1(InsP6 kinase 1)	1,05	transport
201089_at	ATP6V1B2	Vacuolar ATP synthase subunit B, brain isoform (V-ATPase B2 subunit)	1,04	transport
212136_at	ATP2B4	Plasma membrane calcium-transporting ATPase 4	1,04	transport
214749_s_at	ARMCX6	Protein ARMCX6	1,03	transport
209130_at	SNAP23	Synaptosomal-associated protein 23 (SNAP-23)	1,02	transport
218647_s_at	YRDC	ischemia/reperfusion inducible protein	1,02	transport
218310_at	RABGEF1	RAB guanine nucleotide exchange factor (GEF) 1	1,01	transport
208078_s_at	SNF1LK	Serine/threonine-protein kinase SNF1-like kinase 1	5,52	cell cycle/proliferation
211559_s_at	CCNG2	Cyclin-G2.	4,57	cell cycle/proliferation
213348_at	CDKN1C	Cyclin-dependent kinase inhibitor 1C	3,37	cell cycle/proliferation
202284_s_at	CDKN1A	Cyclin-dependent kinase inhibitor 1	3,35	cell cycle/proliferation
214185_at	KHDRBS1	KH domain containing, RNA binding, signal transduction associated protein 1 (p21 Ras GTPase-activating protein-associated p62)	3	cell cycle/proliferation
203725_at	GADD45A	Growth arrest and DNA-damage-inducible protein GADD45 alpha	2,56	cell cycle/proliferation
218012_at	TSPYL2	TSPY-like 2	2,52	cell cycle/proliferation
200921_s_at	BTG1	BTG1 protein (B-cell translocation gene 1 protein)	2,43	cell cycle/proliferation
218603_at	HECA	Headcase protein homolog (hHDC).	2,39	cell cycle/proliferation
214683_s_at	CLK1	Dual specificity protein kinase CLK1 (CDC-like kinase 1)	2,32	cell cycle/proliferation
219910_at	HYPE	Huntingtin interacting protein E	2,26	cell cycle/proliferation
204645_at	CCNT2	Cyclin-T2	1,82	cell cycle/proliferation
209808_x_at	ING1	Inhibitor of growth protein 1	1,58	cell cycle/proliferation
204605_at	CGRRF1	Cell growth regulator with RING finger domain 1 (Cell growth regulatory gene 19 protein)	1,56	cell cycle/proliferation
202455_at	HDAC5	Histone deacetylase 5 (HD5) (Antigen NY-CO-9).	1,56	cell cycle/proliferation
203558_at	CUL7	Cullin-7	1,48	cell cycle/proliferation
203659_s_at	RFP2	Ret finger protein 2 (Leukemia associated protein 5) (Putative tumor suppressor RFP2)	1,45	cell cycle/proliferation
204346_s_at	RASSF1	Ras association domain family 1 (Ras association, RalGDS/AF-6, domain family 1)	1,45	cell cycle/proliferation
207108_s_at	NIPBL	Nipped-B-like protein (Delangin) (SCC2 homolog)	1,43	cell cycle/proliferation
202704_at	TOB1	Tob1 protein (Transducer of erbB-2 1)	1,4	cell cycle/proliferation
209390_at	TSC1	Hamartin (Tuberous sclerosis 1 protein)	1,35	cell cycle/proliferation
