clone	rp	M	fdr	gene_symbol	ensembl_id	description
225687_at	510.5002	-1.000577193	0.0035	FAM83D	ENSG00000101447	Uncharacterized protein C20orf129. [Source:Uniprot/SWISSPROT;Acc:Q9H4H8]
222150_s_at	512.4141	-1.211230778	0.0035	Q9UMH3_HUMAN	ENSG00000135174	NA
203813_s_at	514.1054	-1.15521265	0.0035	SLIT3	ENSG00000184347	Slit homolog 3 protein precursor (Slit-3) (Multiple epidermal growth factor-like domains 5). [Source:Uniprot/SWISSPROT;Acc:O75094]
212230_at	515.4587	-1.269164438	0.0035	PPAP2B	ENSG00000162407	Lipid phosphate phosphohydrolase 3 (EC 3.1.3.4) (Phosphatidic acid phosphatase 2b) (Phosphatidate phosphohydrolase type 2b) (PAP2b) (PAP- 2b) (PAP2-beta) (Vascular endothelial growth factor and type I collagen-inducible protein) (VCIP). [Source:Uniprot/SWISSPROT;Acc:O14495]
203438_at	516.829	-1.221286779	0.0036	STC2	ENSG00000113739	Stanniocalcin-2 precursor (STC-2) (Stanniocalcin-related protein) (STCRP) (STC-related protein). [Source:Uniprot/SWISSPROT;Acc:O76061]
233533_at	521.0208	-1.324455023	0.0038	KRTAP1-5	ENSG00000204888	Keratin-associated protein 1-5 (Keratin-associated protein 1.5) (High sulfur keratin-associated protein 1.5). [Source:Uniprot/SWISSPROT;Acc:Q9BYS1]
230710_at	523.8457	-1.163914288	0.0037	NA	NA	NA
227070_at	528.186	-1.127841043	0.0038	GLT8D2	ENSG00000120820	glycosyltransferase 8 domain containing 2 [Source:RefSeq_peptide;Acc:NP_112592]
204508_s_at	529.196	-1.294420138	0.0038	CA12	ENSG00000074410	Carbonic anhydrase 12 precursor (EC 4.2.1.1) (Carbonic anhydrase XII) (Carbonate dehydratase XII) (CA-XII) (Tumor antigen HOM-RCC-3.1.3). [Source:Uniprot/SWISSPROT;Acc:O43570]
222288_at	529.4598	-1.332062472	0.0038	NA	NA	NA
202481_at	531.5238	-1.290885852	0.0038	DHRS3	ENSG00000162496	Short-chain dehydrogenase/reductase 3 (EC 1.1.-.-) (Retinal short- chain dehydrogenase/reductase 1) (retSDR1) (DD83.1). [Source:Uniprot/SWISSPROT;Acc:O75911]
236027_at	539.7547	-1.162944844	0.0039	C10orf78	ENSG00000156384	Novel protein. [Source:Uniprot/SPTREMBL;Acc:Q5JT39]
219918_s_at	543.3216	-0.89942596	0.004	ASPM	ENSG00000066279	Abnormal spindle-like microcephaly-associated protein (Abnormal spindle protein homolog) (Asp homolog). [Source:Uniprot/SWISSPROT;Acc:Q8IZT6]
228399_at	545.8802	-1.186721595	0.0039	OSR1	ENSG00000143867	Protein odd-skipped-related 1. [Source:Uniprot/SWISSPROT;Acc:Q8TAX0]
236361_at	545.9347	-1.514573173	0.0039	GALNTL2	ENSG00000131386	Polypeptide N-acetylgalactosaminyltransferase-like protein 2 (EC 2.4.1.41) (Protein-UDP acetylgalactosaminyltransferase-like protein 2) (UDP-GalNAc:polypeptide N-acetylgalactosaminyltransferase- like protein 2) (Polypeptide GalNAc transferase-like protein [Source:Uniprot/SWISSPROT;Acc:Q8N3T1]
209395_at	546.2174	-1.310432456	0.0039	CHI3L1	ENSG00000133048	Chitinase-3-like protein 1 precursor (Cartilage glycoprotein 39) (GP- 39) (39 kDa synovial protein) (HCgp-39) (YKL-40). [Source:Uniprot/SWISSPROT;Acc:P36222]
201188_s_at	548.6841	-1.15521265	0.0039	ITPR3	ENSG00000096433	Inositol 1,4,5-trisphosphate receptor type 3 (Type 3 inositol 1,4,5- trisphosphate receptor) (Type 3 InsP3 receptor) (IP3 receptor isoform 3) (InsP3R3). [Source:Uniprot/SWISSPROT;Acc:Q14573]
223492_s_at	556.6998	-1.218262612	0.0042	Q32MZ4-2	ENSG00000124831	leucine rich repeat (in FLII) interacting protein 1 [Source:RefSeq_peptide;Acc:NP_004726]
238623_at	558.0928	-1.166502663	0.0042	Q8N1X5_HUMAN	ENSG00000175704	CDNA FLJ37310 fis, clone BRAMY2016706. [Source:Uniprot/SPTREMBL;Acc:Q8N1X5]
226695_at	559.8551	-1.140507455	0.0042	PRRX1	ENSG00000116132	Paired mesoderm homeobox protein 1 (PRX-1) (Paired-related homeobox protein 1) (Homeobox protein PHOX1). [Source:Uniprot/SWISSPROT;Acc:P54821]
203963_at	560.264	-1.191326645	0.0042	CA12	ENSG00000074410	Carbonic anhydrase 12 precursor (EC 4.2.1.1) (Carbonic anhydrase XII) (Carbonate dehydratase XII) (CA-XII) (Tumor antigen HOM-RCC-3.1.3). [Source:Uniprot/SWISSPROT;Acc:O43570]
206614_at	562.6009	-1.238204128	0.0042	GDF5	ENSG00000125965	Growth/differentiation factor 5 precursor (GDF-5) (Cartilage-derived morphogenetic protein 1) (CDMP-1) (Radotermin). [Source:Uniprot/SWISSPROT;Acc:P43026]
201189_s_at	569.5297	-1.118413684	0.0044	ITPR3	ENSG00000096433	Inositol 1,4,5-trisphosphate receptor type 3 (Type 3 inositol 1,4,5- trisphosphate receptor) (Type 3 InsP3 receptor) (IP3 receptor isoform 3) (InsP3R3). [Source:Uniprot/SWISSPROT;Acc:Q14573]
204284_at	570.115	-1.241952718	0.0044	PPP1R3C	ENSG00000119938	protein phosphatase 1, regulatory (inhibitor) subunit 3C [Source:RefSeq_peptide;Acc:NP_005389]
218974_at	570.839	-1.201907999	0.0044	NA	NA	NA
227404_s_at	571.2561	-0.934014171	0.0043	NA	NA	NA
210640_s_at	575.5678	-1.236163541	0.0043	GPR30	ENSG00000164850	Chemokine receptor-like 2 (G-protein coupled receptor 30) (IL8-related receptor DRY12) (Flow-induced endothelial G-protein coupled receptor) (FEG-1) (GPCR-BR). [Source:Uniprot/SWISSPROT;Acc:Q99527]
216250_s_at	576.1646	-1.192315357	0.0043	LPXN	ENSG00000110031	Leupaxin. [Source:Uniprot/SWISSPROT;Acc:O60711]
228937_at	584.6733	-1.171043524	0.0046	C13orf31	ENSG00000179630	UPF0124 protein. [Source:Uniprot/SWISSPROT;Acc:Q8IV20]
204646_at	589.635	-1.114972363	0.0047	DPYD	ENSG00000188641	Dihydropyrimidine dehydrogenase [NADP+] precursor (EC 1.3.1.2) (DPD) (DHPDHase) (Dihydrouracil dehydrogenase) (Dihydrothymine dehydrogenase). [Source:Uniprot/SWISSPROT;Acc:Q12882]
204595_s_at	591.7403	-1.267774223	0.0048	STC1	ENSG00000159167	Stanniocalcin-1 precursor (STC-1). [Source:Uniprot/SWISSPROT;Acc:P52823]
203131_at	593.0965	-1.137013091	0.0048	PDGFRA	ENSG00000134853	Alpha platelet-derived growth factor receptor precursor (EC 2.7.10.1) (PDGF-R-alpha) (CD140a antigen). [Source:Uniprot/SWISSPROT;Acc:P16234]
232090_at	595.5793	-1.346297909	0.0048	NA	NA	NA
226098_at	602.7803	-1.17722907	0.0049	IFT80	ENSG00000068885	Intraflagellar transport 80 homolog (WD repeat protein 56). [Source:Uniprot/SWISSPROT;Acc:Q9P2H3]
211518_s_at	605.8349	-1.10562845	0.005	BMP4	ENSG00000125378	Bone morphogenetic protein 4 precursor (BMP-4) (BMP-2B). [Source:Uniprot/SWISSPROT;Acc:P12644]
219148_at	607.4934	-0.662688523	0.0049	PBK	ENSG00000168078	T-lymphokine-activated killer cell-originated protein kinase (EC 2.7.12.2) (T-LAK cell-originated protein kinase) (PDZ-binding kinase) (Spermatogenesis-related protein kinase) (SPK) (MAPKK-like protein kinase) (Nori-3). [Source:Uniprot/SWISSPROT;Acc:Q96KB5]
226542_at	607.7801	-1.108425275	0.0049	NA	NA	NA
239787_at	619.2594	-1.110292842	0.0053	KCTD4	ENSG00000180332	BTB/POZ domain-containing protein KCTD4. [Source:Uniprot/SWISSPROT;Acc:Q8WVF5]
209773_s_at	619.8252	-0.817561944	0.0053	RRM2	ENSG00000171848	Ribonucleoside-diphosphate reductase M2 subunit (EC 1.17.4.1) (Ribonucleotide reductase small subunit) (Ribonucleotide reductase small chain). [Source:Uniprot/SWISSPROT;Acc:P31350]
202213_s_at	621.2302	-1.07187607	0.0052	CUL4B	ENSG00000158290	Cullin-4B (CUL-4B). [Source:Uniprot/SWISSPROT;Acc:Q13620]
201309_x_at	627.844	-1.050801268	0.0054	C5orf13	ENSG00000134986	Neuronal protein 3.1 (p311 protein). [Source:Uniprot/SWISSPROT;Acc:Q16612]
208747_s_at	632.6915	-1.286304185	0.0055	C1S	ENSG00000182326	Complement C1s subcomponent precursor (EC 3.4.21.42) (C1 esterase) [Contains: Complement C1s subcomponent heavy chain; Complement C1s subcomponent light chain]. [Source:Uniprot/SWISSPROT;Acc:P09871]
204112_s_at	637.0288	-1.064012304	0.0055	HNMT	ENSG00000150540	Histamine N-methyltransferase (EC 2.1.1.8) (HMT). [Source:Uniprot/SWISSPROT;Acc:P50135]
223541_at	642.2495	-1.392137097	0.0058	HAS3	ENSG00000103044	Hyaluronan synthase 3 (EC 2.4.1.212) (Hyaluronate synthase 3) (Hyaluronic acid synthase 3) (HA synthase 3). [Source:Uniprot/SWISSPROT;Acc:O00219]
204620_s_at	651.0893	-1.176902853	0.006	CSPG2	ENSG00000038427	Versican core protein precursor (Large fibroblast proteoglycan) (Chondroitin sulfate proteoglycan core protein 2) (PG-M) (Glial hyaluronate-binding protein) (GHAP). [Source:Uniprot/SWISSPROT;Acc:P13611]
209466_x_at	651.9888	-1.044836012	0.006	PTN	ENSG00000105894	Pleiotrophin precursor (PTN) (Heparin-binding growth-associated molecule) (HB-GAM) (Heparin-binding growth factor 8) (HBGF-8) (Osteoblast-specific factor 1) (OSF-1) (Heparin-binding neurite outgrowth-promoting factor 1) (HBNF-1) (Heparin-binding brain mit [Source:Uniprot/SWISSPROT;Acc:P21246]
212822_at	658.8456	-1.30365001	0.0062	HEG1	ENSG00000173706	HEG1 protein (Fragment). [Source:Uniprot/SPTREMBL;Acc:Q9BSV0]
209835_x_at	660.7353	-1.070966521	0.0062	CD44	ENSG00000026508	CD44 antigen precursor (Phagocytic glycoprotein I) (PGP-1) (HUTCH-I) (Extracellular matrix receptor-III) (ECMR-III) (GP90 lymphocyte homing/adhesion receptor) (Hermes antigen) (Hyaluronate receptor) (Heparan sulfate proteoglycan) (Epican) (CDw44). [Source:Uniprot/SWISSPROT;Acc:P16070]
210261_at	661.3525	-1.112786697	0.0061	KCNK2	ENSG00000082482	Potassium channel subfamily K member 2 (Outward rectifying potassium channel protein TREK-1) (TREK-1 K(+) channel subunit) (Two-pore potassium channel TPKC1). [Source:Uniprot/SWISSPROT;Acc:O95069]
221447_s_at	668.1676	-1.014791053	0.0062	GLT8D2	ENSG00000120820	glycosyltransferase 8 domain containing 2 [Source:RefSeq_peptide;Acc:NP_112592]
212298_at	673.5028	-1.085282414	0.0063	NRP1	ENSG00000099250	Neuropilin-1 precursor (Vascular endothelial cell growth factor 165 receptor) (CD304 antigen). [Source:Uniprot/SWISSPROT;Acc:O14786]
227014_at	675.0411	-1.166826537	0.0063	ASPHD2	ENSG00000128203	aspartate beta-hydroxylase domain containing 2 [Source:RefSeq_peptide;Acc:NP_065170]
205475_at	678.6919	-1.178861263	0.0063	SCRG1_HUMAN	ENSG00000164106	Scrapie-responsive protein 1 precursor (ScRG-1). [Source:Uniprot/SWISSPROT;Acc:O75711]
203435_s_at	678.9055	-1.182786076	0.0063	MME	ENSG00000196549	Neprilysin (EC 3.4.24.11) (Neutral endopeptidase) (NEP) (Enkephalinase) (Neutral endopeptidase 24.11) (Atriopeptidase) (Common acute lymphocytic leukemia antigen) (CALLA) (CD10 antigen). [Source:Uniprot/SWISSPROT;Acc:P08473]
204955_at	681.0364	-1.067636409	0.0063	SRPX	ENSG00000101955	Sushi repeat-containing protein SRPX precursor. [Source:Uniprot/SWISSPROT;Acc:P78539]
227195_at	682.6848	-1.221959678	0.0063	ZNF503	ENSG00000165655	zinc finger protein 503 [Source:RefSeq_peptide;Acc:NP_116161]
233547_x_at	684.1941	-1.17722907	0.0063	PDE1A	ENSG00000115252	Calcium/calmodulin-dependent 3,5-cyclic nucleotide phosphodiesterase 1A (EC 3.1.4.17) (Cam-PDE 1A) (61 kDa Cam-PDE) (hCam-1). [Source:Uniprot/SWISSPROT;Acc:P54750]
218631_at	686.4112	-1.123433941	0.0064	AVPI1	ENSG00000119986	vasopressin-induced protein, 32kDa [Source:RefSeq_peptide;Acc:NP_068378]
227484_at	688.244	-1.080392953	0.0064	NA	NA	NA
223614_at	693.6449	-0.853866171	0.0066	NA	ENSG00000176562	NA
213222_at	694.2185	-1.067334052	0.0066	NA	NA	NA
244749_at	699.282	-1.040081503	0.0068	NA	NA	NA
214164_x_at	708.0951	-1.07460816	0.007	CA12	ENSG00000074410	Carbonic anhydrase 12 precursor (EC 4.2.1.1) (Carbonic anhydrase XII) (Carbonate dehydratase XII) (CA-XII) (Tumor antigen HOM-RCC-3.1.3). [Source:Uniprot/SWISSPROT;Acc:O43570]
218542_at	714.0875	-0.846843212	0.0072	CEP55	ENSG00000138180	Centrosome protein 55 (Up-regulated in colon cancer 6). [Source:Uniprot/SWISSPROT;Acc:Q53EZ4]
239108_at	714.6395	-1.141143704	0.0071	MLSTD1	ENSG00000064763	male sterility domain containing 1 [Source:RefSeq_peptide;Acc:NP_060569]
219493_at	715.3256	-0.706041021	0.0072	SHCBP1	ENSG00000171241	SHC SH2 domain-binding protein 1. [Source:Uniprot/SWISSPROT;Acc:Q8NEM2]
212915_at	715.8755	-1.188035825	0.0071	PDZRN3	ENSG00000121440	PDZ domain-containing RING finger protein 3 (Ligand of Numb-protein X 3) (Semaphorin cytoplasmic domain-associated protein 3) (SEMACAP3 protein). [Source:Uniprot/SWISSPROT;Acc:Q9UPQ7]
243690_at	720.0966	-1.022976578	0.0072	NA	NA	NA
223282_at	720.6542	-1.137013091	0.0073	TSHZ1	ENSG00000179981	Teashirt homolog 1 (Serologically defined colon cancer antigen 3) (Antigen NY-CO-33). [Source:Uniprot/SWISSPROT;Acc:Q6ZSZ6]
219295_s_at	724.0649	-1.123748288	0.0073	PCOLCE2	ENSG00000163710	Procollagen C-endopeptidase enhancer 2 precursor (Procollagen COOH- terminal proteinase enhancer 2) (Procollagen C-proteinase enhancer 2) (PCPE-2). [Source:Uniprot/SWISSPROT;Acc:Q9UKZ9]
202095_s_at	724.5948	-0.882304957	0.0073	BIRC5	ENSG00000089685	Baculoviral IAP repeat-containing protein 5 (Apoptosis inhibitor survivin) (Apoptosis inhibitor 4). [Source:Uniprot/SWISSPROT;Acc:O15392]
217997_at	725.1137	-1.055891201	0.0072	PHLDA1	ENSG00000139289	Pleckstrin homology-like domain family A member 1 (T-cell death- associated gene 51 protein) (Apoptosis-associated nuclear protein) (Proline- and histidine-rich protein) (Proline- and glutamine-rich protein) (PQ-rich protein). [Source:Uniprot/SWISSPROT;Acc:Q8WV24]
217553_at	728.4687	-0.985073456	0.0073	Q6NZ63_HUMAN	ENSG00000105889	MGC87042 protein. [Source:Uniprot/SPTREMBL;Acc:Q6NZ63]
204490_s_at	730.2121	-1.047219156	0.0073	CD44	ENSG00000026508	CD44 antigen precursor (Phagocytic glycoprotein I) (PGP-1) (HUTCH-I) (Extracellular matrix receptor-III) (ECMR-III) (GP90 lymphocyte homing/adhesion receptor) (Hermes antigen) (Hyaluronate receptor) (Heparan sulfate proteoglycan) (Epican) (CDw44). [Source:Uniprot/SWISSPROT;Acc:P16070]
218885_s_at	731.0584	-0.832899031	0.0072	GALNT12	ENSG00000119514	Polypeptide N-acetylgalactosaminyltransferase 12 (EC 2.4.1.41) (Protein-UDP acetylgalactosaminyltransferase 12) (UDP- GalNAc:polypeptide N-acetylgalactosaminyltransferase 12) (Polypeptide GalNAc transferase 12) (GalNAc-T12) (pp-GaNTase 12). [Source:Uniprot/SWISSPROT;Acc:Q8IXK2]
211990_at	734.0396	-1.09819665	0.0072	HLA-DPA1	ENSG00000168384	HLA class II histocompatibility antigen, DP alpha chain precursor (HLA-SB alpha chain) (MHC class II DP3-alpha) (DP(W3)) (DP(W4)). [Source:Uniprot/SWISSPROT;Acc:P20036]
235371_at	735.5645	-1.156176911	0.0074	732216	ENSG00000172986	NA
205891_at	739.0268	-1.006651708	0.0075	ADORA2B	ENSG00000170425	Adenosine A2b receptor. [Source:Uniprot/SWISSPROT;Acc:P29275]
202948_at	739.4263	-1.109047529	0.0075	NA	NA	NA
242324_x_at	750.03	-1.033864895	0.0077	CCBE1	ENSG00000183287	collagen and calcium binding EGF domains 1 [Source:RefSeq_peptide;Acc:NP_597716]
235548_at	750.2825	-1.190997225	0.0076	APCDD1L	ENSG00000198768	adenomatosis polyposis coli down-regulated 1-like [Source:RefSeq_peptide;Acc:NP_699191]
226676_at	753.8589	-1.074000581	0.0076	ZNF521	ENSG00000198795	zinc finger protein 521 [Source:RefSeq_peptide;Acc:NP_056276]
225842_at	759.1592	-0.992517424	0.0078	NA	NA	NA
227646_at	762.9033	-1.099123534	0.008	EBF	ENSG00000164330	Transcription factor COE1 (OE-1) (O/E-1) (Early B-cell factor). [Source:Uniprot/SWISSPROT;Acc:Q9UH73]
213142_x_at	764.4298	-1.028557611	0.008	Q9UMH3_HUMAN	ENSG00000135174	NA
225768_at	765.6129	-1.013625474	0.0079	NR1D2	ENSG00000174738	Orphan nuclear receptor NR1D2 (Rev-erb-beta) (EAR-1R) (Orphan nuclear hormone receptor BD73). [Source:Uniprot/SWISSPROT;Acc:Q14995]
225337_at	767.0541	-0.997117491	0.0079		ENSG00000196930	similar to Vesicle-associated membrane protein-associated protein A (VAMP-associated protein A) (VAMP-A) (VAP-A) (33 kDa Vamp-associated protein) (VAP-33) (LOC728003), mRNA [Source:RefSeq_dna;Acc:XR_015267]
212445_s_at	767.3747	-1.035934123	0.0079	NEDD4L	ENSG00000049759	E3 ubiquitin-protein ligase NEDD4-like protein (EC 6.3.2.-) (Nedd4-2) (NEDD4.2). [Source:Uniprot/SWISSPROT;Acc:Q96PU5]
209156_s_at	767.7885	-0.987931977	0.0078	COL6A2	ENSG00000142173	Collagen alpha-2(VI) chain precursor. [Source:Uniprot/SWISSPROT;Acc:P12110]
210998_s_at	775.66	-1.053493701	0.008	HGF	ENSG00000019991	Hepatocyte growth factor precursor (Scatter factor) (SF) (Hepatopoeitin A) [Contains: Hepatocyte growth factor alpha chain; Hepatocyte growth factor beta chain]. [Source:Uniprot/SWISSPROT;Acc:P14210]
204619_s_at	776.6978	-1.09819665	0.008	CSPG2	ENSG00000038427	Versican core protein precursor (Large fibroblast proteoglycan) (Chondroitin sulfate proteoglycan core protein 2) (PG-M) (Glial hyaluronate-binding protein) (GHAP). [Source:Uniprot/SWISSPROT;Acc:P13611]
206392_s_at	779.727	-1.276485124	0.008	RARRES1	ENSG00000118849	Retinoic acid receptor responder protein 1 (Tazarotene-induced gene 1 protein) (RAR-responsive protein TIG1). [Source:Uniprot/SWISSPROT;Acc:P49788]
235152_at	781.0119	-1.019462808	0.0081	NA	NA	NA
235736_at	781.8248	-1.144648099	0.0081	NA	NA	NA
230746_s_at	781.9745	-0.909959585	0.0081	NA	NA	NA
201292_at	787.2161	-0.895126623	0.0083	P11388-3	ENSG00000131747	Isoform 2 of P11388 [Source:Uniprot/Varsplic;Acc:P11388-2]
218009_s_at	788.6673	-0.803392956	0.0083	PRC1	ENSG00000198901	Protein regulator of cytokinesis 1. [Source:Uniprot/SWISSPROT;Acc:O43663]
217904_s_at	791.603	-1.045431429	0.0084	BACE1	ENSG00000186318	Beta-secretase 1 precursor (EC 3.4.23.46) (Beta-site APP cleaving enzyme 1) (Beta-site amyloid precursor protein cleaving enzyme 1) (Membrane-associated aspartic protease 2) (Memapsin-2) (Aspartyl protease 2) (Asp 2) (ASP2). [Source:Uniprot/SWISSPROT;Acc:P56817]
1554097_a_at	792.5703	-1.104076998	0.0084	Q8WTY6_HUMAN	ENSG00000171889	NA
224204_x_at	813.0275	-0.97965782	0.0092	ARNTL2	ENSG00000029153	aryl hydrocarbon receptor nuclear translocator-like 2 [Source:RefSeq_peptide;Acc:NP_064568]
217996_at	818.6631	-1.027380861	0.0094	PHLDA1	ENSG00000139289	Pleckstrin homology-like domain family A member 1 (T-cell death- associated gene 51 protein) (Apoptosis-associated nuclear protein) (Proline- and histidine-rich protein) (Proline- and glutamine-rich protein) (PQ-rich protein). [Source:Uniprot/SWISSPROT;Acc:Q8WV24]
240770_at	820.77	-1.107492397	0.0094	TMEM171	ENSG00000157111	proline-rich protein PRP2 [Source:RefSeq_peptide;Acc:NP_775761]
217428_s_at	821.898	-1.276135676	0.0094	COL10A1	ENSG00000123500	Collagen alpha-1(X) chain precursor. [Source:Uniprot/SWISSPROT;Acc:Q03692]
228949_at	826.2078	-0.986502008	0.0095	GPR177	ENSG00000116729	G protein-coupled receptor 177 isoform 1 [Source:RefSeq_peptide;Acc:NP_079187]
203434_s_at	826.2256	-0.956235558	0.0094	MME	ENSG00000196549	Neprilysin (EC 3.4.24.11) (Neutral endopeptidase) (NEP) (Enkephalinase) (Neutral endopeptidase 24.11) (Atriopeptidase) (Common acute lymphocytic leukemia antigen) (CALLA) (CD10 antigen). [Source:Uniprot/SWISSPROT;Acc:P08473]
223027_at	827.2655	-1.086813775	0.0094	SNX9	ENSG00000130340	Sorting nexin-9 (SH3 and PX domain-containing protein 1) (SDP1 protein). [Source:Uniprot/SWISSPROT;Acc:Q9Y5X1]
217739_s_at	828.8723	-0.928237331	0.0094	PBEF1	ENSG00000105835	Nicotinamide phosphoribosyltransferase (EC 2.4.2.12) (NAmPRTase) (Nampt) (Pre-B cell-enhancing factor) (Pre-B-cell colony-enhancing factor 1) (Visfatin). [Source:Uniprot/SWISSPROT;Acc:P43490]
211737_x_at	830.3995	-1.154891373	0.0095	PTN	ENSG00000105894	Pleiotrophin precursor (PTN) (Heparin-binding growth-associated molecule) (HB-GAM) (Heparin-binding growth factor 8) (HBGF-8) (Osteoblast-specific factor 1) (OSF-1) (Heparin-binding neurite outgrowth-promoting factor 1) (HBNF-1) (Heparin-binding brain mit [Source:Uniprot/SWISSPROT;Acc:P21246]
1554741_s_at	832.4555	-1.227692025	0.0095	FGF7P2	ENSG00000185390	NA
210119_at	835.4006	-1.21692057	0.0095	KCNJ15	ENSG00000157551	ATP-sensitive inward rectifier potassium channel 15 (Potassium channel, inwardly rectifying subfamily J member 15) (Inward rectifier K(+) channel Kir4.2) (Kir1.3). [Source:Uniprot/SWISSPROT;Acc:Q99712]
235956_at	837.86	-1.036821844	0.0096	KIAA1377	ENSG00000110318	KIAA1377 (KIAA1377), mRNA [Source:RefSeq_dna;Acc:NM_020802]
215867_x_at	838.7218	-1.037710112	0.0096	CA12	ENSG00000074410	Carbonic anhydrase 12 precursor (EC 4.2.1.1) (Carbonic anhydrase XII) (Carbonate dehydratase XII) (CA-XII) (Tumor antigen HOM-RCC-3.1.3). [Source:Uniprot/SWISSPROT;Acc:O43570]
204235_s_at	839.2521	-1.190997225	0.0096	GULP1	ENSG00000144366	GULP, engulfment adaptor PTB domain containing 1 [Source:RefSeq_peptide;Acc:NP_057399]
227525_at	844.6717	-0.9776677	0.0098	GLCCI1	ENSG00000106415	glucocorticoid induced transcript 1 [Source:RefSeq_peptide;Acc:NP_612435]
1555097_a_at	845.7488	-0.989076973	0.0098	PTGFR	ENSG00000122420	Prostaglandin F2-alpha receptor (Prostanoid FP receptor) (PGF receptor) (PGF2 alpha receptor). [Source:Uniprot/SWISSPROT;Acc:P43088]
206432_at	847.5925	-0.509019196	0.0099	HAS2	ENSG00000170961	Hyaluronan synthase 2 (EC 2.4.1.212) (Hyaluronate synthase 2) (Hyaluronic acid synthase 2) (HA synthase 2). [Source:Uniprot/SWISSPROT;Acc:Q92819]
203708_at	848.3085	-1.085894763	0.0098	PDE4B	ENSG00000184588	cAMP-specific 3,5-cyclic phosphodiesterase 4B (EC 3.1.4.17) (DPDE4) (PDE32). [Source:Uniprot/SWISSPROT;Acc:Q07343]
235891_at	851.1512	-1.038006323	0.0099	NA	NA	NA
217998_at	851.259	-1.005492684	0.0099	NA	NA	NA
228501_at	852.6115	-1.486408194	0.0099	GALNTL2	ENSG00000131386	Polypeptide N-acetylgalactosaminyltransferase-like protein 2 (EC 2.4.1.41) (Protein-UDP acetylgalactosaminyltransferase-like protein 2) (UDP-GalNAc:polypeptide N-acetylgalactosaminyltransferase- like protein 2) (Polypeptide GalNAc transferase-like protein [Source:Uniprot/SWISSPROT;Acc:Q8N3T1]
223307_at	853.825	-0.846064989	0.0099	CDCA3	ENSG00000111665	trigger of mitotic entry 1 [Source:RefSeq_peptide;Acc:NP_112589]
224952_at	854.3541	-1.005492684	0.0098	NA	NA	NA
222908_at	856.6282	-1.130049652	0.0099	FAM38B	ENSG00000154864	Protein FAM38B. [Source:Uniprot/SWISSPROT;Acc:Q9H5I5]
1560851_at	861.3219	-1.383077758	0.01	Q5W0B8_HUMAN	ENSG00000204187	Novel protein (Fragment). [Source:Uniprot/SPTREMBL;Acc:Q5W0B8]
