Up/down	Gene symbol	Gene name	Reporter	Accession number	Fisher score
Up	PTDSR	Phosphatidylserine receptor	H200005797	AB011157	0.699324329
Up	ALDOA	Aldolase A, fructose-bisphosphate	H200016990	NM_000034	0.698844972
Down	CDC42SE1	CDC42 small effector 1	H200003105	NM_020239	-0.698772035
Up	MRPS30	Mitochondrial ribosomal protein S30	H200003850	NM_016640	0.698619052
Down	BSPRY	B-box and SPRY domain containing	H200011575	NM_017688	-0.698528936
Up	C6orf64	Chromosome 6 open reading frame 64	H200005319	NM_018322	0.69605971
Up	SENP6	SUMO1/sentrin specific protease 6	H200003745	NM_015571	0.695899926
Up	VAMP8	Vesicle-associated membrane protein 8 (endobrevin)	H200008068	NM_003761	0.695536489
Up	BRP44L	Brain protein 44-like	H200011593	NM_016098	0.694250278
Down	RBBP6	Retinoblastoma binding protein 6	H200003935	NM_032626	-0.693846857
Up	FLJ37035	FLJ37035 protein	H200012703	BC015213	0.693841421
Up	ESAM	Endothelial cell adhesion molecule	H200008171	AF361746	0.693560924
Down	SMAP-1	Smooth muscle cell associated protein-1	H200003598	BC006214	-0.693159712
Up	C14orf129	Chromosome 14 open reading frame 129	H200000874	AK000796	0.692380732
Down	TIP39	Tuberoinfundibular 39 residue protein precursor	H200019887	AY037555	-0.692351193
Down	ZNRF2	Zinc and ring finger 2	H200012668	AK025240	-0.692119704
Up	FLJ34064	Hypothetical protein FLJ34064	H300021601	NM_152633	0.692006511
Up	NUPL2	Nucleoporin like 2	H200007764	NM_007342	0.690176338
Down	MADP-1	MADP-1 protein	H200004652	NM_033114	-0.689861014
Up	CIB1	Calcium and integrin binding 1 (calmyrin)	H200001942	NM_006384	0.68980135
Down	MGC16044	Hypothetical protein MGC16044	H200020589	BC016154	-0.689138038
Down	SRA1	Steroid receptor R activator 1	H200004173	AK054960	-0.688593768
Up	STAF42	SPT3-associated factor 42	H200011546	NM_053053	0.686457695
Up	RSEH1	Ribonuclease H1	H200008837	AK027610	0.686092872
Up	GPA	N-acetylglucosamine-1-phosphodiester alpha-N-acetylglucosaminidase	H200003008	NM_016256	0.686030935
Up	SRP72	Signal recognition particle 72kDa	H200015604	NM_006947	0.685297474
Up	MGC5391	Hypothetical protein MGC5391	H200011132	NM_032740	0.684601065
Up	BBS4	Bardet-Biedl syndrome 4	H200003646	NM_033028	0.683833787
Down	BIN1	Bridging integrator 1	H200014548	NM_004305	-0.683571684
Down	ZNF312	Zinc finger protein 312	H200015757	NM_018008	-0.683361183
Up	ACAT2	Acetyl-Coenzyme A acetyltransferase 2 (acetoacetyl Coenzyme A thiolase)	H200017303	NM_005891	0.683028512
Up	C1orf24	Chromosome 1 open reading frame 24	H200004899	NM_052966	0.682512396
Up	MRPL11	Mitochondrial ribosomal protein L11	H200013830	NM_016050	0.682105236
Down	LMTK3	Lemur tyrosine kinase 3	H200017585	AB067470	-0.681926225
Down	MGC5356	Hypothetical protein MGC5356	H200014769	NM_024059	-0.681253903
Up	RBM17	R binding motif protein 17	H200011486	NM_032905	0.680585511
Down	FLJ21908	Hypothetical protein FLJ21908	H200003679	NM_024604	-0.680545087
Up	EDIL3	EGF-like repeats and discoidin I-like domains 3	H200002368	AF143876	0.680071071
Up	USP47	Ubiquitin specific protease 47	H200009919	AK027362	0.679164095
Down	LXN	Latexin	H200011635	NM_020169	-0.678331317
Down	C9orf54	Chromosome 9 open reading frame 54	H200019132	BC009114	-0.678277996
Down	MGC10067	Hypothetical protein MGC10067	H200004564	AK057996	-0.67794224
Up	GALNT1	UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 1 (Galc-T1)	H200006737	NM_020474	0.676332811
Up	ZNF307	Zinc finger protein 307	H200004726	NM_019110	0.676269219
Down	LRRC6	Leucine rich repeat containing 6	H200005260	NM_012472	-0.676033159
Down	WBP1	WW domain binding protein 1	H200001472	BC010012	-0.676028066
Up	MN7	D15F37 (pseudogene)	H200008876	AF041080	0.67474183
Down	AKAP8L	A kinase (PRKA) anchor protein 8-like	H200011380	AL133576	-0.674393475
Up	FAM35A	Family with sequence similarity 35, member A	H200015472	NM_019054	0.674191739
Down	SPUF	Secreted protein of unknown function	H200011650	NM_013349	-0.674049292
Down	DPH2L2	DPH2-like 2 (S. cerevisiae)	H200019120	NM_001384	-0.67381184
Up	ARPC1A	Actin related protein 2/3 complex, subunit 1A, 41kDa	H200010429	NM_006409	0.673607483
Down	PTCHD1	Patched domain containing 1	H200018932	AK054858	-0.673603597
Down	PPP5C	Protein phosphatase 5, catalytic subunit	H200006019	NM_006247	-0.673407301
Up	TFG	TRK-fused gene	H200016272	NM_006070	0.672928402
Up	C18orf19	Chromosome 18 open reading frame 19	H200002220	AK055618	0.672790084
Down	UBE2B	Ubiquitin-conjugating enzyme E2B (RAD6 homolog)	H200000210	NM_003337	-0.672277854
Up	DKFZp434N2	Hypothetical protein DKFZp434N2030	H200001462	AL137488	0.672164942
Down	LOC148418	Dnaj-like protein	H200011349	AK056937	-0.67181778
Up	DKFZP566B1	DKFZP566B183 protein	H200002102	NM_015509	0.671688176
Down	STK32C	Serine/threonine kinase 32C	H200003800	BC015792	-0.671315983
Up	ACBD3	Acyl-Coenzyme A binding domain containing 3	H200001312	NM_022735	0.671096901
Up	TAF6	TAF6 R polymerase II, TATA box binding protein (TBP)-associated factor, 80kDa	H200006565	NM_005641	0.671045692
Up	KIF23	Kinesin family member 23	H200016720	NM_004856	0.669518086
Down	TDP1	Tyrosyl-D phosphodiesterase 1	H200015612	NM_018319	-0.669393967
Up	HIST1H2BM	Histone 1, H2bm	H200008590	NM_003521	0.669365252
Up	NOL8	Nucleolar protein 8	H200004896	NM_017948	0.668973619
Up	SFMBT2	Scm-like with four mbt domains 2	H200002169	AK057130	0.668810559
Down	RPL39	Ribosomal protein L39	H200009899	NM_001000	-0.668652021
Up	MGC13098	Hypothetical protein MGC13098	H200015215	BC006435	0.668339436
Up	KBTBD6	Kelch repeat and BTB (POZ) domain containing 6	H200011801	BC000560	0.667831407
Up	NUP35	Nucleoporin 35kDa	H300007872	NM_138285	0.667287718
Up	UBE2Q	Ubiquitin-conjugating enzyme E2Q (putative)	H200019824	AK056388	0.666816131
Down	COX11	COX11 homolog, cytochrome c oxidase assembly protein (yeast)	H200015753	NM_004375	-0.666813236
Up	MPO	Myeloperoxidase	H200000469	NM_000250	0.666452522
Up	KIF11	Kinesin family member 11	H200001699	NM_004523	0.665942823
Up	BACH1	BTB and CNC homology 1, basic leucine zipper transcription factor 1	H200013953	NM_001186	0.6658203
Up	C20orf111	Chromosome 20 open reading frame 111	H200006200	NM_016470	0.665529532
Up	MRCL3	Myosin regulatory light chain MRCL3	H200015486	NM_006471	0.66471015
Down	GLCE	Glucuronyl C5-epimerase	H200008635	AB020643	-0.664511786
Down	TSTA3	Tissue specific transplantation antigen P35B	H200016541	NM_003313	-0.663626004
Up	RHPN1	Rhophilin, Rho GTPase binding protein 1	H200013649	AB067516	0.663272365
Up	SLC12A2	Solute carrier family 12 (sodium/potassium/chloride transporters), member 2	H200011710	NM_001046	0.66318379
Down	MPPE1	Metallophosphoesterase 1	H200020239	BC002877	-0.661292606
Up	MBIP	MAP3K12 binding inhibitory protein 1	H200002606	NM_016586	0.661151606
Up	DDB2	Damage-specific D binding protein 2, 48kDa	H200006424	NM_000107	0.661090748
Up	ASB16	Ankyrin repeat and SOCS box-containing 16	H200020944	AK054727	0.660671422
Down	C6orf72	Chromosome 6 open reading frame 72	H200015708	BC014320	-0.660610487
Up	PDCL	Phosducin-like	H200001764	NM_005388	0.660607903
Down	MGC4549	Hypothetical protein MGC4549	H200019176	NM_032377	-0.660121418
Down	RPL23	Ribosomal protein L23	H200019011	AK025200	-0.659892486
Up	FLJ11342	Hypothetical protein FLJ11342	H200016572	NM_018394	0.659883516
Up	EPC2	Enhancer of polycomb homolog 2 (Drosophila)	H200008657	AF286904	0.658582693
Down	ARVCF	Armadillo repeat gene deletes in velocardiofacial syndrome	H200019221	BC005092	-0.658535973
Down	NIT1	Nitrilase 1	H200013566	NM_005600	-0.657242952
Up	PNMA1	Paraneoplastic antigen MA1	H200014663	NM_006029	0.65719243
Down	RPS6KA2	Ribosomal protein S6 kinase, 90kDa, polypeptide 2	H200010061	BC002363	-0.656492587
Up	TERF2IP	Telomeric repeat binding factor 2, interacting protein	H200017095	NM_018975	0.656218174
Up	CNN3	Calponin 3, acidic	H200014641	NM_001839	0.655785545
Down	C16orf44	Chromosome 16 open reading frame 44	H200011988	NM_024731	-0.655625049
Up	ATP5D	ATP synthase, H+ transporting, mitochondrial F1 complex, delta subunit	H200010388	NM_001687	0.655610419
Up	TNFSF5IP1	Tumor necrosis factor superfamily, member 5-induced protein 1	H200000820	NM_020232	0.655505821
Up	PWP1	Nuclear phosphoprotein similar to S. cerevisiae PWP1	H200008052	NM_007062	0.655333058
Down	RAB27B	RAB27B, member RAS oncogene family	H200020604	AK058130	-0.655278038
Up	SH3BGRL2	SH3 domain binding glutamic acid-rich protein like 2	H200001743	NM_031469	0.655033087
Up	RAE1	RAE1 R export 1 homolog (S. pombe)	H200014731	NM_003610	0.654986956
Up	C6.1A	C6.1A	H200017982	NM_024332	0.654857863
Down	CAMTA2	Calmodulin binding transcription activator 2	H200011511	AB020716	-0.654329017
Down	STC2	Stanniocalcin 2	H200014049	AK027663	-0.654096411
Up	ZNF14	Zinc finger protein 14 (KOX 6)	H200014754	NM_021030	0.654005708
Up	HNRPR	Heterogeneous nuclear ribonucleoprotein R	H200002464	NM_005826	0.653885961
Down	PHKA2	Phosphorylase kinase, alpha 2 (liver)	H200005133	NM_000292	-0.653163671
Down	CITED2	Cbp/p300-interacting transactivator, with Glu/Asp-rich carboxy-terminal domain, 2	H200006882	AF109161	-0.652662561
Up	RALA	V-ral simian leukemia viral oncogene homolog A (ras related)	H200001329	AK026850	0.652641221
Down	FOXD1	Forkhead box D1	H200010724	NM_004472	-0.652151233
Up	HMGCS1	3-hydroxy-3-methylglutaryl-Coenzyme A synthase 1 (soluble)	H200006467	AK025736	0.651039328
Up	PDE6D	Phosphodiesterase 6D, cGMP-specific, rod, delta	H200004864	NM_002601	0.65033317
Down	WNT6	Wingless-type MMTV integration site family, member 6	H200003953	NM_006522	-0.65031033
Up	MAD2L2	MAD2 mitotic arrest deficient-like 2 (yeast)	H200002821	NM_006341	0.649960432
Up	CSPG6	Chondroitin sulfate proteoglycan 6 (bamacan)	H200003409	NM_005445	0.649823003
Down	LOC126208	Hypothetical protein LOC126208	H200006706	AF000560	-0.649365404
Down	LSM11	LSM11, U7 small nuclear R associated	H200003308	AK055297	-0.649224953
Up	KLF13	Kruppel-like factor 13	H200001360	AL390127	0.649098408
Down	MGAT2	Mannosyl (alpha-1,6-)-glycoprotein beta-1,2-N-acetylglucosaminyltransferase	H200008032	NM_002408	-0.649044613
Up	FLJ20647	Hypothetical protein FLJ20647	H200015492	NM_017918	0.648732551
Down	PADI4	Peptidyl arginine deiminase, type IV	H200012044	NM_012387	-0.648493664
Down	CDC26	Cell division cycle 26	H300009154	NM_139286	-0.64845535
Up	Cab45	Calcium binding protein Cab45 precursor	H200004599	NM_016176	0.647422961
Up	PTMA	Prothymosin, alpha (gene sequence 28)	H200016232	NM_002823	0.647110483
Up	MGC3794	Putative MAPK activating protein	H200013266	AL049670	0.646577997
Down	CDAN1	Congenital dyserythropoietic anemia, type I	H200010137	AL133019	-0.64611577
Down	C14orf149	Chromosome 14 open reading frame 149	H200003946	AK058165	-0.645870064
Up	SET	SET translocation (myeloid leukemia-associated)	H200013498	NM_003011	0.645612697
Down	FLJ14490	Hypothetical protein FLJ14490	H200019550	NM_032793	-0.645496162
Down	CELSR2	Cadherin, EGF LAG seven-pass G-type receptor 2 (flamingo homolog, Drosophila)	H200005251	NM_001408	-0.644838823
Down	DKFZp761P1	Hypothetical protein DKFZp761P1121	H200020502	AK057461	-0.644215218
Up	ID2B	Inhibitor of D binding 2B, dominant negative helix-loop-helix protein	H200017921	M96843	0.644185758
Up	HIST1H2AC	Histone 1, H2ac	H200003862	NM_003512	0.644100868
Down	SAMD9	Sterile alpha motif domain containing 9	H200005580	NM_017654	-0.643790048
Down	ABCA5	ATP-binding cassette, sub-family A (ABC1), member 5	H200008439	AY028897	-0.643739454
Up	C13orf8	Chromosome 13 open reading frame 8	H200001453	AB058705	0.643360355
Up	PMAIP1	Phorbol-12-myristate-13-acetate-induced protein 1	H200000027	NM_021127	0.643024346
Up	FBXL10	F-box and leucine-rich repeat protein 10	H200014836	AB031230	0.64204423
Down	GCC2	GRIP and coiled-coil domain containing 2	H200019774	AK022838	-0.641241338
Down	HERC1	Hect (homologous to the E6-AP (UBE3A) carboxyl terminus) domain and RCC1 (CHC1)-like domain (RLD) 1	H200006255	NM_003922	-0.641100414
Up	ADAM10	A disintegrin and metalloproteinase domain 10	H200008019	NM_001110	0.640917515
Up	LEPREL1	Leprecan-like 1	H200004600	NM_018192	0.64085984
Down	QSCN6L1	Quiescin Q6-like 1	H200018808	AJ420461	-0.640594726
Down	FUCA1	Fucosidase, alpha-L- 1, tissue	H200000147	NM_000147	-0.639475592
Down	DHX37	DEAH (Asp-Glu-Ala-His) box polypeptide 37	H200011515	AB040950	-0.639364124
Down	CD34	CD34 antigen	H200007148	NM_001773	-0.638977194
Down	LDHC	Lactate dehydrogenase C	H200011008	NM_002301	-0.638768051
Up	BCAR1	Breast cancer anti-estrogen resistance 1	H200016976	NM_014567	0.638281956
Down	KRTAP4-4	Keratin associated protein 4-4	H300001332	NM_032524	-0.638089943
Down	MAN1B1	Mannosidase, alpha, class 1B, member 1	H200017524	NM_016219	-0.637886865
Up	FAM26B	Family with sequence similarity 26, member B	H200015763	BC000039	0.63762741
Down	SLC6A14	Solute carrier family 6 (neurotransmitter transporter), member 14	H200007541	NM_007231	-0.637541185
Down	CDC2	Cell division cycle 2, G1 to S and G2 to M	H200019588	NM_001786	-0.637420606
Up	DAP13	13kDa differentiation-associated protein	H200004675	NM_018838	0.637169373
Up	PBP	Prostatic binding protein	H200006761	NM_002567	0.637084143
Up	LOC133957	Similar to RIKEN cD 0610011N22	H200009633	BC015349	0.636106702
Down	CSNK1E	Casein kinase 1, epsilon	H200006710	NM_001894	-0.635347311
Down	KIAA1411	KIAA1411	H200011508	AB037832	-0.635286458
Down	DOC2B	Double C2-like domains, beta	H200005077	NM_003585	-0.63527272
Up	ROCK1	Rho-associated, coiled-coil containing protein kinase 1	H200020158	AK056781	0.635193343
Up	ZBTB2	Zinc finger and BTB domain containing 2	H200003366	AB040916	0.634216779
Down	Lin10	Lin-10 protein homolog	H200019193	NM_025187	-0.634195507
Down	ERBB2	V-erb-b2 erythroblastic leukemia viral oncogene homolog 2, neuro/glioblastoma derived oncogene homolog (avian)	H200019081	NM_004448	-0.634088577
Down	MEF2B	MADS box transcription enhancer factor 2, polypeptide B (myocyte enhancer factor 2B)	H200021054	AK057161	-0.633991904
Down	LOC339290	Hypothetical protein LOC339290	H200021075	U79248	-0.632216434
Down	ZNF595	Zinc finger protein 595	H200008763	AK056302	-0.631759652
Up	LAK	Lymphocyte alpha-kinase	H200009405	NM_025144	0.630947717
Up	E2F7	E2F transcription factor 7	H200013469	BC016658	0.630655544
Down	ZSWIM5	Zinc finger, SWIM domain containing 5	H200005589	AB040944	-0.630549399
Up	ADNP	Activity-dependent neuroprotector	H200000813	NM_015339	0.630524589
Down	BRE	Brain and reproductive organ-expressed (TNFRSF1A modulator)	H200006763	NM_004899	-0.629572832
Down	PIK3AP1	Phosphoinositide-3-kinase adaptor protein 1	H300020593	NM_152309	-0.629444376
Up	CDK6	Cyclin-dependent kinase 6	H200004438	NM_001259	0.629051614
Down	MAML1	Mastermind-like 1 (Drosophila)	H200006349	NM_014757	-0.629041509
Down	LHB	Luteinizing hormone beta polypeptide	H200013990	NM_000894	-0.628169539
Up	DPP8	Dipeptidylpeptidase 8	H200004661	NM_017743	0.628126781
Up	ILVBL	IlvB (bacterial acetolactate synthase)-like	H200006570	NM_006844	0.627944014
Up	DNCL2A	Dynein, cytoplasmic, light polypeptide 2A	H200011044	NM_014183	0.627874765
Down	SAS10	Disrupter of silencing 10	H200019016	NM_020368	-0.626155082
Down	BATF	Basic leucine zipper transcription factor, ATF-like	H200004533	NM_006399	-0.625926017
Down	OCIAD1	OCIA domain containing 1	H200012992	NM_017830	-0.625732681
Up	MT1E	Metallothionein 1E (functional)	H200005926	BC009699	0.625613304
Down	CTBP2	C-terminal binding protein 2	H200007968	NM_022802	-0.625178823
Down	C3orf1	Chromosome 3 open reading frame 1	H200006705	NM_016589	-0.625108446
Up	C10orf35	Chromosome 10 open reading frame 35	H200010674	BC013587	0.624273449
Up	C6orf70	Chromosome 6 open reading frame 70	H200004847	AK021520	0.624108138
Up	C17	Cytokine-like protein C17	H200002330	NM_018659	0.624067509
Down	FLJ30656	Hypothetical protein FLJ30656	H200020473	AK055218	-0.623300569
Up	LOC149420	Casein kinase	H200003968	AL137407	0.623119241
Down	MGC3262	Hypothetical protein MGC3262	H200019030	NM_024029	-0.622925119
Up	DKFZP564G2	DKFZP564G2022 protein	H200002582	NM_015497	0.622615801
Down	HSRG1	HSV-1 stimulation-related gene 1	H200004473	NM_014940	-0.622588624
Down	HLA-DRA	Major histocompatibility complex, class II, DR alpha	H200006327	NM_019111	-0.62221468
Up	KIAA1718	KIAA1718 protein	H200015246	AB051505	0.621114131
Up	NSBP1	Nucleosomal binding protein 1	H200017606	NM_030763	0.620720722
Up	ING1L	Inhibitor of growth family, member 1-like	H200011497	NM_001564	0.620472503
Up	LOC153561	Hypothetical LOC389295	H200004735	AY007114	0.620420691
Up	MARVELD2	MARVEL domain containing 2	H200012511	AK055094	0.620166017
Up	CKLF	Chemokine-like factor	H200002454	NM_016951	0.620144074
Up	CA8	Carbonic anhydrase VIII	H200016213	NM_004056	0.619379308
Up	SFRS9	Splicing factor, arginine/serine-rich 9	H200006425	NM_003769	0.619266602
Up	RNF130	Ring finger protein 130	H200011196	NM_018434	0.619254813
Up	DDR1	Discoidin domain receptor family, member 1	H200006132	NM_013994	0.619174981
Up	PRDX4	Peroxiredoxin 4	H200007027	NM_006406	0.618374067
Down	RAM2	Transcription factor RAM2	H200021201	NM_018719	-0.61835882
Up	RPS3A	Ribosomal protein S3A	H200006353	NM_001006	0.618238759
Down	PIGQ	Phosphatidylinositol glycan, class Q	H200019749	BC010094	-0.617981803
Up	C6orf93	Chromosome 6 open reading frame 93	H200005415	NM_032860	0.616960423
Up	DKFZP564O1	DKFZP564O123 protein	H200002004	NM_014043	0.616564551
Up	TNNI2	Troponin I, skeletal, fast	H200007059	NM_003282	0.616407695
Down	FLJ20257	Hypothetical protein FLJ20257	H200008301	NM_019606	-0.615326493
Down	KIAA0556	KIAA0556 protein	H200004007	AB011128	-0.615108298
Down	PKIG	Protein kinase (cAMP-dependent, catalytic) inhibitor gamma	H200000783	NM_007066	-0.615080194
Down	TNS	Tensin	H200001865	AK057328	-0.614055878
Up	PLEKHF1	Pleckstrin homology domain containing, family F (with FYVE domain) member 1	H200005320	NM_024310	0.614050903
Up	GPSM2	G-protein signalling modulator 2 (AGS3-like, C. elegans)	H200017259	NM_013296	0.613698624
Down	GTF2A1	General transcription factor IIA, 1, 19/37kDa	H200009892	AK025178	-0.612912119
Down	G11	Guanine nucleotide binding protein (G protein), alpha 11 (Gq class)	H200000439	NM_002067	-0.612427558
Up	HSA272196	Hypothetical protein, clone 2746033	H200001612	AJ272196	0.612080976
Up	SLC9A6	Solute carrier family 9 (sodium/hydrogen exchanger), isoform 6	H200005474	NM_006359	0.61203392
Down	GRK6	G protein-coupled receptor kinase 6	H200006279	NM_002082	-0.61147789
Up	KIN	KIN, antigenic determinant of recA protein homolog (mouse)	H200012472	NM_012311	0.611042825
Up	PARG	Poly (ADP-ribose) glycohydrolase	H200010486	NM_003631	0.610836057
Down	LRSAM1	Leucine rich repeat and sterile alpha motif containing 1	H200019072	AK056203	-0.610639985
Down	ZNF606	Zinc finger protein 606	H200009088	AB058755	-0.610561843
Down	C19orf28	Chromosome 19 open reading frame 28	H300009464	NM_174983	-0.610179092
Up	PAIP1	Poly(A) binding protein interacting protein 1	H200011655	NM_006451	0.610044496
Down	IL17D	Interleukin 17D	H300008939	NM_138284	-0.609562011
Down	PBX3	Pre-B-cell leukemia transcription factor 3	H200009629	NM_006195	-0.609512515
Up	RPS19	Ribosomal protein S19	H200009862	NM_001022	0.609399719
Down	FAM14A	Family with sequence similarity 14, member A	H200010658	NM_032036	-0.609274197
Down	BAT4	HLA-B associated transcript 4	H200015871	NM_033177	-0.608967458
Down	FLJ14827	Hypothetical protein FLJ14827	H200016259	NM_032848	-0.608909274
Up	PGM1	Phosphoglucomutase 1	H200000479	NM_002633	0.608247776
Up	ABC1	Amplified in breast cancer 1	H200002633	NM_022070	0.608101065
Up	FLJ11029	Hypothetical protein FLJ11029	H200017101	NM_018304	0.60799579
Up	WNT7A	Wingless-type MMTV integration site family, member 7A	H200005789	NM_004625	0.607877636
Up	DSTN	Destrin (actin depolymerizing factor)	H200006926	NM_006870	0.60786503
Down	GATS	Opposite strand transcription unit to STAG3	H200021162	AK055399	-0.607487386
Up	DHX30	DEAH (Asp-Glu-Ala-His) box polypeptide 30	H200019049	NM_014966	0.606754475
Down	KIAA1627	KIAA1627 protein	H200012698	BC007449	-0.606456455
Up	RIP	RPA interacting protein	H200019687	NM_032308	0.606073709
Down	RAI16	Retinoic acid induced 16	H200009883	NM_022749	-0.605837563
Down	EGR1	Early growth response 1	H200019156	NM_001964	-0.605596182
Up	CENPC1	Centromere protein C 1	H200013948	NM_001812	0.605251073
Down	BIRC3	Baculoviral IAP repeat-containing 3	H200012712	AF070674	-0.605193826
Down	RAB10	RAB10, member RAS oncogene family	H200015567	NM_016131	-0.605006667
Up	LOC90580	Hypothetical protein BC011833	H200007583	BC011833	0.604794183
Up	ARS2	Arsenate resistance protein ARS2	H200011773	AL096723	0.604771572
Down	FLJ12448	Hypothetical protein FLJ12448	H200013399	NM_022895	-0.604375783
Down	GGT2	Gamma-glutamyltransferase 2	H200009485	M30474	-0.603609143
Down	GNS	Glucosamine (N-acetyl)-6-sulfatase (Sanfilippo disease IIID)	H200019565	BC017742	-0.603559901
Up	BRD9	Bromodomain containing 9	H200015452	NM_023924	0.603210609
Down	FLJ13491	Hypothetical protein FLJ13491	H200004238	NM_024623	-0.602983291
Down	CD48	CD48 antigen (B-cell membrane protein)	H200000239	NM_001778	-0.602856129
Up	MGC5309	Hypothetical protein MGC5309	H200002332	BC003353	0.602782402
Down	ZC3HDC3	Zinc finger CCCH type domain containing 3	H200010888	D63484	-0.602454616
Up	SMARCD3	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily d, member 3	H200005751	NM_003078	0.602021938
Down	UBXD1	UBX domain containing 1	H200001966	NM_025241	-0.601929956
Down	TPCN2	Two pore segment channel 2	H200014357	AL137479	-0.601471067
Down	TMOD2	Tropomodulin 2 (neuronal)	H200004913	AK025346	-0.601158064
Down	ZNF277	Zinc finger protein (C2H2 type) 277	H200004585	NM_021994	-0.600631382
Up	TSHB	Thyroid stimulating hormone, beta	H200005059	NM_000549	0.599949065
Down	ALADL2	N-acetylated alpha-linked acidic dipeptidase 2	H200017148	AK001101	-0.599109421
Down	CIR	CBF1 interacting corepressor	H200010319	NM_004882	-0.598636074
Down	CAS1	O-acetyltransferase	H200012726	NM_022900	-0.598053408
Up	KIAA0286	KIAA0286 protein	H200002424	AB006624	0.597637188
Down	WNT3	Wingless-type MMTV integration site family, member 3	H200015272	NM_030753	-0.597604622
Up	PGK1	Phosphoglycerate kinase 1	H200006551	NM_000291	0.597262558
Up	ATF3	Activating transcription factor 3	H200000124	NM_004024	0.596792153
Down	KLC2	Likely ortholog of kinesin light chain 2	H200017578	NM_022822	-0.596568687
Down	FLJ32370	Hypothetical protein FLJ32370	H200017579	AK056932	-0.596407038
Up	WDR43	WD repeat domain 43	H200010426	D26488	0.596328127
Up	LOC129607	Hypothetical protein LOC129607	H200001373	BC016969	0.59610974
Up	RANBP2	RAN binding protein 2	H200014845	NM_006267	0.59610023
Down	CXCL16	Chemokine (C-X-C motif) ligand 16	H200006939	NM_022059	-0.595900641
Up	CTNL1	Catenin (cadherin-associated protein), alpha-like 1	H200005326	NM_003798	0.595566625
Up	CCNL1	Cyclin L1	H200000937	NM_020307	0.594763508
Down	ING1	Inhibitor of growth family, member 1	H200004791	NM_005537	-0.594601822
Up	NFKBIE	Nuclear factor of kappa light polypeptide gene enhancer in B-cells inhibitor, epsilon	H200010505	NM_004556	0.593974871
Down	BC008967	Hypothetical gene BC008967	H200001208	AK057180	-0.593689028
Up	SCP2	Sterol carrier protein 2	H200006189	M75883	0.592992076
Down	GALNT5	UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 5 (Galc-T5)	H200007774	AK022198	-0.592612105
Up	KIAA0298	KIAA0298 gene product	H200003039	AB002296	0.592459376
Up	RDBP	RD R binding protein	H200011420	NM_002904	0.591934865
Down	PRAF2	PRA1 domain family 2	H200003933	NM_007213	-0.591302252
Up	LOC126917	Hypothetical protein LOC126917	H200002318	AK024480	0.591249277
Up	USP3	Ubiquitin specific protease 3	H200016302	NM_006537	0.591223795
Up	SF3B1	Splicing factor 3b, subunit 1, 155kDa	H200019696	NM_012433	0.59116301
Down	P29	GCIP-interacting protein p29	H200002862	NM_015484	-0.590829768
Up	MAP1LC3B	Microtubule-associated protein 1 light chain 3 beta	H200012358	NM_022818	0.589586786
Down	BST2	Bone marrow stromal cell antigen 2	H200012083	NM_004335	-0.589356738
Down	PTGFR	Prostaglandin F receptor (FP)	H200010318	NM_000959	-0.589323896
Up	GNPTG	N-acetylglucosamine-1-phosphotransferase, gamma subunit	H200015777	NM_032520	0.589183851
Up	VPS4B	Vacuolar protein sorting 4B (yeast)	H200012618	NM_004869	0.589074176
Down	TRIM16	Tripartite motif-containing 16	H200015716	NM_006470	-0.58867149
Up	EVC	Ellis van Creveld syndrome	H200017100	NM_014556	0.588583317
Down	UBQLN3	Ubiquilin 3	H200014426	NM_017481	-0.587395157
Down	MAP3K12	Mitogen-activated protein kinase kinase kinase 12	H200015132	NM_006301	-0.58738067
Up	RBBP7	Retinoblastoma binding protein 7	H200004079	NM_002893	0.587230834
Up	DDX21	DEAD (Asp-Glu-Ala-Asp) box polypeptide 21	H200007834	NM_004728	0.58714956
Up	FTHFSDC1	Formyltetrahydrofolate synthetase domain containing 1	H200004673	AL117452	0.587019359
Down	C21orf45	Chromosome 21 open reading frame 45	H200004959	NM_018944	-0.586996031
Up	FLJ12606	Hypothetical protein FLJ12606	H200007571	NM_024804	0.586590005
Down	AOAH	Acyloxyacyl hydrolase (neutrophil)	H200006953	NM_001637	-0.586575857
Up	TBCE	Tubulin-specific chaperone e	H200019937	NM_003193	0.585799061
Up	MGC5297	Hypothetical protein MGC5297	H200003332	NM_024091	0.585657288
Down	GI3	Guanine nucleotide binding protein (G protein), alpha inhibiting activity polypeptide 3	H200005866	NM_006496	-0.584920184
Up	SLC40A1	Solute carrier family 40 (iron-regulated transporter), member 1	H200001130	NM_014585	0.58478023
Up	GRIK2	Glutamate receptor, ionotropic, kainate 2	H200018451	AK023497	0.58468993
Down	PTGES2	Prostaglandin E synthase 2	H200009220	NM_025072	-0.584027053
Down	MCLC	Mid-1-related chloride channel 1	H200010561	AB018304	-0.583933035
Up	LYPLA1	Lysophospholipase I	H200002154	NM_006330	0.583930364
Up	USP16	Ubiquitin specific protease 16	H200010993	NM_006447	0.583856339
Down	ECEL1	Endothelin converting enzyme-like 1	H200003698	NM_004826	-0.583181725
Up	KIAA0889	KIAA0889 protein	H200008973	AK022023	0.582719515
