Accession	GENE	TITLE	Median_Cy5	Median_Cy3	case%	Adj_Cy3/Cy5ratio	Log 2 Cy3/Cy5_ratio
X16260	ITIH1	inter-alpha (globulin) inhibitor, H1 polypeptide	215671	55796.5	90	0.299698921	-1.738414207
AF263466	HOXC13	homeo box C13	43149	8092.5	55	0.300050376	-1.736723356
AA758321	NA	ESTs	97719	22631.5	70	0.300269543	-1.735669949
T80844	NA	ESTs	32002	2022	60	0.30028935	-1.735574783
AW271223	FLJ23306	hypothetical protein FLJ23306	65394.5	10290	65	0.300945969	-1.732423604
H94248	NA	ESTs	104872	28138.5	70	0.300995151	-1.732187852
AI720907	CYP2S1	cytochrome P450, family 2, subfamily S, polypeptide 1	429376	175820	100	0.301035935	-1.731992381
AK025586	FLJ31208	hypothetical protein FLJ31208	19518.5	0	55	0.30110643	-1.731654579
X02747	ALDOB	aldolase B, fructose-bisphosphate	192489.5	98066	85	0.301160738	-1.731394394
NM_005261	GEM	GTP binding protein overexpressed in skeletal muscle	99946	25861.5	60	0.30127199	-1.730861546
BF982063	NA	Homo sapiens mRNA full length insert cDNA clone EUROIMAGE 2138357.	75087	17643.5	70	0.301377383	-1.73035694
AA676319	KIAA0865	KIAA0865 protein	21519	0	55	0.301862207	-1.728037953
AF131748	SUCLG2	succinate-CoA ligase, GDP-forming, beta subunit	65271	20483.5	65	0.302470746	-1.725132477
AA490225	NA	ESTs	37146	8030	55	0.302777745	-1.723668928
AI056871	NA	Homo sapiens, clone IMAGE:5561763, mRNA	34113.5	3626	60	0.302813805	-1.723497116
U61263	ILVBL	ilvB (bacterial acetolactate synthase)-like	123615	25506.5	80	0.302853501	-1.723308005
AC_011891	NA	NA	306496.5	77797.5	95	0.302990882	-1.722653718
AI199761	NA	Homo sapiens, clone MGC:25060 IMAGE:4480427, mRNA, complete cds	50256	4283	65	0.303033387	-1.722451344
BE673138	EVI1	ecotropic viral integration site 1	287342	109661	95	0.303635622	-1.719587041
AI285960	HA-1	minor histocompatibility antigen HA-1	42699	13462.5	65	0.30391117	-1.718278392
BF103901	NA	Human promyelocytic leukemia cell mRNA, clones pHH58 and pHH81.	2340075.5	670960	100	0.304231316	-1.716759431
AF236056	GOLPH2	golgi phosphoprotein 2	56905.5	16771.5	65	0.304512575	-1.715426287
AA772278	KIAA1673	KIAA1673	76323.5	16538.5	60	0.304875576	-1.713707517
AI096444	FLJ10707	hypothetical protein FLJ10707	49109.5	14646	65	0.305044606	-1.712907875
AA609134	BIRC6	baculoviral IAP repeat-containing 6 (apollon)	31745.5	10408.5	50	0.305437998	-1.711048544
H81716	NA	NA	100083	12728	75	0.305489931	-1.710803264
M61733	EPB41	erythrocyte membrane protein band 4.1 (elliptocytosis 1, RH-linked)	95105.5	32066.5	65	0.306359837	-1.706700921
X54412	COL9A1	collagen, type IX, alpha 1	138235.5	28410	70	0.306373237	-1.706637818
AW072438	INPP5A	inositol polyphosphate-5-phosphatase, 40kDa	77348.5	17709	70	0.30645829	-1.706237361
X78931	ZNF272	zinc finger protein 272	194634	36896.5	80	0.307166919	-1.702905243
AF153816	KCNJ16	potassium inwardly-rectifying channel, subfamily J, member 16	99022.5	23905.5	60	0.307921987	-1.699363209
N54300	KIAA1500	KIAA1500 protein	41800	0	65	0.30815883	-1.698253963
BF125408	FNBP3	formin binding protein 3	29052.5	705	50	0.308188765	-1.698113826
NM_001246	ENTPD2	ectonucleoside triphosphate diphosphohydrolase 2	127243	35119	75	0.30840896	-1.697083416
AW978164	SAT	spermidine/spermine N1-acetyltransferase	140290	30493.5	85	0.30918364	-1.69346411
M81379	COL4A3	collagen, type IV, alpha 3 (Goodpasture antigen)	232863.5	58768	100	0.309352454	-1.692676618
N99397	NA	NA	53090	10330	60	0.310205015	-1.688706085
AK025198	NA	Homo sapiens cDNA: FLJ21545 fis, clone COL06195.	195639	6058	65	0.31068638	-1.686469099
H99194	LOC91316	similar to bK246H3.1 (immunoglobulin lambda-like polypeptide 1, pre-B-cell specific)	553637	154194	100	0.310902189	-1.685467321
AF269150	SMBP	SM-11044 binding protein	89487.5	20788.5	70	0.310969167	-1.685156554
AK025461	CGI-85	CGI-85 protein	85726.5	32365	65	0.311156732	-1.684286636
D16305	ERCC5	excision repair cross-complementing rodent repair deficiency, complementation group 5 (xeroderma pigmentosum, complementation group G (Cockayne syndrome))	199407	47740.5	85	0.311222522	-1.68398163
AW182974	NA	ESTs	0	0	50	0.311338251	-1.683445258
AJ223366	MYEOV	myeloma overexpressed gene (in a subset of t(11;14) positive multiple myelomas)	172332.5	45890.5	80	0.311527967	-1.682566408
Z30137	LDB3	LIM domain binding 3	149450.5	50943.5	95	0.31165669	-1.681970412
NM_002318	LOXL2	lysyl oxidase-like 2	122342.5	60239.5	70	0.311665125	-1.681931368
AA921763	NA	Homo sapiens, Similar to RIKEN cDNA 0610006I08 gene, clone IMAGE:5176412, mRNA	273840.5	77459.5	90	0.311875812	-1.680956429
AI743770	ABCA5	ATP-binding cassette, sub-family A (ABC1), member 5	79049.5	7617.5	75	0.312591862	-1.677647877
BE676132	NA	NA	62765.5	6787.5	50	0.312608968	-1.677568927
AI093836	NA	ESTs	14695	0	50	0.312781402	-1.676773364
AI681800	LOC285831	hypothetical protein LOC285831	54003	24550.5	50	0.313668561	-1.672687159
AW952320	NA	ESTs, Moderately similar to plakophilin 2 [Homo sapiens] [H.sapiens]	39104.5	3930.5	55	0.313707653	-1.672507372
AK000050	FLJ20043	hypothetical protein FLJ20043	130591.5	57181	85	0.31385318	-1.671838268
AA429441	NA	NA	51484	408	55	0.313938543	-1.671445933
AF040260	GMDS	GDP-mannose 4,6-dehydratase	106851.5	10376	80	0.314557159	-1.668605897
H97627	NA	ESTs	52419	10218	55	0.314631285	-1.668265963
D21261	TAGLN2	transgelin 2	822822	266883.5	100	0.314644565	-1.668205072
AF012281	PDZK1	PDZ domain containing 1	67306.5	16958.5	60	0.31505675	-1.666316376
AA521097	FLJ12643	hypothetical protein FLJ12643	87807.5	21161	75	0.315272376	-1.665329327
R39856	GDAP1L1	ganglioside-induced differentiation-associated protein 1-like 1	96690.5	35021	70	0.315311908	-1.66514844
NM_003036	SKI	v-ski sarcoma viral oncogene homolog (avian)	30619.5	0	50	0.315386469	-1.664807329
AB004546	PEX12	peroxisomal biogenesis factor 12	48979	19071.5	55	0.315461359	-1.664464794
NM_000809	GABRA4	gamma-aminobutyric acid (GABA) A receptor, alpha 4	113533.5	26113.5	70	0.315842669	-1.662722007
M64676	KCNC4	potassium voltage-gated channel, Shaw-related subfamily, member 4	45551.5	0	55	0.315978349	-1.662102389
AI125859	NA	Homo sapiens, clone IMAGE:4829637, mRNA	36167	5593.5	50	0.316029509	-1.661868819
L42373	PPP2R5A	protein phosphatase 2, regulatory subunit B (B56), alpha isoform	53366.5	0	55	0.316561177	-1.659443762
AK025541	DDX35	DEAD/H (Asp-Glu-Ala-Asp/His) box polypeptide 35	90137.5	38342.5	90	0.316953533	-1.657656746
BE675486	NA	ESTs	78131	30078	75	0.31735056	-1.655850708
M36067	LIG1	ligase I, DNA, ATP-dependent	73764.5	16586	60	0.317389093	-1.655675545
AK027191	NA	Homo sapiens cDNA: FLJ23538 fis, clone LNG08010, highly similar to BETA2 Human MEN1 region clone epsilon/beta mRNA.	251281.5	75327	85	0.317400701	-1.655622781
NM_000055	BCHE	butyrylcholinesterase	331393	114511.5	100	0.31748968	-1.655218397
AF239923	ARHF	ras homolog gene family, member F (in filopodia)	57273	4649.5	65	0.317581981	-1.654799037
U60808	CDS1	CDP-diacylglycerol synthase (phosphatidate cytidylyltransferase) 1	574065	139267.5	100	0.31882496	-1.649163518
AU158370	PRDM2	PR domain containing 2, with ZNF domain	55649	9732	65	0.319085332	-1.647985802
AF069301	PECI	peroxisomal D3,D2-enoyl-CoA isomerase	278244	77353	100	0.319468898	-1.646252612
H98127	NA	ESTs, Weakly similar to Y18D10A.16.p [Caenorhabditis elegans] [C.elegans]	18621	4774	50	0.31978228	-1.644838096
AF026947	AKR7A2	aldo-keto reductase family 7, member A2 (aflatoxin aldehyde reductase)	187313	52883.5	85	0.320323713	-1.642397492
AF151844	retSDR4	retinal short-chain dehydrogenase/reductase 4	180896.5	79053.5	90	0.320582892	-1.641230658
BF431017	KIAA0551	KIAA0551 protein	131956	20274.5	70	0.321441709	-1.637370956
AI277086	RAGB	GTP-binding protein ragB	74067.5	6695	65	0.322190693	-1.634013275
BG168139	NA	ESTs	77188.5	25153.5	60	0.322280523	-1.633611094
NM_003988	PAX2	paired box gene 2	310903	123580.5	90	0.322732287	-1.631590177
AW511203	NA	Homo sapiens, LOC149878, clone MGC:44328 IMAGE:5295734, mRNA, complete cds	97716.5	15258	60	0.322886174	-1.630902427
AA625872	FLJ12892	hypothetical protein FLJ12892	37546.5	12582.5	50	0.323402812	-1.628595873
AI187278	HOXA10	homeo box A10	250753	57580	80	0.323589153	-1.627764845
AI953671	FLJ14129	hypothetical protein FLJ14129	69016.5	18250	65	0.32386078	-1.626554329
BF058765	FLJ32440	hypothetical protein FLJ32440	56175	8254	55	0.324492595	-1.62374254
AW139663	VMP1	likely ortholog of rat vacuole membrane protein 1	126151	29001.5	75	0.324803482	-1.622360994
AW968760	MGC2647	hypothetical zinc finger protein MGC2647	180108.5	58017.5	100	0.324843912	-1.622181429
U36501	SP100	nuclear antigen Sp100	119964	47435	80	0.324897054	-1.621945432
AA237005	NA	ESTs	55602	5763	55	0.325151679	-1.620815223
M80629	CDC2L5	cell division cycle 2-like 5 (cholinesterase-related cell division controller)	70919.5	4013	55	0.325375082	-1.619824327
M34480	ITGA2B	integrin, alpha 2b (platelet glycoprotein IIb of IIb/IIIa complex, antigen CD41B)	132947	53690.5	95	0.325378176	-1.619810605
BF309233	MGC20781	hypothetical protein MGC20781	64689	8166.5	65	0.325901837	-1.617490611
L31772	ADRA1D	adrenergic, alpha-1D-, receptor	186769.5	30681	60	0.325945114	-1.617299047
AA774253	ABLIM1	actin binding LIM protein 1	366608	106317.5	100	0.325977414	-1.617156085
Z37976	LTBP2	latent transforming growth factor beta binding protein 2	182354	87908	85	0.326426851	-1.615168362
M62397	MCC	mutated in colorectal cancers	74588	18992	65	0.326622154	-1.614305447
AA609861	MGC26733	hypothetical protein MGC26733	32991.5	8051	50	0.327121843	-1.612099999
J05581	MUC1	mucin 1, transmembrane	7874976.5	3274207	100	0.328029604	-1.608102072
AA566018	HSA277841	ELG protein	98569.5	40092.5	80	0.328357071	-1.606662572
AI806586	NA	ESTs	26887.5	5162.5	50	0.328420789	-1.606382642
AA873829	SRPK2	SFRS protein kinase 2	30834.5	8041	50	0.328431725	-1.606334602
L42176	FHL2	four and a half LIM domains 2	298592	60809	90	0.32922435	-1.602857052
AA628440	NA	Homo sapiens cDNA FLJ30298 fis, clone BRACE2003172.	225837.5	76079	80	0.329622633	-1.601112787
AI735283	NA	ESTs	47136	109.5	60	0.329670486	-1.600903361
M14091	SERPINA7	serine (or cysteine) proteinase inhibitor, clade A (alpha-1 antiproteinase, antitrypsin), member 7	102413	38128	80	0.33027523	-1.598259319
AA748463	NA	ESTs	105369	39074.5	65	0.330603384	-1.596826603
AA432320	NA	ESTs	615380.5	184961.5	95	0.330632481	-1.596699634
U11287	GRIN2B	glutamate receptor, ionotropic, N-methyl D-aspartate 2B	76963.5	25518	60	0.330947517	-1.595325649
Z50022	PTTG1IP	pituitary tumor-transforming 1 interacting protein	652989.5	234655	90	0.331129175	-1.594533964
Y07707	NRF	transcription factor NRF	95914	31503	65	0.331154161	-1.594425109
H10229	NA	ESTs	95328	17406.5	65	0.33127775	-1.593886784
D10922	FPRL1	formyl peptide receptor-like 1	83293	18473	65	0.331544731	-1.592724569
N26076	RAB3D	RAB3D, member RAS oncogene family	1024941	261359	100	0.331563914	-1.592641097
AI792080	NA	ESTs	239320.5	79610	100	0.331579334	-1.592574004
T03578	LOC90550	hypothetical protein BC010682	120852	41617.5	95	0.331767949	-1.591753576
AJ278126	CABC1	chaperone, ABC1 activity of bc1 complex like (S. pombe)	41810.5	6379	65	0.331874757	-1.591289196
AA019845	RHO	rhodopsin (opsin 2, rod pigment) (retinitis pigmentosa 4, autosomal dominant)	31600.5	0	50	0.332121282	-1.590217921
AK000359	ACAD8	acyl-Coenzyme A dehydrogenase family, member 8	1213.5	5199.5	50	0.332199539	-1.589878023
AL133784	FLJ25477	hypothetical protein FLJ25477	203410	69325	95	0.332232704	-1.589733998
R45683	CPD	carboxypeptidase D	39690.5	0	60	0.332928755	-1.586714614
AF041248	CDKN2C	cyclin-dependent kinase inhibitor 2C (p18, inhibits CDK4)	403792	86902	100	0.333322856	-1.58500785
AW971575	NA	ESTs, Weakly similar to hypothetical protein FLJ20489 [Homo sapiens] [H.sapiens]	42985.5	9152	50	0.333798253	-1.582951692
BF690691	NA	Transcript ch138 [human, RF1,RF48 stomach cancer cell lines, mRNA, 235 nt]	173347	50641	90	0.33393977	-1.582340176
D78333	CCT6B	chaperonin containing TCP1, subunit 6B (zeta 2)	99634	32001	80	0.334017773	-1.582003224
AA814907	NA	Homo sapiens cDNA FLJ31157 fis, clone IMR322001724.	16789.5	1831	50	0.33429611	-1.580801529
AA190871	ALPI	alkaline phosphatase, intestinal	308318.5	66514	90	0.334320304	-1.580697119
AK000338	FLJ20331	hypothetical protein FLJ20331	56325	13810.5	65	0.33443474	-1.580203375
AI433710	NA	ESTs	95663.5	30569	90	0.334753008	-1.578831077
L14754	IGHMBP2	immunoglobulin mu binding protein 2	41557.5	4607.5	55	0.335160814	-1.57707461
N34387	NA	ESTs	63729	16961	60	0.335397028	-1.576058189
AK001550	ATF7IP	activating transcription factor 7 interacting protein	40088	19659	70	0.335545226	-1.575420866
AB029020	VDU1	pVHL-interacting deubiquitinating enzyme 1	34245	0	55	0.335821792	-1.574232244
NM_000742	CHRNA2	cholinergic receptor, nicotinic, alpha polypeptide 2 (neuronal)	66513.5	18167.5	65	0.335919626	-1.573812008
N52517	RHOBTB3	Rho-related BTB domain containing 3	18323	0	50	0.336517347	-1.571247221
U86358	CCL25	chemokine (C-C motif) ligand 25	44787.5	0	55	0.3368151	-1.569971277
H11388	LOC51295	ECSIT	71987.5	26419.5	70	0.337826772	-1.56564443
X98332	SLC22A1	solute carrier family 22 (organic cation transporter), member 1	118053	36587	75	0.338330255	-1.563495902
AA704221	NA	ESTs	25848	1046.5	55	0.338374291	-1.563308135
AF070590	LOC90957	DEAH-box RNA/DNA helicase AAM73547	52364.5	2939.5	60	0.338495427	-1.56279175
AA701871	NA	ESTs	21816	1132	50	0.338556427	-1.56253179
AI346913	SDCBP2	syndecan binding protein (syntenin) 2	607035.5	174342	100	0.338558502	-1.562522944
H10766	NA	Homo sapiens, Similar to RIKEN cDNA 2210017A09 gene, clone MGC:26571 IMAGE:4814899, mRNA, complete cds	7652	0	50	0.338590212	-1.562387828
AA521247	SLC25A20	solute carrier family 25 (carnitine/acylcarnitine translocase), member 20	102416.5	35671.5	90	0.338966773	-1.560784235
AI740538	LOC90701	similar to signal peptidase complex (18kD)	102780	41861	75	0.339196061	-1.559808678
AI028483	NA	ESTs	76668.5	27394	65	0.340022992	-1.556295793
R12013	MLL5	myeloid/lymphoid or mixed-lineage leukemia 5 (trithorax homolog, Drosophila)	88945	24815	65	0.340159628	-1.555716172
N30188	NA	ESTs	606.5	5800	50	0.340192444	-1.555576996
AA904658	NA	ESTs	7038	0	50	0.340229294	-1.555420732
AF055872	TNFSF12	tumor necrosis factor (ligand) superfamily, member 12	78295.5	19546	55	0.340415013	-1.554633429
Z39664	NA	EST	27735.5	0	55	0.340732007	-1.553290618
AA195424	MGC33602	hypothetical protein MGC33602	30389.5	479.5	55	0.341061635	-1.551895616
AA404269	NA	Homo sapiens cDNA FLJ11666 fis, clone HEMBA1004672.	19015	9327	50	0.341109316	-1.551693938
AA921921	ZNF297B	zinc finger protein 297B	256059	173755.5	80	0.341418117	-1.55038848
D25538	ADCY7	adenylate cyclase 7	603258.5	166712	95	0.341669285	-1.549327534
AA774776	VSNL1	visinin-like 1	106602.5	35580.5	55	0.341774276	-1.548884278
D10522	MARCKS	myristoylated alanine-rich protein kinase C substrate	2683197	935587.5	100	0.341838286	-1.548614108
AB007899	NEDD4L	neural precursor cell expressed, developmentally down-regulated 4-like	142423.5	66542	90	0.341858111	-1.548530441
M90366	ZP2	zona pellucida glycoprotein 2 (sperm receptor)	105438	25516.5	80	0.341887523	-1.548406323
J05068	TCN1	transcobalamin I (vitamin B12 binding protein, R binder family)	110575.5	37980	70	0.341966301	-1.548073935
AA699420	NA	ESTs	152096	48400	75	0.342005072	-1.547910374
AI766279	LSM8	LSM8 homolog, U6 small nuclear RNA associated (S. cerevisiae)	41014	16352.5	55	0.342170204	-1.54721396
NM_003020	SGNE1	secretory granule, neuroendocrine protein 1 (7B2 protein)	56246	12282	55	0.342597145	-1.545414967
AW964577	NA	ESTs, Weakly similar to Y18D10A.16.p [Caenorhabditis elegans] [C.elegans]	23267	10353.5	50	0.34260133	-1.545397344
AA536014	NA	Homo sapiens, clone MGC:34744 IMAGE:5170600, mRNA, complete cds	159343	63830	75	0.342608442	-1.545367393
AA677528	NA	EST	79717.5	23215	75	0.342677395	-1.545077068
AI798907	NA	Homo sapiens, clone IMAGE:5169631, mRNA	15934	8188.5	50	0.342725759	-1.544873469
U55988	LOC147632	hypothetical protein BC010734	341536	116297.5	95	0.342962645	-1.543876647
NM_002153	HSD17B2	hydroxysteroid (17-beta) dehydrogenase 2	92394	46666.5	70	0.343164445	-1.543028012
BF965257	APM2	adipose specific 2	35456.5	3800	60	0.343278334	-1.54254929
NM_001585	C22orf1	chromosome 22 open reading frame 1	109403	32000.5	65	0.343284523	-1.54252328
AI967994	LOC81691	exonuclease NEF-sp	86583	18314	55	0.343611808	-1.541148482
AL049981	WBP2	WW domain binding protein 2	79963.5	4753.5	65	0.343623534	-1.541099249
AK025906	MGC10963	hypothetical protein MGC10963	47548.5	8889	65	0.343644558	-1.541010982
AA626369	NA	EST	310921.5	120437	90	0.344056728	-1.539281639
AW451074	NA	ESTs, Weakly similar to hypothetical protein FLJ21868 [Homo sapiens] [H.sapiens]	114208.5	40712.5	70	0.344156833	-1.538861942
Y11360	NA	NA	106580	25025	70	0.344327397	-1.538147119
AA132741	NA	ESTs, Weakly similar to hypothetical protein FLJ22184 [Homo sapiens] [H.sapiens]	27880.5	11874.5	65	0.344429484	-1.537719448
R44423	SEZ6	seizure related 6 homolog (mouse)	15953.5	0	50	0.344526503	-1.537313129
AA426132	NA	ESTs	184973	71939	90	0.344839306	-1.536003868
N20968	NA	ESTs	35037	255	55	0.344849532	-1.535961087
AB018549	LY96	lymphocyte antigen 96	399403	95657.5	65	0.344932649	-1.535613403
AF132034	CCNDBP1	cyclin D-type binding-protein 1	167741.5	86678.5	95	0.344968599	-1.535463048
NM_004636	SEMA3B	sema domain, immunoglobulin domain (Ig), short basic domain, secreted, (semaphorin) 3B	240392	61258	95	0.34502907	-1.535210175
AW341441	MGC35043	hypothetical protein MGC35043	33615.5	3604	60	0.345093978	-1.534938796
AL050276	ZNF288	zinc finger protein 288	79968	26529	80	0.345148888	-1.534709258
R61893	MAP3K4	mitogen-activated protein kinase kinase kinase 4	46011.5	1247	50	0.34526004	-1.534244727
AI092178	FLJ13611	hypothetical protein FLJ13611	82537.5	25417	55	0.345317119	-1.534006237
NM_001926	DEFA6	defensin, alpha 6, Paneth cell-specific	111322.5	37847	70	0.345412722	-1.533606873
AA521288	CA5B	carbonic anhydrase VB, mitochondrial	345973	122699	100	0.345452027	-1.533442718
AB018298	SEC24D	SEC24 related gene family, member D (S. cerevisiae)	82142	27395	75	0.346106727	-1.530711113
AA758110	ADAM21	a disintegrin and metalloproteinase domain 21	704818.5	194954	85	0.346273129	-1.530017656
U87864	NEURL	neuralized-like (Drosophila)	74174.5	24382.5	65	0.346501979	-1.529064504
H57105	FLJ20273	RNA-binding protein	368914.5	68300	95	0.346680777	-1.528320251
AI080640	AGR2	anterior gradient 2 homolog (Xenepus laevis)	1684576	564159	95	0.347372165	-1.52544594
AF055993	SAP30	sin3-associated polypeptide, 30kDa	29898.5	19103	55	0.348119834	-1.522344083
AA813102	NA	Homo sapiens cDNA FLJ14248 fis, clone OVARC1001117.	37099	14685.5	55	0.348360855	-1.521345576
AA654430	ASB7	ankyrin repeat and SOCS box-containing 7	4046	4443	50	0.34838537	-1.521244053
AB018551	C16orf7	chromosome 16 open reading frame 7	8552	0	50	0.348531155	-1.520640473
J03358	FER	fer (fps/fes related) tyrosine kinase (phosphoprotein NCP94)	182268.5	54059	85	0.348643006	-1.520177553
AI131102	NA	ESTs	74509	30740	85	0.348789382	-1.519571975
AF004021	PTGFR	prostaglandin F receptor (FP)	99670	29807.5	55	0.349134153	-1.518146603
AA312113	RBL1	retinoblastoma-like 1 (p107)	151252	52410	85	0.349381116	-1.517126463
U36798	PDE3A	phosphodiesterase 3A, cGMP-inhibited	92442.5	28919.5	65	0.349415934	-1.516982697
T24091	NA	Human (clone 1NIB-2) normalized cDNA library sequence.	303470	74060.5	80	0.349562401	-1.516378076
BE044509	BCLG	apoptosis regulator BCL-G	274112.5	82823	100	0.349573519	-1.516332192
AA625955	NA	EST	481264	135357	90	0.349758354	-1.515569576
NM_002309	LIF	leukemia inhibitory factor (cholinergic differentiation factor)	80888.5	36008.5	70	0.349921083	-1.514898505
NM_005756	GPR64	G protein-coupled receptor 64	327921.5	125640.5	100	0.349994554	-1.514595622
U69962	KCNB2	potassium voltage-gated channel, Shab-related subfamily, member 2	92245	39648.5	65	0.350004239	-1.5145557
AK000413	FLJ20406	hypothetical protein FLJ20406	107739.5	23498	75	0.350156689	-1.513927446
AA626032	NA	ESTs	62570	23105.5	70	0.3501669	-1.513885377
W68162	LOC162967	hypothetical protein LOC162967	122432	28289	75	0.35083668	-1.511128505
BE897258	FLJ22056	hypothetical protein FLJ22056	202861	76452	95	0.351471788	-1.508519205
NM_005814	GPA33	glycoprotein A33 (transmembrane)	205363.5	71140	80	0.351685548	-1.507642046
AA397635	NA	ESTs	450581	135158.5	95	0.351838738	-1.507013759
AL137295	MLLT10	myeloid/lymphoid or mixed-lineage leukemia (trithorax homolog, Drosophila); translocated to, 10	118876.5	37815.5	70	0.352045048	-1.506168045
AA845630	NA	Homo sapiens cDNA FLJ35905 fis, clone TESTI2009683.	106312	43711.5	85	0.352619361	-1.503816406
AI684951	ACAS2L	acetyl-Coenzyme A synthetase 2 (AMP forming)-like	24015	7796.5	60	0.352633499	-1.503758561
AI291189	NA	ESTs, Weakly similar to hypothetical protein FLJ20489 [Homo sapiens] [H.sapiens]	31081	5357.5	55	0.352757119	-1.503252896
D49676	U2AF1RS1	U2 small nuclear ribonucleoprotein auxiliary factor, small subunit 1	114596	38998	95	0.352824185	-1.50297864
AI142842	ERG	v-ets erythroblastosis virus E26 oncogene like (avian)	104814.5	20808.5	55	0.352990782	-1.502297587
BE047007	TSGA10	testis specific, 10	29487.5	14342	50	0.35343904	-1.500466691
AL110282	LOC149149	hypothetical protein LOC149149	131651	56489	85	0.353584569	-1.499872779
M59964	KITLG	KIT ligand	68282	6649.5	55	0.35398767	-1.498228986
L29376	NA	Homo sapiens (clone 3.8-1) MHC class I mRNA fragment.	0	0	50	0.354040469	-1.498013815
H23831	NA	EST	571615	144270.5	90	0.354554902	-1.495919054
AA873052	SERPINI1	serine (or cysteine) proteinase inhibitor, clade I (neuroserpin), member 1	33647.5	0	55	0.354663387	-1.495477692
U47654	NA	NA	471279.5	202175.5	100	0.35498776	-1.494158814
AF182316	FER1L3	fer-1-like 3, myoferlin (C. elegans)	46224	202.5	55	0.35502923	-1.493990287
NM_000939	POMC	proopiomelanocortin (adrenocorticotropin/ beta-lipotropin/ alpha-melanocyte stimulating hormone/ beta-melanocyte stimulating hormone/ beta-endorphin)	196214	44868	75	0.35521993	-1.493215565
NM_005919	MEF2B	MADS box transcription enhancer factor 2, polypeptide B (myocyte enhancer factor 2B)	182242	56069	75	0.35536506	-1.492626256
D30758	CENTB1	centaurin, beta 1	250194	93535	95	0.355448253	-1.49228855
AI749667	DD96	epithelial protein up-regulated in carcinoma, membrane associated protein 17	15211	20006.5	55	0.355459136	-1.492244381
AA243524	PBX3	pre-B-cell leukemia transcription factor 3	6468	5145	50	0.35575828	-1.491030761
AF039022	XPOT	exportin, tRNA (nuclear export receptor for tRNAs)	110490	39776	85	0.356013117	-1.4899977
AW976887	DKFZP566N034	hypothetical protein DKFZp566N034	248870.5	83135.5	100	0.356461152	-1.488183239
AB018343	KIAA0800	KIAA0800 gene product	91078	54872	75	0.356757715	-1.486983468
AF035812	DNCLI2	dynein, cytoplasmic, light intermediate polypeptide 2	494010	167895	100	0.357120933	-1.485515392
L07738	CACNG1	calcium channel, voltage-dependent, gamma subunit 1	118140.5	34500.5	75	0.357648744	-1.483384719
AL117452	DKFZP586G1517	DKFZP586G1517 protein	54005	4854	55	0.357770959	-1.482891809
AA626328	NA	ESTs	150869	60135.5	95	0.357859485	-1.482534878
AA628192	NA	ESTs	73142	23036.5	65	0.35813815	-1.481411888
M15059	FCER2	Fc fragment of IgE, low affinity II, receptor for (CD23A)	229363	64576	90	0.358189287	-1.481205906
R46597	MGC4126	hypothetical protein MGC4126	63365	19330.5	70	0.358560204	-1.479712718
AW954405	NA	Homo sapiens cDNA FLJ31066 fis, clone HSYRA2001153.	33894	8167.5	50	0.358836738	-1.478600493
N24703	NA	ESTs, Weakly similar to hypothetical protein FLJ20489 [Homo sapiens] [H.sapiens]	56630	568.5	50	0.359134039	-1.477405697
AW444523	MGC4170	MGC4170 protein	437673.5	204947	100	0.359148757	-1.477346574
NM_004583	RAB5C	RAB5C, member RAS oncogene family	50474.5	9817	55	0.359448626	-1.476142507
AA287524	KIAA1340	KIAA1340 protein	61545.5	14795	65	0.359557559	-1.475705356
N32516	C14orf37	chromosome 14 open reading frame 37	18111	0	50	0.359630008	-1.475414689
U48250	OLIG2	oligodendrocyte lineage transcription factor 2	175819	57106	70	0.359844067	-1.474556223
AI203007	LOC286440	hypothetical protein LOC286440	51538.5	16430.5	55	0.359928721	-1.474216864
AA044274	MGC5395	hypothetical protein MGC5395	235215.5	100039	95	0.360300461	-1.472727596
U63917	GPR30	G protein-coupled receptor 30	630350.5	243975.5	95	0.360567212	-1.471659883
AI563956	ZNF133	zinc finger protein 133 (clone pHZ-13)	60587.5	5616	60	0.360767024	-1.470860621
AB007913	CHD5	chromodomain helicase DNA binding protein 5	20569	4460	50	0.360883784	-1.470393776
X67301	IGHM	immunoglobulin heavy constant mu	0	0	50	0.361119422	-1.469452082
T02973	NA	EST	52836	1743	55	0.361919002	-1.46626124
M94054	LOX	lysyl oxidase	296321.5	106695	85	0.362382485	-1.464414867
AK001805	FLJ20171	hypothetical protein FLJ20171	51549	25686	65	0.362578215	-1.46363585
AA687170	NA	Homo sapiens cDNA FLJ37005 fis, clone BRACE2009122.	79290	16200	60	0.362638592	-1.463395631
BE048506	STK38	serine/threonine kinase 38	136002.5	57120	100	0.36280147	-1.462747792
AK025085	FLJ21432	hypothetical protein FLJ21432	427622.5	119369	90	0.36286805	-1.46248306
AI087971	NA	ESTs	79541	14087.5	60	0.363330144	-1.460647031
N64025	FLJ22637	hypothetical protein FLJ22637	76176.5	4964	70	0.363382608	-1.460438723
T69711	NA	ESTs	258143	86300.5	90	0.363458725	-1.460136555
AB006782	LGALS9	lectin, galactoside-binding, soluble, 9 (galectin 9)	704193.5	192571.5	100	0.363771635	-1.45889504
NM_005171	ATF1	activating transcription factor 1	66202	14417.5	65	0.364008188	-1.457957191
AI672493	LOC57406	lipase protein	147157	55916.5	80	0.364105398	-1.457571967
