LocusLinkNAIDNANA	Accession number	Gene symbol	Sequence Description	Fold change	p-value(FDR)
79762	AK024208	FLJ14146	cDNA FLJ14146 fis, clone MAMMA1002947.	1.95	6.30E-11
824	NM_001748	CAPN2	calpain 2, (m/II) large subunit (CAPN2)	1.95	2.70E-05
NA	AF085351	unknown	ELISC-1 mRNA, partial cds.	1.94	3.60E-03
1448	NM_005212	CSN3	casein kappa (CSN3)	1.94	1.10E-04
27232	NM_018960	GNMT	glycine N-methyltransferase (GNMT)	1.94	1.50E-03
4792	NM_020529	NFKBIA	nuclear factor of kappa light polypeptide gene enhancer in B-cells inhibitor, alpha (NFKBIA)	1.94	1.10E-06
5837	NM_005609	PYGM	phosphorylase, glycogen; muscle (McArdle syndrome, glycogen storage disease type V) (PYGM)	1.94	5.80E-08
NA	AL157484	NA	mRNA; cDNA DKFZp762M127 (from clone DKFZp762M127).	1.93	1.60E-04
11046	AK024841	SLC35D2	cDNA: FLJ21188 fis, clone CAS11813.	1.93	1.00E-09
1889	NM_001397	ECE1	endothelin converting enzyme 1 (ECE1)	1.93	7.30E-09
6948	NM_000355	TCN2	transcobalamin II; macrocytic anemia (TCN2)	1.92	4.20E-08
896	NM_001760	CCND3	cyclin D3 (CCND3)	1.92	5.30E-14
57211	AL080079	GPR126	mRNA; cDNA DKFZp564D0462 (from clone DKFZp564D0462).	1.92	4.90E-09
9037	AF009280	SEMA5A	clone FBE9 Cri-du-chat region mRNA.	1.92	1.60E-04
2746	NM_005271	GLUD1	glutamate dehydrogenase 1 (GLUD1)	1.92	1.70E-18
54463	NM_019000	FLJ20152	hypothetical protein FLJ20152 (FLJ20152)	1.92	1.60E-04
1992	M93056	SERPINB1	serine (or cysteine) proteinase inhibitor, clade B (ovalbumin), member 1	1.92	6.30E-15
1540	AL050166	CYLD	mRNA; cDNA DKFZp586D1122 (from clone DKFZp586D1122).	1.92	4.60E-05
50937	NM_016952	CDON	cell adhesion molecule-related/down-regulated by oncogenes (CDON)	1.91	2.90E-10
81	NM_004924	ACTN4	actinin, alpha 4 (ACTN4)	1.91	7.80E-05
57186	AY007156	KIAA1272	clone CDABP0105 mRNA sequence.	1.91	1.30E-12
25948	AK024577	KBTBD2	cDNA: FLJ20924 fis, clone ADSE00928.	1.91	4.00E-03
602	NM_005178	BCL3	B-cell CLL/lymphoma 3 (BCL3)	1.9	4.10E-07
7111	NM_003275	TMOD1	tropomodulin 1 (TMOD1)	1.9	4.50E-03
55107	NM_018043	TMEM16A	hypothetical protein FLJ10261 (FLJ10261)	1.9	1.50E-04
57732	AB046863	ZFYVE28	mRNA for KIAA1643 protein, partial cds.	1.9	1.00E-04
5456	NM_000307	POU3F4	POU domain, class 3, transcription factor 4 (POU3F4)	1.89	1.10E-03
11186	NM_007182	RASSF1	Ras association (RalGDS/AF-6) domain family 1 (RASSF1), transcript variant A	1.89	7.50E-06
3628	NM_002194	INPP1	inositol polyphosphate-1-phosphatase (INPP1)	1.89	2.10E-21
NA	AK000848	NA	cDNA FLJ20841 fis, clone ADKA02210.	1.88	6.90E-19
7078	X77690	TIMP3	H.sapiens mRNA for K222 expressed in degenerative retinas.	1.88	3.20E-05
29843	NM_014554	SENP1	sentrin/SUMO-specific protease (SENP1)	1.88	1.90E-05
54549	NM_019064	SDK2	sidekick homolog 2 (chicken) (SDK2)	1.87	1.30E-17
11170	NM_007177	TU3A	TU3A protein (TU3A)	1.87	1.30E-10
4222	NM_004527	MEOX1	mesenchyme homeo box 1 (MEOX1), transcript variant 1	1.87	9.20E-17
7130	M31164	TNFAIP6	tumor necrosis factor-inducible (TSG-37) mRNA fragment.	1.87	5.60E-04
50846	U59748	DHH	desert hedgehog (hDHH) mRNA, partial cds.	1.86	6.90E-04
5443	NM_000939	POMC	proopiomelanocortin (adrenocorticotropin/ beta-lipotropin/ alpha-melanocyte stimulating hormone/ beta-melanocyte st	1.86	1.10E-08
6277	NM_014624	S100A6	S100 calcium binding protein A6 (calcyclin) (S100A6)	1.86	7.90E-18
1849	X93921	DUSP7	H.sapiens mRNA for protein-tyrosine-phosphatase (tissue type: testis).	1.86	8.50E-06
NA	NM_017601	DKFZp761H221	hypothetical protein DKFZp761H221 (DKFZp761H221)	1.86	2.50E-06
3933	NM_002297	LCN1	lipocalin 1 (protein migrating faster than albumin, tear prealbumin) (LCN1)	1.85	2.80E-20
NA	Z36776	integrinbeta(4)	H.sapiens (xs103) mRNA, 400bp.	1.85	3.10E-05
2896	NM_002087	GRN	granulin (GRN)	1.85	8.10E-09
3104	NM_005341	HKR3	GLI-Kruppel family member HKR3 (HKR3)	1.85	2.20E-07
6324	NM_001037	SCN1B	sodium channel, voltage-gated, type I, beta (SCN1B)	1.85	8.90E-08
4702	NM_014222	NDUFA8	NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, 8, 19kDa (NDUFA8), nuclear gene encoding mitochondrial	1.85	1.10E-08
25799	NM_014347	ZNF324	zinc finger protein 324 (ZNF324)	1.85	6.00E-13
8869	NM_003896	SIAT9	sialyltransferase 9 (CMP-NeuAc:lactosylceramide alpha-2,3-sialyltransferase; GM3 synthase) (SIAT9)	1.85	6.50E-09
NA	AF009298	NA	clone NBB9 Cri-du-chat region mRNA.	1.85	1.50E-04
51162	NM_016215	EGFL7	EGF-like-domain, multiple 7 (EGFL7)	1.84	7.50E-19
3386	NM_001544	ICAM4	intercellular adhesion molecule 4, Landsteiner-Wiener blood group (ICAM4), transcript variant 1	1.84	4.80E-06
8417	AF075045	STX7	full length insert cDNA YN68A11.	1.84	1.10E-07
5699	NM_002801	PSMB10	proteasome (prosome, macropain) subunit, beta type, 10 (PSMB10)	1.84	5.20E-06
79038	AK001921	ZFYVE21	cDNA FLJ11059 fis, clone PLACE1004740.	1.84	6.30E-12
9570	NM_004287	GOSR2	golgi SNAP receptor complex member 2 (GOSR2), transcript variant A	1.84	3.00E-20
10880	NM_006686	ACTL7B	actin-like 7B (ACTL7B)	1.83	1.60E-03
10633	NM_006477	RRP22	RAS-related on chromosome 22 (RRP22)	1.83	4.30E-04
79567	AK023787	FLJ13725	cDNA FLJ13725 fis, clone PLACE3000009, weakly similar to DNA-DIRECTED RNA POLYMERASE II LARGEST SU	1.83	1.40E-05
8543	NM_006769	LMO4	LIM domain only 4 (LMO4)	1.83	8.50E-07
55521	NM_018700	TRIM36	tripartite motif-containing 36 (TRIM36)	1.83	4.30E-07
NA	L77594	NA	(clone SEL193) 17q YAC (176F3) RNA.	1.83	1.70E-05
7302	X72887	TYRO3P	H.sapiens TYRO3P mRNA.	1.83	2.10E-03
5970	M62399	RELA	NF-kappa-B transcription factor p65 DNA binding subunit mRNA, complete cds.	1.83	1.80E-17
1501	AF056452	CTNND2	clone TEC1 Cri-du-chat critical region mRNA.	1.82	3.60E-11
56967	NM_020215	C14orf132	chromosome 14 open reading frame 132 (C14orf132)	1.81	7.70E-09
55652	NM_017842	FLJ20489	hypothetical protein FLJ20489 (FLJ20489)	1.81	1.20E-04
3304	NM_005346	HSPA1B	heat shock 70kDa protein 1B (HSPA1B)	1.81	2.40E-21
10559	NM_006416	SLC35A1	solute carrier family 35 (CMP-sialic acid transporter), member A1 (SLC35A1)	1.81	4.70E-05
22920	NM_014970	KIFAP3	kinesin-associated protein 3 (KIFAP3)	1.81	2.00E-33
9507	NM_005099	ADAMTS4	a disintegrin-like and metalloprotease (reprolysin type) with thrombospondin type 1 motif, 4 (ADAMTS4)	1.8	1.60E-04
51285	NM_016563	RASL12	Ras family member Ris (RIS)	1.8	5.20E-10
79629	AK026362	FLJ22709	cDNA: FLJ22709 fis, clone HSI13338.	1.8	2.70E-09
4015	NM_002317	LOX	lysyl oxidase (LOX)	1.8	1.20E-04
90993	AF055009	CREB3L1	clone 24747 mRNA sequence.	1.8	7.40E-10
124583	AK026161	CANT1	cDNA: FLJ22508 fis, clone HRC11772.	1.8	2.00E-07
84129	AK022654	FLJ12592	cDNA FLJ12592 fis, clone NT2RM4001316, weakly similar to ACYL-COA DEHYDROGENASE, MEDIUM-CHAIN SP	1.79	3.80E-03
64129	AB050716	LCN7	gis5 mRNA for glucocorticoid-inducible protein, complete cds.	1.79	5.60E-04
57228	NM_020467	LOC57228	hypothetical protein from clone 643 (LOC57228)	1.79	5.40E-08
85461	AK000401	TANC	cDNA FLJ20394 fis, clone KAIA5035.	1.79	1.20E-06
NA	Z36842	NA	H.sapiens (xs85) mRNA, 209bp.	1.79	2.70E-06
56654	AF272357	NPDC1	NPDC1-like protein (NPDC1) mRNA, complete cds.	1.78	3.90E-08
1847	NM_004419	DUSP5	dual specificity phosphatase 5 (DUSP5)	1.78	4.10E-10
NA	X74606	NA	H.sapiens XAP-1 mRNA.	1.78	1.30E-05
5716	NM_002814	PSMD10	proteasome (prosome, macropain) 26S subunit, non-ATPase, 10 (PSMD10), transcript variant 1	1.78	1.50E-04
5358	AJ227864	PLS3	partial mRNA; ID YG40-1A.	1.78	1.10E-04
7127	NM_006291	TNFAIP2	tumor necrosis factor, alpha-induced protein 2 (TNFAIP2)	1.78	1.20E-04
NA	NM_017648	MUC13	mucin 13, epithelial transmembrane (MUC13)	1.78	4.50E-10
5376	NM_000304	PMP22	peripheral myelin protein 22 (PMP22), transcript variant 1	1.78	1.80E-05
26122	AK001433	EPC2	cDNA FLJ10571 fis, clone NT2RP2003121, weakly similar to Mus musculus enhancer of polycomb mRNA.	1.78	2.30E-10
84909	AF043897	C9orf3	C90RF3 large isoform, mRNA sequence.	1.78	1.60E-04
23022	NM_016081	KIAA0992	palladin (KIAA0992)	1.78	9.20E-04
55715	NM_018110	DOK4	docking protein 4 (DOK4)	1.78	7.20E-14
4301	NM_005936	MLLT4	myeloid/lymphoid or mixed-lineage leukemia (trithorax homolog, Drosophila); translocated to, 4 (MLLT4)	1.78	1.60E-10
9083	NM_004678	BPY2	variable charge, Y-linked, 2 (VCY2)	1.78	1.50E-06
80021	AK027028	FLJ23375	cDNA: FLJ23375 fis, clone HEP16206.	1.77	4.70E-05
258	NM_016519	AMBN	ameloblastin, enamel matrix protein (AMBN)	1.77	2.20E-07
11145	NM_007069	HRASLS3	HRAS-like suppressor 3 (HRASLS3)	1.77	3.90E-08
29941	NM_013355	PKN3	protein kinase PKNbeta (pknbeta)	1.77	7.10E-10
NA	AK024534	NA	cDNA: FLJ20881 fis, clone ADKA03177.	1.77	1.00E-03
1894	NM_018098	ECT2	epithelial cell transforming sequence 2 oncogene (ECT2)	1.76	5.20E-08
7555	AK021693	ZNF9	cDNA FLJ11631 fis, clone HEMBA1004267.	1.76	5.30E-06
NA	NM_002050	GATA2	GATA binding protein 2 (GATA2)	1.76	1.60E-11
64065	AF317550	PERP	p53-induced protein PIGPC1 (PIGPC1) mRNA, complete cds.	1.76	1.10E-06
7832	NM_006763	BTG2	BTG family, member 2 (BTG2)	1.76	1.80E-03
58525	AL390184	WIZ	mRNA; cDNA DKFZp547M136 (from clone DKFZp547M136).	1.76	2.80E-11
649	NM_006129	BMP1	bone morphogenetic protein 1 (BMP1), transcript variant BMP1-3	1.76	3.80E-12
57198	AB032963	ATP8B2	mRNA for KIAA1137 protein, partial cds.	1.75	9.40E-09
5955	NM_002902	RCN2	reticulocalbin 2, EF-hand calcium binding domain (RCN2)	1.75	6.70E-13
4668	NM_000262	NAGA	N-acetylgalactosaminidase, alpha- (NAGA)	1.75	9.80E-09
7840	AB002326	ALMS1	mRNA for KIAA0328 protein, partial cds.	1.75	2.20E-03
5445	NM_000305	PON2	paraoxonase 2 (PON2)	1.75	2.30E-10
27020	NM_012428	SDFR1	stromal cell derived factor receptor 1 (SDFR1), transcript variant beta	1.75	1.40E-06
7706	NM_005082	TRIM25	zinc finger protein 147 (estrogen-responsive finger protein) (ZNF147)	1.74	1.20E-06
4343	AB046851	MOV10	mRNA for KIAA1631 protein, partial cds.	1.74	2.30E-09
7083	NM_003258	TK1	thymidine kinase 1, soluble (TK1)	1.74	4.90E-11
79573	AK026237	TTC13	cDNA: FLJ22584 fis, clone HSI02661.	1.74	1.00E-03
8682	NM_003768	PEA15	phosphoprotein enriched in astrocytes 15 (PEA15)	1.73	5.20E-05
8531	NM_003651	CSDA	cold shock domain protein A (CSDA)	1.73	5.00E-18
4641	X98507	MYO1C	H.sapiens mRNA for myosin-I beta.	1.73	5.20E-10
1200	NM_000391	TPP1	ceroid-lipofuscinosis, neuronal 2, late infantile (Jansky-Bielschowsky disease) (CLN2)	1.73	1.10E-12
26115	NM_015623	DKFZP564D166	putative ankyrin-repeat containing protein (DKFZP564D166)	1.73	2.60E-03
NA	L03169	IGHV@	cell-type T-cell immunoglobulin gamma chain, V region (IGHV@) mRNA, partial cds.	1.73	3.90E-08
6382	NM_002997	SDC1	syndecan 1 (SDC1)	1.73	1.60E-05
57124	NM_020404	CD164L1	CD164 sialomucin-like 1 (CD164L1)	1.72	3.00E-04
51296	NM_016582	SLC15A3	solute carrier family 15, member 3 (SLC15A3)	1.72	4.30E-04
51686	NM_016178	OAZ3	ornithine decarboxylase antizyme 3 (OAZ3)	1.72	3.70E-10
953	NM_001776	ENTPD1	ectonucleoside triphosphate diphosphohydrolase 1 (ENTPD1)	1.72	6.70E-06
8854	AB015228	ALDH1A2	mRNA for RALDH2-T, complete cds.	1.71	8.30E-08
54941	NM_017831	RNF125	ring finger protein 125 (RNF125)	1.71	5.20E-07
6557	AB032527	SLC12A1	NKCC2 mRNA for Na-K-2Cl cotransporter isoform IV, partial cds.	1.71	5.60E-04
1849	AL110157	DUSP7	mRNA; cDNA DKFZp586F2224 (from clone DKFZp586F2224).	1.71	1.30E-07
9860	NM_014813	LRIG2	leucine-rich repeats and immunoglobulin-like domains 2 (LRIG2)	1.71	2.00E-03
4008	AF174600	LMO7	F-box protein Fbx20 (FBX20) mRNA, partial cds.	1.71	1.30E-13
8838	NM_003880	WISP3	WNT1 inducible signaling pathway protein 3 (WISP3), transcript variant 1	1.71	1.50E-11
54663	NM_018093	FLJ10439	hypothetical protein FLJ10439 (FLJ10439)	1.7	8.50E-07
56006	NM_019108	FLJ12886	hypothetical protein FLJ12886 (FLJ12886)	1.7	2.60E-09
552	NM_000706	AVPR1A	arginine vasopressin receptor 1A (AVPR1A)	1.7	1.60E-04
NA	NM_007116	NA	NA	1.7	3.00E-10
54985	NM_017885	HCFC1R1	host cell factor C1 regulator 1 (XPO1 dependant) (HCFC1R1)	1.7	8.00E-08
1109	M33375	AKR1C4	chlordecone reductase mRNA, complete cds.	1.7	1.60E-04
7703	NM_007144	PCGF2	ring finger protein 110 (RNF110)	1.7	6.90E-04
11346	NM_007286	SYNPO	synaptopodin (SYNPO)	1.7	1.90E-18
94239	AK025785	H2AFV	cDNA: FLJ22132 fis, clone HEP20459.	1.69	4.10E-05
5802	NM_002850	PTPRS	protein tyrosine phosphatase, receptor type, S (PTPRS), transcript variant 1	1.69	6.30E-14
1890	NM_001953	ECGF1	endothelial cell growth factor 1 (platelet-derived) (ECGF1)	1.69	1.60E-04
10939	NM_006796	AFG3L2	AFG3 ATPase family gene 3-like 2 (yeast) (AFG3L2), nuclear gene encoding mitochondrial protein	1.69	4.80E-08
NA	AK025595	NA	cDNA: FLJ21942 fis, clone HEP04527.	1.69	2.80E-06
10498	AF055027	CARM1	clone 24658 mRNA sequence.	1.69	2.10E-10
8484	NM_003614	GALR3	galanin receptor 3 (GALR3)	1.69	1.60E-09
NA	AK025786	NA	cDNA: FLJ22133 fis, clone HEP20529.	1.69	9.40E-08
3423	NM_000202	IDS	iduronate 2-sulfatase (Hunter syndrome) (IDS), transcript variant 1	1.69	4.00E-15
10870	AF172929	HCST	transmembrane adapter protein KAP10 (KAP10) mRNA, complete cds.	1.69	4.40E-24
7107	NM_003272	TM7SF1	transmembrane 7 superfamily member 1 (upregulated in kidney) (TM7SF1)	1.68	2.80E-05
79047	AK025590	KCTD15	cDNA: FLJ21937 fis, clone HEP04432.	1.68	1.10E-08
5793	L09247	PTPRG	receptor-type protein tyrosine phosphatase gamma (PTPRG) mRNA, complete cds.	1.68	5.80E-03
54986	NM_017886	ULK4	hypothetical protein FLJ20574 (FLJ20574)	1.68	2.30E-08
401	NM_005169	PHOX2A	paired-like (aristaless) homeobox 2a (PHOX2A)	1.68	3.30E-03
9469	NM_004273	CHST3	carbohydrate (chondroitin 6) sulfotransferase 3 (CHST3)	1.68	9.20E-04
3985	NM_016733	LIMK2	LIM domain kinase 2 (LIMK2), transcript variant 2b	1.68	1.60E-03
64115	AK024449	PP2135	mRNA for FLJ00041 protein, partial cds.	1.68	8.00E-04
54209	NM_018965	TREM2	triggering receptor expressed on myeloid cells 2 (TREM2)	1.68	5.60E-04
10095	NM_005720	ARPC1B	actin related protein 2/3 complex, subunit 1B, 41kDa (ARPC1B)	1.67	1.20E-14
978	L27943	CDA	cytidine deaminase (CDA) mRNA, complete cds.	1.67	3.60E-05
51075	NM_015959	TMX2	CGI-31 protein (CGI-31)	1.67	5.60E-04
9391	NM_004804	WDR39	WD40 protein Ciao1 (CIAO1)	1.67	1.30E-03
80193	AK025047	FLJ21394	cDNA: FLJ21394 fis, clone COL03536.	1.67	2.30E-07
1915	X03689	EEF1A1	mRNA fragment for elongation factor TU (N-terminus).	1.66	7.50E-06
9208	NM_004735	LRRFIP1	leucine rich repeat (in FLII) interacting protein 1 (LRRFIP1)	1.66	4.10E-13
6812	NM_003165	STXBP1	syntaxin binding protein 1 (STXBP1)	1.66	3.00E-09
5480	NM_000943	PPIC	peptidylprolyl isomerase C (cyclophilin C) (PPIC)	1.66	1.30E-15
9580	NM_005686	SOX13	SRY (sex determining region Y)-box 13 (SOX13)	1.66	2.10E-07
3082	M73239	HGF	(clone SF1) hepatocyte growth factor (HGF) mRNA, complete cds.	1.66	3.70E-21
2261	X84939	FGFR3	H.sapiens mRNA for fibroblast growth factor receptor-3.	1.66	1.10E-05
115207	AF052169	KCTD12	clone 24775 mRNA sequence.	1.66	6.90E-04
5933	NM_002895	RBL1	retinoblastoma-like 1 (p107) (RBL1), transcript variant 1	1.66	4.70E-05
1387	NM_004380	CREBBP	CREB binding protein (Rubinstein-Taybi syndrome) (CREBBP)	1.66	1.10E-24
59344	AF182218	ALOXE3	epidermal lipoxygenase (ALOXE3) mRNA, complete cds.	1.66	3.00E-04
NA	AK025048	NA	cDNA: FLJ21395 fis, clone COL03557.	1.65	3.10E-09
9060	NM_004670	PAPSS2	3-phosphoadenosine 5-phosphosulfate synthase 2 (PAPSS2)	1.65	4.70E-07
2730	NM_002061	GCLM	glutamate-cysteine ligase, modifier subunit (GCLM)	1.65	9.20E-04
2253	NM_006119	FGF8	fibroblast growth factor 8 (androgen-induced) (FGF8), transcript variant B	1.65	2.20E-05
1545	NM_000104	CYP1B1	cytochrome P450, family 1, subfamily B, polypeptide 1 (CYP1B1)	1.65	1.20E-05
NA	AF088076	NA	full length insert cDNA clone ZE01A04.	1.65	1.80E-03
2936	AF228704	GSR	mitochondrial glutathione reductase (GRD1) mRNA, complete cds; nuclear gene for mitochondrial product.	1.65	8.00E-06
9212	NM_004217	AURKB	aurora kinase B (AURKB)	1.65	2.20E-03
84166	AK025362	NOD27	cDNA: FLJ21709 fis, clone COL10077.	1.64	5.20E-09
23091	AB020660	KIAA0853	mRNA for KIAA0853 protein, partial cds.	1.64	5.50E-08
55808	Y11339	SIAT7A	mRNA for GalNAc alpha-2, 6-sialyltransferase I, long form.	1.64	2.40E-05
2128	NM_001989	EVX1	eve, even-skipped homeo box homolog 1 (Drosophila) (EVX1)	1.64	8.40E-03
348	NM_000041	APOE	apolipoprotein E (APOE)	1.64	1.60E-04
101	NM_001109	ADAM8	a disintegrin and metalloproteinase domain 8 (ADAM8)	1.64	8.00E-04
9812	NM_014773	KIAA0141	KIAA0141 gene product (KIAA0141)	1.64	1.20E-07
55830	NM_018446	GLT8D1	glycosyltransferase AD-017 (AD-017), transcript variant 2	1.63	2.30E-09
754	AF149785	PTTG1IP	pituitary tumor-transforming gene protein binding factor (PBF) mRNA, complete cds.	1.63	3.40E-07
54978	AK025889	C2orf18	cDNA: FLJ22236 fis, clone HRC02042.	1.63	5.20E-03
1612	NM_004938	DAPK1	death-associated protein kinase 1 (DAPK1)	1.63	7.90E-06
3482	NM_000876	IGF2R	insulin-like growth factor 2 receptor (IGF2R)	1.63	9.50E-06
10100	NM_005725	TSPAN2	tetraspan 2 (TSPAN-2)	1.63	5.40E-05
310	NM_004034	ANXA7	annexin A7 (ANXA7), transcript variant 2	1.63	9.30E-07
287	AF131823	ANK2	clone 24997 mRNA sequence.	1.62	6.60E-03
6520	AB018010	SLC3A2	mRNA for 4F2 heavy chain, complete cds.	1.62	2.30E-03
11147	NM_007071	HHLA3	HERV-H LTR-associating 3 (HHLA3)	1.62	1.50E-09
11311	NM_007259	VPS45A	vacuolar protein sorting 45A (yeast) (VPS45A)	1.62	3.00E-05
2012	NM_001423	EMP1	epithelial membrane protein 1 (EMP1)	1.62	3.50E-06
5879	AJ012502	RAC1	mRNA activated in tumor suppression, clone TSAP22.	1.62	1.10E-10
4126	NM_005908	MANBA	mannosidase, beta A, lysosomal (MANBA)	1.62	8.40E-11
5879	D25274	RAC1	mRNA, clone:PO2ST9.	1.62	2.20E-03
118460	AK024276	EXOSC6	cDNA FLJ14214 fis, clone NT2RP3003576.	1.62	7.30E-06
9655	NM_014011	SOCS5	suppressor of cytokine signaling 5 (SOCS5), transcript variant 1	1.62	3.20E-08
4301	AF085836	MLLT4	full length insert cDNA clone YI41D03.	1.61	1.60E-03
834	NM_001223	CASP1	caspase 1, apoptosis-related cysteine protease (interleukin 1, beta, convertase) (CASP1), transcript variant beta	1.61	5.20E-03
196883	AF086230	ADCY4	full length insert cDNA clone ZD17A07.	1.61	4.40E-03
6430	NM_006925	SFRS5	splicing factor, arginine/serine-rich 5 (SFRS5)	1.61	3.40E-03
NA	NM_014823	NA	NA	1.61	2.10E-03
54989	NM_014106	FLJ20582	PRO1914 protein (PRO1914)	1.61	5.40E-05
2982	NM_000856	GUCY1A3	guanylate cyclase 1, soluble, alpha 3 (GUCY1A3)	1.61	4.30E-04
79017	AK021779	C7orf24	cDNA FLJ11717 fis, clone HEMBA1005241.	1.61	3.80E-03
4711	NM_002492	NDUFB5	NADH dehydrogenase (ubiquinone) 1 beta subcomplex, 5, 16kDa (NDUFB5), nuclear gene encoding mitochondrial p	1.6	1.40E-05
695	NM_000061	BTK	Bruton agammaglobulinemia tyrosine kinase (BTK)	1.6	1.60E-03
9512	NM_004279	PMPCB	peptidase (mitochondrial processing) beta (PMPCB)	1.59	1.70E-09
1845	NM_004090	DUSP3	dual specificity phosphatase 3 (vaccinia virus phosphatase VH1-related) (DUSP3)	1.59	3.10E-08
537	NM_001183	ATP6AP1	ATPase, H+ transporting, lysosomal accessory protein 1 (ATP6AP1)	1.59	3.70E-03
10801	NM_006640	SEPT9	MLL septin-like fusion (MSF)	1.59	2.30E-13
5002	NM_002555	SLC22A18	solute carrier family 22 (organic cation transporter), member 1-like (SLC22A1L), transcript variant 1	1.59	1.10E-05
5740	D38145	PTGIS	mRNA for prostacyclin synthase, complete cds.	1.59	3.60E-03
7295	NM_003329	TXN	thioredoxin (TXN)	1.59	5.40E-05
7157	NM_000546	TP53	tumor protein p53 (Li-Fraumeni syndrome) (TP53)	1.59	1.20E-08
10058	NM_005689	ABCB6	ATP-binding cassette, sub-family B (MDR/TAP), member 6 (ABCB6), nuclear gene encoding mitochondrial protein	1.59	3.70E-03
8780	NM_003831	RIOK3	RIO kinase 3 (yeast) (RIOK3), transcript variant 1	1.59	1.20E-04
1290	NM_000393	COL5A2	collagen, type V, alpha 2 (COL5A2)	1.59	1.40E-07
4664	NM_005966	NAB1	NGFI-A binding protein 1 (EGR1 binding protein 1) (NAB1)	1.59	1.30E-03
54664	Z36806	FLJ11273	H.sapiens (xs154) mRNA, 400bp.	1.58	7.70E-09
26153	AB033062	KIF26A	mRNA for KIAA1236 protein, partial cds.	1.58	2.30E-07
NA	AF026943	cig41	cig41 mRNA, partial sequence.	1.58	9.10E-13
8897	AB002369	MTMR3	mRNA for KIAA0371 gene, complete cds.	1.58	1.60E-03
6237	NM_006270	RRAS	related RAS viral (r-ras) oncogene homolog (RRAS)	1.58	2.40E-09
8853	NM_003887	DDEF2	development and differentiation enhancing factor 2 (DDEF2)	1.58	7.50E-03
3659	NM_002198	IRF1	interferon regulatory factor 1 (IRF1)	1.58	2.00E-09
79961	AK026110	FLJ22457	cDNA: FLJ22457 fis, clone HRC09925.	1.58	1.20E-05
8817	NM_003862	FGF18	fibroblast growth factor 18 (FGF18), transcript variant 1	1.58	1.10E-07
29781	AL021682	384D8-2	cDNA mapping to 22q13.	1.58	2.40E-03
805	NM_001743	CALM2	calmodulin 2 (phosphorylase kinase, delta) (CALM2)	1.58	1.80E-06
65220	AK023114	FLJ13052	cDNA FLJ13052 fis, clone NT2RP3001449.	1.58	5.60E-04
586	AK025615	BCAT1	cDNA: FLJ21962 fis, clone HEP05564.	1.58	3.40E-06
81	U48734	ACTN4	non-muscle alpha-actinin mRNA, complete cds.	1.58	2.80E-09
79837	AK025708	PIP5K2C	cDNA: FLJ22055 fis, clone HEP09645.	1.58	7.80E-06
10212	NM_005804	DDX39	DEAD (Asp-Glu-Ala-Asp) box polypeptide 39 (DDX39), transcript variant 1	1.57	5.60E-04
214	NM_001627	ALCAM	activated leukocyte cell adhesion molecule (ALCAM)	1.57	1.60E-04
1439	NM_000395	CSF2RB	colony stimulating factor 2 receptor, beta, low-affinity (granulocyte-macrophage) (CSF2RB)	1.57	7.50E-07
50855	NM_016948	PARD6A	par-6 partitioning defective 6 homolog alpha (C.elegans) (PARD6A)	1.57	1.70E-07
4978	NM_002545	OPCML	opioid binding protein/cell adhesion molecule-like (OPCML)	1.57	1.70E-05
58510	U80018	PRODH2	kidney and liver proline oxidase 1 (HsPOX1) mRNA, complete cds.	1.57	1.00E-03
153218	AK001520	SPINK5L3	cDNA FLJ10658 fis, clone NT2RP2006052.	1.57	1.80E-05
11060	NM_007014	WWP2	Nedd-4-like ubiquitin-protein ligase (WWP2)	1.56	3.50E-03
8447	NM_003585	DOC2B	double C2-like domains, beta (DOC2B)	1.56	3.00E-04
259266	AK001380	ASPM	cDNA FLJ10518 fis, clone NT2RP2000814.	1.56	1.40E-04
23657	NM_014331	SLC7A11	solute carrier family 7, (cationic amino acid transporter, y+ system) member 11 (SLC7A11)	1.56	3.30E-07
7260	NM_003310	TSSC1	tumor suppressing subtransferable candidate 1 (TSSC1)	1.56	1.30E-03
51257	NM_016496	MARCH-II	hypothetical protein LOC51257 (LOC51257)	1.56	1.90E-15
84128	AK022581	FLJ12519	cDNA FLJ12519 fis, clone NT2RM2001813.	1.56	3.80E-03
51090	NM_015993	TM4SF11	transmembrane 4 superfamily member 11 (plasmolipin) (TM4SF11)	1.56	9.20E-04
10600	NM_006447	USP16	ubiquitin specific protease 16 (USP16)	1.55	3.00E-09
1369	NM_001308	CPN1	carboxypeptidase N, polypeptide 1, 50kD (CPN1)	1.55	4.00E-05
1052	NM_005195	CEBPD	CCAAT/enhancer binding protein (C/EBP), delta (CEBPD)	1.55	3.40E-05
83636	AL162066	C19orf12	mRNA; cDNA DKFZp762D096 (from clone DKFZp762D096); partial cds.	1.55	8.00E-04
6847	NM_003176	SYCP1	synaptonemal complex protein 1 (SYCP1)	1.55	1.50E-07
51092	NM_015996	SIDT2	CGI-40 protein (CGI-40)	1.55	5.40E-05
26046	AB018257	ZNF294	mRNA for KIAA0714 protein, partial cds.	1.55	5.50E-08
3454	J03171	IFNAR1	interferon-alpha receptor (HuIFN-alpha-Rec) mRNA, complete cds.	1.55	8.10E-09
58528	AF272036	RRAGD	Rag D mRNA, complete cds.	1.55	1.40E-03
