probeset	Gene	Description	fold change
1419874_x_at	Zfp145	Mus musculus similar to mPLZF(B)=promyelocytic leukemia zinc finger protein {alternatively spliced} (LOC235320), mRNA	-1.84
1423126_at	Atp1b3	ATPase, Na+/K+ transporting, beta 3 polypeptide	-1.84
1420699_at	Clecsf12	C-type (calcium dependent, carbohydrate recognition domain) lectin, superfamily member 12	-1.85
1417991_at	Dio1	deiodinase, iodothyronine, type I	-1.86
1450792_at	Tyrobp	TYRO protein tyrosine kinase binding protein	-1.86
1424923_at	Serpina3g	serine (or cysteine) proteinase inhibitor, clade A, member 3G	-1.87
1429184_at	9130002C22Rik	RIKEN cDNA 9130002C22 gene	-1.87
1451415_at	1810011O10Rik	RIKEN cDNA 1810011O10 gene	-1.88
1415906_at	Tmsb4x	thymosin, beta 4, X chromosome	-1.89
1420928_at	St6gal1	beta galactoside alpha 2,6 sialyltransferase 1	-1.9
1423828_at	Fasn	fatty acid synthase	-1.9
1425751_at	BC014805	cDNA sequence BC014805	-1.9
1449401_at	C1qg	complement component 1, q subcomponent, gamma polypeptide	-1.9
1419560_at	Lipc	lipase, hepatic	-1.91
1433685_a_at	6430706D22Rik	Unknown (protein for MGC:66590)	-1.91
1416382_at	Ctsc	cathepsin C	-1.93
1433837_at	8430408G22Rik	RIKEN cDNA 8430408G22 gene	-1.93
1452519_a_at	Zfp36	gb:X14678.1 /DB_XREF=gi:54803 /FEA=mRNA /CNT=1 /TID=Mm.192224.3 /TIER=ConsEnd /STK=0 /UG=Mm.192224 /LL=22695 /UG_GENE=Zfp36 /UG_TITLE=zinc finger protein 36 /DEF=Mouse TPA-induced TIS11 mRNA.	-1.93
1449817_at	Abcb11	ATP-binding cassette, sub-family B (MDR/TAP), member 11	-1.95
1449525_at	Fmo3	flavin containing monooxygenase 3	-1.96
1418652_at	Cxcl9	chemokine (C-X-C motif) ligand 9	-1.97
1415997_at	Txnip	thioredoxin interacting protein	-1.98
1423804_a_at	Idi1	isopentenyl-diphosphate delta isomerase	-1.98
1427076_at	Mpeg1	macrophage expressed gene 1	-1.98
1438676_at	AI595338	Mus musculus transcribed sequence with weak similarity to protein sp:P32456 (H.sapiens) GBP2_HUMAN Interferon-induced guanylate-binding protein 2 (Guanine nucleotide-binding protein 2)	-1.98
1452279_at	Pfc	properdin factor, complement	-1.98
1448620_at	Fcgr3	Fc receptor, IgG, low affinity IIb	-2
1434366_x_at	C1qb	complement component 1, q subcomponent, beta polypeptide	-2.01
1449905_at	Clecsf13	C-type (calcium dependent, carbohydrate recognition domain) lectin, superfamily member 13	-2.01
1419873_s_at	Csf1r	gb:AI323359 /DB_XREF=gi:4057788 /DB_XREF=mi30h09.x1 /CLONE=IMAGE:465089 /FEA=EST /CNT=1 /TID=Mm.201971.1 /TIER=ConsEnd /STK=0 /UG=Mm.201971 /LL=106886 /UG_GENE=AI323359 /UG_TITLE=expressed sequence AI323359	-2.03
1425752_at	BC014805	cDNA sequence BC014805	-2.04
1437726_x_at	C1qb	complement component 1, q subcomponent, beta polypeptide	-2.05
1436530_at	BC048546	Mus musculus, clone IMAGE:1348774, mRNA	-2.06
1451161_a_at	Emr1	EGF-like module containing, mucin-like, hormonereceptor-like sequence 1	-2.06
1437654_at	3110001K24Rik	RIKEN cDNA 3110001K24 gene	-2.07
1419872_at	Csf1r	gb:AI323359 /DB_XREF=gi:4057788 /DB_XREF=mi30h09.x1 /CLONE=IMAGE:465089 /FEA=EST /CNT=1 /TID=Mm.201971.1 /TIER=ConsEnd /STK=0 /UG=Mm.201971 /LL=106886 /UG_GENE=AI323359 /UG_TITLE=expressed sequence AI323359	-2.1
1426690_a_at	Srebf1	sterol regulatory element binding factor 1	-2.1
1417381_at	C1qa	complement component 1, q subcomponent, alpha polypeptide	-2.11
1429381_x_at	Igh-VJ558	immunoglobulin heavy chain (J558 family)	-2.12
1436905_x_at	Laptm5	lysosomal-associated protein transmembrane 5	-2.12
1426516_a_at	Lpin1	lipin 1	-2.14
1428294_at	Zfp259	zinc finger protein 259	-2.14
1428306_at	Ddit4	RIKEN cDNA 5830413E08 gene	-2.14
1436996_x_at	Lyzs	gb:AV066625 /DB_XREF=gi:5186453 /DB_XREF=AV066625 /CLONE=2010110G11 /FEA=EST /CNT=31 /TID=Mm.45436.2 /TIER=Stack /STK=31 /UG=Mm.45436 /LL=17105 /UG_GENE=Lyzs /UG_TITLE=lysozyme	-2.14
1415834_at	Dusp6	dual specificity phosphatase 6	-2.15
1416222_at	Nsdhl	NAD(P) dependent steroid dehydrogenase-like	-2.16
1423547_at	Lyzs	lysozyme	-2.16
1436778_at	Cybb	cytochrome b-245, beta polypeptide	-2.16
1440899_at	AI195470	Mus musculus transcribed sequences	-2.18
1450678_at	Itgb2	integrin beta 2	-2.19
1419430_at	Cyp26a1	cytochrome P450, family 26, subfamily a, polypeptide 1	-2.2
1449385_at	Hsd17b9	hydroxysteroid (17-beta) dehydrogenase 9	-2.2
1422925_s_at	Pte2a	peroxisomal acyl-CoA thioesterase 2A	-2.21
1460256_at	Car3	carbonic anhydrase 3	-2.21
1417063_at	C1qb	complement component 1, q subcomponent, beta polypeptide	-2.25
1449854_at	Nr0b2	nuclear receptor subfamily 0, group B, member 2	-2.26
1422124_a_at	Ptprc	protein tyrosine phosphatase, receptor type, C	-2.27
1439426_x_at	Lzp-s	lysozyme	-2.3
1419134_at	Rhbg	Rhesus blood group-associated B glycoprotein	-2.31
1449193_at	Cd5l	CD5 antigen-like	-2.31
1434376_at	Cd44	CD44 antigen	-2.33
1450646_at	Cyp51	cytochrome P450, 51	-2.33
1417828_at	Aqp8	aquaporin 8	-2.34
1423418_at	Fdps	farnesyl diphosphate synthetase	-2.34
1428352_at	Arrdc2	RIKEN cDNA 4632416I05 gene	-2.34
1427473_at	Gstm3	glutathione S-transferase, mu 3	-2.36
1451122_at	Idi1	isopentenyl-diphosphate delta isomerase	-2.36
1417017_at	Cyp17a1	cytochrome P450, family 17, subfamily a, polypeptide 1	-2.38
1417141_at	Igtp	interferon gamma induced GTPase	-2.38
1418028_at	Dct	dopachrome tautomerase	-2.41
1448830_at	Dusp1	dual specificity phosphatase 1	-2.44
1448591_at	Ctss	cathepsin S	-2.46
1448080_at	4432406C08Rik	Mus musculus transcribed sequences	-2.47
1438596_at	A630025O09Rik	RIKEN cDNA A630025O09 gene	-2.5
1448950_at	Il1r1	interleukin 1 receptor, type I	-2.53
1428739_at	2310040A07Rik	dynein, axonemal, intermediate chain 1	-2.54
1422903_at	Ly86	lymphocyte antigen 86	-2.55
1423760_at	Cd44	CD44 antigen	-2.56
1460318_at	Csrp3	cysteine and glycine-rich protein 3	-2.62
1415989_at	Vcam1	vascular cell adhesion molecule 1	-2.66
1448162_at	Vcam1	vascular cell adhesion molecule 1	-2.72
1439380_x_at	Gtl2	GTL2, imprinted maternally expressed untranslated mRNA	-2.8
1443147_at	C730036E19Rik	Mus musculus transcribed sequences	-2.82
1453851_a_at	Gadd45g	growth arrest and DNA-damage-inducible 45 gamma	-2.86
1425225_at	Fcrl3	Fc receptor-like 3	-2.89
1427963_s_at	Rdh9	Mus musculus transcribed sequences	-2.91
1421669_at	Sult3a1	sulfotransferase related gene X2	-2.99
1417851_at	Cxcl13	chemokine (C-X-C motif) ligand 13	-3
1421262_at	Lipg	lipase, endothelial	-3.03
1418380_at	Terf1	telomeric repeat binding factor 1	-3.15
1448694_at	Jun	Jun oncogene	-3.17
1420603_s_at	Raet1a	retinoic acid early transcript gamma	-3.2
1449565_at	Cyp2g1	cytochrome P450, family 2, subfamily g, polypeptide 1	-3.25
1455318_at	B430010N18Rik	RIKEN cDNA B430010N18 gene	-3.25
1425763_x_at	Igh-VJ558	immunoglobulin heavy chain (J558 family)	-3.27
1421653_a_at	Igh-VJ558	gb:NM_134051.1 /DB_XREF=gi:19527267 /GEN=AI893585 /FEA=FLmRNA /CNT=3 /TID=Mm.157783.1 /TIER=FL /STK=2 /UG=Mm.157783 /LL=104911 /DEF=Mus musculus expressed sequence AI893585 (AI893585), mRNA. /PROD=expressed sequence AI893585 /FL=gb:NM_134051.1 gb:BC013488.1	-3.29
1419751_x_at	mOAT6-L	hypothetical protein D630002G06	-3.45
1450188_s_at	Lipg	lipase, endothelial	-3.45
1425394_at	BC023105	cDNA sequence BC023105	-3.48
1440327_at	AI195470	Mus musculus transcribed sequences	-3.52
1422973_a_at	Thrsp	thyroid hormone responsive SPOT14 homolog (Rattus)	-3.54
1418949_at	Gdf15	growth differentiation factor 15	-3.71
1424737_at	Thrsp	thyroid hormone responsive SPOT14 homolog (Rattus)	-3.73
1417025_at	H2-Eb1	histocompatibility 2, class II antigen E beta	-3.81
1425303_at	Gck	glucokinase	-3.81
1427870_x_at	Igh-4	immunoglobulin heavy chain 4 (serum IgG1)	-3.82
1417409_at	Jun	Jun oncogene	-3.85
1417065_at	Egr1	early growth response 1	-3.9
1417185_at	Ly6a	lymphocyte antigen 6 complex, locus A	-3.92
1458297_s_at	Marco	macrophage receptor with collagenous structure	-3.94
1450648_s_at	H2-Ab1	histocompatibility 2, class II antigen A, beta 1	-3.97
1419146_a_at	Gck	glucokinase	-3.98
1438858_x_at	H2-Aa	histocompatibility 2, class II antigen A, alpha	-3.98
1425519_a_at	Ii	Ia-associated invariant chain	-4.03
1451721_a_at	H2-Ab1	histocompatibility 2, class II antigen A, beta 1	-4.07
1424273_at	Cyp2c70	cytochrome P450, family 2, subfamily c, polypeptide 70	-4.14
1451452_a_at	Rgs16	regulator of G-protein signaling 16	-4.2
1435290_x_at	H2-Aa	histocompatibility 2, class II antigen A, alpha	-4.21
1435233_at	Ncoa2	nuclear receptor coactivator 2	-4.47
1426037_a_at	Rgs16	regulator of G-protein signaling 16	-4.52
1438617_at	A630025O09Rik	Mus musculus transcribed sequences	-4.54
1452431_s_at	H2-Aa	histocompatibility 2, class II antigen A, alpha	-4.65
1443889_at	LOC105892	expressed sequence AI789751	-4.72
1424305_at	Igj	immunoglobulin joining chain	-5.15
1449009_at	Tgtp	T-cell specific GTPase	-5.16
1455265_a_at	Rgs16	regulator of G-protein signaling 16	-5.33
1425477_x_at	H2-Ab1	histocompatibility 2, class II antigen A, beta 1	-5.75
1419528_at	Sth2	sulfotransferase, hydroxysteroid preferring 2	-6.36
1423100_at	Fos	FBJ osteosarcoma oncogene	-6.55
1449498_at	Marco	macrophage receptor with collagenous structure	-6.62
1427329_a_at	Igh-6	immunoglobulin heavy chain 6 (heavy chain of IgM)	-7
1428719_at	2010309G21Rik	hypothetical protein LOC207685	-7.26
1428720_s_at	2010309G21Rik	hypothetical protein LOC207685	-7.31
1452417_x_at	Igk-V28	gb:AV057155 /DB_XREF=gi:5156902 /DB_XREF=AV057155 /CLONE=1810044K02 /FEA=mRNA /CNT=13 /TID=Mm.104747.14 /TIER=ConsEnd /STK=2 /UG=Mm.104747 /LL=16114 /UG_GENE=Igk-V28 /UG_TITLE=immunoglobulin kappa chain variable 28 (V28)	-8.79
1427756_x_at	Igh-4	immunoglobulin heavy chain 4 (serum IgG1)	-9.41
1427660_x_at	Igk-V28	immunoglobulin kappa chain variable 8 (V8)	-10.25
1452463_x_at	H2-Aa	immunoglobulin kappa chain variable 8 (V8)	-10.51
1425247_a_at	Igh-4	immunoglobulin heavy chain 4 (serum IgG1)	-10.87
1427455_x_at	Igk-V28	immunoglobulin kappa chain variable 8 (V8)	-11.15
1460423_x_at	Igk-V5	immunoglobulin kappa chain variable 1 (V1)	-11.35
1425324_x_at	Igh-4	immunoglobulin heavy chain 4 (serum IgG1)	-12.3
1430523_s_at	Igl-V1	immunoglobulin lambda chain, variable 1	-13.47
1424631_a_at	AU044919	expressed sequence AU044919	-17.2
1425385_a_at	Igh-1a	immunoglobulin heavy chain 1 (serum IgG2a)	-19.3
1427351_s_at	Igh-6	immunoglobulin heavy chain 6 (heavy chain of IgM)	-20.75
1426174_s_at	AU044919	gb:S69212.1 /DB_XREF=gi:545338 /GEN=Ig VH /FEA=FLmRNA /CNT=1 /TID=MmAffx.1.23 /TIER=FL /STK=1 /NOTE=sequence(s) not in UniGene /DEF=Mus sp. atrazine-specific IgG2b heavy chain variable region (Ig VH) mRNA, complete cds. /PROD=atrazine-specific IgG2b heavy chain variableregion /FL=gb:S69212.1	-22.39
1418287_a_at	Dmbt1	deleted in malignant brain tumors 1	-36.62
1425738_at	Trpc2	Mus musculus processed pseudo-IgK chain mRNA, VC-region, from hybridoma A23A41.	-113.65
