Affymetrix ID	P-value	Gene Symbol	Genbank	Location bp
223067_at	0.00229	HSPC148	AF110775	chr11:94336160-94346364 (-)
220278_at	0.0102	JMJD2D	NM_018039	chr11:94370581-94372322 (+)
214789_x_at	0.000523	SRP46	AA524274	chr11:94440068-94441931 (+)
228760_at	0.0198	SRP46	AV725947	chr11:94443456-94444035 (+)
213152_s_at	0.000523	SRP46	AI343248	chr11:94489315-94490375 (+)
1553750_a_at	0.0143	FAM76B	NM_144664	chr11:95141767-95162427
226753_at	0.000896	FAM76B	AW138704	chr11:95190293-95190742 (-)
203494_s_at	0.000172	CEP57	NM_014679	chr11:95163457-95205503 (+)
209862_s_at	0.000172	CEP57	BC001233	chr11:95252340-95252847 (+)
203491_s_at	0.000172	PIG8	AI123527	chr11:95234282-95240221 (+)
203492_x_at	0.000172	PIG8	AA918224	chr11:95252562-95253002 (+)
203493_s_at	0.000896	PIG8	AL525206	chr11:95253104-95253513 (+)
203212_s_at	0.000311	MTMR2	NM_016156	chr11:95254286-95254755 (-)
203211_s_at	0.000172	MTMR2	AK027038	chr11:95255526-95255970 (-)
214649_s_at	0.000172	MTMR2	U58033	chr11:95256225-95256606 (-)
223300_s_at	0.000896	FLJ23518	AI286012	chr11:95725587-95757574 (-)
223301_s_at	0.00736	FLJ23518	AF245436	chr11:95725588-95757574 (-)
233400_at	0.0102	FLJ23518	AU158247	chr11:95733183-95735287 (-)
1554785_at	0.00335	FLJ23518	BC018663	chr11:95755435-95760716 (-)
206734_at	0.00229	JRKL	NM_003772	chr11:95814378-95814841 (+)
202076_at	0.00736	BIRC2	NM_001166	chr11:101724636-101754604 (+)
211967_at	0.000896	PORIMIN	BG538627	chr11:101772272-101828957 (-)
223151_at	0.000311	DCUN1D5	BC004169	chr11:102438031-102468080 (-)
1565149_at	0.00736	DYNC2H1	AF288405	chr11:102562310-102562699 (+)
219469_at	0.00504	DNCH2	NM_024606	chr11:102679160-102855521 (+)
1569178_at	0.00504	GRIA4	BC035610	chr11:104986015-104990372 (+)
238663_x_at	0.00229	GRIA4	H20055	chr11:105287893-105289046 (+)
227418_at	0.000172	KIAA1826	AI808746	chr11:105416416-105416900 (-)
223799_at	0.0102	KIAA1826	AF253976	chr11:105418257-105418962 (-)
202170_s_at	0.00143	AASDHPPT	AF151057	chr11:105453501-105472925 (+)
202169_s_at	0.000172	AASDHPPT	AF302110	chr11:105453501-105474629 (+) /
228916_at	0.000172	CWF19L2	BE857467	chr11:106702295-106702765 (-)
237040_at	0.00143	CWF19L2	BF185264	chr11:106815045-106833760 (-)
235610_at	0.000172	LOC91801	AI590659	chr11:106878663-106879186 (-)
235713_at	0.000896	LOC91801	BF242537	chr11:106880173-106880960 (-)
218826_at	0.000311	SLC35F2	NM_017515	chr11:107166929-107234721 (-)
205412_at	0.000172	ACAT1	NM_000019	chr11:107497467-107523485 (+)
203532_x_at	0.00143	CUL5	AF017061	chr11:107504029-107512667 (+)
203533_s_at	0.000311	CUL5	NM_003478	chr11:107514634-107515189 (+)
203531_at	0.000172	CUL5	BF435809	chr11:107515685-107516044 (+)
209798_at	0.000172	NPAT	D83243	chr11:107533329-107598539 (-)
211584_s_at	0.00504	NPAT	U58852	chr11:107537514-107598473 (-) /
212672_at	0.000172	ATM	U82828	chr11:107598957-107745173 (+)
208442_s_at	0.000523	ATM	NM_000051	chr11:107599052-107741470 (+)
210858_x_at	0.000523	ATM	U26455	chr11:107663328-107741966 (+)
204977_at	0.000311	DDX10	NM_004398	chr11:108041025-108316856 (+)
231899_at	0.000896	ZC3H12C	AB051513	chr11:109579638-109580178 (+)
212397_at	0.00736	RDX	AL137751	chr11:109605149-109612606 (-)
212398_at	0.00229	RDX	AI057093	chr11:109639488-109639964 (-)
204969_s_at	0.027	RDX	NM_002906	chr11:109640075-109641770 (-)
203647_s_at	0.0102	FDX1	M18003	chr11:109805804-109840814
203646_at	0.0143	FDX1	NM_004109	chr11:109871094-109871546 (+)
239161_at	0.00736	FDX1	BE302085	chr11:109872844-109873149 (+)
219374_s_at	0.000172	ALG9	NM_024740	chr11:111162219-111247515 (-)
229989_at	0.0143	LOC91893	AA805700	chr11:111283747-111284276 (-)
231530_s_at	0.0102	C11orf1	BG150085	chr11:111290736-111292217 (+)
222785_x_at	0.00143	C11orf1	AJ250229	chr11:111290767-111292421 (+)
212568_s_at	0.000896	DLAT	BF978872	chr11:111401087-111439151 (+)
211150_s_at	0.000172	DLAT	J03866	chr11:111401622-111438523 (+)
213149_at	0.00143	DLAT	AW299740	chr11:111438580-111440322 (+)
1555803_a_at	0.000172	FLJ10726	BC030546	chr11:111450221-111461082
230724_s_at	0.00143	FLJ10726	BE549742	chr11:111491612-111492161 (-)
222588_s_at	0.000172	FLJ10726	AA024582	chr11:111492257-111492722 (+)
218314_s_at	0.000172	FLJ10726	NM_018195	chr11:111492935-111493486 (+)
218357_s_at	0.000896	TIMM8B	NM_012459	chr11:111493543-111495074 (-)
202026_at	0.0198	SDHD	NM_003002	chr11:111503572-111503969 (+)
232449_at	0.0474	BCDO2	AV710838	chr11:111551580-111594159 (+)
209694_at	0.00736	PTS	M97655	chr11:111602373-111609686 (+)
216093_at	0.00335	NCAM1	AL050053	chr11:112372688-112374422 (+)
1561657_at	0.000896	NCAM1	AF086073	chr11:112399483-112399844 (+)
230623_x_at	0.000172	USP28	AI609285	chr11:113173806-113174250 (-)
218379_at	0.000311	RBM7	NM_016090	chr11:113776582-113784843 (+)
218789_s_at	0.00143	FLJ20010	NM_019021	chr11:113807474-113807980 (-)
244345_at	0.0361	IGSF4	AI627453	chr11:114556570-114556998 (-)
224504_s_at	0.000172	MGC13125	BC006350	chr11:116124102-116148914 (-)
200054_at	0.00335	ZNF259	NM_003904	chr11:116154487-116163949
217185_s_at	0.00229	ZNF259	Z95118	chr11:116154850-116163916 (-)
213034_at	0.00143	KIAA0999	AB023216	chr11:116219335-116474347 (-)
242920_at	0.0102	KIAA0999	AW590838	chr11:116257476-116257797 (-)
218765_at	0.00335	SIDT2	NM_015996	chr11:116604315-116605775 (+)
56256_at	0.00504	SIDT2	AA150165	chr11:116605396-116605790 (+)
227114_at	0.00335	DKFZp547C195	BG435876	chr11:116658000-116661628 (+)
231086_at	0.0361	BACE1	BF939127	chr11:116668786-116669497 (+)
210453_x_at	0.000172	ATP5L	AL050277	chr11:117777314-117785771
208746_x_at	0.000172	ATP5L	AF070655	chr11:117777530-117785118 (+)
207573_x_at	0.000172	ATP5L	NM_006476	chr11:117777540-117785120 (+)
202038_at	0.0102	UBE4A	NM_004788	chr11:117806998-117807543 (+)
212079_s_at	0.00335	MLL	AA715041	chr11:117812437-117901582 (+)
212078_s_at	0.000896	MLL	AA704766	chr11:117882582-117888588 (+)
212076_at	0.000172	MLL	AI701430	chr11:117932500-117933027 (+)
218483_s_at	0.00504	FLJ21827	NM_020153	chr11:117920470-117941924 (-) /
212080_at	0.000896	LOC143941	AV714029	chr11:117933396-117933870 (+)
226981_at	0.000896	LOC143941	AW002079	chr11:117934606-117935071 (+)
238514_at	0.0474	TMEM25	AL561294	chr11:117941514-117942723 (+)
226647_at	0.0143	TMEM25	AL562445	chr11:117943603-117944165 (+)
201176_s_at	0.000311	ARCN1	NM_001655	chr11:118010687-118011099 (+)
227208_at	0.000523	DLNB14	BF446390	chr11:118389102-118394245 (+)
202830_s_at	0.00335	SLC37A4	NM_001467	chr11:118400276-118406629
200091_s_at	0.000311	RPS25	AA888388	chr11:118424105-118426416 (-)
200825_s_at	0.0474	HYOU1	NM_006389	chr11:118452581-118453045 (-)
205436_s_at	0.00335	H2AFX	NM_002105	chr11:118469796-118471387 (-)
209509_s_at	0.0102	DPAGT1	BC000325	chr11:118472428-118477743 (-)
203040_s_at	0.000523	HMBS	NM_000190	chr11:118501500-118501835 (+)
206495_s_at	0.000172	MIZF	NM_015517	chr11:118502852-118510974 (+)
207593_at	0.027	ABCG4	NM_022169	chr11:118570429-118570969 (+)
225234_at	0.0102	CBL	AV710415	chr11:118680691-118684067 (+)
224947_at	0.0474	RNF26	AL559247	chr11:118710450-118713229 (+)
201335_s_at	0.0102	ARHGEF12	NM_015313	chr11:119713155-119865855 (+)
1554076_s_at	0.00335	MGC17839	BC015232	chr11:119735798-119738898 (+)
230186_at	0.000523	MGC17839	AW614120	chr11:119738426-119738893 (+)
238497_at	0.000311	MGC17839	N51836	chr11:119741453-119741961 (+)
201334_s_at	0.0102	ARHGEF12	AB002380	chr11:119782033-119865855 (+)
227395_at	0.000523	MGC10233	BE672045	chr11:120466043-120466695 (+)
215064_at	0.0474	SC5DL	AK027246	chr11:120684600-120687190 (+)
211423_s_at	0.0198	SC5DL	D85181	chr11:120716395-120716876 (+)
232113_at	0.000172		N90870	chr11:121471817-121473392 (-)
233364_s_at	0.000523		AK021804	chr11:121472115-121473598 (-)
239672_at	0.00736		AW960100	chr11:121473614-121474504 (+)
225381_at	0.00335	LOC399959	AW162210	chr11:121497494-121498044 (-)
221891_x_at	0.00736	HSPA8	AA704004	chr11:122465905-122466241 (-)
224187_x_at	0.00736	HSPA8	AF217511	chr11:122465960-122466765 (-)
208687_x_at	0.0102	HSPA8	AF352832	chr11:122466054-122467089 (-)
210338_s_at	0.0198	HSPA8	AB034951	chr11:122467418-122468043 (-)
204329_s_at	0.000172	ZNF202	N46430	chr11:123132743-123133090 (-)
204327_s_at	0.000172	ZNF202	N91520	chr11:123133156-123133699 (-)
226318_at	0.00229	TBRG1	AI701055	chr11:123997788-123999469 (+)
225818_s_at	0.00504	TBRG1	BG286461	chr11:123997983-124007844 (+)
225819_at	0.00335	TBRG1	AA576946	chr11:123997983-124007844 (+)
221208_s_at	0.000172	FLJ23342	NM_024631	chr11:124141603-124175509 (-)
240636_at	0.000896	FLJ23342	AI221207	chr11:124170803-124171275 (-)
226073_at	0.00143	LOC219854	BE857362	chr11:124504609-124505083 (-)
203562_at	0.0361	FEZ1	NM_005103	chr11:124820859-124871274 (-)
205973_at	0.0361	FEZ1	NM_022549	chr11:124863316-124871274 (-)
202223_at	0.00504	ITM1	NM_002219	chr11:124967951-124996163 (+)
208289_s_at	0.000896	EI24	NM_004879	chr11:124991825-124992183 (+)
229423_at	0.027	CHEK1	AW615274	chr11:125000245-125000980 (-)
205393_s_at	0.00143	CHEK1	NM_001274	chr11:125052146-125062881 (+)
205394_at	0.00736	CHEK1	NM_001274	chr11:125062886-125063189 (+)
206776_x_at	0.00229	ACRV1	NM_001612	chr11:125079914-125085414 (-)
207991_x_at	0.00504	ACRV1	NM_020113	chr11:125079914-125085456 (-)
207990_x_at	0.00335	ACRV1	NM_020114	chr11:125079914-125085785 (-)
207973_x_at	0.027	ACRV1	NM_020110	chr11:125079914-125088304 (-)
208013_s_at	0.00335	ACRV1	NM_020115	chr11:125079967-125088380 (-)
221277_s_at	0.000172	PUS3	NM_031307	chr11:125301072-125301612 (-)
227687_at	0.00504	HYLS1	AL523264	chr11:125307624-125308173 (+)
207230_at	0.0361	CDON	NM_016952	chr11:125335783-125396626 (-)
227526_at	0.00736	CDON	AU151222	chr11:125365168-125365551 (-)
225398_at	0.000172	RPUSD4	AL580514	chr11:125609998-125610518 (-)
236109_at	0.000172	FLJ14494	BE674055	chr11:125615630-125616179 (-)
223128_at	0.00335	H17	AL136923	chr11:125685108-125685642 (+)
229648_at	0.000172	RICS	AW025358	chr11:128372643-128373192 (-)
242196_at	0.027	RICS	AI312886	chr11:128374753-128375204 (-)
213028_at	0.000311	NFRKB	AI887378	chr11:129238885-129268114 (-)
206968_s_at	0.00335	NFRKB	NM_006165	chr11:129239808-129270662 (-)
237209_s_at	0.0143	NFRKB	AI304853	chr11:129263423-129263855 (-)
219515_at	0.0474	PRDM10	NM_020228	chr11:129307378-129307841 (-)
208702_x_at	0.000523	APLP2	AI525212	chr11:129444995-129519910 (+)
208703_s_at	0.00504	APLP2	BG427393	chr11:129444995-129519910 (+)
208248_x_at	0.00335	APLP2	NM_001642	chr11:129445010-129519910 (+)
211404_s_at	0.00143	APLP2	BC004371	chr11:129445020-129518766 (+)
208704_x_at	0.00143	APLP2	BC000373	chr11:129445025-129519909 (+)
214875_x_at	0.0143	APLP2	AW001847	chr11:129484540-129519493 (+)
228520_s_at	0.027	APLP2	AA022510	chr11:129519551-129519910 (-)
225845_at	0.000172	BTBD15	BG253884	chr11:129634340-129634754 (-)
226148_at	0.000523	BTBD15	AU144305	chr11:129638004-129638565 (-)
1554470_s_at	0.000311	BTBD15	BC030580	chr11:129638908-129639181 (-)
1554469_at	0.0361	BTBD15	BC030580	chr11:129641712-129641804 (-)
202359_s_at	0.0361	SNX19	NM_014758	chr11:130250984-130291572 (-)
231720_s_at	0.0474	JAM3	AF356518	chr11:133444188-133524384 (+)
212813_at	0.000523	JAM3	AA149644	chr11:133523738-133527106 (+)
212789_at	0.00143	hCAP-D3	AI796581	chr11:133560097-133560537 (-)
230306_at	0.0102	VPS26B	AA514326	chr11:133652531-133653252 (+)
223711_s_at	0.000523	THYN1	AF182413	chr11:133655875-133658713 (-)
218491_s_at	0.00143	THYN1	NM_014174	chr11:133656017-133656727 (-)
221669_s_at	0.00143	ACAD8	BC001964	chr11:133672679-133673098 (+)
1562888_at	0.027	LOC112937	BC011001	chr11:133691312-133712834 (+)
213713_s_at	0.0198	LOC89944	R48779	chr11:133783240-133783850 (+)
