Pvalue	C mean	Si mean	Fold change	Probe set	Description	annotation	Gene symbol
0.00032	138.4	253.2	0.547	209488_s_at	RNA binding protein with multiple splicing	Info	RBPMS
0.0003205	133.8	276.7	0.484	209487_at	RNA binding protein with multiple splicing /// RNA binding protein with multiple splicing	Info	RBPMS
0.0003206	183.3	87.8	2.088	203270_at	deoxythymidylate kinase (thymidylate kinase) /// deoxythymidylate kinase (thymidylate kinase)	Info	DTYMK
0.0003224	67.8	144.6	0.469	221985_at	DRE1 protein	Info	DRE1
0.0003251	200.8	403.9	0.497	208779_x_at	discoidin domain receptor family, member 1	Info	DDR1
0.0003316	157.4	336.4	0.468	215009_s_at	SEC31-like 1 (S. cerevisiae)	Info	SEC31L1
0.0003364	49.4	21.7	2.276	219274_at	transmembrane 4 superfamily member 12 /// transmembrane 4 superfamily member 12	Info	TM4SF12
0.0003397	42.2	101.4	0.416	203134_at	phosphatidylinositol binding clathrin assembly protein	Info	PICALM
0.0003399	278.2	621.2	0.448	212614_at	AT rich interactive domain 5B (MRF1-like)	Info	ARID5B
0.000347	165.7	54.5	3.04	206809_s_at	heterogeneous nuclear ribonucleoprotein A3	Info	HNRPA3
0.0003473	160.5	88.2	1.82	214172_x_at	RYK receptor-like tyrosine kinase	Info	RYK
0.0003574	1833.1	1012.8	1.81	201385_at	DEAH (Asp-Glu-Ala-His) box polypeptide 15	Info	DHX15
0.0003598	636.4	209.8	3.033	209135_at	aspartate beta-hydroxylase /// aspartate beta-hydroxylase	Info	ASPH
0.0003601	72.3	33	2.191	208883_at	progestin induced protein	Info	DD5
0.0003622	55.2	27.4	2.015	216636_at	MRNA; cDNA DKFZp566M0524 (from clone DKFZp566M0524)	Info
0.0003666	31.2	17.7	1.763	213929_at	MRNA; cDNA DKFZp586F1223 (from clone DKFZp586F1223)	Info
0.0003675	200.4	426.2	0.47	210827_s_at	E74-like factor 3 (ets domain transcription factor, epithelial-specific ) /// E74-like factor 3 (ets domain transcription factor, epithelial-specific )	Info	ELF3
0.0003687	155	73.2	2.117	218967_s_at	phosphotriesterase related /// phosphotriesterase related	Info	PTER
0.0003689	223.9	125.2	1.788	212482_at	hypothetical protein FLJ13910	Info	FLJ13910
0.0003736	132.1	294.7	0.448	203286_at	ring finger protein 44	Info	RNF44
0.0003751	240.9	423	0.57	218023_s_at	chromosome 5 open reading frame 6 /// chromosome 5 open reading frame 6	Info	C5orf6
0.0003754	127.8	246.2	0.519	212838_at	dynamin binding protein	Info	DNMBP
0.0003779	330.5	171.4	1.928	212428_at	KIAA0368	Info	KIAA0368
0.0003785	281.7	553.3	0.509	215806_x_at	T cell receptor gamma variable 9	Info	TRGV9
0.0003788	45	119.8	0.376	205676_at	cytochrome P450, family 27, subfamily B, polypeptide 1 /// cytochrome P450, family 27, subfamily B, polypeptide 1	Info	CYP27B1
0.0003831	274.4	634.3	0.433	202912_at	adrenomedullin /// adrenomedullin	Info	ADM
0.000389	84.2	215.8	0.39	212445_s_at	neural precursor cell expressed, developmentally down-regulated 4-like	Info	NEDD4L
0.0003956	72.6	144.4	0.503	209704_at	likely ortholog of mouse metal response element binding transcription factor 2	Info	M96
0.000396	85	171.8	0.495	200906_s_at	palladin	Info	KIAA0992
0.0003961	39.1	81.6	0.479	217635_s_at	polymerase (DNA directed), gamma	Info	POLG
0.000401	146.3	297.6	0.492	211168_s_at	regulator of nonsense transcripts 1 /// regulator of nonsense transcripts 1	Info	RENT1
0.0004033	136.7	305.5	0.447	209398_at	histone 1, H1c /// histone 1, H1c	Info	HIST1H1C
0.0004035	305.2	180.5	1.691	209263_x_at	transmembrane 4 superfamily member 7	Info	TM4SF7
0.0004081	115.9	59.7	1.941	219479_at	KDEL (Lys-Asp-Glu-Leu) containing 1	Info	KDELC1
0.0004087	88.3	215.7	0.409	212975_at	KIAA0870 protein	Info	KIAA0870
0.0004092	66.5	162.1	0.41	204827_s_at	cyclin F	Info	CCNF
0.0004131	172.8	85.9	2.012	220748_s_at	zinc finger protein 580 /// zinc finger protein 580	Info	ZNF580
0.0004141	863.5	477.8	1.807	221726_at	ribosomal protein L22	Info	RPL22
0.0004176	33.1	61.2	0.541	213927_at	CDNA FLJ41436 fis, clone BRHIP2007741	Info
0.0004183	46.9	106.5	0.44	201539_s_at	four and a half LIM domains 1	Info	FHL1
0.0004219	327.3	183.5	1.784	212765_at	KIAA1078 protein	Info	KIAA1078
0.0004244	540.6	311.4	1.736	218057_x_at	neighbor of COX4 /// neighbor of COX4	Info	NOC4
0.0004245	81	140.5	0.577	203665_at	heme oxygenase (decycling) 1 /// heme oxygenase (decycling) 1	Info	HMOX1
0.0004252	47.9	115.5	0.415	216894_x_at	cyclin-dependent kinase inhibitor 1C (p57, Kip2)	Info	CDKN1C
0.0004285	214.2	368.8	0.581	218418_s_at	ankyrin repeat domain 25	Info	ANKRD25
0.000432	113.3	219.2	0.517	202508_s_at	synaptosomal-associated protein, 25kDa /// synaptosomal-associated protein, 25kDa	Info	SNAP25
0.0004341	263.5	463.5	0.569	202733_at	procollagen-proline, 2-oxoglutarate 4-dioxygenase (proline 4-hydroxylase), alpha polypeptide II /// procollagen-proline, 2-oxoglutarate 4-dioxygenase (proline 4-hydroxylase), alpha polypeptide II	Info	P4HA2
0.0004343	100.8	52.3	1.927	215030_at	G-rich RNA sequence binding factor 1	Info	GRSF1
0.000436	323.8	599.2	0.54	202457_s_at	protein phosphatase 3 (formerly 2B), catalytic subunit, alpha isoform (calcineurin A alpha)	Info	PPP3CA
0.0004399	327.7	184	1.781	209753_s_at	thymopoietin	Info	TMPO
0.0004459	51.6	29.3	1.761	210017_at	mucosa associated lymphoid tissue lymphoma translocation gene 1 /// mucosa associated lymphoid tissue lymphoma translocation gene 1	Info	MALT1
0.000446	257.4	95.8	2.687	203646_at	ferredoxin 1 /// ferredoxin 1	Info	FDX1
0.0004475	19.5	97	0.201	210070_s_at	carnitine palmitoyltransferase 1B (muscle) /// carnitine palmitoyltransferase 1B (muscle)	Info	CPT1B
0.0004493	326.8	637.6	0.513	202033_s_at	RB1-inducible coiled-coil 1	Info	RB1CC1
0.0004513	266.2	457	0.582	211056_s_at	steroid-5-alpha-reductase, alpha polypeptide 1 (3-oxo-5 alpha-steroid delta 4-dehydrogenase alpha 1) /// steroid-5-alpha-reductase, alpha polypeptide 1 (3-oxo-5 alpha-steroid delta 4-dehydrogenase alpha 1)	Info	SRD5A1
0.0004518	58.1	25.5	2.278	206654_s_at	polymerase (RNA) III (DNA directed) polypeptide G (32kD)	Info	POLR3G
0.0004638	98	192.3	0.51	200696_s_at	gelsolin (amyloidosis, Finnish type) /// gelsolin (amyloidosis, Finnish type)	Info	GSN
0.0004655	260	485.7	0.535	209605_at	thiosulfate sulfurtransferase (rhodanese) /// thiosulfate sulfurtransferase (rhodanese)	Info	TST
0.0004689	229.6	135.5	1.694	213294_at	hypothetical protein FLJ38348	Info	FLJ38348
0.0004699	31.9	65.7	0.486	209788_s_at	type 1 tumor necrosis factor receptor shedding aminopeptidase regulator	Info	ARTS-1
0.0004724	105.6	245.1	0.431	212202_s_at	DKFZP564G2022 protein	Info	DKFZP564G2022
0.0004788	62.7	113.4	0.553	218988_at	solute carrier family 35, member E3 /// solute carrier family 35, member E3	Info	SLC35E3
0.0004823	273.1	159	1.718	201623_s_at	aspartyl-tRNA synthetase	Info	DARS
0.0004824	82.9	180.2	0.46	203768_s_at	steroid sulfatase (microsomal), arylsulfatase C, isozyme S	Info	STS
0.0004846	338	190.5	1.774	212582_at	oxysterol binding protein-like 8	Info	OSBPL8
0.0004872	67.9	129.6	0.524	218306_s_at	hect (homologous to the E6-AP (UBE3A) carboxyl terminus) domain and RCC1 (CHC1)-like domain (RLD) 1 /// hect (homologous to the E6-AP (UBE3A) carboxyl terminus) domain and RCC1 (CHC1)-like domain (RLD) 1	Info	HERC1
0.000488	276.1	143.7	1.921	202853_s_at	RYK receptor-like tyrosine kinase /// RYK receptor-like tyrosine kinase	Info	RYK
0.000489	81	46.3	1.749	212678_at	neurofibromin 1 (neurofibromatosis, von Recklinghausen disease, Watson disease)	Info	NF1
0.000493	6.4	15.3	0.418	210282_at	zinc finger protein 198	Info	ZNF198
0.0004931	89.6	179.4	0.499	201998_at	sialyltransferase 1 (beta-galactoside alpha-2,6-sialyltransferase)	Info	SIAT1
0.0004941	217.9	490.2	0.445	201473_at	jun B proto-oncogene /// jun B proto-oncogene	Info	JUNB
0.0004946	138.5	67.2	2.061	203300_x_at	adaptor-related protein complex 1, sigma 2 subunit	Info	AP1S2
0.0004998	241.3	476.8	0.506	217427_s_at	HIR histone cell cycle regulation defective homolog A (S. cerevisiae) /// HIR histone cell cycle regulation defective homolog A (S. cerevisiae)	Info	HIRA
0.0005044	815.6	427.6	1.907	203931_s_at	mitochondrial ribosomal protein L12 /// mitochondrial ribosomal protein L12	Info	MRPL12
0.0005046	125.6	325.9	0.385	203002_at	angiomotin like 2 /// angiomotin like 2	Info	AMOTL2
0.000505	44.2	80.2	0.551	209037_s_at	EH-domain containing 1	Info	EHD1
0.0005065	60	124.8	0.481	209682_at	Cas-Br-M (murine) ecotropic retroviral transforming sequence b /// Cas-Br-M (murine) ecotropic retroviral transforming sequence b	Info	CBLB
0.0005177	336.3	191.7	1.754	209264_s_at	transmembrane 4 superfamily member 7 /// transmembrane 4 superfamily member 7	Info	TM4SF7
0.0005193	409.8	224	1.829	212628_at	protein kinase C-like 2	Info	PRKCL2
0.0005214	279.5	583.7	0.479	207980_s_at	Cbp/p300-interacting transactivator, with Glu/Asp-rich carboxy-terminal domain, 2	Info	CITED2
0.0005263	162.2	286.3	0.567	218037_at	chromosome 2 open reading frame 17	Info	C2orf17
0.0005326	108.6	201.7	0.538	206472_s_at	transducin-like enhancer of split 3 (E(sp1) homolog, Drosophila) /// transducin-like enhancer of split 3 (E(sp1) homolog, Drosophila)	Info	TLE3
0.000534	191.7	102.4	1.872	212919_at	decapping enzyme hDcp2	Info	DCP2
0.0005357	1403.2	767.4	1.829	202855_s_at	solute carrier family 16 (monocarboxylic acid transporters), member 3	Info	SLC16A3
0.0005371	136.5	239.3	0.57	207871_s_at	suppression of tumorigenicity 7	Info	ST7
0.0005378	269	143.2	1.878	208502_s_at	paired-like homeodomain transcription factor 1	Info	PITX1
0.000551	273.5	554.3	0.493	201598_s_at	inositol polyphosphate phosphatase-like 1 /// inositol polyphosphate phosphatase-like 1	Info	INPPL1
0.0005514	216.6	95	2.28	201133_s_at	praja 2, RING-H2 motif containing	Info	PJA2
0.0005549	78.5	42	1.869	208407_s_at	catenin (cadherin-associated protein), delta 1	Info	CTNND1
0.0005579	649.7	1217.5	0.534	200885_at	ras homolog gene family, member C /// ras homolog gene family, member C	Info	RHOC
0.0005642	53.5	126.8	0.422	205409_at	FOS-like antigen 2 /// FOS-like antigen 2	Info	FOSL2
0.0005661	62.6	114.2	0.548	212303_x_at	KH-type splicing regulatory protein (FUSE binding protein 2)	Info	KHSRP
0.0005662	74.5	164.5	0.453	206100_at	carboxypeptidase M /// carboxypeptidase M	Info	CPM
0.0005672	175.6	336.3	0.522	201147_s_at	tissue inhibitor of metalloproteinase 3 (Sorsby fundus dystrophy, pseudoinflammatory)	Info	TIMP3
0.0005785	29.6	80.6	0.367	201141_at	glycoprotein (transmembrane) nmb /// glycoprotein (transmembrane) nmb	Info	GPNMB
0.0005789	328.8	176.8	1.86	212248_at	LYRIC/3D3	Info	LYRIC
0.0005812	72.6	126.1	0.576	208478_s_at	BCL2-associated X protein /// BCL2-associated X protein	Info	BAX
0.0005818	89.8	52.7	1.704	219320_at	myosin head domain containing 1	Info	MYOHD1
0.000587	93	162.9	0.571	206833_s_at	acylphosphatase 2, muscle type /// acylphosphatase 2, muscle type	Info	ACYP2
0.000588	187.5	79.2	2.367	37462_i_at	splicing factor 3a, subunit 2, 66kDa	Info	SF3A2
0.0005993	175	439.5	0.398	205876_at	leukemia inhibitory factor receptor /// leukemia inhibitory factor receptor	Info	LIFR
0.0006059	427.8	242.1	1.767	218681_s_at	stromal cell-derived factor 2-like 1 /// stromal cell-derived factor 2-like 1	Info	SDF2L1
0.0006072	168	329.5	0.51	212725_s_at	hypothetical protein TI-227H	Info	TI-227H
0.0006115	111.5	240.6	0.463	204066_s_at	centaurin, gamma 2	Info	CENTG2
0.000613	239.6	418	0.573	205932_s_at	msh homeo box homolog 1 (Drosophila) /// msh homeo box homolog 1 (Drosophila)	Info	MSX1
0.0006152	164.2	309	0.531	202842_s_at	DnaJ (Hsp40) homolog, subfamily B, member 9 /// DnaJ (Hsp40) homolog, subfamily B, member 9	Info	DNAJB9
0.0006165	365.7	214.8	1.703	202217_at	chromosome 21 open reading frame 33 /// chromosome 21 open reading frame 33	Info	C21orf33
0.0006179	1152.2	678.4	1.698	201386_s_at	DEAH (Asp-Glu-Ala-His) box polypeptide 15 /// DEAH (Asp-Glu-Ala-His) box polypeptide 15	Info	DHX15
0.0006188	233.9	400.7	0.584	222088_s_at	solute carrier family 2 (facilitated glucose transporter), member 14	Info	SLC2A14
0.0006202	88.1	45	1.958	221800_s_at	hypothetical protein FLJ22175	Info	FLJ22175
0.0006238	208.5	123.3	1.691	220202_s_at	membrane associated DNA binding protei /// membrane associated DNA binding protei	Info	MNAB
0.0006252	287	150.5	1.907	209404_s_at	CGI-109 protein	Info	CGI-109
0.0006292	439.4	240.4	1.828	208721_s_at	anaphase promoting complex subunit 5	Info	ANAPC5
0.0006305	106.9	184.1	0.581	218817_at	hypothetical protein FLJ22649 similar to signal peptidase SPC22/23	Info	FLJ22649
0.0006325	189	414.7	0.456	204602_at	dickkopf homolog 1 (Xenopus laevis) /// dickkopf homolog 1 (Xenopus laevis)	Info	DKK1
0.0006357	114.3	197.9	0.578	206748_s_at	sperm associated antigen 9	Info	SPAG9
0.0006358	247.1	481.8	0.513	208611_s_at	spectrin, alpha, non-erythrocytic 1 (alpha-fodrin) /// spectrin, alpha, non-erythrocytic 1 (alpha-fodrin)	Info	SPTAN1
0.0006404	133.4	70.1	1.903	200635_s_at	protein tyrosine phosphatase, receptor type, F	Info	PTPRF
0.0006423	289.4	674.2	0.429	213017_at	abhydrolase domain containing 3	Info	ABHD3
0.0006492	228.2	117.9	1.936	217196_s_at	KIAA1078 protein	Info	KIAA1078
0.0006518	223.4	371.5	0.601	46323_at	ectonucleoside triphosphate diphosphohydrolase 8	Info	ENTPD8
0.0006575	112	192	0.583	212651_at	Rho-related BTB domain containing 1	Info	RHOBTB1
0.0006599	188.1	109.9	1.712	220386_s_at	echinoderm microtubule associated protein like 4 /// echinoderm microtubule associated protein like 4	Info	EML4
0.000664	166.2	293.9	0.565	35254_at	FLN29 gene product	Info	FLN29
0.0006653	345.7	643.2	0.537	208786_s_at	microtubule-associated protein 1 light chain 3 beta	Info	MAP1LC3B
0.000669	36.3	18.1	2.006	219470_x_at	cyclin J	Info	CCNJ
0.000674	37.7	75.7	0.498	217373_x_at	Mdm2, transformed 3T3 cell double minute 2, p53 binding protein (mouse)	Info	MDM2
0.0006742	685.8	1294.9	0.53	221841_s_at	Kruppel-like factor 4 (gut)	Info	KLF4
0.0006786	324.3	190.3	1.704	200636_s_at	protein tyrosine phosphatase, receptor type, F /// protein tyrosine phosphatase, receptor type, F	Info	PTPRF
0.0006822	136.5	255.2	0.535	209911_x_at	histone 1, H2bd /// histone 1, H2bd	Info	HIST1H2BD
0.0006847	281.5	538.1	0.523	209033_s_at	dual-specificity tyrosine-(Y)-phosphorylation regulated kinase 1A /// dual-specificity tyrosine-(Y)-phosphorylation regulated kinase 1A	Info	DYRK1A
0.0006892	126.2	73	1.729	204224_s_at	GTP cyclohydrolase 1 (dopa-responsive dystonia) /// GTP cyclohydrolase 1 (dopa-responsive dystonia)	Info	GCH1
0.0006918	396.8	211.6	1.875	209397_at	malic enzyme 2, NAD(+)-dependent, mitochondrial /// malic enzyme 2, NAD(+)-dependent, mitochondrial	Info	ME2
0.0006944	339.4	164.2	2.067	211075_s_at	CD47 antigen (Rh-related antigen, integrin-associated signal transducer) /// CD47 antigen (Rh-related antigen, integrin-associated signal transducer)	Info	CD47
0.000704	121.3	331.9	0.365	214035_x_at	hypothetical protein LOC339047	Info	LOC339047
0.0007055	123.5	266.6	0.463	32502_at	hypothetical protein PP1665	Info	PP1665
0.0007065	902.5	503.6	1.792	217919_s_at	mitochondrial ribosomal protein L42	Info	MRPL42
0.0007098	170.5	301.6	0.565	213378_s_at	DEAD/H (Asp-Glu-Ala-Asp/His) box polypeptide 11 (CHL1-like helicase homolog, S. cerevisiae)	Info	DDX11
0.0007183	242.5	399.2	0.607	203767_s_at	steroid sulfatase (microsomal), arylsulfatase C, isozyme S	Info	STS
0.0007195	79.1	145.2	0.545	202775_s_at	splicing factor, arginine/serine-rich 8 (suppressor-of-white-apricot homolog, Drosophila)	Info	SFRS8
0.0007244	432.6	926.2	0.467	220115_s_at	cadherin 10, type 2 (T2-cadherin) /// cadherin 10, type 2 (T2-cadherin)	Info	CDH10
0.0007316	68.6	30	2.287	204857_at	MAD1 mitotic arrest deficient-like 1 (yeast) /// MAD1 mitotic arrest deficient-like 1 (yeast)	Info	MAD1L1
0.0007329	474.9	262.6	1.808	204004_at	PRKC, apoptosis, WT1, regulator	Info	PAWR
0.000733	270.2	471.2	0.573	217992_s_at	EF hand domain containing 2	Info	EFHD2
0.0007369	146.5	281.5	0.52	217943_s_at	hypothetical protein FLJ10350	Info	FLJ10350
0.0007382	185.9	379.3	0.49	218839_at	hairy/enhancer-of-split related with YRPW motif 1	Info	HEY1
0.0007469	67.5	121.3	0.556	201777_s_at	KIAA0494 gene product	Info	KIAA0494
0.0007509	228.6	108.3	2.111	203235_at	thimet oligopeptidase 1 /// thimet oligopeptidase 1	Info	THOP1
0.0007549	71.4	134.6	0.53	218329_at	PR domain containing 4	Info	PRDM4
0.0007556	250.3	448.1	0.559	201939_at	polo-like kinase 2 (Drosophila) /// polo-like kinase 2 (Drosophila)	Info	PLK2
0.0007567	392.6	663.2	0.592	212036_s_at	pinin, desmosome associated protein	Info	PNN
0.0007595	336.4	593.9	0.566	200907_s_at	palladin	Info	KIAA0992
0.0007651	63.7	120.5	0.529	222239_s_at	DEAD/H (Asp-Glu-Ala-Asp/His) box polypeptide 26 /// DEAD/H (Asp-Glu-Ala-Asp/His) box polypeptide 26	Info	DDX26
0.0007693	200.9	116.7	1.722	203162_s_at	katanin p80 (WD repeat containing) subunit B 1 /// katanin p80 (WD repeat containing) subunit B 1	Info	KATNB1
0.000771	129.5	74.4	1.741	204313_s_at	cAMP responsive element binding protein 1	Info	CREB1
0.0007752	43.2	73.2	0.59	209750_at	nuclear receptor subfamily 1, group D, member 2	Info	NR1D2
0.0007752	381.5	206.9	1.844	218557_at	Nit protein 2 /// Nit protein 2	Info	NIT2
0.000783	228.2	383.6	0.595	31845_at	E74-like factor 4 (ets domain transcription factor)	Info	ELF4
0.0007836	1231.3	709.8	1.735	209971_x_at	JTV1 gene	Info	JTV1
0.0007967	86.7	141.3	0.614	203366_at	polymerase (DNA directed), gamma /// polymerase (DNA directed), gamma	Info	POLG
0.0008021	152.8	88.6	1.725	213027_at	Sjogren syndrome antigen A2 (60kDa, ribonucleoprotein autoantigen SS-A/Ro)	Info	SSA2
0.0008059	395.2	699.5	0.565	210986_s_at	tropomyosin 1 (alpha) /// tropomyosin 1 (alpha)	Info	TPM1
0.0008065	202	361.8	0.558	205627_at	cytidine deaminase /// cytidine deaminase	Info	CDA
0.0008173	97.7	160.5	0.609	213341_at	fem-1 homolog c (C.elegans)	Info	FEM1C
0.000819	728.7	401.4	1.815	221505_at	acidic (leucine-rich) nuclear phosphoprotein 32 family, member E	Info	ANP32E
0.0008198	178.7	290.4	0.615	201780_s_at	ring finger protein 13	Info	RNF13
0.0008224	186.4	81.9	2.276	210667_s_at	chromosome 21 open reading frame 33	Info	C21orf33
0.0008233	2269.8	1390.5	1.632	211921_x_at	prothymosin, alpha (gene sequence 28) /// prothymosin, alpha (gene sequence 28)	Info	PTMA
0.0008244	50.4	86.6	0.582	210665_at	tissue factor pathway inhibitor (lipoprotein-associated coagulation inhibitor)	Info	TFPI
0.0008249	272.5	503.5	0.541	201329_s_at	v-ets erythroblastosis virus E26 oncogene homolog 2 (avian) /// v-ets erythroblastosis virus E26 oncogene homolog 2 (avian)	Info	ETS2
0.0008254	163.7	466	0.351	206085_s_at	cystathionase (cystathionine gamma-lyase)	Info	CTH
0.0008302	67.1	31.6	2.123	216028_at	DKFZP564C152 protein	Info	DKFZP564C152
0.0008321	467	225.4	2.072	221896_s_at	likely ortholog of mouse hypoxia induced gene 1	Info	HIG1
0.0008341	154.1	285.5	0.54	218280_x_at	histone 2, H2aa	Info	HIST2H2AA
0.0008352	159.9	283.1	0.565	211002_s_at	tripartite motif-containing 29	Info	TRIM29
0.0008361	553.8	317.1	1.746	201900_s_at	aldo-keto reductase family 1, member A1 (aldehyde reductase) /// aldo-keto reductase family 1, member A1 (aldehyde reductase)	Info	AKR1A1
0.0008366	29.8	109.9	0.271	204789_at	formin-like 1 /// formin-like 1	Info	FMNL1
0.0008367	73.3	129.2	0.567	218628_at	CGI-116 protein	Info	CGI-116
0.0008389	180.4	306.4	0.589	203064_s_at	forkhead box K2 /// forkhead box K2	Info	FOXK2
0.00084	799.9	451.5	1.772	217845_x_at	likely ortholog of mouse hypoxia induced gene 1	Info	HIG1
0.0008429	100	57.7	1.733	212888_at	Dicer1, Dcr-1 homolog (Drosophila)	Info	DICER1
0.000848	298.2	538.9	0.553	216236_s_at	solute carrier family 2 (facilitated glucose transporter), member 14	Info	SLC2A14
0.0008502	105.8	57.8	1.83	207348_s_at	ligase III, DNA, ATP-dependent /// ligase III, DNA, ATP-dependent	Info	LIG3
0.0008548	666.8	1080.5	0.617	217722_s_at	mesenchymal stem cell protein DSC92 /// mesenchymal stem cell protein DSC92	Info	NEUGRIN
0.0008624	21.2	36.5	0.581	213056_at	GRP1-binding protein GRSP1	Info	GRSP1
0.0008644	88.5	149.5	0.592	200070_at	chromosome 2 open reading frame 24 /// chromosome 2 open reading frame 24 /// chromosome 2 open reading frame 24	Info	C2orf24
0.0008677	217.1	471.9	0.46	34408_at	reticulon 2	Info	RTN2
0.0008707	196.3	108.4	1.811	202532_s_at	hypothetical protein LOC200895 /// hypothetical protein LOC200895	Info	LOC200895
0.0008748	203.7	389.9	0.522	202686_s_at	AXL receptor tyrosine kinase /// AXL receptor tyrosine kinase	Info	AXL
0.0008756	258.8	735	0.352	205807_s_at	tuftelin 1 /// tuftelin 1	Info	TUFT1
0.0008868	191.8	112.1	1.711	205282_at	low density lipoprotein receptor-related protein 8, apolipoprotein e receptor /// low density lipoprotein receptor-related protein 8, apolipoprotein e receptor	Info	LRP8
0.0008898	78.5	39.7	1.977	203115_at	ferrochelatase (protoporphyria)	Info	FECH
0.0008917	419.6	228.8	1.834	200995_at	importin 7	Info	IPO7
0.0009054	88.7	178.8	0.496	201844_s_at	RING1 and YY1 binding protein	Info	RYBP
0.0009055	50.7	93.7	0.541	220140_s_at	sorting nexin 11	Info	SNX11
0.0009059	223.1	121	1.844	201858_s_at	proteoglycan 1, secretory granule	Info	PRG1
0.0009131	26.3	13.8	1.906	32062_at	leucine rich repeat containing 14	Info	LRRC14
0.000917	69.8	115.5	0.604	212712_at	calmodulin regulated spectrin-associated protein 1	Info	CAMSAP1
0.0009178	231	133.5	1.73	210153_s_at	malic enzyme 2, NAD(+)-dependent, mitochondrial	Info	ME2
0.0009181	58.3	93.6	0.623	212719_at	pleckstrin homology domain containing, family E (with leucine rich repeats) member 1	Info	PLEKHE1
0.00092	407.4	224.6	1.814	203712_at	KIAA0020	Info	KIAA0020
0.0009205	117.9	222.6	0.53	53912_at	sorting nexin 11	Info	SNX11
0.0009221	306.1	184.2	1.662	209900_s_at	solute carrier family 16 (monocarboxylic acid transporters), member 1	Info	SLC16A1
0.0009279	30.3	76	0.399	219627_at	hypothetical protein FLJ12700	Info	FLJ12700
0.0009337	211.1	93.2	2.265	203269_at	neutral sphingomyelinase (N-SMase) activation associated factor /// neutral sphingomyelinase (N-SMase) activation associated factor	Info	NSMAF
0.0009351	83.5	163.6	0.51	38918_at	SRY (sex determining region Y)-box 13	Info	SOX13
0.0009357	344.7	723.5	0.476	44783_s_at	hairy/enhancer-of-split related with YRPW motif 1	Info	HEY1
0.0009369	462.3	241.3	1.916	204059_s_at	malic enzyme 1, NADP(+)-dependent, cytosolic /// malic enzyme 1, NADP(+)-dependent, cytosolic	Info	ME1
0.0009404	632	394.2	1.603	203647_s_at	ferredoxin 1	Info	FDX1
0.0009553	93.3	202.1	0.462	208178_x_at	triple functional domain (PTPRF interacting)	Info	TRIO
0.0009558	293.2	474.4	0.618	221844_x_at	Transcribed sequence with moderate similarity to protein sp:P39194 (H.sapiens) ALU7_HUMAN Alu subfamily SQ sequence contamination warning entry	Info
0.000965	413.5	716.6	0.577	210987_x_at	tropomyosin 1 (alpha)	Info	TPM1
0.0009788	185	295.5	0.626	202510_s_at	tumor necrosis factor, alpha-induced protein 2 /// tumor necrosis factor, alpha-induced protein 2	Info	TNFAIP2
0.0009813	311.3	185.4	1.679	201284_s_at	N-acylaminoacyl-peptide hydrolase /// N-acylaminoacyl-peptide hydrolase	Info	APEH
0.0009854	288.1	163.6	1.761	218035_s_at	RNA-binding protein	Info	FLJ20273
0.0009875	103.9	53.9	1.928	204360_s_at	N-acetylglucosaminidase, alpha- (Sanfilippo disease IIIB) /// N-acetylglucosaminidase, alpha- (Sanfilippo disease IIIB)	Info	NAGLU
0.0009877	180.4	105.5	1.71	212585_at	oxysterol binding protein-like 8	Info	OSBPL8
0.0009924	428.3	257.1	1.666	221539_at	eukaryotic translation initiation factor 4E binding protein 1 /// eukaryotic translation initiation factor 4E binding protein 1	Info	EIF4EBP1
